作品名称：100%不伤发的卷发方法！3天都很卷！不用卷发棒，无热不伤发！
网址：https://www.bilibili.com/video/av26591392
更新时间：07-12
弹幕总量：979
preciseTime    ofTime          comment
0.0            1531286812.0    出了！！等好久
0.08           1531320537.0    盼了·这么久，终于出来了！！！
0.085          1531288322.0    终于等到你，还好我没放弃～
0.358          1531291075.0    好久不见vv
0.4            1531303416.0    终于出了！！！！！啊！！！！好几个月了
0.938          1531285300.0    妈耶！！终于被我等到了！！
1.058          1531379857.0    看到了小草莓羞羞
1.142          1531331215.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
1.195          1531379614.0    吱付宝首页搜索“86OO14”小意思不谢
1.401          1531293513.0    来啦来啦~~~
1.962          1531298764.0    终于想起来这个主题了！，
2.133          1531280107.0    vive粉头发就像仙女
2.159          1531293754.0    Vivi还是一如既往的好看啊！
2.318          1531343357.0    噫！！！！更新啦！！！！
2.472          1531294909.0    好看
2.645          1531310075.0    等VV等到心碎呜呜呜呜呜终于更新了
3.157          1531282082.0    刘海好乖呀
3.337          1531328988.0    哇 千山万水总是情 终于等到vv更这个视频了
4.949          1531296408.0    来啦
5.021          1531379909.0    诶诶诶看到小草莓我就变粉啦
5.4            1531298354.0    来了来了！
6.058          1531285027.0    四小时前！
6.251          1531284595.0    激动！！！等了快一年的卷发教程！！！爱死vv
6.483          1531284271.0    终于等到了！
6.485          1531319003.0    表白vv
6.854          1531308930.0    1001
6.912          1531300777.0    哇漂亮姐姐更新啦！
7.245          1531355349.0    小姐姐~~~~~
7.338          1531289781.0    5个小时前
7.508          1531287046.0    。
7.559          1531302053.0    来了来了
8.135          1531284584.0    终于等到了！！！！
8.162          1531314797.0    疯狂弹幕
8.216          1531288185.0    美颜暴击！
8.836          1531279233.0    两小时
9.32           1531297263.0    终于55555
9.44           1531381479.0    哇时长是我生日嘿嘿嘿
9.642          1531369358.0    等了好久的主题
9.79           1531284437.0    哇哇哇
9.93           1531284712.0    不过敏了
10.342         1531280576.0    让我这个短发男生进来看看
10.837         1531284285.0    表白vv！
11.21          1531279949.0    终于等到啦
11.263         1531292183.0    好好看啊
11.285         1531282715.0    失踪人口回来了
11.991         1531325561.0    今天眼妆也超级漂亮！
12.034         1531294919.0    好厉害啊
12.219         1531300485.0    期待的卷发教程ヾ(✿ﾟ▽ﾟ)ノ
12.308         1531306451.0    你终于来了！
12.352         1531322081.0    终于更了
13.056         1531367161.0    UU
13.482         1531290480.0    终于等到了哈哈
13.704         1531304401.0    好喜欢
13.921         1531303031.0    今天也美美哒！
14.096         1531371041.0    vv分享太及时了
14.275         1531292406.0    呵呵
15.313         1531281177.0    好美
15.381         1531327439.0    嗯？rap还行！
15.961         1531295949.0    爱你！！！
17.002         1531300490.0    好美!
18.585         1531288353.0    表白女神!
18.624         1531279006.0    支持vv
18.815         1531316465.0    封面贼热
19.42          1531279865.0    自来卷的我......
19.54          1531361347.0    么么啾
19.859         1531293362.0    。。。昨天才剪的短发，今天就出卷发教程，哭唧唧
20.499         1531318694.0    啊啊啊同款耳环！！
20.565         1531283307.0    第一?
20.842         1531304019.0    板寸来凑热闹
21.235         1531320469.0    眼影配色好美
21.77          1531297422.0    终于来了！等好久
23.1           1531303211.0    我突然发现vv这件衣服我好像也有。
23.48          1531279461.0    看到微博更新马上了来看~
23.743         1531306057.0    up主们都长期出差吗
23.978         1531296426.0    懂！
24.3           1531305548.0    刚好洗完头发还没吹
25.662         1531282773.0    第一次这么早！
25.742         1531310057.0    今晚正好要洗头！！
26.026         1531311973.0    刚刚好！
26.538         1531288847.0    这个状态听起来好难找啊哈哈
26.709         1531308936.0    昨天才烫完，今天就出卷发教程嘤
29.941         1531285944.0    突然get颜
30.34          1531282005.0    喜欢vivi这件吊带
30.549         1531289817.0    真的很严格呢哈哈哈哈哈
31.311         1531285032.0    绕口令 哈哈
31.347         1531374570.0    我也是！酒店五天送了五包套组！拿回来继续用
31.639         1531290204.0    我好像已经猜到了……
32.759         1531390358.0    你是在为难我还是在为难头发qwq
32.788         1531283909.0    对对对我也有这个哈哈哈
32.893         1531359926.0    刘海好丑
33.328         1531283194.0    终于更新了♥
33.56          1531293566.0    熟悉的BGM
33.618         1531282144.0    发网可以替代
34.571         1531280040.0    VV耳环是hm的！
35.806         1531319793.0    发网走起！！
36.861         1531354945.0    以为是以前的视频点开开心的发现是新视频!
38.814         1531326003.0    我有低配的！比如发网
39.463         1531284889.0    第一眼看还以为是发网
39.638         1531292722.0    哇！！同款在日本的时候送的！！
39.973         1531283201.0    终于更新了♥
40.205         1531282310.0    发网行不……
43.086         1531284728.0    终于出了
43.093         1531279487.0    好美
44.076         1531301862.0    发网？
46.525         1531281254.0    然后你就拥有了一条新颈链
47.904         1531279398.0    来看老婆啦
48.22          1531279397.0    好可爱呀vv
49.637         1531354258.0    对我就是这样 掌握了头发干湿程度就很持久
49.8           1531286358.0    蒜姐的视频里也出现过
50.449         1531357082.0    好看
51.341         1531306798.0    项链哈哈
51.659         1531283052.0    然后呢 你就有了一条choker
51.712         1531296454.0    这样戴在脖子上就很好看
54.154         1531294589.0    好美呀
54.453         1531287493.0    第一条弹幕献给你
54.634         1531371053.0    奇怪得声音哈哈哈哈哈
56.035         1531287272.0    特地洗了个头
57.427         1531293592.0    耳环好看～
58.538         1531360285.0    发网了解一下
59.363         1531288428.0    撸齐
59.859         1531287498.0    这跟发带有什么区别？
62.281         1531314489.0    这个我也看过~嘿嘿
63.256         1531306843.0    ☜丝袜那个有点粗把 不如试试秋裤腿剪下来一截？
63.379         1531282037.0    同款耳环
64.681         1531284900.0    vivi发量好多
66.0           1531368450.0    羡慕发量
66.403         1531288442.0    撸齐
66.716         1531285067.0    丝袜的站住
67.244         1531322701.0    同款耳环
69.34          1531279223.0    短发在看的不止你一人
70.293         1531388029.0    撸齐哈哈哈
70.747         1531287005.0    nonono，vivi说过自己发量很少的，这都是假象
70.915         1531287705.0    短发加一
71.179         1531281476.0    好像在ins上看过
71.979         1531283789.0    头太大 戴不下这种咋整……
72.401         1531284181.0    我一个超短发心生向往
72.618         1531296474.0    顺滑哈哈哈
73.642         1531296611.0    别吹了好吗 我一个老粉都看不下去了 如果觉得这个视频不明显看看以前的 vive的发量是少的好吗 吹你马啊
73.659         1531286627.0    短发的别走我也。。。。
74.434         1531284410.0     同短发
74.837         1531281116.0    233短发+1
76.32          1531371812.0    vv说过她发量不多的
76.606         1531280469.0    好美啊
78.218         1531293146.0    多？
82.282         1531305920.0    我的头发要弹回来
83.24          1531293636.0    短发〒_〒
83.361         1531365436.0     头发好少啊！
83.948         1531385895.0    头发少的哭了
84.597         1531290237.0    这也伤头发啊。。。而且不均匀
84.837         1531285675.0    刚洗完头发正好试一下
85.22          1531294805.0    哇哦，这个方法真的是很厉害啊！
85.418         1531296488.0    莫名眼熟
85.994         1531301904.0    骚操作
85.995         1531287727.0    哇
86.574         1531299070.0    这个方法很早就有啦。。
86.616         1531316123.0    短发+1
86.691         1531288793.0    哇没见过啊
86.846         1531321097.0    6666
86.955         1531310760.0    需要头发软的。都散了吧
87.122         1531308681.0    猜对了！
87.944         1531309319.0    好可爱
88.149         1531296133.0    我刚剪头发…(；´Д`A
88.16          1531280766.0    我发量超多😂
88.277         1531289054.0    短发做不到
88.327         1531286364.0    哇 好厉害！
88.405         1531312790.0    66666
88.454         1531292425.0    感觉好方便
88.49          1531293636.0    好酷啊
88.548         1531290284.0    这个不是很多人都做过吗
88.94          1531279072.0    这不是vv之前说洗脸的时候可以用发带把头发扎起来嘛
88.992         1531289342.0    噗 我以前也这么干过
89.02          1531304671.0    聪明
89.107         1531292817.0    发量多的人就看着
89.16          1531283813.0    我知道这个方法
89.45          1531318851.0    从袜子卷发开始关注v，这个是升级版
89.451         1531286406.0    这个碎觉会滑掉吧
89.514         1531375664.0    学到了
90.099         1531372177.0    好像很简单
90.427         1531287050.0    刚刚剪齐肩的哭晕
90.453         1531279109.0    太牛了
90.702         1531285036.0    我们寝室一直这样卷头发的...
90.794         1531284871.0    好可爱啊
90.803         1531281781.0    这以前就有人录过
90.901         1531287439.0    我曾经试过…为什么vv的头发那么听话！
91.08          1531287461.0    腰下长发想哭
91.165         1531361365.0    哇
91.259         1531301935.0    这还伤头发？妈呀，杠精真可怕
92.238         1531316004.0    头发多了卷不起来……
92.28          1531290074.0    突然想起来我是短发
92.378         1531307138.0    机智啊
92.399         1531320967.0    下次试一试
92.705         1531355435.0    看起来好简单啊
92.821         1531281489.0    学到了学到了
