排名：69
网址：https://www.bilibili.com/video/av26594024
更新时间：07-15
弹幕总量：1623
preciseTime    ofTime          comment
0.0            1531393134.0    打卡
0.067          1531301721.0    bei宇快跑！！！！
0.378          1531567810.0    第一遍看忘了发弹幕，
0.404          1531567918.0    up下凡辛苦了
0.518          1531301645.0    白老师居老师请自觉退出
0.61           1531554082.0    白老师居老师请离粉丝的生活远一点
0.639          1531388058.0    欢迎回来
0.678          1531298471.0    居老师bygg左上角谢谢
0.802          1531620298.0    求大大写文啊，我追爆
0.919          1531310973.0    又羞耻地刷一遍，还是想粗俗的说一句，up主牛逼！
1.069          1531403275.0    BGM---FLESH
1.21           1531291446.0    打开进来吓死了562人正在看OTZ
1.278          1531289470.0    这个已经不能用神仙来描述了
1.334          1531319771.0    各位系好安全带我们准备出发了
1.358          1531291955.0    看到这个up主的名字我就知道硬币保不住了
1.379          1531362815.0    营养不足人员，慎入!!!
1.417          1531317648.0    不好意思了，关弹幕再来一次
1.423          1531363522.0    😳😳😳
1.449          1531363402.0    哇。。看了两边的我目瞪狗呆🌝🌚
1.478          1531440777.0    白老师居老师请离粉丝生活远一点
1.557          1531318196.0    白狐太太就是白狐太太！！！
1.72           1531288440.0    大大最近高产啊啊啊好开心(●°u°●)​
1.721          1531273153.0    全程高速 系好安全带
1.731          1531293697.0    家里有外人，不敢看😂
1.877          1531300640.0    朱一龙，你还小，这个你不能看
2.037          1531497724.0    四刷才想起要发弹幕
2.087          1531387193.0    白宇哥哥快走  现在出去还来得及
2.201          1531562191.0    居老师和北老师快出去😂
2.389          1531311226.0    对不起还是会逆啊😭虽然沈教授很A可是也很美
2.404          1531297495.0    机智的带上耳机
2.438          1531481755.0    这个能过也很不容易呢 骑人太甚那个前后加了厚黑都挂了呜呜呜
2.475          1531273304.0    带耳机！别公放!
2.73           1531455949.0    请居老师北老师出去
2.778          1531640602.0    欢迎回来
2.816          1531470105.0    两位老师快跑！别回头！
2.832          1531502037.0    三千太太！
2.833          1531411925.0    av26638974串烧音乐，喜欢的听一下，谢谢！不强求！
2.84           1531360282.0    卧槽太太牛逼
2.901          1531273311.0    带耳机！别公放!
2.952          1531388566.0    我不允许有人没看过这个视频
2.989          1531565269.0    各种播放速度都来一遍~
3.133          1531365146.0    激动地一直打错字！up主你是神仙吗？！
3.201          1531297775.0    戴耳机！戴耳机！戴耳机！
3.32           1531323544.0    羞耻的二刷
3.359          1531295945.0    来吃粮！
3.413          1531273317.0    带耳机！别公放!
3.756          1531460877.0    外放开最大听的我带感
3.779          1531405825.0    二刷
3.819          1531559783.0    好，好紧张，在公交车上看！！
3.846          1531378241.0    系好安全带，前方全程高能！
3.989          1531562597.0    eeeeooopp
4.01           1531288747.0    居老师北老师你们快走！我用弹幕掩护你们！
4.059          1531297084.0    我的妈呀！赤鸡！！！！
4.225          1531323312.0    微博过来的，哈哈哈哈，再看一遍，真好吃
4.352          1531424669.0    太太最近太高产了
4.389          1531296894.0    北宇哥哥和居一龙哥哥请出去
4.437          1531325797.0    请问是直接跪吗
4.688          1531559419.0    欢迎回来
4.693          1531297772.0    看了好多遍终于想起来发弹幕
5.022          1531306458.0    速度240迈，心情是日nm的嗨！
5.098          1531321628.0    太太
5.14           1531310604.0    吓得我赶紧关掉带上耳机
5.354          1531375535.0    bgm一出我就知道这车稳了
5.378          1531640613.0    不行了不行了，出不去了
5.581          1531491624.0    外放无所畏惧
5.774          1531319101.0    再来一遍！
6.06           1531466397.0    在家全程公放无所畏惧
6.161          1531626220.0    就公放！！！絲毫不慌！
6.207          1531293992.0    蒸煮快离开！！！
6.24           1531471961.0    请问是直接跪下还是走程序
6.263          1531389265.0    算了，先收藏着，等旁边没人了再看2333
6.399          1531414829.0    我来了
6.412          1531476397.0    太太你是神马
6.482          1531290182.0    居老师，快走！
6.519          1531333116.0    白老师和居老师，你们快出去！！
6.656          1531316630.0    冲鸭！给突然高产的白狐大大打call！
6.827          1531499686.0    我又来了!!!
6.851          1531567782.0    带耳机兄弟们，
6.88           1531587315.0    好兴奋啊
6.912          1531288754.0    居老师北老师你们快走！我用弹幕掩护你们！
6.965          1531496346.0    我又来了~~
7.4            1531594531.0    bgm是什么求问！！！！
7.412          1531273947.0    全程高能！注意背后！不要公放！
7.439          1531523866.0    真的高产似那啥
7.573          1531440776.0    哇哇哇
7.85           1531288759.0    居老师北老师你们快走！我用弹幕掩护你们！
7.935          1531367865.0    居老师你快走！！！
7.937          1531300350.0    高产似嘻嘻(ˉ(∞)ˉ)
7.974          1531363724.0    我外放。。。。
8.106          1531424685.0    鼻血先流为敬
8.121          1531359286.0    看我刷到了什么
