作品名称：当着室友的面喝下花露水 看看他什么反应（恶搞视频）
网址：https://www.bilibili.com/video/av26595986
更新时间：07-12
弹幕总量：1488
preciseTime    ofTime          comment
0.17           1531382306.0    会被拍成视频发到b站
0.318          1531386874.0    帅哥你谁
0.398          1531323459.0    花露水不都是能喝的嘛，我经常喝（
0.426          1531361327.0    嘿嘿，大家好，这里是抽风，今天给大家带来的这个实况…
1.0            1531352434.0    说好的蟹堡王呢？
1.421          1531391085.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
1.698          1531366770.0    达芬奇！达芬奇！达芬奇！考虑一下下谢谢
1.817          1531378846.0    嘿！猩猩哥！
1.858          1531329105.0    喝“花露水”在05:30
1.876          1531369275.0    生活区的骄傲！
2.133          1531362684.0    🦍
2.3            1531324167.0    哈哈哈哈哈哈哈
2.44           1531371293.0    我已经去世了（boy色）
2.645          1531328935.0    这个走心的嘿要笑死我吗
3.339          1531367404.0    看鬼畜视频了解一下
3.599          1531385223.0    看鬼畜啊
3.638          1531360741.0    小小噩梦和看鬼畜了解一下
3.679          1531355804.0    我已经去世了
3.743          1531389757.0    鬼畜鬼畜！
4.379          1531359699.0    哇boy你的头发真丑。。。
4.42           1531367985.0    花露水，刘辟
5.021          1531363487.0    大猩猩和他可怜的舍友们系列
5.361          1531355719.0    生活区的骄傲
5.363          1531323425.0    不知道
5.578          1531350627.0    20小时前
5.64           1531370723.0    boy你还好吗
5.75           1531371122.0    达芬奇
5.801          1531389458.0    看鬼畜
5.888          1531355365.0    生活区的骄傲
5.899          1531381529.0    花露水是有毒的，不要轻易尝试
6.161          1531322127.0    是他是他就是他，生活区的骄傲祖国boy
6.468          1531368758.0    嘿！Hello各位亲爱的观众老爷你们好，你们看到标题的时候就已经知道了，我已经去世了，这是我留给各位老爷的最后一个视频
6.581          1531324201.0    看鬼畜了解一下
6.797          1531353238.0    2小时
6.899          1531350028.0    Boy粉丝掉了好多
7.06           1531385782.0    抖音看见你了
7.168          1531382896.0    不是风油精可以喝，花露水不能喝吗
7.936          1531358855.0    去告诉全世界 你已经横空去世了
7.941          1531372321.0    恶搞视频哈哈哈哈
7.979          1531367745.0    看鬼畜了解一下
8.265          1531383807.0    达芬奇
8.366          1531387979.0    达芬奇！！！
8.62           1531319448.0    哇怎么细声细气的
8.681          1531391836.0    鬼畜视频了解一下。
8.96           1531369617.0    又是一个水视屏
9.001          1531322643.0    @昔日友人
