排名：88
网址：https://www.bilibili.com/video/av26605027
更新时间：07-17
弹幕总量：3252
preciseTime    ofTime          comment
0.083          1531562680.0    0000
0.561          1531546966.0    封面我老婆
0.941          1531581960.0    妙啊，妙啊。
1.301          1531379431.0    在下第一条弹幕就奉献在这里了
1.398          1531654169.0    收藏
1.623          1531392141.0    糟糕的标题
1.86           1531654144.0    sgmc
2.048          1531724197.0    支付寳搜一下“
2.061          1531367267.0    标准开头
2.476          1531661165.0    开场音乐是春物的过场音乐吧
2.865          1531390801.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
3.404          1531540343.0    火钳刘明
3.56           1531654153.0    大家bux
3.755          1531373049.0    那个账号不要搜，给它谋利的
3.94           1531384257.0    我又来为泛式刷播放量和弹幕了
4.041          1531375271.0    喵呜(๑´ω`๑)
4.043          1531657731.0    ..
4.161          1531559777.0    钱钱钱
4.181          1531568638.0    剧透，，，，
4.199          1531382006.0    来了
4.403          1531553094.0    大老师的过场bgm
5.061          1531371796.0    高产
5.17           1531383541.0    要素觉察
6.078          1531363073.0    旅遊區up主不務正業作品(滑稽
6.454          1531566131.0    BGM春物
6.455          1531365635.0    这么喜欢康就让你S·H·I·T个够啊kora！
6.55           1531364694.0    更新啦
6.673          1531368445.0    。。。。。。
7.02           1531755449.0    有生之年系列
7.126          1531501358.0    杰哥不要啊
7.354          1531567033.0    哇瑟
7.379          1531372620.0    橘里橘气
7.478          1531370106.0    呃呃呃额额
7.576          1531564960.0    什么事百万粉丝
7.85           1531548982.0    春物的bgm
8.092          1531386388.0    姑姑物语
8.192          1531735037.0    喵喵喵
8.466          1531564055.0    末班车一波？
8.675          1531383468.0    弹幕呢？
10.891         1531387832.0    bb
10.906         1531384917.0    瞧我发现了什么
11.201         1531378799.0    终于到了
11.939         1531559419.0    失踪人口回归
12.011         1531563955.0    妙啊
12.115         1531392677.0    妙...
12.559         1531368414.0    一点都不害羞了呢
12.927         1531366706.0    ray!ray!ray!
13.778         1531500415.0    还是没忍住进来了
13.871         1531382157.0    喵喵喵
14.334         1531649771.0    吹爆杀天
14.581         1531368151.0    吹爆杀天
14.61          1531370135.0    我ray赛高
14.677         1531374554.0    血小板赛高
14.972         1531386998.0    放假
15.064         1531363517.0    hhh
15.648         1531373582.0    终于产多一点了
16.072         1531557796.0    封面你MB
16.213         1531374769.0    啦
16.435         1531542671.0    可耻的播放量
16.461         1531545379.0    杰哥补药啊
16.881         1531512394.0    杀天！！！zake我爱你！
17.14          1531392627.0    血小板！
17.277         1531535328.0    恭喜全站第一
17.408         1531384719.0    三人娘
17.542         1531367034.0    全站第一
17.799         1531375654.0    闭嘴，ray是zack的
18.952         1531381408.0    林丹哭晕在厕所
19.13          1531390616.0    好久不见
19.305         1531373897.0    血小板我的
20.461         1531370485.0    才十分钟
20.564         1531558957.0    刚刚74万
21.146         1531540344.0    最喜欢这部
21.18          1531367014.0    吹爆
21.733         1531489715.0    rua
22.522         1531372577.0    尤尼克斯赞助
22.596         1531555884.0    ♂
22.828         1531544019.0    重羽杀爆
23.22          1531557407.0    欧派太大不适合运动。。。
23.322         1531385297.0    2790个可以
24.961         1531368165.0    超好看
26.36          1531375500.0    可耻的播放量
26.718         1531369197.0    运动番最期待free第三季
26.87          1531390638.0    这是第一吹
27.331         1531527583.0    233
28.262         1531365629.0    游戏三人娘
28.51          1531374440.0    杀戮天使赛高！
29.061         1531570948.0    同，欧派太大，我院队里的妹子都吐槽了，哪里的羽毛球运动员欧派有这么大的
29.38          1531564243.0    然而第二集真不怎么样
29.84          1531576132.0    怎么感觉看过
30.03          1531364748.0    魔王战勇者2333333
30.061         1531546917.0    轻羽飞扬，7月唯一吹爆动画
