排名：26
网址：https://www.bilibili.com/video/av26605145
更新时间：07-15
弹幕总量：2027
preciseTime    ofTime          comment
0.0            1531524203.0    言彻天下，静守芳华
0.067          1531389231.0    生日快乐
0.134          1531494179.0    言和小天使生快
0.15           1531536917.0    生日快乐
0.161          1531381950.0    此生无悔爱言和，来世愿伴言永生！
0.164          1531379168.0    言和小天使，生日快乐。
0.168          1531387255.0    迟到的生日快乐
0.175          1531379615.0    生日快乐，言和小天使。
0.185          1531381772.0    老婆生日快乐！
0.19           1531387086.0    为我
0.196          1531381717.0    1369位情敌，你们好啊！
0.254          1531385814.0    小天使生日快乐！！！
0.286          1531377493.0    言和生日快乐
0.292          1531386530.0    言和颜色是99FFFF
0.311          1531385698.0    此生无悔爱言和，来世愿伴言永生！
0.34           1531381831.0    为我言For
0.371          1531381635.0    言三爷！！！！！！
0.577          1531463006.0    言和生日快乐(･∀･)
0.642          1531557061.0    这个mv承包了我所有软件的头像~不重复~
0.811          1531392260.0    言和生日快乐
0.816          1531557402.0    不知道我在干嘛，总之一上来我就在疯狂截图
0.827          1531391087.0    言和小天使生日快乐
0.88           1531462998.0    言和生日快乐(･∀･)
0.943          1531385779.0    言出一人歌
1.045          1531643606.0    言和生日快乐！
1.139          1531476842.0    生日快乐(๑•̀ㅂ•́)و✧支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
1.261          1531492778.0    生日快乐🎂
1.271          1531476767.0    言和小天使生日快乐！
1.314          1531572338.0    啊是校友啊！（滑稽）
1.361          1531562817.0    言和生快
1.4            1531457066.0    言出一人歌,歌起萬人和
1.422          1531485223.0    言和，生日快乐！！！！！
1.607          1531457319.0    歌起萬人和
1.637          1531485356.0    言和，生日快乐！！！！！
1.647          1531391984.0    言和生日快乐
1.653          1531493727.0    ！！！
1.657          1531537731.0    言和生日快乐！！
1.721          1531458288.0    言和生日快乐
1.765          1531378113.0    言和生日快乐
1.779          1531531134.0    言和！！！
1.81           1531450345.0    生日快乐
1.818          1531381800.0    维和队助攻+10086！
1.894          1531391529.0    生日快乐
1.9            1531387304.0    言出一人歌，歌起万人和
2.008          1531391567.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
2.156          1531615176.0    诶嘿！这不是我的学校吗？【滑鸡】
2.282          1531382211.0    言和小天使生日快乐！！！
2.285          1531377876.0    言出一人歌，歌起万人和！
2.476          1531489006.0    小天使生日快乐！！
2.486          1531381854.0    言和生日快乐！
2.501          1531381676.0    言出一人歌
2.556          1531483307.0    生日快乐！生日快乐！生日快乐！生日快乐！
2.622          1531387320.0    言出一人歌，歌起万人和
2.632          1531381646.0    阿和生日快乐！
2.646          1531564341.0    言和天使！
2.738          1531382457.0    小天使生日快乐！来晚了，抱歉。
2.767          1531623576.0    言和生日快乐
2.784          1531379951.0    言和生日快乐啊啊！！
2.809          1531380489.0    言和小天使生日快乐！！！！
2.848          1531381025.0    言和生日快乐
2.907          1531392799.0    言和生日快乐
2.99           1531386286.0    言和生日快乐！
3.005          1531381729.0    言和生日快乐!
3.065          1531482852.0    言和生日快乐
3.128          1531480276.0    糟了，是心动的感觉
3.171          1531379046.0    生日快乐，言和小天使
3.245          1531383122.0    小天使生日快乐
3.292          1531377814.0    言出一首歌，歌起万人和
3.333          1531381988.0    愿伴言和永生永世！
3.338          1531449678.0    生日快乐
3.366          1531559396.0    生日快乐
3.37           1531389651.0    小天使生日快乐
3.382          1531381861.0    生日快乐！
3.387          1531385210.0    言和生日快乐
3.411          1531392457.0    言和生快！！！！！
3.484          1531383954.0    ..
3.5            1531390629.0    言和大大生快~
3.512          1531456066.0    生日快乐
3.516          1531381610.0    言出一首歌
3.524          1531541860.0    我绝不会离开你
3.598          1531386543.0    生日快乐！
3.607          1531392255.0    生日快乐言和小天使
3.627          1531608341.0    言和生日快乐
3.646          1531378273.0    言和小天使生快
3.652          1531378197.0    言和生日快乐
3.657          1531620941.0    我不要短暂的温存,只要你一世的陪伴 
3.666          1531566948.0    #00FFCC试色
3.718          1531380799.0    阿和，生快
3.88           1531562254.0    言和和生日快乐
3.959          1531380212.0    言出一人歌
3.97           1531462956.0    言和生日快乐(･∀･)
4.005          1531492689.0    生日快乐！生日快乐！生日快乐！
4.079          1531575588.0    小天使生日快乐！
4.138          1531496914.0    言和!
4.207          1531381751.0    言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和
4.259          1531390395.0    言和小天使生日快乐
4.277          1531389975.0    生日快乐
4.349          1531386472.0    生日快乐
4.363          1531488842.0    生日快乐！
4.387          1531625259.0    言和小天使生日快乐!
4.407          1531566012.0    小天使生日快乐
4.438          1531379779.0    言和生日快乐
4.522          1531527145.0    大长腿生日快乐
4.555          1531450017.0    从天依过来
4.607          1531628504.0    言和生日快乐w
4.637          1531558160.0    生日快乐
4.646          1531379178.0    言和生日快乐
4.659          1531621564.0    言和生快
4.668          1531610051.0    生日快乐
4.672          1531381462.0    生快
4.676          1531451275.0    言和小天使生日快乐！！
4.717          1531380942.0    言出一人歌，歌起万人和
4.763          1531641515.0    言和生日快乐！
4.766          1531489268.0    言和生日快乐！
4.79           1531383251.0    言出一人歌，歌起万人和
4.821          1531485277.0    言和，生日快乐
4.827          1531495358.0    生日快乐
4.864          1531457803.0    生日快乐
4.905          1531523630.0    生日快乐
4.981          1531548596.0    生日快乐
5.022          1531468608.0    言和生日快乐
5.046          1531378811.0    言和生日快乐
5.05           1531381998.0    生日快乐阿和！
5.066          1531380504.0    小天使生日快乐！
5.086          1531461164.0    小天使生日快乐啊！虽然我来晚了
5.139          1531499161.0    言和生日快乐
5.145          1531646152.0    迟来的生快！
5.222          1531646092.0    小天使生日快乐
5.226          1531539915.0    言和小天使~
5.263          1531483616.0    生日快乐
5.283          1531383994.0    言和生日快乐
5.327          1531462837.0    言和小天使生日快乐
5.366          1531494779.0    言和生日快乐！！！！
5.388          1531531059.0    当我看着你我在你的眼里你在我的世界里
5.426          1531388300.0    言和生日快乐
5.427          1531382025.0    言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和
5.467          1531379279.0    生日快乐
5.476          1531384746.0    阿言
5.5            1531380221.0    言和小天使生日快乐！
5.542          1531451525.0    小天使生日快乐
5.569          1531551974.0    生日快樂
5.57           1531614420.0    言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和言和
5.615          1531382353.0    言和小天使生日快乐
5.624          1531645012.0    我好像看到了b市一中。
5.639          1531384284.0    言和生日快乐
5.648          1531456217.0    生日快乐
5.696          1531621519.0    我想将对你的思念 寄予散落的星子 但愿那点点的星光能照进你的窗前 伴你好眠
5.708          1531382199.0    生日快乐
5.723          1531381241.0    言和小天使生日快乐
5.784          1531484169.0    言和和生日快乐！啊啊啊我爱你啊！！！！！
5.785          1531381978.0    言和小天使生日快乐
5.865          1531643622.0    言和小天使生日快乐！
5.867          1531379655.0    小天使生日快乐啊！
5.953          1531495315.0    生日快乐
6.067          1531531359.0    小天使
6.087          1531389688.0    生日快乐
6.125          1531382251.0    言和小天使生日快乐！！！！！！！
6.207          1531387546.0    言和生日快乐
