排名：86
网址：https://www.bilibili.com/video/av26614682
更新时间：07-16
弹幕总量：990
preciseTime    ofTime          comment
0.0            1531381192.0    啊啊啊啊啊
0.116          1531310672.0    第一个弹幕
0.166          1531364871.0    美美美美美
0.252          1531405885.0    生日快乐
0.318          1531493656.0    看见封面就滚进来了
0.521          1531324349.0    生日快乐！
0.624          1531322422.0    生日快乐！
1.056          1531550847.0    生日快乐
1.563          1531338659.0    生日快乐
1.583          1531323355.0    祝生日快乐
1.683          1531310841.0    抱走了
2.061          1531487836.0    喜欢电影的伙伴可以听 CE先生的光影世界~ 推荐哦！
2.074          1531312065.0    是九头身了
2.153          1531360189.0    生日快乐
2.365          1531547767.0    可耻的播放量和弹幕数，你们究竟在干什么
2.588          1531464492.0    ，
2.622          1531438758.0    生日快乐
2.718          1531313955.0    生日快乐
2.969          1531369835.0    往人前来应援！！！
3.161          1531323479.0    生日快乐
3.519          1531317310.0    参见水王
3.737          1531319419.0    终于等到你，只因没放弃
3.838          1531323591.0    生日快乐！
4.081          1531328748.0    生日快乐！
4.137          1531311313.0    生日快乐
4.17           1531320980.0    生日快乐！
4.183          1531488830.0    生日快乐
4.435          1531490114.0    生日快乐
4.517          1531311472.0    生日快乐
4.54           1531488478.0    生日快乐
4.564          1531342191.0    生日快乐
4.923          1531478283.0    6666
5.19           1531314264.0    我知道你有个强大的后期
5.223          1531310846.0    看到我你们已经是200以后了
5.348          1531327291.0    大长腿
5.406          1531314531.0    好好看的哇，趁你们抢楼，我承包最美小仙若
5.444          1531354910.0    生日快乐
5.449          1531402064.0    美美美。。。
5.556          1531468661.0    meimeimei
5.563          1531359327.0    生日快乐
5.579          1531403188.0    生日快乐
5.64           1531321652.0    20号见😘️😘️😘️
5.672          1531493373.0    生日快乐
5.723          1531318598.0    性感啊
5.995          1531320790.0    生日快乐！
6.044          1531315393.0    生日快乐
6.143          1531343447.0    老婆你来啦
6.224          1531315322.0    生日快乐！
6.276          1531405342.0    生日快乐
6.357          1531609281.0    生日快乐！
6.403          1531372769.0    生日快乐
6.483          1531322779.0    哎哟哟
6.502          1531314158.0    生日快乐
6.824          1531653211.0    生日快乐
7.062          1531330120.0    生日快乐!(^O^)y
7.084          1531529418.0    生日快乐
7.285          1531325256.0    生日快乐！！
7.321          1531310970.0    42
7.422          1531316952.0    美腿大王
7.424          1531329192.0    生日快乐！
7.469          1531560442.0    原版av8809401
7.472          1531310857.0    生日快乐
7.703          1531313907.0    生日快乐
7.735          1531312756.0    生日快乐！
8.028          1531311985.0    1
8.043          1531497383.0    生日快乐
8.144          1531320198.0    生日快乐
8.279          1531316252.0    生日快乐！
8.281          1531438553.0    生日快乐
8.363          1531311598.0    生日快乐🎂🎂🎁🎊🎈
8.488          1531468684.0    生日快乐
8.657          1531366487.0    生日快乐
8.663          1531359755.0    生日快乐
8.743          1531318040.0    生日快乐
8.831          1531315080.0    生日快乐
8.843          1531486804.0    生日快乐
8.943          1531318699.0    生日快乐
9.006          1531383747.0    生快
9.123          1531311891.0    生日快乐～
9.604          1531379710.0    生日快乐
9.631          1531315835.0    美美美
9.674          1531311099.0    还是这个鞋子
9.845          1531312016.0    生日快乐
9.892          1531321791.0    生日快乐!🎂🎂🎂🎂🎂🎂🎂🎂🎂🎂🎂🎂🎂🎂🎂🎂生日快乐！
9.899          1531355999.0    生日快乐，我抱走了~
10.041         1531430619.0    7.15
10.088         1531353386.0    生日快乐
10.112         1531330936.0    生日快乐
10.181         1531359521.0    收藏硬币
10.3           1531325358.0    生日快乐
10.342         1531317192.0    生日快乐
10.444         1531325609.0    生日快乐
10.584         1531315354.0    生日快乐！
10.919         1531328253.0    生快🎂
11.144         1531438983.0    生日快乐
11.176         1531415588.0    小仙若，生日快乐
11.21          1531323641.0    哇！大长腿！美爆了！
11.223         1531380077.0    生日快乐
11.301         1531318965.0    生日快乐
11.432         1531316964.0    抱走了
11.446         1531394375.0    生日快乐
11.682         1531357239.0    富婆
11.69          1531449232.0    生日快乐~
11.775         1531321065.0    大长腿
11.857         1531318022.0    生日快乐
12.084         1531446662.0    生日快乐
12.093         1531344452.0    生日快乐
12.235         1531360793.0    生日快乐！
12.305         1531322926.0    生日快乐
12.33          1531324948.0    22是97年？？？
12.404         1531359563.0    生日快乐
12.424         1531311699.0    第一次
12.633         1531441716.0    生日快乐啊
12.663         1531313525.0    生日快乐
12.801         1531467290.0    这一下嘎吉声我以为是他折手的声音
12.809         1531716324.0    啦啦啦啦啦啦啦啦啦啦啦啦啦啦
12.892         1531325728.0    生日快乐
12.902         1531343458.0    我好了
13.054         1531319121.0    超好看的
13.139         1531320249.0    生日快乐
13.187         1531376758.0    这跳的也太随便零八
13.26          1531320147.0    生日快乐
13.273         1531319325.0    生日快乐
13.342         1531725227.0    生日快乐~
13.36          1531323894.0    生日快乐
13.384         1531331242.0    有日吗
13.394         1531490005.0    喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵
13.439         1531471659.0    生日快乐
13.484         1531323857.0    生日快乐
13.596         1531312742.0    prprppr
13.632         1531437827.0    生日快乐！
13.885         1531492046.0    生日快乐
14.343         1531349208.0    生日快乐！
14.364         1531311769.0    又过生日了？
14.444         1531333761.0    生日快乐
14.477         1531323015.0    生日快乐
14.483         1531375954.0    生日快乐！！！！
14.559         1531352514.0    生日快乐
14.57          1531312393.0    生日快乐♚
14.582         1531327474.0    生日快乐
