排名：58
网址：https://www.bilibili.com/video/av26620114
更新时间：07-15
弹幕总量：3040
preciseTime    ofTime          comment
0.0            1531409239.0    ＋
0.083          1531500511.0    凌晨还有2426人啊...
0.667          1531384916.0    看哭了
1.026          1531401707.0    站着把钱挣了！
1.365          1531344316.0    什么ＴＭＤ叫ＴＭＤ惊喜‼︎
1.509          1531331434.0    你看看我都刷出了什么！！
1.59           1531379015.0    你他喵的终于更新了
1.75           1531362916.0    老张可算是回来了
1.879          1531357620.0    啊啊啊来晚了！！！
1.899          1531466344.0    老张回来啦！
2.064          1531571504.0    支付寳搜一下“
2.161          1531371471.0    曹生在否
2.986          1531334270.0    姜文今天下午在浙大紫金小剧场宣传新片
3.12           1531396850.0    ！！！！
3.446          1531367346.0    我发现了什么
3.597          1531381095.0    鬼才
3.721          1531378262.0    邪不压正
4.227          1531363216.0    你是我的爷，我是你的儿！
4.34           1531339815.0    发条张跟木鱼一起看
4.401          1531349839.0    10小时前更新，第一次这么早
4.514          1531365073.0    你可来了
4.7            1531369666.0    来了来了
4.709          1531368823.0    1
4.778          1531380958.0    啊啊啊啊啊，终于讲到文文了！！
5.001          1531395458.0    为姜文强烈打电话
5.091          1531357046.0    你总算来了
5.339          1531503019.0    又没看懂
5.379          1531399096.0    up
5.401          1531496786.0    好久不见
5.888          1531459777.0    40分钟什么鬼
6.042          1531392094.0    进度条感人
6.059          1531380359.0    666
6.76           1531363968.0    大哥大嫂过年好
6.885          1531367614.0    木鱼过来
6.886          1531399817.0    *
7.161          1531392389.0    大哥大嫂过年好！
7.168          1531461066.0    终于呀
7.28           1531367089.0    终于等到你
7.508          1531475627.0    啥⊙∀⊙？
7.765          1531364704.0    鄙人，张麻子！
7.847          1531477300.0    好好好
7.898          1531415003.0    站着把钱挣了
7.921          1531365401.0    投币再看系列
7.936          1531374860.0    失踪人口回归
7.998          1531390583.0    最爱的中国导演
8.0            1531354169.0    江文
8.338          1531449142.0    诸位，马走日在此!
8.42           1531399113.0    up主，
9.179          1531565320.0    姜文的电影看一部少一部，且看且珍惜！
9.212          1531459301.0    我也看成了美女
9.589          1531352208.0    时长惊人
9.612          1531359126.0    支持姜文老师
9.659          1531467714.0    让子弹飞一会
9.86           1531396857.0    我来啦
10.001         1531506360.0    刚看完邪不压正
10.019         1531356251.0    让鬼子飞！！
10.08          1531364186.0    文文文文文文
10.187         1531445476.0    终于更新了
10.64          1531402764.0    失踪人口回归
10.751         1531387115.0    周指活
11.092         1531369976.0    枪在手，跟我走
11.179         1531367225.0    11111
11.199         1531344639.0    老张虎躯一震，再次雄起！壮哉，发条张！打call！
11.349         1531576711.0    刚看完邪不压正
11.459         1531369834.0    高产似母猪
11.609         1531494632.0    那么。彼时彼刻？
11.689         1531407729.0    美女？
11.94          1531399151.0    up主，终于更了，像过年一样开心
12.003         1531356741.0    喜欢姜文
12.28          1531375597.0    什么，他马得，叫他马得惊喜
