排名：19
网址：https://www.bilibili.com/video/av26626289
更新时间：07-15
弹幕总量：2611
preciseTime    ofTime          comment
0.0            1531567651.0    VB
0.018          1531311943.0    island
0.062          1531316436.0    惊了
0.079          1531356241.0    。。
0.218          1531313411.0    抱着夏莲就是一个百米冲刺
0.424          1531464304.0    是什么？是刀光！啊！我....
0.443          1531552131.0    吱付寶搜索7220383，你会回来感谢我的
0.738          1531552535.0    支付寳搜一下“95O6639”，不过你会回来打死我的（滑稽）
1.633          1531320447.0    我TM吹爆ISLAND
1.652          1531316064.0    新番吐槽为什么只有B站的？
1.653          1531544118.0    支付寳搜一下“95O6639”，不过你会回来打死我的（滑稽）
1.901          1531554952.0    吱付寳搜索513421732，真的不用谢我
2.263          1531555871.0    支咐宝首页搜下“86OO14”说了别谢我
2.295          1531570833.0    支付寳搜一下“ 520009272”，不过你会回来打死我的（滑稽）
2.342          1531449990.0    舔完就跑有刺激
2.652          1531352628.0    来了
2.76           1531375522.0    失踪人员回归！
2.918          1531540352.0    火钳刘明
2.939          1531381568.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
2.96           1531645161.0    我来了
3.434          1531375643.0    刚刚开头我还以为是哲学
4.221          1531312099.0    失踪人口回归
4.281          1531325202.0    番名：island
4.303          1531311765.0    截图千万别删了
4.498          1531447464.0    圣光
4.97           1531362541.0    终于更新了！
5.179          1531487247.0    福利
5.312          1531535922.0    陆行鸟bgm可还行
5.4            1531471844.0    天堂你
5.701          1531519452.0    是爱是责任
5.932          1531533588.0    可耻的播放量
5.985          1531326117.0    怎么不说你在天堂
6.61           1531481994.0    66666666666666666666666666666666666
6.706          1531311790.0    第一第一
7.14           1531315812.0    6
7.148          1531489760.0    ...
7.182          1531346042.0    天堂会更新？这一定是广告
7.779          1531356300.0    我来了
7.823          1531311988.0    咦
8.2            1531471886.0    天堂你终…终于更新视频了
8.59           1531312259.0    住口！无耻老贼
8.6            1531325543.0    失踪人口回归
8.951          1531317060.0    一小时前
9.13           1531319414.0    诈尸
9.222          1531314363.0    假装前排
9.237          1531371321.0    你哪位啊，我有点熟悉啊？23333
9.318          1531443167.0    嘿呀
9.34           1531322094.0    哇
10.416         1531487256.0    失踪人口回归
11.029         1531314084.0    求你别奶死的说
12.085         1531315740.0    天堂终于等到你
12.821         1531320296.0    元寇合战记真的好看！
12.908         1531315400.0    我靠你又要奶了！
12.918         1531311790.0    以下是枪毙名单
12.995         1531479260.0    乃子
13.567         1531311757.0    我终于等到你啦
14.022         1531312351.0    住口！
14.161         1531311826.0    住口啊！
14.379         1531313970.0    穷人的微笑
14.748         1531354438.0    我看了
15.136         1531441839.0    孕天堂
15.52          1531452671.0    哦哦哦工作细胞
15.868         1531570572.0    这时候应该放    アクア   这首歌
16.04          1531398846.0    吹爆
16.241         1531527238.0    蓝猫健康特攻队：??？
16.401         1531317254.0    完了，一上来就奶这个
16.522         1531546191.0    咦？你是谁？为什么会投稿？
16.909         1531568462.0    支咐宝首页搜下“86OO14”这么刺激吗
16.936         1531335478.0    老贼住口!
17.003         1531323242.0    3小时前
17.182         1531365230.0    血小板是我的！！！
17.358         1531555887.0    支咐宝首页搜下“86OO14”只能帮你到这了
17.392         1531322102.0    好久不见啊
17.967         1531377688.0    血小板超级萌
18.13          1531363447.0    血小板我老婆
18.361         1531320892.0    血小板我老婆
18.561         1531362898.0    住口！千万别奶
18.582         1531405556.0    血小板
18.616         1531402662.0    ？？？天堂更新了？太神奇了
18.92          1531354606.0    你老婆在你身体里
19.029         1531315264.0    天降女子，了解一下
19.151         1531315575.0    拟终于读对了
19.297         1531448389.0    无耻老贼，血小板都不放过
19.447         1531575892.0    陆行鸟
19.72          1531312022.0    出现了
19.76          1531457358.0    在追
20.593         1531314928.0    你为什么才开始更新
20.896         1531324381.0    这是谁，怎么在我的关注列表里面
20.96          1531419630.0    我听到了ff系列陆行鸟主旋律
21.062         1531389507.0    我FF14挂机还以为是游戏声音。。
21.401         1531318493.0    血小板我的
21.405         1531399776.0    七月是你的肉番
21.907         1531318914.0    住口
22.028         1531547617.0    gaone
22.223         1531312102.0    咦
22.313         1531411415.0    bgmhaoping
22.678         1531411214.0    啊？？你找回密码了？？
