排名：89
网址：https://www.bilibili.com/video/av26637688
更新时间：07-16
弹幕总量：1418
preciseTime    ofTime          comment
0.0            1531554254.0    23333看到标题莫名想起蜜柑星
0.134          1531564644.0    jk
0.15           1531573241.0    生快
0.342          1531658470.0    生日快乐
0.683          1531615965.0    锦依卫参见吃货殿下
1.08           1531593415.0    我就知道会有s**
1.186          1531467971.0    天依生日快乐(๑•̀ㅂ•́)و✧支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
1.272          1531553110.0    天依生日快乐
1.438          1531736340.0    【再次感谢大家对这首歌曲的喜爱】
1.567          1531583577.0    天依生日快乐
1.657          1531496228.0    锦依卫在此！！！天依生日快乐
1.669          1531615238.0    天依生日快乐
1.754          1531562197.0    生日快乐生日快乐生日快乐生日快乐生日快乐生日快乐天依
1.844          1531490060.0    【未完成的乐章】
1.93           1531477742.0    hhhhhhhhhhhhh
1.935          1531736458.0    【UP：大家好，这里是阿良良木健】
2.203          1531572563.0    支付寳搜一下“
2.646          1531637786.0    锦依卫报道
2.797          1531578288.0    天依生日快乐
2.959          1531524782.0    生日快乐
2.985          1531727387.0    建议屏蔽带有生日关键词的弹幕
3.224          1531557851.0    天依生日快乐！
3.226          1531562789.0    生日快乐
3.288          1531490497.0    演唱：洛天依（萌），洛天依（凝）
3.342          1531508453.0    生日快乐
3.646          1531664817.0    生日快乐
3.65           1531578294.0    天依生日快乐
3.992          1531547090.0    天依生日快乐！！！！
4.007          1531522901.0    天依生日快乐
4.248          1531578306.0    天依生日快乐
4.625          1531530228.0    天依生日快乐
4.764          1531468057.0    生日快乐，天依
4.765          1531634984.0    天依生日快乐
4.806          1531579830.0    天依生日快乐呀
4.885          1531488306.0    天依生日快乐
4.887          1531624637.0    天依生日快乐
4.983          1531573789.0    天依生日快乐~
5.004          1531490510.0    作词：袖蓝/阿良良木健
5.042          1531475436.0    天依生日快乐
5.179          1531538851.0    生日快乐
5.576          1531564722.0    哈哈
5.685          1531565111.0    天依生日快乐
5.698          1531577565.0    10w助攻
5.787          1531475414.0    天依生快!
5.896          1531490521.0    调教：OQQ
5.964          1531474166.0    天依生日快乐！
6.198          1531616170.0    生日快乐！
6.462          1531589943.0    ……
6.466          1531577788.0    天依生日快乐
6.475          1531478176.0    天依生日快乐
6.754          1531714017.0    天依生日快乐
6.828          1531475037.0    天依殿下生日快乐！
6.868          1531733321.0    萌萌哒吃货天依生快！
6.915          1531707269.0    传说吧！
6.98           1531580884.0    天依生日快乐!
7.064          1531578319.0    天依生日快乐
7.403          1531611230.0    天依生日快乐
7.516          1531652261.0    天依生日快乐！
7.828          1531616371.0    生日快乐!(^O^)y
7.865          1531534973.0    天依生日快乐啊
7.944          1531481514.0    天依生日快乐
7.952          1531574560.0    生日快乐
7.984          1531675198.0    【MMD：AHK】
8.007          1531490860.0    生日快乐
8.058          1531589788.0    生日快乐
8.106          1531624949.0    天依生日快乐
8.125          1531641185.0    天依生快
8.166          1531654676.0    天依生日快乐
8.36           1531558103.0    生日快乐！
8.383          1531470812.0    天依生日快乐
8.447          1531619447.0    天依生日快乐
8.467          1531676961.0    天依生日快乐
8.506          1531629619.0    天依生日快乐
8.507          1531569864.0    天依生日快乐
8.523          1531620687.0    天依，生日快乐！
8.53           1531566499.0    生日快乐
8.658          1531554397.0    MMD：AHK
8.757          1531534952.0    天依生日快乐
8.78           1531490540.0    策划：夜洺
8.893          1531622577.0    生日快乐
9.104          1531715877.0    生日快乐
9.166          1531636840.0    天依生日快乐
9.244          1531658150.0    天依生日快乐
9.266          1531540388.0    .
9.315          1531530451.0    天依，生日快乐！
9.367          1531588506.0    天依老婆生日快乐
9.396          1531588309.0    生日快乐
9.548          1531486455.0    天依生日快乐！
9.665          1531710511.0    生日快乐
9.705          1531563555.0    天依生日快乐
9.865          1531582866.0    生日快乐
9.88           1531488996.0    天依殿下生日快乐
10.221         1531578335.0    天依生日快乐
10.306         1531569458.0    生日快乐
10.486         1531472630.0    生日快乐
10.554         1531502041.0    天依生日快乐
10.559         1531482708.0    天依生日快乐
10.566         1531529487.0    天依生日快乐
10.605         1531493337.0    天依生日快乐
10.648         1531618532.0    天依生日快乐！
10.665         1531648104.0    天依生日快乐！
10.673         1531604733.0    生日快乐
10.695         1531621736.0    开个玩笑，天依生快
10.733         1531578345.0    天依生日快乐
10.826         1531522920.0    天依生日快乐
11.027         1531584222.0    天依老婆生日快乐↖(^ω^)↗
11.067         1531631024.0    生日快乐！
11.186         1531557779.0    天依生日快乐😊
11.373         1531611664.0    裸天衣帮我
11.493         1531475171.0    生日快乐!
11.547         1531702655.0    天依生日快乐
11.608         1531553811.0    天依生日快乐
11.627         1531671250.0    天依生日快乐
11.662         1531470763.0    天依生日快乐
11.744         1531615227.0    天依生日快乐
11.751         1531487315.0    天依生日快乐
11.88          1531565480.0    我听到了，我开始自残了，啊啊啊
11.92          1531579706.0    生日快乐
11.95          1531578848.0    殿下，生日快乐
12.019         1531479245.0    天依生日快乐！！！
12.076         1531655570.0    生快！
12.087         1531676974.0    天依生日快乐
12.108         1531473680.0    天依生日快乐
12.126         1531631553.0    天依生日快乐
12.144         1531502546.0    播放量七万啦
12.147         1531648585.0    天依生日快乐
12.157         1531569921.0    天依我喜欢你
12.276         1531561964.0    天依生日快乐
12.291         1531537275.0    天依生日快乐啊！
12.327         1531626866.0    天依生日快乐
12.366         1531472188.0    天依生日快乐
12.527         1531730885.0    天依生快
12.605         1531477254.0    天依生日快乐
12.662         1531539671.0    生日快乐
12.665         1531496678.0    生日快乐！我的殿下
12.755         1531575451.0    筋~
12.796         1531558320.0    生日快乐，天依
12.839         1531530878.0    承包天依萌萌哒！
12.845         1531564773.0    天依生快～
12.866         1531484756.0    天依生日快乐
12.944         1531618348.0    嘤~
13.028         1531656329.0    天依生日快乐
13.226         1531476429.0    生日快乐
13.26          1531697002.0    天依生日快乐
13.271         1531665497.0    天依生日快乐
13.286         1531627476.0    天依生日快乐！！
13.325         1531478368.0    天依生日快乐
13.345         1531572642.0    生日快乐
13.365         1531647262.0    天依生日快乐
13.366         1531655469.0    天依生快
13.404         1531611182.0    天依生日快乐
13.421         1531541617.0    天依和各位小伙伴们中午好[洛天依_哈哈哈][洛天依_哈哈哈][洛天依_哈哈哈][洛天依_爱你哦][洛天依_爱你哦][洛天依_爱你哦]
13.422         1531570197.0    生快啊，天依
13.566         1531539630.0    天依生日快乐!
13.58          1531657797.0    生日快乐
13.587         1531649297.0    天依生日快乐
13.871         1531578304.0    生快
13.981         1531707412.0    呵呵
14.09          1531489188.0    天依生日快乐
14.188         1531625689.0    天依生日快乐！
14.255         1531496698.0    生日快乐
14.261         1531490108.0    嘢~~~~~~~~~~~~~~~~~~~~~喔噢~~~~~~~~~~~~~~~~~~~~~~~~
14.309         1531487980.0    天依生快
14.528         1531631665.0    天依生日快乐
14.546         1531477280.0    生日快乐
