排名：34
网址：https://www.bilibili.com/video/av26638018
更新时间：07-15
弹幕总量：1599
preciseTime    ofTime          comment
0.0            1531602498.0    这么快 真的不侵权么？
0.057          1531321483.0    期待已久
0.358          1531340247.0    先投币明天看
0.471          1531353100.0    辛德勒的名单有没有感觉很像
0.765          1531327309.0    领导我就想买假鞋假LV怎么了行行好吧
0.979          1531537391.0    吱付寶搜索7220383，你会回来感谢我的
1.051          1531552122.0    吱付寶搜索7220383，你会回来感谢我的
1.174          1531319624.0    重新定义三分钟
1.196          1531403077.0    辛德勒名单那个，我也觉得很像
1.368          1531480827.0    前排提示请关闭弹幕观看，体验更佳。
1.417          1531633319.0    看过，很不错
1.433          1531499854.0    和《达拉斯买家俱乐部》有点像，都是好电影
1.48           1531453652.0    可算等到木鱼评药神了
1.565          1531319676.0    刚看完回家翻动态就看到木鱼，太棒了！
1.704          1531523089.0    支付寳搜一下“95O6639”，不过你会回来打死我的（滑稽）
1.943          1531538266.0    支付寳搜一下“95O6639”，不过你会回来打死我的（滑稽）
1.983          1531323047.0    终于可以发弹幕了
2.041          1531330239.0    重新定义三分钟
2.071          1531319660.0    很棒很棒
2.225          1531318038.0    +++++++++++
2.365          1531317778.0    从新定义三分钟
2.499          1531319134.0    刚看完来看
2.508          1531320215.0    今天才看完
2.625          1531317290.0    好看
2.735          1531321525.0    3小时前
2.754          1531347078.0    木鱼八分钟
2.806          1531410906.0    十分中肯啊！！
2.995          1531412601.0    哒大大
3.002          1531327332.0    已经二刷
3.18           1531363828.0    昨天还在搜木鱼出这个了没
3.362          1531408777.0    刚看完
3.382          1531316397.0    大鱼鱼
3.438          1531354867.0    游戏制作人、编剧、动画导演
3.44           1531450787.0    本来想看mc结果发现这个第一 就进来了
3.664          1531619221.0    重新定义三分钟
3.695          1531319896.0    终于来了呀啊木
3.74           1531317225.0    昨天晚上去电影院看了！
3.793          1531323796.0    刚看完
3.807          1531326166.0    昨天刚看完
3.94           1531499573.0    最棒的电影院观感体验
3.993          1531325662.0    刚看完很欣慰
4.011          1531316624.0    在线9023
4.049          1531323301.0    来了
4.221          1531317321.0    一小时前！
4.364          1531568620.0    为什么我这么帅都没人赞我，你们这么丑却有人赞
4.42           1531315494.0    等的就是这个
4.559          1531327063.0    我是日思夜想期望木鱼解说这部影片
4.742          1531439768.0    刚看过
4.897          1531647128.0    刚看完过来看
4.917          1531316895.0    哇！！第一次赶早！！！1000以内~~~
5.057          1531359640.0    8分钟影评
5.141          1531314022.0    我生日的时候看的。
5.154          1531383969.0    在现场
5.182          1531316011.0    终于等到你了
5.267          1531390443.0    王传君
5.307          1531361643.0    真香
5.38           1531374682.0    好电影
5.42           1531638897.0    终于答完题了
5.439          1531332111.0    哇，木鱼大大
5.454          1531327976.0    在电影院哭的稀里哗啦的
5.551          1531319104.0    刚看完
5.574          1531587993.0    看了，难受
5.656          1531458947.0    啊？
5.727          1531372667.0    好看
5.738          1531440402.0    还没看呢，就感觉特别好看
5.833          1531322784.0    凉凉
5.849          1531314300.0    来了
5.887          1531570174.0    还真有两把刷子！
5.948          1531331723.0    三分钟影评做了8分钟还可以
5.966          1531317210.0    很感人
5.97           1531377283.0    三分钟?
5.983          1531314678.0    刚看完
6.081          1531323719.0    今天刚好去看了！
6.118          1531320771.0    刚看完这部电影
6.201          1531567272.0    重新定义3分钟
6.282          1531318016.0    刚刚看完电影
6.38           1531645670.0    昨天刚看完
6.582          1531351332.0    终于等到你
6.615          1531322105.0    三小时前，15万
6.626          1531393311.0    终于来了
6.703          1531381061.0    前
6.721          1531319917.0    刚看完
6.779          1531373797.0    8分钟了啊
6.803          1531326911.0    好看
6.88           1531318643.0    刚看完20点档的
7.153          1531320203.0    哇！！！
7.338          1531314309.0    讲真挺好看的
7.61           1531315694.0    BGM换了？
7.682          1531637189.0    刚看完
7.84           1531359809.0    大鱼鱼
7.868          1531390489.0    8分钟影评
7.906          1531322853.0    艾玛……刷到啦～爱你！粗暴的那种
7.941          1531314876.0    赶上了！！！
8.029          1531339374.0    先币为敬
8.068          1531314311.0    这么快做出来了
8.08           1531365995.0    欢迎收看8分钟影评
8.164          1531357826.0    情爸爸
8.183          1531419526.0    哭成狗
8.401          1531370800.0    海外党可以上油管看，看完记得用手机app补票~
8.54           1531323945.0    你和
