排名：27
网址：https://www.bilibili.com/video/av26638232
更新时间：07-15
弹幕总量：1023
preciseTime    ofTime          comment
0.0            1531643186.0    RNG=Ruan Ni Ruai？？？我是不是第一个发现的？？RNG=Ruan Ni Ruai？？？我是不是第一个发现的？？RNG=Ruan Ni Ruai？？？我是不是第一个发现的？？
0.474          1531392970.0    看我刷出了什么好东西
0.518          1531460906.0    哦，瞧瞧我刷出了什么
0.675          1531357619.0    我们总是冠军
0.694          1531395419.0    红字可真酸。。。柠檬人？
0.749          1531398434.0    RNG牛逼！！
0.782          1531397274.0    不好意思不够看
0.801          1531343166.0    ！！！6分10秒高能预警！！！
0.804          1531360710.0    封面是黑暗大法师
0.829          1531557909.0    支咐宝首页搜下“86OO14”稳住别黄了
0.953          1531368661.0    我们是冠军，我们又是冠军，我们总是冠军
1.058          1531467026.0    哈哈哈哈哈标题骚
1.178          1531448112.0    我们总是冠军
1.317          1531604987.0    我们还会是冠军！！！！
1.438          1531616631.0    封面搞事....
1.623          1531558925.0    吱付寳搜索513421732，真的不用谢我
1.725          1531390817.0    明人不说暗话，有点短
1.796          1531372508.0    看我刷到什么宝贝
1.837          1531387693.0    4:15高能
1.855          1531559808.0    神后期系列
1.969          1531470516.0    厉害
2.021          1531548989.0    这个封面。。。。。。
2.178          1531359122.0    大宝贝来了
2.215          1531449560.0    来了来了 大宝贝
2.357          1531353500.0    瞧我刷到了什么宝贝
2.473          1531559197.0    支付寳搜一下“95O6639”，不过你会回来打死我的（滑稽）
2.818          1531411081.0    有哪位勇士敢去皮城警备这个孤儿区～？
2.918          1531622362.0    我们是冠军
3.076          1531364073.0    be被封印的黑暗大法师
3.174          1531384915.0    我们总是冠军
3.299          1531370487.0    哈哈哈 终于更新了
3.313          1531473938.0    你把皇话给我交了
3.457          1531405648.0    我们又是冠军！
3.458          1531358064.0    我们又是冠军！我们总是冠军！
3.497          1531590455.0    五老埃
3.515          1531383733.0    我们是冠军🏆
3.537          1531347001.0    刷出个大宝贝
3.666          1531351803.0    看我翻到了什么大宝贝。
3.717          1531408875.0    就差  我们是总冠军   了
3.778          1531390378.0    终于来了！
3.801          1531397251.0    我们！是冠军！
3.812          1531392712.0    来了来了
3.942          1531485557.0    封面黑暗大法师
4.117          1531360894.0    看我刷出了什么大宝贝。
4.283          1531629714.0    特意来看uzi的问号🤣🤣🤣
4.297          1531460871.0    这是大法师吧游戏王的
4.317          1531395688.0    *
4.341          1531358438.0    oh
4.359          1531626384.0    封面好评
4.46           1531364753.0    我们只能是冠军
4.498          1531367106.0    rw：蛤？
4.516          1531552654.0    黑暗大法师好评
4.624          1531560070.0    我逃不出去了！RNG！RW！牛逼LPL牛逼
4.643          1531361316.0    来了来了
4.676          1531395184.0    看我刷到了什么😊
4.777          1531388919.0    来了来了
4.781          1531368938.0    终于等到你！
4.88           1531382356.0    等你
4.939          1531396704.0    看看我刷到了什么
5.13           1531404560.0    看我刷到了什么
5.316          1531626553.0    催更
5.356          1531364991.0    royal never giveup
5.392          1531376955.0    等了好久啦宝贝们
5.637          1531412077.0    深夜福利！
5.698          1531356740.0    RNG牛逼
5.855          1531404691.0    累了累了
5.917          1531366666.0    关闭弹幕，效果更佳
5.978          1531619030.0    成了铁汁
5.981          1531382796.0    我们是冠军
6.076          1531348187.0    我们是
6.115          1531465933.0    RNG
6.116          1531378831.0    我们是冠军!
6.131          1531554570.0    求求你们拍电影吧
6.163          1531557914.0    支咐宝首页搜下“86OO14”说了别谢我
6.196          1531557148.0    嘻嘻嘻
6.316          1531351336.0    我们是冠军
6.327          1531492738.0    哇(⊙o⊙)哇
6.437          1531358015.0    这是什么
6.556          1531350063.0    我们是冠军
6.982          1531403328.0    看看我刷到了什么
7.017          1531404104.0    冠军
7.02           1531342808.0    克罗地亚进决赛啦！！！！
7.038          1531478372.0    还好还好哈
7.076          1531342233.0    我们是冠军
7.161          1531399816.0    坐下坐下
7.166          1531350407.0    我们是冠军
7.2            1531396012.0    哈哈哈
7.294          1531434228.0    我们是冠军 🏆我们总是冠军
7.376          1531368091.0    终于等到你
7.396          1531484763.0    封面黑暗大法师
7.4            1531354860.0    19.9万
7.417          1531370229.0    royalnevergiveup！！！
7.477          1531365973.0    我们总是冠军
7.478          1531370482.0    冠军！
7.516          1531403784.0    我们只能是冠军了
7.796          1531371180.0    来了来了
7.798          1531388305.0    来了！！！！
7.975          1531573581.0    你说什么
8.049          1531545431.0    看看我这个幸运儿刷出了什么
8.116          1531372308.0    jj
8.21           1531397280.0    RNG
8.289          1531335678.0    刷到了
8.477          1531366680.0    关闭弹幕，效果更佳
8.678          1531355441.0    我们是冠军
8.722          1531381959.0    牛皮
8.789          1531368029.0    来了来了~~~哈哈哈哈
8.806          1531351717.0    我们又是冠军
8.857          1531370235.0    痛失亚军
9.257          1531405322.0    嘿嘿
9.335          1531570959.0    支付寳搜一下“ 520009272”，不过你会回来打死我的（滑稽）
