排名：52
网址：https://www.bilibili.com/video/av26646048
更新时间：07-18
弹幕总量：914
preciseTime    ofTime          comment
0.0            1531746416.0    我有血小板过敏症，一流血就会死(´；ω；`)
0.166          1531561664.0    我的天
0.29           1531557343.0    放心血小板我老婆
0.339          1531548904.0    欢迎回来
0.402          1531546056.0    有点骚～有点骚～
0.465          1531837417.0    可耻的播放量
0.472          1531572990.0    吱付寶搜索7220383，你会回来感谢我的
0.509          1531573553.0    可耻的播放量
0.575          1531526181.0    1.5新世界
0.582          1531665270.0    萌新路过
0.762          1531576615.0    嘿咻嘿咻拔萝卜～拔萝卜，拔萝卜^O^
0.806          1531524285.0    医生：这就是你脑血栓的理由吗？
1.056          1531577514.0    一天看十遍
1.107          1531535528.0    这到底是个什么梗
1.223          1531526163.0    1.5新世界
1.264          1531559091.0    底部弹幕有点素质？
1.284          1531682225.0    6669
1.506          1531876679.0    你的血小板(๑•̀ㅂ•́)و✧打开支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
1.587          1531724226.0    支付寳搜一下“
1.709          1531714571.0    支付寳搜一下“
1.756          1531744056.0    支付寳搜一下“
1.917          1531528750.0    这可耻的播放量
2.11           1531838113.0    是那个女人！
2.255          1531565821.0    666
2.472          1531790163.0    想看更多精彩搞笑视频加我微信a13683053136
2.772          1531748155.0    这可耻的播放量
2.79           1531528803.0    哺乳动物血液中的有形成分之一？？？
2.823          1531552321.0    这是什么番
2.84           1531546226.0    血小板给你们我只要我的白血球
3.23           1531891830.0    可耻的播放量
3.232          1531650795.0    人才
3.287          1531559787.0    。。。。。
3.364          1531660888.0    啊啊啊啊啊啊啊啊啊啊
3.491          1531670363.0    没有darling的第一周
3.583          1531541880.0    ?
4.083          1531553755.0    血小板我的，耶稣来了也没用，我说的
4.272          1531801544.0    血管得不到就改天吧
4.603          1531802116.0    可耻的播放量
4.691          1531621758.0    我从未见过如此厚颜无耻之人(´இ皿இ｀)
4.82           1531527583.0    66666
5.334          1531554245.0    哈哈哈
5.56           1531665138.0    ⎛⎝≥⏝⏝≤⎠⎞    ⎛⎝≥⏝⏝≤⎠⎞
5.903          1531555308.0    血小板当然是你们自己的呀，你没血小板?
6.105          1531554180.0    血小板
6.255          1531555727.0    🐮🍺
6.312          1531587483.0    人参狱友？
6.571          1531829358.0    ⎛⎝≥⏝⏝≤⎠⎞    ⎛⎝≥⏝⏝≤⎠⎞
6.901          1531543580.0    可耻的播放量
7.044          1531599495.0    萌出血来
8.105          1531553052.0    拔剑吧
8.401          1531561966.0    (๑•ั็ω•็ั๑)
8.423          1531680065.0    是恋爱的感觉
8.623          1531528683.0    说吧砍手还是剁吊
9.43           1531524686.0    23333
9.874          1531646083.0    每人都有大家不要抢
10.013         1531611026.0    可耻的播放量
10.084         1531813566.0    这是什么番？
10.116         1531524825.0    抠你**~~
10.131         1531806098.0    ↓右边第三个羞羞了
10.191         1531809885.0    扣♂你菊花
10.323         1531810277.0    承包红细胞
10.425         1531567251.0    血小板我抱走一个，都别抢
10.508         1531546568.0    扣你鸡娃
10.805         1531537123.0    扣你菊花
10.939         1531562541.0    拔刀拔刀
11.113         1531561845.0    可耻的播放量
11.14          1531558362.0    扣你菊花😂😂
11.784         1531526681.0    我不自觉地把自己流出来的血舔了一口
12.014         1531531853.0    好可爱
12.124         1531801286.0    求番名
12.126         1531528646.0    我爱血小板
12.159         1531533889.0    有一个血小板声音好御姐啊
12.215         1531548011.0    扣你鸡娃
12.382         1531703852.0    那是白细胞吧
12.515         1531545846.0    扣你鸡哇
12.562         1531560062.0    23333
12.763         1531555839.0    我的血小板那么可爱吗ớ
12.94          1531706582.0    于是我血栓
12.988         1531803493.0    萌翻了
13.052         1531560711.0    扣你菊花
13.124         1531555710.0    扣你菊花
13.157         1531565041.0    你们想看自己的老婆的话就在自己的手臂上割个口子就可以了（滑稽）
13.367         1531648819.0    扣你鸡哇
13.39          1531525506.0    肥宅們醒醒，你們的血小板最多隻是這樣↓↓↓↓↓
13.506         1531652051.0    扣你鸡娃
13.562         1531558433.0    好可爱
13.585         1531542791.0    白细胞的声音好像是...木山春生？？？
13.827         1531797876.0    扣你鸡哇
13.866         1531567595.0    扣你菊花~
14.284         1531624416.0    投币了
14.803         1531523072.0    上下左右上下
14.824         1531557775.0    233333
15.044         1531546302.0    抠你菊花~
15.468         1531726777.0    死宅细胞
15.615         1531843494.0    原来你们没有血小板，那我就不参与这场战争了
15.724         1531804855.0    血小板是细胞生的孩子
15.859         1531576104.0    這世界病了
15.89          1531524355.0    骗我放血
15.99          1531640485.0    木山春生别走！
16.017         1531552058.0    电脑可以2.0倍速
16.291         1531547692.0    血细胞分三种，血小板，红细胞，白细胞
16.303         1531734259.0    ↑↓↑↓←→←→←→↑
16.452         1531650507.0    すいません
