排名：62
网址：https://www.bilibili.com/video/av26649139
更新时间：07-15
弹幕总量：681
preciseTime    ofTime          comment
0.229          1531514121.0    看我神威无坚不摧
0.447          1531631922.0    上香
0.459          1531620433.0    假的，赘肉太多被医生劝减肥
0.741          1531570849.0    先有PDD后有天，反向抽烟曰神仙
1.061          1531634106.0    看我神威无坚不摧，看我神威无坚不摧，看我神威无坚不摧，看我神威无坚不摧，看我神威无坚不摧，看我神威无坚不摧
1.079          1531625705.0    对面出动一个师的兵力来干我我依旧毫发无损还会怕你一个区区肝癌
1.101          1531610551.0    当红字不存在吧
1.344          1531581849.0    看我神威无坚不摧
1.436          1531583131.0    看我神威，无坚不摧
1.624          1531621579.0    看我神威 无坚不摧
1.766          1531564321.0    看我神威无坚不摧
1.871          1531595038.0    看我神威，无坚不摧
1.999          1531639416.0    乾坤入体 五毒不侵
2.275          1531566970.0    只要嫖老师不嫖就一定能好
2.565          1531575015.0    看我神威，无坚不摧！
2.71           1531557175.0    节奏狗，举报了
2.915          1531521652.0    看我神威!无坚不摧!
3.045          1531588084.0    看我神威无坚不摧
3.046          1531645680.0    看我神威无坚不摧
3.555          1531581897.0    看我神威，无坚不摧
3.564          1531586151.0    看我神威，无坚不摧
3.651          1531519018.0    看我神威，无坚不摧
3.664          1531630263.0    说句实话，我医生朋友跟我说原发性肝癌死亡率极高，悼念
3.811          1531636766.0    日本人民哟！
4.323          1531565823.0    骚猪加油!你依然是那个全联盟最骚的骚猪!
4.343          1531586189.0    加油！加油！加油！
4.463          1531639733.0    看我神威无坚不摧！看我神威无坚不摧！看我神威无坚不摧！看我神威无坚不摧！看我神威无坚不摧！看我神威无坚不摧！看我神威无坚不摧！看我神威无坚不摧！看我神威无坚不摧！看我神威无坚不摧！看我神威无坚不摧！
4.681          1531580109.0    肝不好?
4.76           1531551808.0    看我神威
4.941          1531559858.0    命不久矣
5.044          1531623952.0    放nm屁，良性肿瘤你妹肝癌，不要瞎传，懂？
5.822          1531624062.0    原发性肝癌的意思就是恶性的，请用原发性肿瘤一词代替。
6.153          1531619974.0    看我神威，无坚不摧！
6.618          1531634861.0    看我神威，无坚不摧!
6.625          1531617303.0    真的假的？
6.896          1531570710.0    看我神威！无坚不摧！
6.96           1531630153.0    肝癌还有良性的么，良性的是肿瘤，不是癌吧
7.006          1531574396.0    看我神威，无坚不摧
7.085          1531636711.0    祝早日极乐
7.607          1531628134.0    看我神威，无坚不摧
7.856          1531630408.0    补充一下我说的，原发性肝癌的意思是由肝脏本身的细胞病变引起的癌症
7.988          1531520786.0    看我神威，无坚不摧！
8.057          1531519241.0    看我神威
8.087          1531559543.0    看我神威无坚不摧
8.163          1531579752.0    良性肿瘤
8.892          1531630550.0    在现场
8.961          1531564673.0    坚持住嫖老师
9.143          1531575640.0    pdd加油
9.263          1531623960.0    看我神威无坚不摧
9.894          1531640642.0    看我神威，无坚不摧
10.26          1531562154.0    看我神威，无坚不摧
10.402         1531587252.0    胖弟弟活下去
10.425         1531616981.0    看我神威，无坚不摧
10.518         1531639339.0    看我神威 无坚不摧
10.704         1531605569.0    看我神威，无坚不摧
11.164         1531552247.0    大家好~我是
11.22          1531578095.0    看我神威！无坚不摧！
11.286         1531520720.0    看我神威，无坚不摧！
11.447         1531568063.0    恶灵退散
11.662         1531590638.0    嫖老师加油不会有事的别慌
11.739         1531643832.0    看我神威，无坚不摧！
11.861         1531518643.0    看我神威无坚不摧
11.911         1531622329.0    看我神威，无坚不摧
11.932         1531643594.0    九阳纯金之体 五毒不侵 邪魔退散！
12.328         1531634459.0    身体才是最重要
12.398         1531581486.0    看我神威，无坚不摧
12.792         1531582922.0    加油骚猪
12.935         1531612506.0    看我神威，无坚不摧
13.044         1531578611.0    看我神威，无坚不摧
13.374         1531561404.0    看我神威
13.605         1531583282.0    骚猪坚持住
13.635         1531588427.0    肾不好？
13.698         1531578136.0    九阳纯金之体！
13.769         1531586843.0    嫖老师加油！
13.978         1531575188.0    一路走好
14.047         1531578576.0    福建烤老鼠
14.144         1531631838.0    看我神威，无坚不摧
14.365         1531577958.0    加油
14.451         1531626069.0    造谣司马
14.719         1531521415.0    看我神威
14.766         1531632837.0    看我神威，无坚不摧！
14.791         1531592368.0    看我神威，无坚不摧！
14.954         1531626693.0    早日康复
15.263         1531523916.0    九阳纯金之体
15.527         1531630557.0    在现场
15.606         1531629951.0    看我神威，无坚不摧
15.713         1531585917.0    看我神威，无坚不摧
15.816         1531633574.0    怕不是倒抽香烟抽的
15.862         1531579580.0    吸烟有害
15.924         1531640751.0    看我神威无坚不摧
16.066         1531583704.0    无毒不侵！
16.241         1531596977.0    肥猪早就该患了
16.277         1531575377.0    wtf
16.439         1531636393.0    看我九阳金身
16.55          1531518460.0    看我神威，无坚不摧
16.555         1531566070.0    造谣，已辟谣
16.625         1531577616.0    看我神威  无坚不摧
16.859         1531642068.0    希望病魔早日战胜PDD
16.904         1531569671.0    元阳入体，法力无边
17.071         1531562234.0    看我神威，无坚不摧
17.266         1531569472.0    看我神威，无坚不摧
17.285         1531522217.0    看我神威，无坚不摧！
17.298         1531575406.0    猪头不会死
17.472         1531637247.0    看我神威 无坚不摧
17.503         1531617314.0    不 你骗我
17.525         1531520797.0    癌就没有什么良性恶性，全是恶性。肿瘤才分良性恶性，恶性肿瘤就是癌。
17.924         1531568947.0    看我神威，无坚不摧。
18.066         1531620142.0    看我神威，无坚不摧
18.133         1531582931.0    少抽点烟
18.264         1531621368.0    看我神威，无坚不摧
18.388         1531562428.0    邪魔退散
18.421         1531516608.0    唉，不是叫你们少熬夜吗…
18.606         1531571912.0    太猥琐了，以后要不要糟践自己了
18.639         1531562071.0    邪魔退散
18.784         1531586780.0    看我神威无坚不摧！
18.809         1531574874.0    肥宅活该
18.812         1531645754.0    没事，嫖老师有九阳纯金之体
18.874         1531627837.0    不信不信
19.282         1531624600.0    一路走好
19.623         1531580363.0    看我神威，无坚不摧
19.671         1531626022.0    九阳纯金之体
19.683         1531523937.0    化缘神功，邪魔退散
19.783         1531567893.0    卧槽
19.984         1531555902.0    看完
20.181         1531637696.0    骚猪要挂了？八卡拉!
20.245         1531627803.0    五毒不侵
20.644         1531647224.0    看我神威，无坚不摧
20.692         1531579228.0    看我神威，无坚不摧
21.263         1531556491.0    加油加油加油！
21.282         1531521280.0    马符咒
21.565         1531556400.0    姜吃多了吗？。。。。
21.664         1531638043.0    看我神威，无坚不摧
22.288         1531640404.0    元阳入体，五毒不侵
22.347         1531577091.0    猪肝没了
22.4           1531614750.0    病魔退散
22.407         1531638046.0    我
22.85          1531632176.0    看我神威，无坚不摧。看我神威，无坚不摧。看我神威，无坚不摧。看我神威，无坚不摧。看我神威，无坚不摧。看我神威，无坚不摧。
22.994         1531636595.0    看我神威，无坚不摧！
23.305         1531555922.0    看我神威，无坚不摧
23.324         1531625970.0    祝嫖老师早日康复
23.803         1531642326.0    别吸烟了
23.885         1531647004.0    我是英雄联盟最骚的骚猪
24.189         1531637922.0    吃烟喝酒多了
24.244         1531554743.0    看我神威
24.264         1531521517.0    666666
24.545         1531613200.0    看我神威，无坚不摧
24.849         1531550051.0    难怪做公益
25.304         1531581309.0    嫖老师无毒不侵九阳纯金之体，没问题的！
25.688         1531612142.0    好
25.774         1531572308.0    肥宅有女朋友
25.968         1531573557.0    看我神威无坚不摧
25.974         1531614859.0    举报了这分明就是遥言嫖老师都在微博说了
26.029         1531572453.0    pdd反向抽烟，日神仙
26.044         1531578052.0    看我神威，无坚不摧！
26.084         1531584310.0    福建烤老鼠，邪魔退散
26.199         1531578167.0    天地山青
26.325         1531558986.0    看我神威，无坚不摧f
26.746         1531630292.0    看我神威 无坚不摧
26.752         1531569596.0    嫖老师加油
26.846         1531574197.0    骚也能骚出病啊！以后我可不能骚了！啧啧……
26.929         1531615807.0    大哥加油＾０＾~
26.985         1531573672.0    天地无极，元阳入体
27.479         1531578173.0    道法无常
27.725         1531628716.0    👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
27.778         1531559881.0    烧纸
28.008         1531635022.0    祝安好
28.099         1531562104.0    看我神威无坚不摧
28.353         1531515182.0    良性那叫瘤而已，割了吧，该减肥但是真的
28.444         1531587271.0    化缘神功，邪魔退散!
28.636         1531632375.0    看我神威无坚不摧
29.058         1531578179.0    天地无极
29.478         1531592698.0    看我神威无坚不摧。
29.511         1531641960.0    一定要好起来 还有那么多的五三和手机等着你送呢，风里雨里 熊猫等你
29.837         1531587465.0    看我神威，无坚不摧，加油，所有人
29.993         1531554629.0    看我神威
30.206         1531628149.0    看我神威，无坚不摧
30.74          1531570940.0    你可是九阳纯金之体
30.852         1531559717.0    看我神威，无坚不摧
31.073         1531620146.0    九阳纯金之体
31.327         1531574359.0    可能是脂肪肝
31.366         1531517479.0    九阳纯金之体
31.809         1531516920.0    福建烤老鼠
32.032         1531583980.0    看我神威，无坚不摧
32.283         1531569487.0    无坚不摧
