排名：55
网址：https://www.bilibili.com/video/av26654015
更新时间：07-15
弹幕总量：1069
preciseTime    ofTime          comment
0.0            1531450746.0    大家好，我是郭嘴
0.241          1531458467.0    正片空降6分30
0.44           1531552756.0    夏壕我是过对
0.489          1531547870.0    大家好我是郭锥
3.157          1531454893.0    今年没看球赛。😂😂😂
3.412          1531552556.0    郭锥
3.994          1531448966.0    打扰了
4.139          1531586385.0    蓝绿大厂
4.148          1531419478.0    哈哈哈哈哈哈
4.596          1531497382.0    好好好
4.864          1531418658.0    俄罗涩
4.983          1531448187.0    刚刚
5.058          1531619313.0    大家好，我是蒙牛！
6.156          1531462905.0    老郭
6.422          1531538632.0    蛇皮的波尔
6.8            1531493592.0    列宁格勒
7.379          1531448982.0    青岛人在此，海信万岁
7.489          1531449330.0    有很多蛮牛
7.553          1531549019.0    这个不辣
7.564          1531567982.0    省皮特堡
8.219          1531436534.0    卡在了奇怪的地方
8.38           1531574350.0    俄罗瑟
8.659          1531450696.0    我现在也在 求偶遇
9.898          1531448975.0    6
10.028         1531562099.0    蒙牛
10.344         1531457863.0    bilibili
10.802         1531529710.0    我弹幕坏了？
10.993         1531498691.0    卖牛卖给全世界？那还真给我们中国人面子
11.717         1531582359.0    我说英语单词不会说用中文代替，没想到老外完全相反~
11.739         1531453585.0    就是没有中国球队
12.128         1531478218.0    打水印了！！！！
12.288         1531564825.0    万达 蒙牛
12.684         1531493469.0    这个不辣
12.821         1531558954.0    比如，蒙牛。
12.86          1531536536.0    饿螺丝
13.101         1531556230.0    郭锥
13.951         1531529367.0    蒙牛是卖牛的
14.399         1531647079.0    自然力量，天生要强
15.066         1531541019.0    郭杰瑞真有钱啊
15.509         1531586412.0    蓝绿大厂丢中国的脸
15.942         1531478328.0    克罗地亚赢了
16.043         1531441245.0    海星，弯的，威武
17.148         1531583357.0    帧数舒服啊
17.457         1531552831.0    你认识卷福，王健林和沈炜
17.58          1531458046.0    然而还是进不了世界杯
17.616         1531539361.0    有点像王自健
18.443         1531629350.0    我里奥 梅西，我。。。。。。
18.549         1531643114.0    上海闪匡
19.971         1531573652.0    海星
20.081         1531548921.0    蒙牛
20.292         1531543314.0    哔哩哔哩
20.77          1531634718.0    敲钟牛
22.035         1531489167.0    雅迪和蒙牛啊！
22.44          1531529613.0    vivo手机你值得拥有
23.028         1531577187.0    van♂大
23.74          1531566342.0    老郭够了来个煎饼果子压压惊
24.14          1531420391.0    慌得一批
24.159         1531455918.0    懵牛🐮
24.688         1531582096.0    还应该卖牛，哈哈哈人家卖牛奶的
24.689         1531490523.0    这个不辣
24.779         1531450339.0    我是里奥梅西，我。。。
25.311         1531544097.0    凉凉
25.419         1531457849.0    VIVO念的最好😂😂😂
25.63          1531575121.0    我是梅西，我现在慌得一匹
25.856         1531450174.0    猛牛22333
25.976         1531580653.0    正规军惨败，人民群众积极参与
26.101         1531621613.0    为我的手机骄傲哈哈哈哈哈哈
26.133         1531456575.0    懵牛
26.273         1531491216.0    我是里奥梅西，我..
26.3           1531485799.0    乳制品。。。卖牛还行
26.693         1531510114.0    表白杰瑞！！！爱你~~
26.712         1531443728.0    蒙牛卖牛！？
27.24          1531644850.0    卖牛厉害了
27.44          1531506490.0    红牛！！！？
27.6           1531552857.0    我是梅西，我现在慌得……
27.637         1531536154.0    很多很多蒙牛
27.682         1531611688.0    卖牛哈哈哈哈哈哈哈哈哈哈
27.82          1531552405.0    卖牛？
28.245         1531462957.0    懵牛
28.401         1531578318.0    卖牛233333。。。
28.461         1531536160.0    鼻涕在哪鼻涕？
28.475         1531635259.0    彼得格勒
28.521         1531534516.0    蒙牛在我床上很多很多蒙牛
28.842         1531584705.0    我里奥梅西，我现在....
28.86          1531626616.0    哈哈哈哈哈哈哈哈
29.013         1531457616.0    格列宁
29.075         1531554582.0    蒙牛哈哈哈哈哈梅西
29.076         1531499001.0    卖牛是什么意思哈哈哈
29.098         1531448672.0    蒙牛，卖牛，很讲究
29.14          1531463499.0    卖牛？？？
29.241         1531595374.0    哈哈哈哈哈哈哈，蒙牛卖牛的
29.408         1531536172.0    我不要柳丁脚踏车
29.432         1531466166.0    哈哈哈
29.46          1531506540.0    哦，对了红牛是泰国的。。。不是我们的大小中国人发明的
