排名：60
网址：https://www.bilibili.com/video/av26654329
更新时间：07-15
弹幕总量：529
preciseTime    ofTime          comment
0.08           1531589345.0    他们一定会觉得我作弊了
0.295          1531489526.0    欢迎收看巍澜家庭连续剧第四集
0.423          1531489515.0    欢迎收看巍澜家庭连续剧第四集
0.526          1531489457.0    欢迎收看巍澜家庭连续剧第四集
0.547          1531489449.0    欢迎收看巍澜家庭连续剧第四集
0.569          1531489428.0    欢迎收看巍澜家庭连续剧第四集
0.59           1531489436.0    欢迎收看巍澜家庭连续剧第四集
0.61           1531559204.0    支咐宝首页搜下“86OO14”你听我解释
0.649          1531489394.0    欢迎收看巍澜家庭连续剧第四集
0.798          1531528299.0    欢迎收看巍澜家庭连续剧第四集
0.867          1531489411.0    欢迎收看巍澜家庭连续剧第四集
0.889          1531489402.0    欢迎收看巍澜家庭连续剧第四集
1.201          1531460493.0    欢迎收看up主巍澜家庭系列电视连续剧第4集
1.877          1531336187.0    刚从上一集过来的2333
2.061          1531336969.0    第一♡
3.039          1531454891.0    太优秀了
3.5            1531563381.0    都是腰椎间盘，为什么up你辣么突出
4.139          1531486453.0    又来了
4.539          1531481848.0    去找了前三集发现全都看过了，哇哦
4.668          1531388486.0    欢迎大家继续收看家庭连续剧第四集
4.731          1531391324.0    出不去了
5.479          1531348094.0    上一集过来的加一
7.521          1531545785.0    欢迎收看家庭连续剧第四集
8.26           1531393355.0    哇这个bgm真的是，我一生所爱啊
8.404          1531339466.0    如果你看到我，你就是33往后了
8.468          1531371191.0    优秀
8.761          1531445835.0    我来啦
8.986          1531485034.0    哈哈哈大型连续剧
9.387          1531369257.0    哈哈哈啊哈哈哈up主不能更优秀
9.512          1531364760.0    来报道哈哈哈哈
9.579          1531481790.0    第四集？那我先去找前三集
9.581          1531353224.0    我来了
9.789          1531541126.0    阿婆主你这突出的腰间盘
9.961          1531630665.0    bgm我们学校下课铃
10.121         1531366344.0    bgm好评
10.201         1531460531.0    腰间盘你咋这么突出
10.636         1531385896.0    不许替他求情
10.962         1531620599.0    这个系列太好看了哈哈哈
11.401         1531542341.0    up主太优秀了
11.81          1531451601.0    不知道居老师会不会看到这个视频
12.373         1531629293.0    哇！过亚弥乃！
12.515         1531373137.0    上一集在哪里？
13.02          1531450326.0    !
13.073         1531446697.0    出不去加一
13.141         1531554876.0    哈哈哈
13.46          1531418943.0    2刷了，马得还让不让人睡了
13.734         1531489745.0    上一集看up的其他视频
14.683         1531361490.0    啊啊啊up好棒~
15.001         1531563381.0    笑死我了这个连续剧请继续
15.143         1531494230.0    第四集了？
15.718         1531381122.0    前|
15.741         1531351316.0    打卡
17.471         1531593571.0    男科？
17.95          1531447986.0    hhhh
18.992         1531459658.0    我赌五包辣条大庆看过
19.82          1531459493.0    真当宇叔和居老师不上B站系列
19.962         1531402135.0    up主太厉害了！
20.104         1531360719.0    从上集过来哈哈哈
20.828         1531368507.0    一直对勤快这个台词有点纠结，难不成以前不勤快
21.28          1531368517.0    一家三口
21.447         1531369080.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈
21.54          1531389286.0    诶呀，这集我刚看
22.854         1531371883.0    哈哈
24.87          1531380237.0    优秀
25.921         1531451662.0    李茜的故事哈哈哈哈哈哈哈哈哈哈长生晷
26.386         1531387250.0    预计会火
29.766         1531410305.0    这才发现刚开始沈美人就叫“我们“了
30.632         1531570503.0    第二集最好看
31.722         1531582889.0    真的是
32.167         1531458501.0    这是王岳伦吗？
32.483         1531560274.0    火钳刘明
34.837         1531434121.0    突然想笑哈哈哈
37.829         1531365782.0    自己的崽能不心疼吗
38.433         1531451564.0    哈哈哈
39.168         1531373087.0    这个病装的优秀啊
39.698         1531458924.0    哈哈哈哈哈哈
40.055         1531453905.0    233333
40.299         1531459714.0    哈哈哈哈哈哈哈哈哈哈哈
40.585         1531549789.0    O(∩_∩)O哈哈~
40.745         1531365454.0    人才啊
40.776         1531590724.0    妈妈心疼了
40.839         1531391444.0    哈哈啊哈哈哈，原谅我笑出了声
41.021         1531378096.0    解释的太优秀了up主
44.121         1531363640.0    同样是九年义务教育，up主怎可以那么优秀
44.308         1531350962.0    up加油 
44.5           1531367062.0    哈哈哈哈哈哈哈哈哈哈哈哈
45.259         1531501529.0    哈哈哈
45.351         1531448411.0    哈哈哈哈
45.489         1531365773.0    哈哈哈哈哈哈哈，羡慕大庆
46.557         1531448614.0    哈哈哈哈哈哈
46.839         1531349919.0    66666
47.786         1531379683.0    再看一遍，啊！舍不得停下来啊！
48.601         1531484644.0    哈哈哈哈哈哈(ಡωಡ)hiahiahia 
48.62          1531373128.0    你咋那么优秀up主
48.628         1531391022.0    卧槽看剧的时候都没发现这个对视
48.84          1531377679.0    啊啊啊啊啊啊啊啊太棒了
49.241         1531459496.0    哈哈，这个可以说很搞笑了，完全停不下来
49.419         1531500390.0    虎妈猫爸？
