排名：95
网址：https://www.bilibili.com/video/av26654667
更新时间：07-15
弹幕总量：585
preciseTime    ofTime          comment
0.25           1531469916.0    这里是厦门鼓浪屿不谢，旁边就是张三疯奶茶
0.335          1531481354.0    汉服在2.25哦
0.337          1531465347.0    正片2:25
0.401          1531583777.0    正片2.30
0.429          1531478776.0    接下来请大家欣赏死都不看简介系列的弹幕
0.501          1531452755.0    大家好我是穿汉服
0.508          1531464905.0    小哥很帅啊
0.632          1531467634.0    标题空降2：26
0.656          1531469000.0    正片2:25
1.094          1531561421.0    正片在2分25秒
1.109          1531482864.0    汉服娘空降2：25
1.251          1531557060.0    支咐宝首页搜下“86OO14”在边缘试探
1.275          1531540770.0    看简介2.25秒！！！！！
1.98           1531580058.0    帅你大爷，发骚了？
2.077          1531468595.0    汉服在2.27
2.276          1531453316.0    她这是汉服？？？？
2.437          1531488635.0    吼吼吼
3.642          1531561645.0    河坊街！！！
4.148          1531578328.0    顾客:我就买个冰淇淋，你秀你mmp。
4.349          1531588058.0    四分二十四秒不谢
4.92           1531556503.0    我要封面
4.922          1531453401.0    喵喵喵？up主才是视频中的汉服娘不是吗？
7.213          1531475705.0    小哥：不是你这样玩的（委屈）你要假装抓不住
8.934          1531455946.0    汉服！？
11.115         1531545209.0    把甜筒咬一口不就得了
12.735         1531581912.0    帧数好评
13.076         1531592370.0    给钱的时候给小哥秀一波
13.542         1531551947.0    我想知道要是魔术师去买会怎么样？
17.032         1531328324.0    好贱啊哈哈哈哈哈哈哈哈哈
18.058         1531538243.0    我想看他玩脱
18.144         1531558472.0    “喜羊羊，我...我喜欢你！” 懒羊羊害羞却坚定地对着喜羊羊喊。 “哦，我知道了。” 躺在舒适的椅子上翘起二郎腿，喜羊羊口气平淡地说。 懒羊羊面色一阵苍白，咬了咬嘴唇：“喜羊羊，你对我的表白就
18.932         1531546949.0    苏州河坊街的那家
19.073         1531477128.0    汉服？？
19.107         1531535927.0    我吃过这家冰淇淋唉，杭州中山路，很好吃了，吹爆
19.214         1531533861.0    你怕不是对汉服有误解
19.839         1531492468.0    这么玩下去一天能卖几份啊
20.096         1531575927.0    等等，你管这个叫汉服?
20.992         1531467202.0    这个已经是土耳其冰淇淋的固定项目了，看多了就没意思了
21.393         1531499916.0    ？？？？汉服？？？？
22.509         1531580051.0    汉服？？
23.298         1531546459.0    汉服？？？。
23.31          1531561670.0    杭州的吧
24.288         1531584609.0    等等汉服？
24.826         1531489999.0    难吃
25.017         1531482356.0    你管这个叫汉服？
25.038         1531499928.0    人家这么玩就是特色啊
25.254         1531481870.0    洗洁净好评
25.418         1531453568.0    是我的话我会发火
25.575         1531467192.0    这是汉服？
27.213         1531560585.0    哈哈哈懵逼
27.396         1531445058.0    你们为什么不赶紧把脆皮吃了????!
27.563         1531494534.0    这是睡衣吧
27.897         1531589721.0    这个是汉服？？？？
27.989         1531453874.0    觉得好玩的才去买嘛，特色嘛。
28.733         1531486182.0    汉服在后面…咋啥都不想直接喷
