排名：82
网址：https://www.bilibili.com/video/av26669734
更新时间：07-15
弹幕总量：309
preciseTime    ofTime          comment
0.128          1531371687.0    不用先来，克罗地亚不是传统的跪舔对象，没人舔自然少人怼的
0.345          1531381110.0    敬业啊，穿着球衣就出警了
0.403          1531366961.0    克罗地亚狂想曲
1.038          1531623712.0    假的马卡报辟谣了
1.04           1531386832.0    消防员上街就肯定知道结果了
1.152          1531412146.0    米洛
1.301          1531368817.0    我先来，中国也一样，世界都一样
1.58           1531362069.0    工作时间看球
1.63           1531361958.0    在演习吧
1.918          1531361323.0    火警打破了尴尬
2.359          1531375222.0    这是真的帅
2.434          1531363388.0    2333333333
2.82           1531369765.0    晚三十秒出警都能赶上
2.883          1531404745.0    。。。。。。
3.641          1531455706.0    点赞
3.701          1531363630.0    工作第一
4.04           1531482820.0    说比我们国家强的，你是在放屁吗
4.161          1531407099.0    中国要是踢进1/8看球的球迷该多疯狂
4.779          1531626546.0    恭喜呀，冠军
4.897          1531626990.0    慢放观看
5.565          1531495667.0    這是札格雷布消防局公布的影片，旨在提醒球迷用火安全（啥？）
5.965          1531365327.0    杯具啊
6.258          1531409041.0    我喜欢克罗地亚98多火了
7.061          1531418666.0    出警应该会留几个人，万一在回来之前还有第二次还能应付
7.899          1531403027.0    工作时间看球有问题？他们出生入死的
7.961          1531399735.0    这出警速度，活该克罗地亚进2强
8.123          1531495585.0    求bgm
8.84           1531645200.0    好敬业啊
8.998          1531472982.0    为啥要加背景音乐，感觉好怪
9.306          1531550628.0    jjd
9.581          1531372875.0    JJD的音乐🎶
9.643          1531578490.0    在人类反应速度是0.3秒到0.6秒，而这些消防员以最低反应速度做出了一系列复杂的行为，只能说非常感谢消防员叔叔们
10.43          1531413407.0    你这背景音……
10.556         1531565701.0    点赞
11.012         1531389703.0    真是幸福的球迷
11.4           1531645233.0    希望中国的消防也能这样就好了。
11.409         1531362668.0    这才是敬业
11.883         1531494929.0    一出动出警了，二出动待命😄😄
12.121         1531370951.0    好样的  毕竟人民利益重于一切  我相信任何国家消防员都会这样
12.294         1531414640.0    赞一个
12.459         1531360827.0    英雄
