排名：88
网址：https://www.bilibili.com/video/av26674694
更新时间：07-15
弹幕总量：1017
preciseTime    ofTime          comment
0.1            1531417743.0    上次捧红了卢帅比，我天天去看
2.283          1531394653.0    对方250
3.5            1531391067.0    土拨鼠六道
3.902          1531394935.0    超管干活
4.277          1531392987.0    低级美颜
4.534          1531389755.0    胆子大
5.394          1531460319.0    你好是中国boy吗
7.022          1531559779.0    wwaa
8.709          1531395148.0    火影还更新吗！！！！！
9.215          1531432038.0    道爷横着走
10.026         1531422311.0    土拨鼠
10.145         1531448394.0    古tm黑暗
10.38          1531408857.0    还来
10.45          1531489285.0    何时更火影
12.422         1531398346.0    六道老爷还活着吗。。
12.515         1531490096.0    骚
12.982         1531493180.0    老李那边过来
13.736         1531535797.0    666666
13.796         1531447325.0    rua
14.2           1531564050.0    人生一串哈哈哈哈或
14.906         1531397130.0    横着走
15.093         1531467858.0    还真没
15.501         1531426171.0    我还真没看过巴拉巴拉小魔仙
16.077         1531418276.0    这里我在现场
16.37          1531393011.0    ，²³³³³³³    6666666    厉害了23333     ²³³³³³³³³³³     2333     6666         ²³³   666    太流弊了！！卧槽     
16.94          1531394037.0    哈哈哈哈
17.005         1531499583.0    超管干活
17.57          1531392169.0    哎呦  吓得我手机差点摔了
17.663         1531409934.0    我道爷在b站横着走
19.59          1531487019.0    六道魔仙
20.261         1531540769.0    真骚六道
20.68          1531576392.0    2333
21.194         1531480054.0    是巴啦啦小魔仙
21.44          1531442205.0    舞法天女？
21.816         1531391163.0    好玩
21.897         1531485125.0    233333333333333
22.038         1531406614.0    六道骚23333333333333333
22.182         1531392651.0    7小时前。。。。
23.133         1531624006.0    66666
23.636         1531407962.0    233333333
23.856         1531534204.0    舞法天女哈哈哈哈
24.261         1531394054.0    哈哈哈哈，智障
24.901         1531490652.0    那是舞法癫女
24.952         1531472386.0    2333
25.001         1531392194.0    搓
26.543         1531478926.0    舞法天女……
26.552         1531390601.0    天哪
27.174         1531445948.0    可爱
27.271         1531499593.0    呀死宅
27.281         1531404657.0    bz
27.435         1531484991.0    23333333
27.519         1531640191.0    土拨鼠
27.791         1531398494.0    额不是古塔那黑暗之神么？
28.269         1531487958.0    什么鬼
28.361         1531569634.0    ？？？
28.484         1531393031.0    ，²³³³³³³    6666666    厉害了23333     ²³³³³³³³³³³     2333     6666         ²³³   666    太流弊了！！卧槽     
28.833         1531397393.0    没眼看
28.843         1531565788.0    6666666
28.941         1531409121.0    是个匹，一个舞法，一个小魔仙
29.041         1531502673.0    那个是舞法天女吧
29.142         1531494893.0    那个不是朵蜜吗
29.354         1531544689.0    此处闭眼
29.582         1531392620.0    你开始了？？？
30.862         1531442291.0    不是啊喂!古娜拉黑暗之神是巴啦啦小魔仙里的!不是舞法天女!不要侮辱窝的童年啊（╯‵□′）╯︵┴─┴（滑稽…）
31.578         1531595907.0    你开始了
31.6           1531434269.0    在b站横着走
31.621         1531476747.0    突然骚了起来
31.661         1531392670.0    评论2015
31.69          1531416305.0    药水？
31.824         1531398261.0    在现场
31.867         1531451866.0    我六道凭实力单身
31.998         1531499598.0    666666
32.08          1531547969.0    2333333333333333333333
32.185         1531456422.0    屁！
32.267         1531391435.0    害怕
32.767         1531470391.0    看我朵蜜你
33.042         1531412413.0    是你吗药
34.379         1531473617.0    ??????????
36.017         1531485652.0    这个下巴美颜美成恐怖片了都歪了
36.034         1531395079.0    好羞耻
36.133         1531404492.0    这舞法天女
36.229         1531487038.0    什么操作
37.071         1531411577.0    6爷上面有人
37.281         1531456427.0    不是这个
37.463         1531487168.0    古tm黑暗之神
37.713         1531625722.0    还有96个人？？？
37.738         1531410211.0    ？？？？？？？
37.902         1531399090.0    手好粗
38.352         1531398144.0    超管睡着了你们别把她吵醒了
38.7           1531564202.0    尴尬癌
39.44          1531518398.0    道爷我横着走
40.229         1531458667.0    好羞耻
44.445         1531449876.0    我道爷在b站横着走
46.53          1531491276.0    什么啊23333333
46.917         1531405512.0    好羞耻
47.147         1531473708.0    道爷在b站横着走
47.517         1531485151.0    疯子演傻子看
47.55          1531413691.0    弟弟往后稍稍
49.447         1531390623.0    舞法天女
50.663         1531458141.0    你干啥
50.904         1531550391.0    人生一串
50.915         1531419800.0    b站尬聊
51.742         1531460876.0    b站大佬骚气
52.031         1531459011.0    巴啦啦小魔仙变
52.182         1531478309.0    好尬啊
52.278         1531621027.0    你听说中国boy女团吗
53.314         1531587184.0    大帅比这装扮好潇洒嘿嘿嘿
55.358         1531392480.0    你是一只猪儿虫，猪儿虫。
56.036         1531448624.0    大姐头，大姐头~~~
56.274         1531398069.0    谁说猪儿虫
59.786         1531411926.0    哈哈哈哈哈哈
59.812         1531483104.0    哈妹哈妹哈
60.114         1531548515.0    我是一只土拨鼠，土拨鼠~~
60.288         1531475865.0    小青龙:小心我diss你
61.145         1531636295.0    顶上去报复社会
62.062         1531394580.0    你是一条猪儿虫猪儿虫
62.695         1531499636.0    恐怖
63.102         1531389841.0    六道hh
63.85          1531404759.0    注孤生
64.407         1531401014.0    呵呵红红火火恍恍惚惚哈哈哈哈哈哈哈
64.749         1531490379.0    b站水酱
65.259         1531402525.0    点总哈哈哈哈
65.513         1531391693.0    超管不敢安排
65.892         1531478757.0    刚才那个有点尬
66.833         1531408283.0    道爷我b站横着走
67.446         1531574399.0    66666666666
67.771         1531476794.0    是友军！别开腔！
67.795         1531565853.0    哈哈哈，笑岔气了我
67.914         1531554811.0     。。
68.208         1531472429.0    12333333333333
68.391         1531563189.0    哈哈哈
68.679         1531499642.0    吓人
68.702         1531394818.0    你说这猥琐男是谁
69.516         1531408014.0    道爷牛壁
69.549         1531484578.0    哈哈哈
70.197         1531565338.0    道爷疯了
70.676         1531548876.0    你是一条猪儿虫，猪儿虫
70.776         1531397325.0    你离我屏幕远点
70.942         1531480313.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
72.17          1531390800.0    2333333333
72.881         1531486709.0    超管干活
73.185         1531398721.0    600万你疯了
73.697         1531400291.0    hhhhhhhh
73.913         1531636622.0    66666666666666666666
73.941         1531586359.0    233333333333
74.104         1531391365.0    道爷真的不觉得羞诶
74.395         1531494044.0    可以的，全世界都是男的。
74.657         1531426592.0    2333
74.74          1531406667.0    六道无敌了
74.942         1531466945.0    道爷b站横着走
75.068         1531414490.0    独秀
75.117         1531391535.0    2333333333
75.613         1531499649.0    下吧
75.782         1531398355.0    2333333333333
75.956         1531461443.0    药水哥
76.024         1531466513.0    6666666
76.388         1531391951.0    道爷
76.45          1531503392.0    不怕不怕
77.0           1531486724.0    超管干活
77.264         1531390162.0    在现场
78.644         1531395992.0    你是一条猪儿虫
78.926         1531396282.0    不能！不能！不能！
79.041         1531413547.0    哇，报警了
79.281         1531391745.0    超管干活
79.437         1531442704.0    哈哈哈哈哈哈我要笑死了
79.69          1531409306.0    不阔能！
80.286         1531448672.0    有人知道这个主播是谁吗
80.702         1531402504.0    在现场！！
81.316         1531576071.0    药水哥
81.462         1531391582.0    小丶学就关注了。超管干活
82.529         1531534248.0    超管干活
82.593         1531391014.0    超管干活！
83.276         1531464117.0    少北在床上等我，我先去了
83.302         1531405957.0    这个弗兰口音
83.369         1531462881.0    超管干活
83.902         1531399623.0    超管干活
84.701         1531391960.0    道爷b站横着走
84.706         1531499658.0    *&；*
84.97          1531392380.0    不能，不可以！
85.023         1531403197.0    红红火火恍恍惚惚
85.471         1531458798.0    凭实力单身，哈哈哈
85.537         1531390555.0    hhhhhh
85.628         1531403424.0    在现场
85.67          1531496464.0    黄少北谁啊
85.762         1531533055.0    你清醒一点行不行 花少北是我老公
86.451         1531399670.0    不可以
86.6           1531393955.0    超管干活
86.782         1531464297.0    不能!
87.328         1531409321.0    不可能那是我老公！！！
87.355         1531398671.0    不行！！！！！把这个觊觎我老公的人给我叉出去！！超管干活！！！！
87.431         1531394147.0    花少北是我的
87.512         1531396561.0    我也想要
87.561         1531582910.0    不行，滚
87.6           1531399682.0    少北在我怀里说不行哼
87.611         1531565363.0    不可以不可以
87.753         1531407617.0    不能！我老公的联系方式为什么给你你！
87.85          1531596684.0    想得美，gun(微笑脸)
87.95          1531407140.0    不能
88.023         1531456461.0    不行
88.042         1531389777.0    你要我老公联系方式干嘛
88.18          1531399462.0    不能  不可能的
88.245         1531394448.0    不能
88.274         1531401905.0    不可以!!!!!!!
88.303         1531408945.0    超管干活
88.498         1531478472.0    不可以
88.521         1531394209.0    那是我老公
88.542         1531394477.0    过分，不可以
88.634         1531401919.0    不可以，gun!下一个
88.833         1531465344.0    不能
88.884         1531541797.0    不能！！！！花少北的老pe在此！
89.047         1531626918.0    不可能，少北是我的！！！
89.109         1531575287.0    不能！！！！！
89.249         1531394651.0    不可以！少北是我的！！！
89.297         1531565911.0    不可能
89.445         1531405937.0    不能
89.498         1531573058.0    对我老公有什么非分之想
89.549         1531442742.0    不可以，不可以的
89.652         1531463576.0    不可能的
89.66          1531503578.0    不好意思我的老公花少北躺在我的怀里说不给
89.739         1531465039.0    不能
89.75          1531464282.0    对对对!
90.042         1531394611.0    不可以
90.429         1531475615.0    不能
90.5           1531393942.0    不可以！！！！
90.522         1531471310.0    啊啊啊啊啊啊情敌啊啊
90.708         1531397959.0    233333333333333
90.901         1531390595.0    不可以！
90.998         1531416299.0    六嫂ID 小咪酱呀
91.212         1531510812.0    嫂子好！
91.22          1531502738.0    不能
91.264         1531534275.0    不可以的！！！他是我的!!
91.297         1531394331.0    不能
91.41          1531454103.0    这个小姐姐是谁啊？口耐！
92.037         1531586377.0    233333333
92.065         1531446645.0    不行！北北是我的！！
92.181         1531492621.0    不能
92.387         1531449595.0    六道是最骚的
92.739         1531391380.0    这个就是大六嫂
93.472         1531455427.0    不可以！
93.593         1531405736.0    花少北的女人不答应
93.769         1531441131.0    gay中极品花少北
94.798         1531416313.0    ID  小咪酱呀
94.874         1531475619.0    我的花少北
95.423         1531398383.0    老猥琐
97.025         1531413385.0    不能
97.697         1531487444.0    哈哈哈哈哈哈哈突然莫名其妙的笑出声
97.702         1531405026.0    花少北不行
98.423         1531499672.0    哈哈哈呵呵呵
98.529         1531401302.0    班主任
99.501         1531392223.0    六嫂哈哈哈哈哈哈
100.223        1531581930.0    六嫂好
100.462        1531401796.0    六嫂好
100.926        1531411075.0    六嫂
101.622        1531393024.0    弹幕呢
101.793        1531422882.0     233333333
101.83         1531397914.0    我在抽和少北的事后烟
102.049        1531390796.0    六嫂
102.921        1531470480.0    眼睛好奇怪呀
103.132        1531401412.0    不好，，米饭喷出来了
103.822        1531459457.0    夫妻相
104.324        1531499678.0    2333333
104.443        1531632679.0    大大大大大大
104.62         1531391409.0    六道给对面上了一年的总督
106.867        1531539335.0    六嫂
107.482        1531454607.0    夫妻脸
107.538        1531475409.0    你还是说话吧，别唱了
107.681        1531422935.0    小咪酱说话的感觉真的是hhhhh
108.921        1531495816.0    人生一串···是什么意思
109.95         1531391987.0    超管干活
112.754        1531390401.0    哈哈哈哈哈
112.871        1531483669.0    2333
113.4          1531535687.0    ？？？
113.997        1531474290.0    红红火火恍恍惚惚哈哈哈哈歌词都是错的
114.074        1531574448.0    ???
114.387        1531554883.0    233333333333
114.779        1531565395.0    ???
115.046        1531414233.0    好像啊
115.069        1531493739.0    好像
115.43         1531462178.0    都没有暗影猎手的对手唱的好
115.553        1531397905.0    233
115.59         1531403924.0    六嫂好
115.721        1531414833.0    花少北是花花
116.302        1531391865.0    好像啊刚才那个
116.68         1531488269.0    ？？
