排名：97
网址：https://www.bilibili.com/video/av26675380
更新时间：07-18
弹幕总量：548
preciseTime    ofTime          comment
0.0            1531580771.0    糟了，是鸡冻的感觉
0.123          1531558036.0    是鸡动的感觉啦！
0.197          1531716121.0    比某音和某手强多了
0.72           1531639583.0    糟糕，我好像是心肌梗塞的感觉
0.721          1531769295.0    这难道又是心梗的感觉?
0.998          1531753170.0    欢迎收看马冬梅蹦迪
1.518          1531817242.0    woc我是主页很多人点推荐进来的
1.661          1531718825.0    可耻的播放量
2.038          1531534937.0    新 宝 岛
2.499          1531824316.0    糟糕，我的屏幕有点儿脏呀
2.861          1531754404.0    还我方面，我要绝对领域
2.94           1531414157.0    可爱
3.48           1531645696.0    糟了……
3.6            1531640881.0    6万播放，208条弹幕，你们的手在干嘛？
3.763          1531393001.0    鱼鱼
3.85           1531724571.0    可耻
4.096          1531564701.0    HUAIDE
4.46           1531544994.0    握草！是心肌梗塞的感觉！
5.199          1531391110.0    我没抢到啊
5.252          1531399117.0    往人前来应援！！！
5.416          1531474389.0    过膝袜进来变短的了
5.86           1531542248.0    本   社   爆   破
6.443          1531721292.0    卧槽 马冬梅
6.82           1531706326.0    心动，是感觉的遭了
7.155          1531635584.0    见封滚
8.162          1531721054.0    糟了
8.317          1531502155.0    可爱
8.413          1531677297.0    好腿
8.564          1531734670.0    老婆
8.729          1531593087.0    鸡冻
9.318          1531392681.0    承包我家鱼鱼
9.4            1531413072.0    嘿嘿嘿嘿嘿鱼哥
9.54           1531722278.0    我只爱我的李承利
9.576          1531634710.0    妈耶恋爱了
9.962          1531566800.0    激动了
10.88          1531622595.0    画质感人
10.995         1531395940.0    为鱼哥打尻
11.088         1531626451.0    这背景
11.28          1531791438.0    小短腿
11.42          1531621700.0    溜了溜了
11.437         1531638367.0    鸡动
11.497         1531393008.0    鱼鱼我的
11.739         1531804665.0    我去，男的
11.91          1531410541.0    糟了 心跳的感觉！~
11.926         1531556595.0    great
11.96          1531617748.0    马什么梅
12.145         1531502743.0    60帧好评
12.332         1531790380.0    男的女的？
12.352         1531485829.0    身材好，腿直，皮肤白
12.459         1531651146.0    遭了，心动了
12.529         1531712250.0    封面呢
12.72          1531494411.0    好腿
12.925         1531706215.0    卧槽！这不是马冬梅吗？
12.96          1531729211.0    我开弹幕了嘛？
12.987         1531704604.0    槽了，是心碎的感觉。
13.084         1531556471.0    嘿嘿
13.343         1531391118.0    鱼鱼mua
14.15          1531529016.0    遭了，是心肌梗塞的感觉
14.249         1531509584.0    是男生吗😂（习惯了）
14.331         1531595761.0    一串解千愁
14.428         1531726284.0    想昆
14.591         1531887484.0    感觉像马冬梅
14.653         1531583338.0    心肌梗塞的感觉
14.682         1531729571.0    马冬梅？？！！
14.717         1531494359.0    完了！心肌梗塞！
14.741         1531392986.0    ios太高了
15.16          1531502616.0    马冬梅？。。。。
15.294         1531830199.0    嗯。bgm不错
15.325         1531393898.0    我就看看 我不说话
15.483         1531753822.0    不要动了，让我看仔细点
15.723         1531406191.0    苹果手机系统哪高了？
15.841         1531575277.0    ( ⌯᷄௰⌯᷅ )安排
15.979         1531729519.0    可耻的播放量
16.163         1531744524.0    我老婆
16.32          1531591429.0    我要抱住她
16.322         1531702368.0    噗
16.376         1531720490.0    这么可爱一定是男孩子
16.408         1531576770.0    马冬梅
16.509         1531706914.0    激动了
16.795         1531720624.0    马冬梅
17.181         1531563069.0    糟了，肠梗阻的感觉
17.25          1531498516.0    这特么一点不都不养生！
17.337         1531578339.0    马什么梅？
17.406         1531738546.0    (ง •̀_•́)ง
17.809         1531720191.0    心动，是糟糕的感觉
17.902         1531562273.0    久  等  了
17.921         1531680074.0    马什么梅？
17.979         1531760678.0    是我要瞎了吗。。。看不清，矇矇眬眬的
18.061         1531726518.0    抖音，记录美好生活
18.149         1531793508.0    膨胀了
18.191         1531825935.0    可耻的播放量
18.199         1531641230.0    BGM是啥
18.216         1531395551.0    鱼鱼敲好看～
18.219         1531759397.0    想想每个你喜欢的女人身后都有一个操到吐的男人
18.464         1531663474.0    我发誓，我手没有在动
18.681         1531548978.0    一秒变某音
18.958         1531823770.0    🔞🔞🔞🔞🔞🔞🔞🔞
18.981         1531722301.0    我只爱我的李承利
19.409         1531390802.0    沙雕网友，使我快乐
19.533         1531442503.0    鱼哥66666666666，抱走鱼哥，不接受反驳
19.591         1531410123.0    好腿
19.76          1531391134.0    为鱼鱼打电话
19.934         1531552400.0    是你！马冬梅！
20.162         1531624087.0    好腿
20.26          1531721910.0    小姐姐微信多少加下
20.518         1531622306.0    马冬梅？
20.651         1531751784.0    遭了，是鸡抖的感觉
20.738         1531496515.0    封面袜子没这么短啊，差评！
20.839         1531649744.0    可耻的播放量
21.057         1531587607.0    我感觉她昨晚没睡醒
21.073         1531548583.0    心肌梗塞
21.122         1531698491.0    bgm
21.141         1531537778.0    听说幼师要跳舞，前来看看你们这些大佬，搓一下自己的希望（躺尸）
21.181         1531500833.0    这腿我可以玩一年
21.314         1531401176.0    白丝美腿呀
21.38          1531547132.0    严重不适
21.533         1531581487.0    这有什么好看的？
21.919         1531661729.0    好腿(✪▽✪)
22.18          1531533632.0    遭了，是眼花的感觉
22.348         1531751467.0    抖音？
22.683         1531498787.0    糟了，是心悸的感觉
22.797         1531791339.0    糟糕，鸡动的感觉
22.93          1531587369.0    欢迎收看马冬梅乱嗨
23.024         1531763510.0    好腿
23.179         1531710049.0    糟了，鸡动的感觉
23.3           1531798424.0    短腿
23.715         1531407517.0    我擦这跳的真特么好
23.72          1531727883.0    糟了，我瓣膜关不住了
23.979         1531722925.0    遭了，是心肌梗塞的感觉
24.124         1531571814.0    关注了
24.18          1531727408.0    真的是马冬梅……
24.27          1531587376.0    欢迎收看马冬梅乱嗨
24.412         1531551454.0    马冬梅
24.66          1531526844.0    遭了，是心 情很嗨的感觉
24.746         1531716185.0    可惜了这身材
24.853         1531578628.0    感觉好凶
25.001         1531695731.0    bilibili的光影是某音无法比的，朦朦胧胧的美
25.469         1531391013.0    太美了
25.561         1531559912.0    嗯？贵族不骂了？
25.665         1531557936.0    所以"养生“是怎么养生解释一下呗
25.9           1531578004.0    如果没有音乐会怎么样
25.91          1531587382.0    欢迎收看马冬梅乱嗨
25.942         1531550836.0    晃荡
26.067         1531646094.0    马冬梅
26.072         1531495429.0    白丝？ 这不是棉袜嘛
26.202         1531437485.0    鱼姐终于蹦迪了
26.285         1531587924.0    护鱼组就位
26.36          1531821140.0    我为何想到了香蕉？？？？？
26.596         1531714225.0    22.6万播放量402弹幕你们在干嘛？
26.74          1531753042.0    糟了
26.965         1531584797.0    马冬梅？
27.19          1531587387.0    欢迎收看马冬梅乱嗨
27.241         1531699469.0    差评 丝袜和封面不一致
27.276         1531760080.0    就抖音的水准阿
27.312         1531672621.0    马冬梅
27.565         1531619699.0    什么冬梅？
27.567         1531586912.0    糟了，是心肌梗塞的感觉
27.77          1531718892.0    你们在干嘛？
27.776         1531640837.0    糟了，是心梗的感觉
27.865         1531716790.0    在现场
28.099         1531741708.0    没有腋毛差评
28.41          1531587395.0    欢迎收看马冬梅乱嗨
28.46          1531718977.0    哈哈哈哈哈哈哈马冬梅
28.481         1531391185.0    喜欢鱼鱼的可以点波关注
28.599         1531465530.0    敲好看啊啊啊啊
28.761         1531707636.0    单手打字 没有清白
28.977         1531564741.0    这是马冬梅吧
29.029         1531758732.0    马冬梅
29.122         1531704832.0    马东马东马东什么梅
29.224         1531582037.0    遭了，是心肌梗塞的感觉
29.58          1531537720.0    😍😍😍😍
29.63          1531587402.0    欢迎收看马冬梅乱嗨
29.921         1531676783.0    过曝好严重
30.141         1531801962.0    马冬梅的，你给我适可而止啊
30.161         1531390511.0    前排打call√
30.314         1531673071.0    是心肌梗塞的感觉
30.437         1531903077.0    卧槽   马冬梅
30.54          1531583188.0    糟了！是心肌梗塞的感觉
30.761         1531648192.0    什么冬梅?
30.778         1531582657.0    糟了！是心肌梗塞的感觉！
30.807         1531456655.0    完了，我沉迷了
31.182         1531744750.0    大哥我要看刀疤
31.36          1531709485.0    啧   啧     啧
31.548         1531726479.0    BGM差评
31.56          1531789415.0    舌头打字，以表清白
31.641         1531391813.0    鱼鱼的腿太好看了( ⌯᷄௰⌯᷅ )
31.768         1531536456.0    节奏没对上吧
32.004         1531397642.0    鱼鱼抱抱
32.547         1531645922.0    太某音了
32.594         1531719792.0    没有欣小萌跳得好
32.625         1531542374.0    马什么梅？
32.702         1531676383.0    遭了，是要硬的节奏
33.056         1531497451.0    可耻的播放量
33.488         1531675661.0    遭了，是心梗的感觉
33.561         1531711429.0    遭了，心肌梗塞的感觉
33.594         1531550843.0    视力下降
33.78          1531673991.0    不，我有一个大胆的想法
33.934         1531658519.0    马什么梅！
33.952         1531391622.0    过曝了吧？
34.08          1531621748.0    糟糕，是心动的感觉
34.099         1531715525.0    马什么梅？
34.173         1531768190.0    马什么梅？
34.558         1531390848.0    111111
34.66          1531542717.0    后面也太亮了吧
34.789         1531634637.0    完惹 是心肌梗塞的感觉
34.848         1531543254.0    红色嚯嚯嚯~~~~
35.025         1531648072.0    毫无看点。
35.026         1531825665.0    乍一看马什么梅……
35.352         1531637513.0    不好看
35.375         1531639347.0    遭了，恋爱的感觉
35.389         1531641803.0    糟了  心肌梗塞的感觉
35.401         1531756807.0    马冬梅
35.453         1531685525.0    养生？？？老子血流不止！！！
35.479         1531727254.0    马冬梅的站住你别跑
35.666         1531628154.0    23333
35.816         1531578822.0    马冬梅？？
35.84          1531698382.0    似李，马冬梅
35.943         1531393037.0    为鱼鱼爆灯！
36.09          1531435322.0    好瘦
36.217         1531413026.0    镜头拉的有点近
36.319         1531395187.0    这个曝光过度了吧……
