排名：75
网址：https://www.bilibili.com/video/av26680182
更新时间：07-17
弹幕总量：461
preciseTime    ofTime          comment
0.142          1531573564.0    一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一
1.392          1531724962.0    这……我家那边馓子就这么弄的
1.821          1531580904.0    贾斯丁布布。
2.201          1531664333.0    格拉条？
3.622          1531667194.0    世界上最长的面，可绕地球三圈
3.861          1531567687.0    炸馓子
4.052          1531609919.0    这不就是油面吗？
4.401          1531547110.0    拉条子？
4.981          1531735377.0    格拉条等等我 这是馓子
5.015          1531501221.0    我就吃一根好吧
5.8            1531567689.0    散子!！
6.315          1531577955.0    馓子
6.386          1531565538.0    等等，我家做麻花就是这样的。确定这是面条?
6.408          1531494590.0    吸~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~……
6.579          1531665523.0    啊？
7.151          1531493095.0    白罗家——镇魂面
7.332          1531543517.0    我们这也有卖一根面的，但吃的人不多
7.443          1531650552.0    中国河南啊
7.497          1531526219.0    刚才那不是做馓子的前奏吗
7.756          1531745686.0    这不就是盘馓子吗
8.041          1531721055.0    这是炸馓子的面好不，别直知道吃
8.341          1531556977.0    一根筋
8.5            1531637091.0    新疆人表示，这东西一堆堆
8.973          1531585340.0    哦？大井盖？
9.022          1531632663.0    长寿面
9.102          1531745522.0    试试不嚼吃面？反正我一直都不嚼
9.222          1531459234.0    我大河南瞩目
9.279          1531624385.0    的
9.52           1531569352.0    河南人在此报道
9.882          1531667873.0    我大河南注目
9.89           1531733378.0    我大河南瞩目
9.892          1531744663.0    大河南
9.982          1531459245.0    我大河南瞩目
10.34          1531755807.0    我大河南瞩目
10.656         1531593543.0    少见多怪的老外
10.696         1531737496.0    馓子
11.017         1531553165.0    壮哉我大河南   商丘的报到
11.089         1531650564.0    河南的路过
11.142         1531586054.0    炸馓子
11.201         1531569594.0    大河南的等等我
11.357         1531536579.0    我大河南瞩目
12.135         1531560519.0    壮哉大河南
12.259         1531566839.0    白罗的别走，我钢棍谢师傅要与你一战
12.342         1531483499.0    都人均985吗？没翻译？
12.503         1531583174.0    河南人+1
12.96          1531588188.0    一根面不是长寿面吗？？？
13.383         1531576463.0    炸撒子
13.897         1531629277.0    这不是麻花嘛？
14.1           1531637504.0    馓子的盘条
14.102         1531562035.0    踩奶??！?
14.117         1531650890.0    字幕不对英文
14.191         1531563509.0    能和匀也是厉害
15.101         1531643151.0    壮哉，大河南
15.36          1531598632.0    这是长寿面的一种吧
