排名：82
网址：https://www.bilibili.com/video/av26696662
更新时间：07-17
弹幕总量：1019
preciseTime    ofTime          comment
0.0            1531643830.0    上香
0.015          1531640702.0    火钳刘明
0.143          1531498355.0    that 姥爷
0.218          1531580823.0    该来的总会来的
0.299          1531652641.0    开口跪
0.338          1531495690.0    该来的还是会来
0.377          1531601590.0    That 挂
0.449          1531558051.0    早晚要来的
0.464          1531570689.0    上香
0.477          1531715312.0    致敬国服第一SKS-卢本伟
0.496          1531651993.0    消费过世主播，点赞了
0.537          1531536175.0    火钳刘明
0.574          1531499412.0    该来的还是来了
0.801          1531647988.0    开口跪
0.838          1531657141.0    that gua
0.841          1531670922.0    上香
0.899          1531500749.0    火钳刘明
0.933          1531540748.0    前排强烈建议1.25使用
1.098          1531790107.0    开口跪
1.1            1531561570.0    该来的还是来了
1.149          1531555074.0    火钳刘明
1.18           1531560716.0    硬币给你了
1.441          1531625622.0    上香
1.523          1531560909.0    鬼畜饶过谁
1.538          1531701354.0    人都死了还残忍鞭尸 有意思么
1.594          1531563424.0    上香
1.731          1531489907.0    火钳刘明
1.917          1531671370.0    1.5倍
2.066          1531636140.0    是的、我就是专门进来喷的、想尼玛赶紧死吧
2.081          1531705972.0    上香
2.243          1531725781.0    卢姥爷被黑得最惨的一次
2.265          1531782222.0    1.5倍食用
2.274          1531639296.0    BGM:那个娘们
2.282          1531634124.0    6666666666666666666
2.541          1531644035.0    上香
2.862          1531717835.0    上香
3.031          1531496371.0    火钳刘明
3.07           1531492170.0    上香
3.09           1531627188.0    吐痰
3.156          1531530344.0    上香
3.16           1531719962.0    火钳刘明
3.218          1531536195.0    新人都是怪物系列
3.241          1531715504.0    上香
3.358          1531652032.0    上香
3.589          1531654264.0    该来的还是来了
3.679          1531636130.0    上香
3.782          1531620341.0    我觉得卢本伟如果现在直播的话肯定很火。
3.899          1531495497.0    卢姥爷不在N天想他
3.997          1531496778.0    上香
4.082          1531565040.0    该来的总会来的
4.147          1531548186.0    欢迎回来
4.361          1531663848.0    火钳刘明
4.48           1531487935.0    火钳刘明
4.515          1531543976.0    ๑乛︶乛๑卡在了奇怪的地方õ
4.633          1531724658.0    上香
4.679          1531502518.0    \|/
