排名：70
网址：https://www.bilibili.com/video/av26706618
更新时间：07-16
弹幕总量：3321
preciseTime    ofTime          comment
0.0            1531515731.0    还回合制233
0.067          1531534708.0    惊了 更新
0.083          1531651841.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
0.275          1531452181.0    本期BGM：とある日常の背景音楽
0.495          1531410474.0    惊了
0.646          1531655173.0    支付寳首页搜索“5l342l732”，真的不用谢我
0.667          1531419085.0    你还知道回来！
0.678          1531446801.0    惊了
0.718          1531613404.0    求硬币！求收藏！
0.72           1531423771.0    你是谁？
0.859          1531410227.0    你还知道回来
0.878          1531463851.0    最有价值的部门
0.944          1531460586.0    惊了
0.979          1531568090.0    惊了
0.996          1531652857.0    惊了
1.089          1531471159.0    最有价值的部门
1.118          1531437328.0    还没丢档？！
1.143          1531538249.0    惊了
1.296          1531409774.0    惊了
1.306          1531454060.0    你还知道更新！
1.385          1531481639.0    惊了
1.397          1531410254.0    惊了
1.442          1531494186.0    本期时长131分钟！
1.484          1531447018.0    惊了
1.501          1531443921.0    你还有脸回来？
1.529          1531486410.0    惊了
1.558          1531434118.0    你还知道回来
1.719          1531483274.0    精了 居然没有丢档
1.796          1531408777.0    最有价值的贱民
1.851          1531567364.0    支付寳搜一下“95O6639”，不过你会回来打死我的（滑稽）
1.881          1531412768.0    你还有脸回来？
1.949          1531410307.0    你还知道回来？
1.972          1531413225.0    惊了
2.057          1531441400.0    最有价值的部门。。
2.151          1531443313.0    终于等到你
2.184          1531409780.0    你还有脸回来！
2.21           1531490600.0    惊了
2.294          1531449029.0    那一天董事长记起来他B站的账号密码
2.321          1531408905.0    我都傻了
2.323          1531479317.0    惊了 董事长更新了
2.331          1531468050.0    惊了
2.374          1531492267.0    惊了，还有3
2.38           1531613910.0    失踪人口回归
2.414          1531547131.0    你还有脸回来
2.476          1531466538.0    董事长终于回来了！！！！！！！
2.479          1531434575.0    惊了
2.537          1531444645.0    今天莎莎能出场了吗？
2.552          1531421239.0    我真TM的惊了
2.606          1531539234.0    惊了
2.67           1531412429.0    爷爷，你关注的up主更新啦，你快醒醒啊。。
2.723          1531461728.0    这个不是我爷爷喜欢的up主么，居然更新了
2.785          1531500007.0    绝了…上个视频6.22
2.878          1531443493.0    存档没丢？
2.896          1531455919.0    惊了
2.9            1531420519.0    惊了
3.044          1531448430.0    竟然还没有倒闭
3.065          1531538178.0    惊了
3.109          1531668655.0    失踪人口
3.179          1531546257.0    爷爷你关注的up更新了
3.222          1531537522.0    惊了居然还能接着玩
3.24           1531447127.0    居然还有3😂
3.25           1531422338.0    董事长真短
3.317          1531410021.0    惊了！！居然更新了！！！
3.35           1531444576.0    惊了
3.387          1531438169.0    惊了
3.436          1531475050.0    最有价值的部门~
3.46           1531415947.0    失踪人口回归
3.54           1531442247.0    看到老菊发3 我都惊讶了 
3.585          1531432412.0    存档还在
3.6            1531440376.0    终于等到了
3.62           1531416376.0    爽~爽~啊啊啊啊啊
3.621          1531481153.0    失踪人口回归
3.646          1531409593.0    惊了
3.858          1531415127.0    惊了
3.927          1531560685.0    支付寳搜一下“95O6639”，不过你会回来打死我的（滑稽）
3.979          1531423781.0    惊了
3.993          1531453917.0    我发现了什么
4.01           1531465105.0    你还有脸回来啊
4.037          1531550000.0    惊了
4.056          1531417932.0    】
4.061          1531540737.0    这个新人UP怎么有辣么多粉丝？(๑❛ᴗ❛๑)
4.137          1531413393.0    惊了
4.196          1531618821.0    惊了
4.199          1531408823.0    惊了
4.248          1531570026.0    惊了！王老菊有脸回来！
4.272          1531500551.0    惊了
4.277          1531461338.0    惊了！你还敢回来！
4.306          1531454723.0    惊了
4.331          1531409975.0    进度条差评！太短了
4.38           1531438391.0    惊了
4.569          1531428687.0    终于md
4.643          1531408941.0    惊了，还没破产
4.661          1531417305.0    惊了
4.687          1531471363.0    惊了
4.7            1531484362.0    惊了 ，没丢档
4.742          1531447837.0    五年你知道这五年我怎么过的么
4.796          1531459951.0    刚才开始那个黑屏是不是有人说话
4.863          1531452006.0    惊了！
4.88           1531563972.0    终于！！！！
4.898          1531409840.0    诈尸了！
4.922          1531528332.0    失踪人口回归！！！
4.937          1531438108.0    你还有脸回来，直播挣钱比白做视频爽很多吧
4.94           1531450845.0    惊了
5.036          1531410731.0    王老菊想起了他的b站账号密码
5.05           1531463992.0    终于！！！！
5.062          1531478820.0    看我刷出了什么！！
5.141          1531504163.0    惊了，竟然更新了
5.142          1531505158.0    失踪人口回归
5.293          1531414666.0    还知道回来？
5.306          1531450955.0    惊了，存档居然还在
5.32           1531442244.0    惊了
5.335          1531409165.0    终于来啦！
5.375          1531411473.0    惊了
5.405          1531452405.0    失踪人口回归
5.439          1531414181.0    惊了
5.483          1531622877.0    惊了
5.49           1531539465.0    惊了
5.531          1531450133.0    30分钟？！生气了
5.54           1531454183.0    你还知道回来！！
5.541          1531576323.0    终于。。。
5.58           1531409820.0    惊了
5.639          1531410108.0    你还有脸回来！
5.682          1531463838.0    惊了
5.7            1531452243.0    惊了卧槽
5.703          1531454861.0    有生之年
5.78           1531423790.0    惊了
5.838          1531491838.0    惊了！
5.862          1531445453.0    惊了
5.863          1531543468.0    精了！！！
5.92           1531421352.0    惊了
5.943          1531411351.0    惊了
5.949          1531411403.0    惊了，居然没破产
5.95           1531438296.0    惊了
6.04           1531413910.0    终于等到你
6.129          1531539271.0    精了我擦
6.16           1531546972.0    终于更新了
6.18           1531581371.0    哇  拖更
6.222          1531443032.0    惊了
6.223          1531484061.0    惊了!
6.24           1531579588.0    你还知道回来
6.244          1531436423.0    惊了
6.26           1531476318.0    还知道回来？
6.261          1531541567.0    终于等到你！
6.398          1531441436.0    老菊居然短了，惊了
6.399          1531412600.0    惊了
6.4            1531455465.0    失踪人口归来
6.42           1531482793.0    还没破产啊
6.44           1531493049.0    惊了
6.501          1531472174.0    惊了
6.56           1531545169.0    惊了
6.575          1531455757.0    惊了
6.582          1531410969.0    有生之年
6.593          1531501480.0    看我刷到了什么！？
6.653          1531410257.0    绝了
6.659          1531437951.0    2
6.667          1531445071.0    前
6.679          1531415648.0    老菊短啊
6.72           1531445708.0    失踪人口回归
6.779          1531445641.0    惊了
6.8            1531450428.0    惊了！
6.802          1531439217.0    惊了，居然还没丢档
6.839          1531499696.0    居然还有3？？
6.86           1531565427.0    惊了
6.872          1531414441.0    惊了，老菊居然更新了
6.88           1531503689.0    惊了
6.919          1531481028.0    变短了
6.98           1531410065.0    惊了
6.981          1531421564.0    惊了深夜福利
6.988          1531507383.0    惊了
6.99           1531462165.0    哇老菊!
7.0            1531533940.0    一期比一期短
7.028          1531556877.0    惊了
7.04           1531449727.0    惊了2
7.058          1531438335.0    失踪人口回归！
7.059          1531452910.0    惊了
7.065          1531411376.0    惊了
7.082          1531443869.0    精了
7.147          1531439053.0    oh my god
7.177          1531458705.0    董事长好
7.18           1531464542.0    还知道回来
7.201          1531413535.0    惊了
7.212          1531546389.0    失踪人口
7.217          1531409084.0    卧槽夭寿了
7.267          1531409268.0    没倒闭啊？哈哈哈
