排名：30
网址：https://www.bilibili.com/video/av26710595
更新时间：07-18
弹幕总量：3036
preciseTime    ofTime          comment
0.0            1531840351.0    av26606380
0.054          1531558197.0    建议0.5倍食用
0.117          1531699921.0    欢迎回来
0.12           1531543022.0    欢迎回来
0.121          1531842029.0    🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🉐🉐🉐🉐🔞🔞🉐🉐🉐🉐🔞🔞🔞♋♋♋♋♋♋♋♋♋♋♋♋♋♋♋♋♋♋♋🔞🔞🔞
0.122          1531641823.0    吱付寶搜索7220383，你会回来感谢我的
0.218          1531542759.0    欢迎回来
0.256          1531583078.0    欢迎回来！
0.272          1531753263.0    请求大军集合！
0.297          1531787342.0    又拿原版MV来骗我？
0.298          1531540394.0    恭喜你发现镇站之宝
0.301          1531542992.0    欢迎回来
0.311          1531807742.0    强烈推荐使用1.25倍数
0.436          1531655627.0    我又回来啦！
0.438          1531550491.0    你能介绍一下你自己吗
0.458          1531569230.0    各位，我事先声明，其实我是来看弹幕的
0.489          1531638472.0    我又回来了！
0.495          1531570026.0    本节目由断罪小学根据地的帅比们大力支持
0.5            1531876097.0    每日必刷
0.52           1531565245.0    火钳刘民
0.521          1531738718.0    这节奏越听越像poker face = =
0.554          1531708869.0    来自什么名字？叫什么地方？名字和地方圈起来，这是重点，要记
0.576          1531792869.0    强烈推荐1.25倍食用！
0.601          1531839035.0    不行，我又回来了。
0.631          1531582850.0    他大姨妈
0.638          1531693805.0    我又回来了
0.677          1531715933.0    I’m
0.722          1531541008.0    来自什么名字！？？？？？
0.742          1531555157.0    看到我你就是19.2万以后了
0.76           1531713637.0    我又来了
0.78           1531753399.0    自从有了这个视频，硬币就没留过。
0.798          1531751145.0    原来你们都没有注意到字的顺序反了
0.804          1531633995.0    英文字幕nb
0.857          1531647743.0    回来了
0.914          1531725274.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠]⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠]⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠]
0.917          1531537441.0    。
0.974          1531829229.0    占位
1.024          1531746792.0    最后一次了
1.027          1531568944.0    每日一遍
1.078          1531621870.0    欢迎回来
1.105          1531839139.0    欢迎回来
1.178          1531744317.0    老子又回来啦！
1.197          1531574594.0    我回来了
1.238          1531631253.0    我回来了
1.335          1531724370.0    支付寳搜一下“
1.361          1531581207.0    完了，出不去了！
1.398          1531582023.0    全程注意右下男生侧脸
1.436          1531571776.0    支付寳搜一下“
1.444          1531627458.0    1.5倍新世界
1.47           1531569651.0    回来了
1.479          1531648766.0    欢迎回来！！
1.565          1531755936.0    来自什么名字。。。
1.589          1531744192.0    支付寳搜一下“
1.594          1531720699.0    支付寳搜一下“
1.675          1531617093.0    欢迎回来
1.718          1531753875.0    看完番被虐，调整下心态
1.8            1531664883.0    夭寿啦～领袖去打工了！
1.839          1531594505.0    开头见
1.863          1531747103.0    欢迎回来
1.864          1531667680.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
1.875          1531614975.0    欢迎回来
1.947          1531571880.0    支付寳搜一下“
2.021          1531661121.0    What
2.068          1531821686.0    开口脆
2.096          1531903596.0    看了n遍，根本停不下来
2.147          1531626839.0    收藏比推荐多系列
2.17           1531552424.0    我回来了
2.187          1531623356.0    您的好友【面筋哥】已上线
2.201          1531581192.0    标准开头
2.273          1531643491.0    该来的总会来
2.358          1531642978.0    我又来了
2.384          1531764113.0    1.面筋哥2.吟游诗人
2.398          1531632624.0    我要当嘤雄
2.404          1531648588.0    全程蜜汁抖腿
2.451          1531552207.0    百万调音千万填词亿万翻译
2.549          1531550666.0    来自什么名字，叫什么地方。。。
2.667          1531627741.0    3遍了。。。。
2.82           1531900269.0    1.5开启一个新世界
2.856          1531570412.0    730人正在看
2.878          1531660684.0    欢迎回来
2.881          1531628128.0    欢迎回来
2.972          1531655396.0    欢迎回家
2.986          1531554976.0    欢迎回来
3.002          1531828765.0    ⎛⓿⎞⏝⎛⓿⎞ ⎛⎝≥⏝⏝≤⎠⎞ ⎝⎛0⏝⏝0⎞⎠ ⎛⎝⏠⏝⏠⎠⎞
3.004          1531644526.0    我又回来了
3.019          1531659746.0    欢迎回来
3.075          1531542067.0    van游戏
3.078          1531631259.0    欢迎回家
3.122          1531629969.0    只有我发现了下方英文【Do
3.149          1531654032.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠
3.157          1531550511.0    你喜欢你看到的吗
3.298          1531661139.0    What
3.318          1531783325.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠
3.408          1531580296.0    欢迎回来
3.502          1531552470.0    一串解千愁
3.512          1531658155.0    第二次
3.539          1531617867.0    尻面筋
3.58           1531638742.0    我又回来了
3.619          1531844179.0    来自什么名字，叫什么地方笑尿
3.639          1531775694.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
3.688          1531550866.0    我又回来了
3.719          1531803008.0    我回来了
3.741          1531644164.0    我又回来了
3.77           1531716631.0    正式向音乐区宣战(๑•॒̀
3.779          1531724505.0    十遍
3.795          1531663279.0    ⎛°
3.82           1531759547.0    又回来了！
3.9            1531724294.0    5遍
3.925          1531669555.0    5遍了
3.999          1531659317.0    淳·简·拉基·茨德
4.003          1531700232.0    还是忘不了这个男人
4.03           1531587987.0    好久没看到窃格瓦拉上页面了
4.064          1531795361.0    我们的啦啦操音乐......
4.065          1531737829.0    双语字幕，讲究
4.118          1531621877.0    欢迎回来
4.167          1531703049.0    How
4.201          1531723732.0    出不去了
4.261          1531702380.0    第几次了。。
4.347          1531753099.0    哈哈，还是我
4.352          1531827696.0    我又回来了
4.354          1531833687.0    欢迎回来
4.374          1531630396.0    又来一边
4.382          1531753324.0    ！！！！！！！！！强烈建议1，25倍速播放！！！！！！！！
4.395          1531573062.0    二刷，，就是为了听歌😏
4.408          1531747127.0    我回来了
4.437          1531543593.0    出不去了
4.46           1531813819.0    我回来了!
4.58           1531653935.0    我回来了
4.618          1531723138.0    2.5使用
4.665          1531583940.0    优秀
4.789          1531653290.0    “”来自什么名字叫什么地方“”笑死
4.838          1531544689.0    Do
4.858          1531725407.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠]⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠
4.902          1531831936.0    我不想走了
4.989          1531725219.0    你为何如此优秀
5.029          1531764134.0    3.窃·格瓦拉
5.031          1531617480.0    我又来了
5.032          1531547052.0    来了
5.039          1531617402.0    开头见
5.075          1531655570.0    前方A神高能
5.078          1531545436.0    我又回来了！~
5.113          1531623394.0    你的好友【打工哥】已上线
5.135          1531590349.0    欢迎回来
5.15           1531767220.0    大家好，我回来了
5.261          1531785072.0    回来了
5.281          1531609792.0    跟我一起说！面拉赛高！
5.339          1531658047.0    该来的总会来
5.394          1531740311.0    欢迎回来
5.404          1531738187.0    什么歌啊
5.409          1531646402.0    233333333333333
5.421          1531579865.0    我回来了
5.459          1531562817.0    喵喵喵(/≧▽≦/)
5.479          1531752914.0    你好，还是我
5.521          1531633724.0    打工是不可能的
5.523          1531560195.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
5.58           1531611675.0    欢迎回来
5.581          1531822982.0    2333333333
5.593          1531716343.0    23333333333333333333333333333333
5.594          1531562596.0    火钳刘明
5.72           1531680880.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠
5.861          1531661168.0    Only
5.88           1531547122.0    看啥？摇啊！
5.927          1531552391.0    我回来了
5.936          1531910624.0    我又回来了
6.003          1531630474.0    目测要火
6.095          1531576151.0    2000
6.158          1531802688.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
6.201          1531744884.0    我回来了
6.237          1531724786.0    20遍
6.245          1531583464.0    住口
6.255          1531577596.0    跳舞跳舞跳舞跳舞跳舞跳舞跳舞
6.256          1531574505.0    来自什么名字？
6.264          1531788878.0    欢迎回来！
6.321          1531838536.0    回来了
6.334          1531767243.0    大家好，我回来了
6.38           1531713455.0    一串解千愁
6.45           1531652982.0    回来了
6.457          1531829719.0    666
6.482          1531796171.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠]⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠
6.553          1531812580.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
6.574          1531738464.0    我挺你up
6.597          1531592576.0    。。
6.661          1531548655.0    留名
6.684          1531569647.0    摇起来
6.722          1531634865.0    66666
6.78           1531664499.0    欢迎回来
