排名：50
网址：https://www.bilibili.com/video/av26719232
更新时间：07-15
弹幕总量：1499
preciseTime    ofTime          comment
0.0            1531419979.0    1000
0.297          1531415767.0    15分钟前！！！夜猫子们，快出来吧。
0.401          1531464672.0    (飘过一个替身使者）
0.497          1531408491.0    1
0.885          1531466307.0    预定肚腩换碟
0.982          1531413661.0    告诉我你们一天L几次？
1.153          1531412705.0    无无素材库
1.194          1531409576.0    1小时前！前5.8万！
1.642          1531409774.0    那个男人
1.863          1531575445.0    支付寳搜一下“ 520009272”，不过你会回来打死我的（滑稽）
1.872          1531429515.0    8小时后
1.962          1531413275.0    播放0截图为证
2.224          1531441593.0    来了
2.422          1531475167.0    6666666
2.58           1531407837.0    35分钟三万播放你们是狗吗？
2.739          1531414500.0    你们不睡觉的吗
3.014          1531407021.0    233
3.098          1531437538.0    17w
3.099          1531409222.0    看完睡觉看完睡觉
3.249          1531410819.0    哈哈哈
3.339          1531411238.0    看到我你就是八万名以后了
3.459          1531413928.0    11111
3.669          1531408510.0    47分钟前
4.122          1531408175.0    唉，已经3.9万了
4.242          1531407197.0    2.4万???
4.266          1531450940.0    前排就完事了
4.436          1531408223.0    4万大门
4.44           1531411962.0    1299后
4.699          1531407264.0    qianapi
4.927          1531410877.0    今天搬几块砖？
4.949          1531411557.0    一小时8.5w
5.163          1531412459.0    11111
5.219          1531408470.0    等一手碟男
5.379          1531410503.0    来了
5.38           1531408229.0    好前
5.461          1531411841.0    1111
5.462          1531412047.0    一小时前
5.538          1531413712.0    我是第一
5.621          1531410729.0    7.2w！
5.8            1531415704.0    深夜福利
5.842          1531412441.0    11111
5.961          1531414055.0    两小时后
5.973          1531416324.0    B站房产
6.253          1531413060.0    。。
6.282          1531438928.0    台风过了！！！
6.53           1531412681.0    深夜福利
6.579          1531411690.0    一小时，8万多的播放量｜
6.64           1531490999.0    见C滚
6.9            1531411355.0    叽叽叽叽
6.902          1531413414.0    2小时前
6.939          1531452459.0    前前前
7.042          1531411341.0    不得了不得了，大晚上还有福利
7.124          1531412920.0    看不见我
7.184          1531407618.0    32
7.261          1531475951.0    3
7.263          1531490414.0    23小时前
7.298          1531411212.0    一小时前
7.301          1531524383.0    余小c，不用伤心，你是最辣鸡的！！
7.321          1531439765.0    看见你了
7.4            1531408908.0    1
7.5            1531407474.0    7777
7.507          1531410641.0    1小时前6.9万
7.521          1531412478.0    深夜福利
7.571          1531411079.0    杀啊
7.586          1531503421.0    '
7.641          1531407856.0    截图给谁看
7.724          1531428723.0    凌晨看片没弹幕😳
8.0            1531410650.0    播放量七万一小时前投稿
8.126          1531439404.0    00
8.192          1531446666.0    我的第一次弹幕
