排名：62
网址：https://www.bilibili.com/video/av26719993
更新时间：07-16
弹幕总量：219
preciseTime    ofTime          comment
0.317          1531483963.0    昨天的，在现场
0.558          1531647424.0    出现吧现场怪，一拳怪，嘤嘤怪
1.236          1531579326.0    为什么把孤存微博遮住？
1.273          1531470970.0    寄生兽好评
2.677          1531612611.0    在现场
2.838          1531552647.0    在现场
2.859          1531654525.0    在现场
2.88           1531613905.0    出现了
2.969          1531572753.0    ……
3.026          1531463895.0    寄生兽
3.161          1531547234.0    现场怪
3.84           1531497816.0    BGM好评
4.241          1531538325.0    在现场
4.439          1531501967.0    哈哈哈
4.904          1531482693.0    BGM：next to you
5.102          1531463966.0    我压锁头大哥，你们呢
5.321          1531613366.0    左边草里有一个
5.401          1531619906.0    bgm
5.534          1531654715.0    神仙打架
5.739          1531561883.0    在现场
6.219          1531566711.0    稳健！
6.371          1531659704.0    ..
6.459          1531575700.0    帧率差评。
6.925          1531544732.0    寄生兽!
7.16           1531465893.0    在现场
7.464          1531492997.0    现场ing
7.801          1531474246.0    寄生兽！
8.017          1531622550.0    卧槽啊
8.068          1531626738.0    右君
8.24           1531564280.0    bgm.命  来自寄生兽
8.339          1531480477.0    在现场
8.699          1531473454.0    next to you
8.859          1531528994.0    现场怪
8.899          1531489336.0    帧数好评
8.901          1531471545.0    震惊😱，新增好评怪
8.94           1531737367.0    BGM:命
9.259          1531577463.0    BGM好评
9.26           1531475899.0    寄生兽！
9.36           1531467287.0    在现场
9.69           1531489470.0    寄生兽
9.768          1531468281.0    被bgm炸出来
9.84           1531667313.0    出现吧！出现怪！！
9.938          1531492504.0    在现场
10.093         1531473634.0    枪枪爆头还在烟里看不到
10.136         1531559035.0    在现场
10.489         1531543533.0    终于可以在现场了
10.675         1531526517.0    BGM差评
11.54          1531566224.0    我以为我手机铃声响了
11.82          1531482337.0    bgm好评
12.812         1531503077.0    现场
12.886         1531473835.0    29
13.765         1531639135.0    在现场
14.095         1531473348.0    寄生兽好评
14.382         1531536592.0    bgm好评
15.179         1531526786.0    bGM命
15.24          1531614679.0    在现场
15.996         1531465957.0    自古弹幕出大神
16.099         1531483783.0    在现场
16.154         1531577077.0    bgm:命，真人版那个，别被误导
16.521         1531651259.0    菜你就说
17.088         1531473847.0    。。
17.29          1531476845.0    以为我手机响了
17.72          1531655091.0    游戏特色
18.052         1531482442.0    好帅
18.196         1531546301.0    next to you好评泪目
18.561         1531468649.0    看完后面再来这评论。你是真的是弟弟
19.118         1531465537.0    你就凭这一句话开始杠了？
19.258         1531485802.0    手机铃声
19.3           1531577480.0    BGM好评
19.581         1531663586.0    不给up猪的bgm99哥
20.898         1531626772.0    都不带看回放的
21.579         1531466762.0    气的想说话
22.06          1531663613.0    给up猪的bgm99个爱心
23.336         1531475544.0     看回放啊
24.063         1531622566.0    出现了现场怪一拳一个现场怪
24.66          1531591644.0    嗯?这次咋没人说“打不过就是挂”，“打死我的都是挂”了?
24.701         1531465650.0    求您自信到烟中恶鬼用98k一枪定头
25.134         1531562504.0    我昨天在路上开车被远处山头的撬棍爆头了
25.48          1531496423.0    孤存:打不过的都是挂😂😂😂
26.229         1531658521.0     在现场，看录像
26.542         1531492038.0    你前辈
27.221         1531471572.0    气的说话
27.366         1531474970.0    锁
28.179         1531561523.0    这个next to you是什么版本的  没听过
28.921         1531493567.0    回大厅看讲究
29.221         1531464195.0    蜜汁BGM
31.805         1531667517.0    呵呵了，酸个什么劲
31.813         1531463349.0    在现场
31.858         1531553302.0    打死我的都是挂
31.941         1531623716.0    bgm命
32.771         1531622574.0    回放啊
32.893         1531576132.0    我也没听过这个版本的next to you
33.099         1531615001.0    烟里98K爆头不是挂？
33.219         1531526220.0    说打不过都是挂的你在开玩笑吧，穿烟爆头，职业选手刚开镜就爆头，你觉得不是挂是什么？
33.361         1531470431.0    BGM:命
33.476         1531626771.0    原版寄生兽背景音乐
33.6           1531549715.0    在现场
33.996         1531474088.0    真的是挂，在现场
35.141         1531473492.0    我也做到过，随缘枪
35.157         1531538103.0    透过烟雾看到敌人。。。
35.238         1531494701.0    好温柔哦
35.339         1531595338.0    昨天碰到个挂壁队友 什么功能都有
35.359         1531598008.0    我今天遇到个更厉害的G上车就被平底锅爆头  无视距离 谁上车拍死谁。
35.481         1531566257.0    原来他会说话
35.708         1531495640.0    我现在还没遇到过挂
35.794         1531554960.0    气的XDD直说话
35.8           1531639157.0    狮孤组合
36.306         1531483309.0    不开的封了大半你觉得呢
36.648         1531625816.0    气的孤存想说话
36.772         1531619971.0    这个叫命  cover的
37.159         1531501897.0    对啊所以我不玩了
37.38          1531657472.0    不看回放为什么这么说？好像自己很厉害似的
37.469         1531460852.0    Bgm好评
37.641         1531490204.0    bgm要不要这么悲伤
37.987         1531461929.0    瑟瑟发抖
38.278         1531569401.0    不好意思，低端局的我十把遇一次
