排名：61
网址：https://www.bilibili.com/video/av26721042
更新时间：07-15
弹幕总量：1015
preciseTime    ofTime          comment
0.08           1531409260.0    夜食记
0.336          1531407374.0    11分钟前！！
0.36           1531433308.0    酥饼
0.541          1531409919.0    夜食记
0.598          1531438568.0    您正在收看的是 夜食记
0.618          1531407508.0    看到我你已经是2011以后了，三分钟
0.638          1531407203.0    夜食记
0.744          1531408119.0    22分钟前
0.82           1531408977.0    是你！夜食记！
0.861          1531412530.0    万饿之源
0.951          1531408450.0    好的第一承包酥饼！
1.039          1531408965.0    BGM：Young wolves
1.252          1531460516.0    抱走酥饼
1.391          1531412020.0    看到我你已经是5万后
1.535          1531406943.0    可算发视频了
1.641          1531413443.0    夜食记
1.877          1531410617.0    第一次这么早
1.992          1531410284.0    夜食记
2.238          1531408631.0    1
2.266          1531407818.0    欢迎观看夜食记
2.287          1531408600.0    31分钟前，夜食记
2.291          1531409063.0    终于来到一个没有嘤嘤怪的视频了
2.305          1531425331.0    夜食记
2.401          1531410407.0    夜食记
2.6            1531467842.0    来啦来啦！
2.761          1531409450.0    夜食记
2.839          1531407111.0    六分钟！
2.856          1531590255.0    2018 07 15 01:44 成都武侯暴雨午夜卡，滴——
2.857          1531411442.0    夜食记
2.86           1531453150.0    第19999
3.27           1531410408.0    emmmm
3.388          1531407255.0    关上前一万的大门
3.439          1531409118.0    夜食记
3.521          1531409262.0    夜食记
3.624          1531407098.0    6分钟前
3.661          1531413983.0    夜食记
3.67           1531407899.0    300前！！！
3.686          1531408045.0    夜食记
3.72           1531407140.0    你看到我已经是5000后了。
3.885          1531407053.0    前4000！第一次这么前
3.927          1531411659.0    夜食记
4.079          1531412976.0    夜食记
4.096          1531408188.0    夜食记
4.1            1531407175.0    7min
4.136          1531408348.0    打卡
4.197          1531418433.0    夜食记
4.476          1531407195.0    111
4.601          1531414619.0    看到我你就是两万以后了
4.608          1531413971.0    第一第一
4.641          1531407330.0    来了来了
4.721          1531410539.0    前
4.722          1531407182.0    说好要给刘jy火尧饭的等他十年之约
4.779          1531571106.0    真·夜食记
5.0            1531407132.0    夜食记
5.121          1531453272.0    夜食记
5.212          1531414093.0    BGM:Young Wolves
5.22           1531408956.0    承包酥饼
5.24           1531413289.0    夜食记
5.247          1531454312.0    前排承包酥饼大大，为酥饼大大送鱼干！
5.345          1531408403.0    我好快
5.372          1531407450.0    12分钟钱💰，😱
5.401          1531533891.0    休想
5.416          1531544500.0    夜食记
5.43           1531409304.0    夜食记
5.455          1531455950.0    肉蟹煲！
5.48           1531422846.0    夜食记
5.52           1531408748.0    夜食记
5.562          1531407377.0    魔鬼吧你们
5.601          1531465800.0    报社记
5.632          1531407054.0    3967打卡
5.661          1531409941.0    每到晚上美食区的up都会发出这么，，，的视频
5.672          1531411895.0    夜食记
5.721          1531407571.0    你的夜食记以上线
5.746          1531439220.0    9小时前
5.842          1531408466.0    夜食记
5.934          1531407072.0    夜食记
5.96           1531411336.0    夜食记
6.059          1531413946.0    钱600
6.121          1531409844.0    我的
6.241          1531413390.0    过分又是晚上发呜呜呜
6.289          1531407602.0    可爱死了
6.319          1531535586.0    这个就很棒了！
6.358          1531407385.0    夜食记...
6.361          1531416456.0    夜食记
6.375          1531412393.0    一个小时前
6.525          1531407034.0    今天很早嘛
6.639          1531415352.0    夜食记
6.758          1531412587.0    修仙党的福利
6.799          1531408874.0    妥妥的夜，实际
6.8            1531551172.0    又看了一遍
6.848          1531449121.0    1
6.851          1531410008.0    好可爱
6.881          1531433344.0    看我刷到了什么
6.885          1531407030.0    夜食记上线
6.905          1531407359.0    夜食记
6.908          1531412899.0    夜食记
6.997          1531409350.0    夜食记
7.0            1531453600.0    13小时
7.039          1531407564.0    夜食记
7.321          1531436102.0    夜食记
7.398          1531414889.0    可爱！！！
7.424          1531410536.0    😌
7.465          1531408681.0    滴，你的夜食记上线了
7.529          1531407193.0    8分钟！
7.562          1531407475.0    看见我你已经是8000后了
7.57           1531407485.0    408！！！
7.593          1531408295.0    夜食记
7.6            1531412275.0    1小时前！
7.602          1531414124.0    没人吗？我是第一吗？！！！！
7.654          1531407432.0    今天很前~~~
7.68           1531414036.0    夜食记
7.718          1531408245.0    夜食记
7.761          1531573692.0    哇今天刚好是我
7.8            1531407664.0    大晚上放毒
7.88           1531414662.0    到了晚上，美食up们就露出了他们丑恶的嘴脸
