排名：82
网址：https://www.bilibili.com/video/av26722010
更新时间：07-16
弹幕总量：1058
preciseTime    ofTime          comment
0.0            1531669578.0    新的
0.137          1531499542.0    打他蛋打他蛋！
0.793          1531734719.0    o
1.439          1531460239.0    旅行青蛙
2.139          1531465636.0    7777777
2.6            1531554149.0    打他蛋
2.619          1531449459.0    旅行青蛙
2.922          1531455657.0    打他蛋
3.223          1531452640.0    快刷7777777777777777777
3.369          1531465899.0    777777777777
3.375          1531447844.0    奖杯快递车，您的奖杯到了
3.741          1531456942.0    7777777777777777777777777777
3.819          1531548387.0    t打他蛋
3.88           1531457738.0    bach！
4.04           1531452261.0    打他蛋打他蛋
4.199          1531489542.0    打他蛋
4.381          1531458169.0    打他蛋！
4.439          1531476353.0    打他蛋
4.441          1531456848.0    打他蛋!
4.649          1531459273.0    打他蛋！
4.72           1531700257.0    77777777777777777
4.759          1531488062.0    打他蛋蛋碎了
4.779          1531496890.0    蛋碎了！！
4.838          1531585098.0    bach
5.041          1531456602.0    打他蛋
5.074          1531448372.0    哈哈哈哈
5.12           1531451139.0    BGM牛壁
5.68           1531667182.0    打他蛋打他丹
5.739          1531710096.0    bgm是什么
6.041          1531460549.0    B（别）D（打）D（蛋）
6.467          1531457694.0    ！
6.499          1531561177.0    打他单！
6.665          1531577310.0    打他蛋
6.734          1531555588.0    支咐宝首页搜下“86OO14”说了别谢我
6.741          1531465831.0    为什么弹幕和播放不成比例
6.813          1531496214.0    小姐姐网恋么
6.861          1531444116.0    打他蛋
6.927          1531461846.0    打他的蛋
7.06           1531460544.0    打他蛋
7.475          1531544504.0    为BGM刷一波弹幕
7.519          1531617814.0    打他蛋！打他蛋！蛋碎了
7.66           1531495651.0    旅行青蛙
7.961          1531456610.0    蛋碎了
8.001          1531455566.0    BGM:China-x
8.243          1531577623.0    China－x！！！
8.261          1531445587.0    bdd
8.52           1531452833.0    嚯嚯嚯，柴西安排上了
8.7            1531570026.0    打他蛋
9.17           1531445849.0    安排一波
9.259          1531486047.0    打他蛋
9.44           1531479816.0    打他蛋！！！
9.748          1531448117.0    打他的蛋
9.797          1531456983.0    梦圆哥好评
9.831          1531456377.0    快乐
9.878          1531543452.0    china x
9.918          1531449837.0    77777
10.101         1531457983.0    蛋碎了
10.34          1531486797.0    光之烧烤
10.384         1531491443.0    打他的蛋
10.568         1531471570.0    是人是鬼都在秀，只有7酱在挨揍
10.681         1531531711.0    7777777777777
10.717         1531594308.0    77777777777
10.899         1531457300.0    打他蛋！
11.061         1531458124.0    77777777777
11.07          1531448420.0    旅行青蛙
11.359         1531464005.0    77777
11.371         1531458338.0    7一下好吧，厂长面子给到
11.387         1531442652.0    封面哈哈哈哈
11.389         1531632573.0    777777777
11.459         1531608936.0    china！！
11.738         1531456978.0    7777777
11.75          1531455612.0    徐梦圆好评
11.801         1531455902.0    BDD别打蛋
11.841         1531556268.0    打他蛋，打他蛋！
11.878         1531565339.0    打他蛋
12.088         1531443835.0    虚浮啦
12.309         1531612488.0    打他蛋！
12.38          1531458820.0    china X   开心
12.579         1531477177.0    字幕？？？
12.656         1531483404.0    我只想打他蛋
12.667         1531456105.0    7777
12.697         1531476998.0    777777777
12.801         1531549996.0    7777777
12.877         1531479873.0    777
13.024         1531456498.0    中国风电音好评
13.328         1531456395.0    7777777777777777777777
13.413         1531455938.0    冥冥之中，自有7意
13.718         1531631565.0    蛋碎啦！
13.921         1531456964.0    77777
14.007         1531443666.0    777777
14.091         1531452278.0    77777777777
14.219         1531485963.0    徐梦圆！
14.315         1531446280.0    你个小家伙又在暗示
14.354         1531700267.0    打他蛋
14.4           1531457346.0    打他蛋打他蛋，蛋碎了
14.56          1531455950.0    圆哥好评
14.788         1531455595.0    kkp？？？
15.099         1531507045.0    徐梦圆
15.161         1531482521.0    China X
15.259         1531441237.0    在？kkp
