排名：74
网址：https://www.bilibili.com/video/av26724224
更新时间：07-17
弹幕总量：613
preciseTime    ofTime          comment
0.0            1531567581.0    从v
0.1            1531450817.0    666
0.259          1531453115.0    6666
0.305          1531418151.0    【BGM：Deep Blue Town】
0.519          1531654097.0    不是西游记！
0.614          1531554625.0    有那么一瞬间我以为是西游记
0.747          1531529351.0    这开头，我怎么想起来老版西游记QAQ
0.918          1531549686.0    欢迎收看人比弹幕多系列
1.024          1531419259.0    【UP施工中文字幕，喜欢就投出你宝贵的一票吧~】
1.599          1531570059.0    等等等等等等
1.758          1531642810.0    噔噔蹬蹬，蹬蹬蹬蹬
1.829          1531674748.0    欢迎观看人比弹幕多系列
2.31           1531585274.0    23333333333333
2.865          1531575488.0    西游记  还行
2.888          1531646365.0    你们这群人  光看不留名
3.168          1531633987.0    【Hello 你好 こんにちは】
3.281          1531418161.0    【hello 你好 你好】
3.528          1531790040.0    大家好，我是派大星
3.547          1531646030.0    ⎛⎝≥⏝⏝≤⎠⎞ ⎛⎝≥⏝⏝≤⎠⎞ ⎛⎝≥
3.617          1531550553.0    40多岁的baba
3.999          1531638348.0    要
4.0            1531570185.0    听开头的bgm，差点以为是老版的西游记
4.377          1531634862.0    我是海星【侃】
4.482          1531754580.0    身材相符好评
4.614          1531660747.0    西游记
4.652          1531548526.0    开头西游
4.802          1531666390.0    支付宝首页搜索三零五四五零六，你会谢我的
5.049          1531487313.0    美腿
5.34           1531654471.0    不是西游记？
5.47           1531634241.0    竟然不是西游记，差评
5.532          1531418209.0    【bonjour guten tak 你好】
5.841          1531633998.0    【Bonjour Guten Tag Aloha!】
6.837          1531558389.0    不睡，滚
6.883          1531650655.0    没有德丽莎要死了
7.201          1531597577.0    西游记
7.335          1531677450.0    海星
7.572          1531542638.0    6666
7.868          1531612376.0    66666666666666666
8.253          1531584175.0    德莉莎世界第一可爱
8.595          1531655009.0    一点开路过的爸爸回头看了我一眼，我假装没注意他，自己嘀咕了句，这什么啊，默默调低了声音。
8.706          1531416823.0    36
10.475         1531611677.0    佐仓大法好
10.567         1531479146.0    好长的腿！
10.595         1531586517.0    修仙
10.89          1531568917.0    西游记+1
10.892         1531756758.0    请收下我的膝盖
10.925         1531550668.0    西游记
11.317         1531449727.0    竟然没有弹幕？！
11.733         1531634011.0    【Zappuun】
11.957         1531581766.0    额单手打字很不方便
12.201         1531650750.0    水印瞩目
12.213         1531418227.0    【zapping】
12.332         1531574450.0    我是海星
12.381         1531548036.0    海星又是你
12.738         1531540703.0    我老婆真可爱
12.934         1531531404.0    我是海星
13.255         1531533028.0    海星：我觉得海星
13.634         1531478212.0    有质感
13.68          1531530709.0    ......
13.747         1531504915.0    我是腿上的海星
13.944         1531549918.0    西游记
14.444         1531563946.0    高级水印
14.644         1531649962.0    肩膀没屁股宽................
14.717         1531566766.0    水印好评
14.857         1531577054.0    妈吖太可爱了叭！！
15.266         1531646090.0    T偷偷抱走
15.567         1531547700.0    不火？
15.645         1531711219.0    西游记。
15.769         1531640563.0    水印很灵性
15.824         1531569950.0    299
16.135         1531418161.0    后面水印贴的好！
16.289         1531545585.0    六六六啊
16.295         1531565961.0    我上镜了！没错，我就是她穿的内裤
