排名：68
网址：https://www.bilibili.com/video/av26725241
更新时间：07-21
弹幕总量：17904
preciseTime    ofTime          comment
0.0            1532066664.0    前排提醒，先看结尾！
0.001          1531900039.0    欢迎回来
0.067          1531912797.0    十周年快乐
0.069          1531889950.0    110万币
0.083          1531739088.0    为什么不能再投币呢
0.109          1531909877.0    中间弹幕好少
0.123          1531632471.0    99.7w
0.148          1531585723.0    找线索的欢迎回来
0.161          1531578778.0    十周年快乐！😃😁
0.199          1531629340.0    十周年快乐
0.213          1531727517.0    支付宝的你刷我一个一个举报
0.226          1531715542.0    欢迎回来，祝各位在视频里玩的愉快~
0.245          1531834767.0    欢迎回来，爱你们哦~
0.247          1531625109.0    十周年快乐！
0.318          1531813387.0    看前先投币，赚他一个亿
0.33           1531578738.0    十周年快乐
0.342          1531638838.0    吱付寶搜索7220383，你会回来感谢我的
0.362          1531633072.0    十周年快快乐乐
0.398          1531615910.0    恭喜你发现镇站之宝
0.399          1531706656.0    一定要看到最后
0.457          1531978256.0    我又回来了
0.561          1531741427.0    合影留念
0.578          1531633639.0    100万硬币达成
0.603          1531637482.0    十周年快乐
0.638          1531937620.0    十周年快乐，
0.648          1532089116.0    十周年快乐
0.677          1531666583.0    十周年快乐
0.681          1532051886.0    十周年快乐
0.689          1531907849.0    支咐宝首頁捜索“86OO14”说了别谢我
0.698          1531978270.0    我又回来了
0.7            1531978239.0    我又回来了
0.743          1531811411.0    十周年庆祝
0.758          1531928751.0    欢迎回来，寻找线索
0.76           1531584267.0    200W核电！
0.784          1531907176.0    欢迎回来寻找线索！
0.879          1531746573.0    十周年合影
0.973          1531738176.0    欢迎回来
0.998          1531640401.0    十周年快乐
1.024          1531728899.0    恭喜你找到镇站之宝
1.038          1532055233.0    B
1.045          1531713524.0    欢迎回来
1.059          1532007321.0    十周年快乐！
1.064          1531975364.0    支付寳搜索“95O6639”，你会回来打死我的（滑稽）
1.08           1531616899.0    十周年！！！
1.109          1531995179.0    先给大家一个提示：找不易发现的数字线索，有彩蛋
1.134          1531645985.0    十周年快乐！！
1.141          1531623535.0    十周年快乐十周年快乐十周年快乐十周年快乐
1.183          1531822589.0    死亡人口复活
1.201          1531739562.0    有生之年系列
1.218          1531733010.0    此生无悔入囧呼，来世还愿做厂工
1.278          1531586227.0    十周年快乐！！！
1.282          1531841017.0    回来找线索的
1.298          1531824108.0    十周年快乐
1.317          1531811976.0    我又回来了。
1.321          1531978230.0    我又回来了
1.358          1531668643.0    欢迎回来！
1.361          1531978261.0    我又回来了
1.4            1531706667.0    一定要看到最后
1.44           1531743802.0    666666666
1.482          1531809596.0    十周年快乐
1.499          1531618193.0    十周年快乐
1.538          1531589932.0    回来找线索
1.562          1531578798.0    ，，，
1.601          1531836037.0    爷爷，👴你关注的up主更新了
1.681          1531637058.0    100w硬币合影！
1.69           1531635449.0    100w
1.706          1531728921.0    恭喜你找到镇站之宝
1.738          1531695544.0    十周年快乐
1.745          1531629284.0    欢迎回来~！
1.757          1531628937.0    十周年快乐
1.764          1531716375.0    支付寳搜一下“
1.811          1531741445.0    十周年快乐，第一条弹幕献给养鸡二厂厂长！
1.838          1531633374.0    十周年快乐！
1.846          1531590686.0    十周年快乐
1.951          1532015543.0    十周年了
1.972          1531623890.0    失踪人口回归系列
1.995          1531739871.0    十周年快乐
2.005          1531737154.0    头号玩家
2.04           1531682126.0    我又回来了
2.099          1531757312.0    先投币再看视频
2.126          1531913629.0    提醒大家：看视频时找线索
2.133          1531590118.0    从片尾回来的
2.195          1531727788.0    十周年快乐
2.208          1531928645.0    失踪人口回归
