排名：51
网址：https://www.bilibili.com/video/av26725991
更新时间：07-16
弹幕总量：1587
preciseTime    ofTime          comment
0.0            1531541750.0    勇气可嘉，但感觉效果并不好
0.061          1531458305.0    哦，看看是谁更新了！
0.08           1531480904.0    前排 投币
0.083          1531718510.0    666
0.578          1531447253.0    这是另一个节目！不要跑到猪脚粉点说没有牛肉粉的味道好吧？
1.106          1531463172.0    来来看看，可以让我更能应对尴尬！
1.345          1531462591.0    看到这个你就知道你是22万以后了
1.44           1531490107.0    先催更再看
1.568          1531708049.0    能不能更新瞎看？更新的这都是什么玩意。
1.772          1531453026.0    妈耶，失踪人口回归呀
1.828          1531470637.0    woc
1.943          1531656956.0    支付寳搜一下“ 520009272”，不过你会回来打死我的（滑稽）
2.112          1531631418.0    我的阅后即瞎呢
2.201          1531442852.0    欢迎回来
2.219          1531446487.0    有生之年系列？
2.313          1531466423.0    ？？？
2.328          1531453711.0    失踪人口回归！！！
2.334          1531466134.0    ？？？？？/
2.395          1531441447.0    猝死人口诈尸！
2.491          1531490371.0    取关了
2.517          1531448198.0    发现了什么
2.617          1531448200.0    奶奶你关注的up主更新了
2.73           1531455345.0    哇！终于更啦！！！！！！！
2.816          1531451293.0    敬告：本视频不适合配饭观看
2.939          1531541934.0    终于回来了
3.052          1531443869.0    哇
3.157          1531451307.0    别问我怎么知道的
3.205          1531490347.0    取关了
3.564          1531554717.0    支咐宝首页搜索“86OO14”真不用谢我
3.764          1531444846.0    有生之年啊
3.84           1531481294.0    失踪人口回归
3.846          1531480934.0    ???
3.868          1531471432.0    恐怖又来打广告了
3.872          1531460429.0    妈耶
3.921          1531481194.0    终于等到你，还好我没放弃
4.064          1531463988.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
4.192          1531490365.0    取关了
4.221          1531459345.0    这个屁股。。。
4.259          1531456855.0    爷爷你关注up主更新了
4.4            1531445190.0    催更催更
4.539          1531661939.0    催更
4.553          1531465943.0    这是隔了多久
4.65           1531532622.0    还我虾酱，这个一点不好看
4.75           1531491866.0    ?????????????????!!!!!!!!!!!!!!!!!!!
4.905          1531458236.0    有生之年
4.918          1531494895.0    66666
5.1            1531576945.0    哇
5.178          1531454425.0    吹更
5.205          1531471225.0    111
5.241          1531462012.0    曾祖奶奶！你关注的up主更新了！
5.396          1531454846.0    失踪人口回归
5.499          1531449829.0    感动死了！
5.716          1531452708.0    23333333
5.78           1531473229.0    有生之年
5.861          1531541263.0    打尻！！！！！！
5.917          1531448682.0    欢迎回来
5.941          1531449556.0    终于等到你
5.971          1531457050.0    夭寿啦，诈尸了
5.981          1531449314.0    看我刷出了什么！
6.058          1531462547.0    有生之年！
6.132          1531486138.0    !!!!!!!!!!!!!!!!!!!
6.169          1531490340.0    取关了
6.279          1531555503.0    。。。。
6.306          1531444307.0    催更
6.484          1531473347.0    挂羊头卖狗肉
6.485          1531461852.0    我滴个亲娘诶
6.535          1531450346.0    失踪人口回归啊
6.58           1531445895.0    这期不错
6.881          1531654802.0    你还有脸回来！？
7.082          1531495155.0    不行了 取关了
7.117          1531554732.0    支咐宝首页搜索“86OO14”这么给力吗
7.175          1531456318.0    活久见
7.189          1531451633.0    啊啊啊啊，有生之年
7.2            1531481754.0    看见你更新我都哭了。
7.261          1531496772.0    失踪人口回归
7.314          1531476275.0    我擦！我看到了什么！
7.379          1531459573.0    严重的失踪人口回归
7.394          1531445856.0    ？?????????
7.48           1531464716.0    失踪人口
7.519          1531682471.0    失踪人口回归
7.633          1531481528.0    惊了
7.636          1531446753.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊
7.657          1531481612.0    失踪人口回归？？？
7.673          1531642093.0    我靠我靠我靠
7.877          1531536247.0    这里的图像左右颠倒一下更好
7.942          1531465256.0    妈呀
7.952          1531490352.0    取关了
7.99           1531446253.0    又来了
8.005          1531459358.0    泪目有生之年！！！
8.019          1531576955.0    终于回来了，感动的要哭了
8.134          1531457742.0    回来了吗
8.199          1531484437.0    死鬼，才回来。
8.201          1531495591.0    更新了
8.48           1531464924.0    欢迎欢迎
8.528          1531441899.0    天哪,我发现了什么
8.619          1531462412.0    欸 这不是我爷爷关注的up主嘛
8.641          1531444169.0    失踪人口回归😱
8.739          1531448532.0    来了来了！
8.764          1531450615.0    感人！！！！！！！
8.781          1531457302.0    失踪人口！
8.791          1531490922.0    我靠
8.979          1531446938.0    ............
9.057          1531452992.0    我的天，我看见了什么
9.201          1531460327.0    催更
9.288          1531708064.0    取关了，再见
9.309          1531455074.0    握草。终于等到了
9.482          1531488427.0    回归？
10.013         1531442209.0    。。。
10.052         1531632012.0    诈尸吗
10.335         1531486795.0    诈尸了
10.367         1531471943.0    @黄婷婷
10.369         1531457859.0    失踪人口回归了
10.385         1531442146.0    我是David，你是谁？
10.44          1531466143.0    似曾相识？？？？？？
10.499         1531498360.0    你还有脸回来
10.545         1531448536.0    有生之年
10.601         1531457799.0    爷爷你关注的UP主更新了
10.72          1531450088.0    爷爷，您关心的阅后即瞎终于更新啦
10.841         1531491356.0    66
10.867         1531714273.0    不务正业
11.056         1531645305.0    有B脸回来
11.212         1531454800.0    来了 来了
11.435         1531452321.0    回歸了
11.513         1531443223.0    。
11.761         1531460273.0    催更！
11.762         1531477948.0    我看了什么？
11.791         1531475010.0    过来瞄一眼
11.925         1531444461.0    瞧瞧我看到了什么
12.04          1531490774.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
12.166         1531470783.0    3333
12.283         1531442312.0    爷爷你关注的up更新了！
12.354         1531465988.0    夭寿了，居然更新了
12.37          1531446880.0    爷爷！爷爷！up主活了
12.46          1531612682.0    我居然缓存了三部阅后既瞎
12.482         1531445651.0    熟悉的催更
12.517         1531456499.0    你还好意思回来
12.635         1531442385.0    ？？？？？？？？？？？？？？
12.737         1531497718.0    啊啊啊，投完再阅
12.74          1531453382.0    打卡打卡
12.8           1531475744.0    这才几秒，我已经开始2333了
12.834         1531447937.0    卧槽
12.93          1531446691.0    催更催更
13.16          1531451756.0    失踪人口回归系列
13.196         1531559317.0    。。。额   哎
13.237         1531490357.0    取关了
13.455         1531447922.0    失踪人口回归
13.539         1531481857.0    我是从瞎说辗转过来的。。。。。
13.698         1531587961.0    这是要让我取关吗
14.059         1531482694.0    啊啊啊，诈尸啦
14.092         1531542444.0    23333竟然看到了黄婷婷
