排名：59
网址：https://www.bilibili.com/video/av26730301
更新时间：07-17
弹幕总量：2385
preciseTime    ofTime          comment
0.0            1531641829.0    吱付寶搜索7220383，你会回来感谢我的
0.067          1531709791.0    失踪人口回归
0.26           1531643395.0    吱付寶搜索7220383，你会回来感谢我的
0.371          1531789639.0    失踪人口回归
0.463          1531632199.0    欢迎收看鲁宾。。。茄漂流记
0.476          1531611903.0    死亡人口复活
0.557          1531564479.0    老番茄居然做牙套吗
0.686          1531765073.0    新人计数菌在此
0.737          1531578561.0    失踪人口回归
0.788          1531724379.0    yachi
1.043          1531563073.0    我的天
1.144          1531661795.0    失踪人口回归
1.237          1531621519.0    爷爷你看，你关注的up主出新视频了
1.3            1531699957.0    大家好，我是老番茄
1.472          1531659460.0    瞧我刷出了什么
1.558          1531618604.0    游戏名：木筏生存raft
1.576          1531643069.0    失踪人口回归！！
1.877          1531566466.0    你居然有脸回来
1.927          1531745145.0    支付寳搜一下“ 520009272”，不过你会回来打死我的（滑稽）
1.949          1531570804.0    失踪人口回归
1.964          1531578906.0    你还敢回来？！
2.381          1531655815.0    失踪人口回归！！！
2.391          1531670329.0    失踪人口回归
2.549          1531625845.0    你还有脸回来
2.679          1531568904.0    你是谁？为什么出现在我的关注列表里？
3.0            1531572475.0    这天老番茄想起了他的b站号
3.062          1531660528.0    失踪人口回归
3.14           1531659458.0    哇，
3.246          1531565298.0    你是谁？
3.303          1531632858.0    你还有脸回来?!
3.436          1531765038.0    新人计数菌在此
3.437          1531561322.0    有生之年系列
3.489          1531577492.0    孙子我知道了！
3.551          1531568961.0    爷爷你关注的up主更新了
4.079          1531583016.0    失踪人口回归
4.123          1531563817.0    哈哈哈哈哈哈哈哈哈或或哈哈哈哈哈
4.2            1531619534.0    你还有脸回来
4.262          1531723493.0    番茄番茄🍅~
4.4            1531629746.0    Raft
4.461          1531673841.0    这次真的漂孤岛去了吧，这么久才回来
4.514          1531644989.0    吱付寳首页搜索5l342l732，真的不用谢我
4.529          1531571234.0    爷注更！
4.667          1531573743.0    ou
4.757          1531611888.0    你还有脸回来
4.821          1531569750.0    爷爷你关注的UP主更新啦！
4.961          1531669061.0    番茄你终于回来了
5.119          1531578685.0    终于出现了
5.141          1531752511.0    你终于回来啦啊啊啊啊啊啊啊
5.212          1531650923.0    你是谁
5.279          1531618615.0    游戏名：木筏生存raft
5.479          1531699976.0    现在我发现我飘流在大海上
5.583          1531750821.0    这个新人up是谁？
5.6            1531573051.0    失踪人口回归
5.685          1531580251.0    这游戏终于公测了！
5.72           1531627090.0    失踪人口回归
5.9            1531573638.0    失踪人口回归
5.939          1531624293.0    死亡人口回归
6.222          1531670525.0    爷爷……
6.315          1531632485.0    游戏名：木筏
6.488          1531645295.0    老菊花
6.521          1531569080.0    失踪人口回归
6.586          1531621909.0    爷爷你关注的up主更新啦！
6.675          1531575846.0    失踪人口啊
6.721          1531574142.0    失踪人口回归
6.758          1531637568.0    23333333
6.801          1531606614.0    失踪人口回归
7.058          1531656434.0    我的天哪，我等了好久。。。
7.153          1531567399.0    接的广告？？？？？？？？？？？？？？？？？？？？？？
7.233          1531642224.0    失踪人口回归
7.616          1531699995.0    我，我今天可能会有点大舌头
7.634          1531744879.0    失踪人口？
7.681          1531705125.0    失踪海上没毛病啊
7.736          1531765105.0    扔 *1
7.894          1531567029.0    失踪人口回归了
7.987          1531633595.0    失踪人口回归
8.266          1531581682.0    你还知道回来
8.702          1531706163.0    你还有脸回来！
8.72           1531641698.0    失踪人口回归
8.966          1531685581.0    失踪人口现已被警方安全送回家！大家不用担心了！款也白捐了！
9.186          1531622114.0    天哪
9.195          1531729741.0    失踪人口回归
9.23           1531621485.0    诈尸人口
9.267          1531645797.0    番茄越来越短了
9.385          1531567695.0    失踪人口回归
9.784          1531567290.0    失踪人口回归了
9.823          1531622173.0    去玩吃鸡
9.838          1531663920.0    复旦之耻
9.845          1531700006.0    这是为什么呢
10.268         1531646193.0    失踪人口
10.559         1531657415.0    高产似母猪
10.651         1531569645.0    感冒了！
11.108         1531765115.0    扔 *2
11.135         1531670072.0    你还有脸回来
11.489         1531613005.0    感冒了？
11.678         1531568845.0    失踪人口回归
11.847         1531626469.0    死亡人口扎实
11.888         1531700025.0    因为我考完试以后去做了一个牙齿矫正
11.938         1531567423.0    好巧啊，我也刚做完牙齿矫正
12.218         1531572774.0    失踪人口回归
12.26          1531607008.0    Raft
12.947         1531640295.0    失踪人口回归
13.001         1531579857.0    回来了！！
14.014         1531624775.0    失踪人口回归啦
14.352         1531575932.0    失踪人口回归
14.603         1531610276.0    我也是诶
14.65          1531715573.0    天哪，我居然玩过
14.921         1531628849.0    支咐宝首页搜嗦“86OO14”稳住别黄了
14.936         1531625963.0    失踪人口回归
15.012         1531591001.0    爷爷！！他回来啦！！
15.119         1531720461.0    什么游戏？
15.402         1531695317.0    牙齿脚正
15.537         1531737563.0    失踪人口回归
15.741         1531563411.0    刚摘牙套(๑´∀`๑)
15.789         1531700046.0    然后今天刚刚带上牙套
16.08          1531645253.0    失踪人口回归
