排名：77
网址：https://www.bilibili.com/video/av26732790
更新时间：07-17
弹幕总量：3129
preciseTime    ofTime          comment
0.04           1531525677.0    分P狂魔
0.256          1531534853.0    这一期超棒，全程高能爆笑，笑的肚皮疼
0.962          1531543970.0    再刷一遍看弹幕哈哈
1.357          1531644287.0    承包全员！！！！！！！
1.619          1531658957.0    支付寳搜一下“
1.877          1531579495.0    大左我要和你不可描述
1.908          1531630166.0    记得
2.085          1531611431.0    善用屏蔽和举报哟
2.133          1531534860.0    来了
2.205          1531524947.0    表白
2.453          1531561037.0    来了来了
2.683          1531557745.0    四刷
2.901          1531583243.0    本期超高能！！！不要喝水不要敷面膜！！
2.978          1531527697.0    表白濑濑
2.981          1531533439.0    爱非们注意弹幕礼仪哟
3.037          1531564880.0    三刷
3.205          1531527141.0    我来了
3.464          1531750817.0    Hi
3.584          1531539995.0    来啦来啦
3.754          1531541447.0    三刷昨天看的电视今天两遍B战
3.941          1531537837.0    这一季的几期都不失水准，非常好
3.986          1531579003.0    你们好快啊
4.035          1531626980.0    二刷――
4.077          1531527044.0    来啦
4.195          1531547111.0    来了来了
4.475          1531659009.0    来啦来啦
4.504          1531542953.0    表白全員😘😘😘
4.697          1531756845.0    哈哈哈哈
5.15           1531539609.0    昨天没看成直播，现在来啦！
5.162          1531565518.0    组成弹幕？
5.242          1531657793.0    来了
5.301          1531550113.0    来看天乐
5.319          1531537732.0    哈哈哈
5.362          1531538661.0    你就是全世界最好的
5.692          1531535188.0    哈哈哈
5.973          1531642165.0    二刷，没看够
6.042          1531571795.0    弹幕呢
6.058          1531567206.0    来啦！好开心
6.322          1531530805.0    总算又来了
6.44           1531628081.0    又来接着刷没刷完的二刷，这叫高效利用碎片时间hiahia
6.453          1531525663.0    表白全员！！！！！
6.485          1531569762.0    二刷！！！
6.522          1531742775.0    宁大人宁大人宁大人宁大人宁大人
6.738          1531575756.0    抢凳子
6.834          1531716817.0    来迟了
6.905          1531528676.0    来了
7.14           1531530034.0    来咯
7.258          1531527309.0    来啦来啦
7.378          1531547224.0    无限表白
7.646          1531656089.0    支持
7.719          1531589599.0    看我刷到了什么宝贝!
7.72           1531561680.0    来了来了
7.897          1531531893.0    来了 表白全员
8.018          1531528272.0    小贝小贝小贝小贝٩(๑^o^๑)۶
8.378          1531527947.0    为什么我1P没声音
8.695          1531527718.0    来看濑濑
8.938          1531527010.0    暑假一来每天都要等非正
8.984          1531659269.0    日常电视完了上b站点赞投币
9.002          1531541551.0    承包濑濑💓
9.238          1531536202.0    终于来了
9.258          1531655521.0    再看一遍
9.813          1531535076.0    萨沙萨沙萨沙萨沙
9.882          1531546758.0    来啦来啦
9.941          1531545279.0    来啦
9.984          1531616766.0    来啦
10.005         1531756143.0    濑濑！！！冲鸭！！！
10.301         1531531438.0    来了
10.359         1531544229.0    表白濑濑！和我萨沙！
10.521         1531537909.0    来了
10.571         1531537149.0    报到
10.814         1531630178.0    非正
10.894         1531532793.0    来啦
11.058         1531575775.0    超喜欢，最爱的综艺节目
11.183         1531573495.0    分P恶魔
11.26          1531625874.0    爱你非非
11.298         1531732878.0    三刷
11.475         1531680983.0    表白
11.499         1531543031.0    laile
11.583         1531556314.0    哈哈
11.643         1531535728.0    早上爬起来看
12.036         1531532250.0    yes更新了
12.169         1531534480.0    哈哈哈哈
12.341         1531562724.0    全程笑点
12.839         1531637165.0    表白非正
13.498         1531555539.0    来啦~~~~~~~~~~~~~~~~
13.629         1531609873.0    表白萨沙！
13.645         1531542979.0    來啦來啦來啦😘😘😘
13.663         1531539088.0    投币转发了
13.734         1531654090.0    666
