排名：69
网址：https://www.bilibili.com/video/av26746972
更新时间：07-17
弹幕总量：1340
preciseTime    ofTime          comment
0.0            1531548147.0    最爱GBA游戏了
0.067          1531484616.0    我康到了！！！
0.1            1531646102.0    李还知道回来
0.196          1531524569.0    有生之年
0.211          1531699573.0    李还有脸肥来
0.532          1531528225.0    太可爱了吧
0.606          1531548472.0    以前玩过，不会玩，现在特别想玩找不到。哎
0.641          1531479558.0    鹅好～
0.788          1531664385.0    吱付寶搜索7220383，你会回来感谢我的
0.812          1531560636.0    你还有脸回来！
0.867          1531576606.0    这个虫子还行 因为没有翻译 玩不动
1.077          1531583935.0    阿
1.132          1531492076.0    有生之年
1.16           1531644247.0    吱付寳首页搜索5l342l732，真的不用谢我
1.199          1531492928.0    有生之年！！！
1.311          1531759630.0    有生之年
1.378          1531522654.0    有生之年系列？
1.392          1531660927.0    支付寳搜一下“
1.451          1531528253.0    可爱可爱了!!!
1.482          1531634678.0    欢迎大家收看up主总算恢复记忆系列
1.827          1531759588.0    有生之年
1.871          1531550215.0    开口脆
2.1            1531666837.0    aoao
2.174          1531677954.0    帮老E拔毛
2.282          1531485574.0    终于更新了
2.294          1531745051.0    支付寳搜一下“ 520009272”，不过你会回来打死我的（滑稽）
2.357          1531759634.0    有生之年
2.486          1531530699.0    EEEEEEEEEEEEEEE
2.506          1531484015.0    捕虫少年
2.533          1531481924.0    李还有脸肥来
2.585          1531552782.0    李还敢回来
2.588          1531619740.0    ??
2.738          1531487049.0    我来咯
2.82           1531562903.0    卧槽
3.122          1531489712.0    有生之年
3.13           1531765053.0    来了来了O(∩_∩)Oε=ε=ε=(ﾟ◇ﾟﾉ)ﾉ
3.138          1531712166.0    一起上帮老E拔毛
3.193          1531499393.0    底特律
3.197          1531560620.0    有生之年
3.205          1531619692.0    终于。。。
3.334          1531480889.0    七小时前
3.38           1531481704.0    ？？？？？WTF？？？
3.532          1531490792.0    突变高产鹅
3.573          1531759639.0    有生之年
3.646          1531543782.0    暗示黑魂要摸2年半
3.665          1531503334.0    有生之年居然还能看到这个系列更新
3.831          1531483664.0    老鹅有字幕啦！
3.856          1531754397.0    我玩过
4.091          1531528293.0    爷爷你关注的up主终于更新了。
4.247          1531542157.0    居然跟 我一样消失两年
4.413          1531498143.0    李还记得这个！
4.532          1531487053.0    我来咯
4.556          1531663434.0    这的是诈尸
4.695          1531553990.0    来了
4.874          1531625575.0    弹幕好少
4.898          1531489259.0    gay
4.957          1531616758.0    我的jio虫233333333
4.998          1531478757.0    观众都忘了有这个系列
5.035          1531485163.0    ？？？？？？？？？
5.056          1531506250.0    好前！
5.165          1531651571.0    有生之年
5.218          1531633494.0    v
5.389          1531481100.0    我的老e啊
5.399          1531734210.0    玩过、
5.431          1531504171.0    你还知道更新？
5.457          1531701018.0    1
5.654          1531550545.0    我靠玩过
5.974          1531482878.0    想你想你想你
6.259          1531479984.0    ？？？？？？？？？？？？？？？？几年了？？？？？？
6.333          1531483608.0    哈哈哈啊
6.361          1531486867.0    有生之年
6.477          1531759623.0    有生之年
6.572          1531528893.0    有生之年
6.674          1531546623.0    绿字那个发支付宝的孤儿举报下，污染环境
6.83           1531553917.0    jojo
7.028          1531479118.0    爷爷，你年青时候喜欢看的电视剧出来了
7.075          1531495523.0    鹅真的是太可爱了！
7.179          1531481965.0    死而复生的系列
7.184          1531533815.0    JUA虫子
7.628          1531589329.0    有生之年
7.884          1531644901.0    这个名字233我的jio虫
7.896          1531665968.0    ☝ᖗ乛◡乛ᖘ☝  完美
8.163          1531562908.0    更新了啊啊啊啊
8.394          1531482336.0    有生之年
8.434          1531501858.0    我玩过！哈哈哈哈
8.554          1531700243.0    高产似那啥
8.571          1531542100.0    屁
8.727          1531620526.0    有生之年系列
8.759          1531480877.0    玩过
8.771          1531528313.0    哈哈哈哈哈哈哈哈哈哈哈哈
9.234          1531479272.0    于生之年
9.889          1531482290.0    jio虫
10.186         1531552856.0    老E你出现了！！！
10.2           1531550788.0    暴龙机
10.997         1531483383.0    你还有脸回来啊
10.998         1531550370.0    @老E妈妈
11.154         1531483285.0    2333
11.228         1531540588.0    Jio虫！
11.231         1531487842.0    玩过这个
11.382         1531561372.0    这妈妈2333333333333333333
11.454         1531496784.0    田尻智
11.633         1531641196.0    我玩过这个！！！！！
11.799         1531543922.0    太可爱了吧这个声线
12.096         1531637943.0    我看到了什么？？？？
12.114         1531542094.0    feng愿的那个是要逗死我2333
12.247         1531479680.0    ↑夙（su）愿谢谢
12.406         1531568149.0    爷爷快来看啊
12.426         1531564506.0    这辈子终于更新了
12.452         1531564353.0    哈哈哈哈
12.465         1531534448.0    玩过
12.607         1531558328.0    233333
12.692         1531562819.0    抓虫子真尼玛好玩！
12.732         1531567357.0    zua从子
13.024         1531553211.0    ？？？？这是什么系列？？
13.089         1531634922.0    Wtf is that
13.129         1531512547.0    我去我还玩过这个
13.206         1531487788.0    绿字nmsl
13.256         1531559076.0    才发现更了！！！！！！！！！！！！！
13.311         1531622367.0    真香
13.334         1531539587.0    老实人↑
13.426         1531486535.0    我好像玩过
13.82          1531622613.0    脚虫
13.841         1531757041.0    投币收藏点赞
13.899         1531708852.0    !!!∑(°Д°ノ)ノ有生之年居然看到了
13.974         1531484509.0    有生之年啊啊啊啊啊啊
14.081         1531549943.0    爷爷老E的那个视频出了
14.154         1531544881.0    抓（zhuá）虫子
