排名：61
网址：https://www.bilibili.com/video/av26750381
更新时间：07-16
弹幕总量：857
preciseTime    ofTime          comment
0.0            1531484164.0    7473
0.099          1531525155.0    可耻的播放量
0.317          1531483362.0    播放一
0.42           1531563024.0    可耻的播放量
0.598          1531491882.0    两个小时前!/开心
0.698          1531555003.0    耳机党吓一跳
0.808          1531542501.0    好有意思！
1.064          1531485779.0    这个主题太阳猫早就做过了啊......
1.078          1531483421.0    一分钟前
1.139          1531489597.0    夜食记
1.198          1531483650.0    今天吃什么
1.258          1531488995.0    熊猫吃什么？
1.824          1531485102.0    夜食记
1.916          1531483283.0    好前！第一！截图！
2.04           1531483397.0    看到我已经是500后了
2.344          1531659086.0    支付寳搜一下“ 520009272”，不过你会回来打死我的（滑稽）
2.363          1531484037.0    前前前
2.48           1531573105.0    后期加两个鸡腿系列
2.627          1531489470.0    能猫吔翔 滑稽
2.638          1531483279.0    前
2.685          1531483427.0    第一次这么靠前~
2.757          1531494769.0    3
2.758          1531655642.0    我看成吃熊猫翔
2.853          1531483966.0    欢迎回来 ！！
2.855          1531491557.0    换风格了耶，好评么么哒
2.856          1531483970.0    早
2.857          1531484066.0    13分钟前
2.869          1531522867.0    熊猫吃什么？？？？
2.908          1531483607.0    qian
3.282          1531483601.0    看到我你就不是前2000了
3.283          1531630298.0    哎呀，前排
3.339          1531485801.0    夜食记
3.419          1531554070.0    ？？？
3.461          1531483495.0    3分钟前！
3.481          1531484266.0    夜食记
3.641          1531483455.0    953yes
3.881          1531483939.0    前
4.059          1531483291.0    1
4.217          1531483345.0    441
4.219          1531485749.0    41分前
4.24           1531492141.0    今天吃翔哎
4.252          1531629134.0    ？？？？？？？？？？？？？？？
4.267          1531483332.0     第一啊！
4.281          1531562420.0    支付寳搜一下“95O6639”，不过你会回来打死我的（滑稽）
4.382          1531483338.0    第一次那么前面
4.413          1531493104.0    居然赶上了？？？
4.472          1531483922.0    5305
4.481          1531483552.0    4分钟前
4.62           1531494396.0    ……
4.881          1531623054.0    日食记，酥饼
4.899          1531489652.0    合影留念
5.159          1531539118.0    好萌好萌，酥饼也萌，先投个硬币再看
5.239          1531546376.0    哈哈哈哈哈哈哈笑死了
5.259          1531483694.0    很有创意啊
5.281          1531543839.0    还有人记得糖葫芦吗
5.3            1531483504.0    3分钟前！
5.48           1531554099.0    换个方向就是熊猫拉粑粑
5.621          1531484960.0    头一次这么早
5.67           1531484530.0    250
5.809          1531484920.0    居然这么早
6.016          1531484320.0    8939
6.032          1531494779.0    3h前开心
6.421          1531547078.0    平平做过
6.579          1531489657.0    这是什么沙雕菜名
6.739          1531640791.0    5年前我就会做
6.761          1531492654.0    不就是要硬币吗给了！
6.898          1531495472.0    酥饼大人
7.123          1531483522.0    前前前！！！！
7.389          1531483948.0    11
