排名：20
网址：https://www.bilibili.com/video/av26754656
更新时间：07-16
弹幕总量：1212
preciseTime    ofTime          comment
0.0            1531646215.0    投完币，收完藏，赶紧走，来得及。
0.033          1531539939.0    哦买嘎得儿！死侍和超越者干起来了！
0.597          1531484749.0    有生之年系列
1.001          1531492440.0    厉害了
1.474          1531487682.0    失踪人口回归【终于回来了】
1.54           1531491760.0    老瑞回归！
1.548          1531533227.0    失踪人口回归
1.827          1531497446.0    你们是在b站买房了吗。。
2.196          1531501633.0    失踪人口回归
2.557          1531562180.0    💃💃💃💃
2.722          1531591221.0    新人都是怪物系列
3.03           1531577128.0    看到超越者我就放心了
3.306          1531490469.0    终于更新了
3.398          1531650343.0    新人个屁啊
3.402          1531526512.0    💃💃💃💃💃💃💃💃💃💃💃💃
3.659          1531486142.0    失踪人口
4.034          1531629778.0    失踪人口回归
4.215          1531634801.0    💃💃💃💃💃💃💃💃💃💃💃💃
4.267          1531501417.0    爷爷，你关注的up主更新了
4.441          1531615162.0    游戏:天天说我色，敲里妈
4.457          1531539736.0    你永远只会说最强大战？ 都是最强？
4.69           1531558468.0    看见超越者我就来了
4.699          1531489000.0    失踪人口回归！
4.757          1531544021.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
4.902          1531491913.0    看我刷出来什么⊙∀⊙？
5.14           1531488259.0    失踪人口回归
5.143          1531499710.0    有生之年
5.22           1531495130.0    那啥，神符？怎么了。。
5.222          1531554648.0    666
5.34           1531537077.0    有生之年
5.667          1531499229.0    失踪人口回归
5.82           1531503860.0    我的天……这是谁！！！！
6.038          1531533644.0    爷爷  lorry更新了
6.133          1531492001.0    再看一遍
6.18           1531533380.0    诈尸了
6.21           1531554969.0    6666
6.222          1531488515.0    6666666666
6.571          1531487447.0    黄奇柯我知道你在看
7.083          1531605306.0    关弹幕保智商
7.14           1531492805.0    你    你是谁
7.641          1531494200.0    爷爷你关注的up主更新了
7.719          1531484913.0    求bgm
7.786          1531728173.0    举手小人符号怎么打出来的？
7.968          1531487798.0    马化腾讲故事
8.373          1531617752.0    超越 者来了
8.432          1531539776.0    啊，我闻到了偶买噶得的味道
8.579          1531533080.0    咪咪战争
8.601          1531614410.0    第十三次？？？？？？？？
8.689          1531541110.0    失踪人口
8.909          1531543927.0    来啦
9.112          1531614075.0    我还是喜欢原始超越者
9.152          1531540107.0    诈尸了
9.213          1531537473.0    shizon
9.408          1531487464.0    黄奇柯我知道你在看
9.685          1531488013.0    23333333333
9.698          1531528549.0    60606660660
9.826          1531614316.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
10.24          1531489637.0    朕在抖音看了开头跑来b站看完整版
10.462         1531485632.0    我回来了
10.499         1531489808.0    有生之年
10.996         1531555071.0    死侍谁也能打
11.377         1531491898.0    贱贱！
11.475         1531484525.0    回归了
12.221         1531584414.0    高产似那啥
12.79          1531573480.0    23333
12.799         1531494321.0    这个人的视频还挺有趣，我什么时候关注他的
12.849         1531489813.0    更了！！！！
13.561         1531499613.0    啊！是那个姓超的男人！
