排名：37
网址：https://www.bilibili.com/video/av26757990
更新时间：07-16
弹幕总量：1876
preciseTime    ofTime          comment
0.0            1531724006.0    爱你们哟~
0.047          1531546555.0    全程无高能，可放心食用
0.078          1531495493.0    好听吗？好听就是好歌
0.19           1531657530.0    滚~
0.218          1531496890.0    嘟督：？？？？？？
0.258          1531651853.0    刚进来就笑成神经病
0.318          1531479673.0    新鬼畜素材。
0.322          1531563124.0    可爱的草原绿君在此为你提醒高能
0.354          1531551947.0    全程无高能！！！关弹幕保智商！
0.378          1531652270.0    这开头有毒
0.397          1531646305.0    两岸猿声啼不住
0.412          1531543412.0    嘟嘟嘟嘟嘟嘟嘟嘟嘟
0.441          1531479916.0    直播被吓疯
0.48           1531490963.0    看来私信还是有用的
0.517          1531652256.0    我又回来了
0.575          1531635386.0    上次章鱼哥 这次蟹老板还行2333
0.637          1531488983.0    ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
0.797          1531580260.0    达芬奇！
1.03           1531565167.0    全程无高能，全是假预警。
1.118          1531666032.0    嘟嘟嘟嘟嘟嘟嘟……
1.2            1531484995.0    嘟嘟嘟嘟嘟嘟嘟鬼畜警告！
1.236          1531493627.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1.499          1531488568.0    达芬奇了解一下中国boy
1.523          1531529136.0    支付寳搜一下“95O6639”，不过你会回来打死我的（滑稽）
1.542          1531490099.0    大眼猩
1.7            1531488268.0    mm
1.75           1531496720.0    最近你好像很喜欢玩海绵宝宝类的游戏呀。
1.838          1531713484.0    支付寳搜一下“ 520009272”，不过你会回来打死我的（滑稽）
1.845          1531523196.0    支付寳搜一下“95O6639”，不过你会回来打死我的（滑稽）
1.914          1531632546.0    支付寳首页搜索5l342l732，真的不用谢我
2.0            1531597975.0    什么鬼？
2.018          1531529891.0    嘟嘟嘟嘟嘟嘟嘟
2.04           1531485410.0    小弟弟又发新视频啦，大哥哥来看一看。
2.219          1531489231.0    又是恐怖游戏
2.251          1531483733.0    。
2.397          1531619361.0    哈哈哈哈哈哈哈哈哈哈哈哈哈？？
2.537          1531659896.0    手机是男是女
2.56           1531728312.0    我这一段重复了十遍笑死我了😂
2.729          1531593499.0    欢迎回来
2.761          1531626627.0    猩猩叫高能
2.776          1531493605.0    2333
2.986          1531543946.0    嘟嘟嘟嘟嘟嘟
3.219          1531489624.0    达芬奇了解一下
3.413          1531542006.0    我以为是鼻涕！！！！
3.541          1531490379.0    打卡
3.568          1531588152.0    被你吓到
3.639          1531496087.0    弹幕呢
3.755          1531635399.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
3.94           1531479567.0    3小时
4.041          1531530651.0    哈哈哈哈哈哈哈哈哈哈
4.104          1531540569.0    上班看视频，猩猩的声音差点被老板发现！！！！
4.161          1531502069.0    1:12看这个会死吗
4.218          1531482643.0    什么鬼2333
4.24           1531480540.0    艾玛，刚进来手机差点掉了
4.37           1531486571.0    5小时前
4.38           1531480079.0    4
4.619          1531575925.0    嘟督嘟督嘟督嘟督嘟督嘟督
4.796          1531481969.0    达芬奇
