排名：76
网址：https://www.bilibili.com/video/av26758027
更新时间：07-18
弹幕总量：295
preciseTime    ofTime          comment
0.436          1531702825.0    我又回来啦
0.559          1531718150.0    hi，我又来了哈哈哈
0.978          1531712108.0    莫名喜感哈哈哈
1.722          1531788958.0    完了，出不去了
1.95           1531705933.0    第四遍
2.972          1531705875.0    我又回来了
3.121          1531705254.0    好多都是巍巍对面面说的哈哈哈，面面你看你把哥哥气的哈哈
3.361          1531860772.0    那声白宇出自哪里啊
3.484          1531714412.0    我大概是疯了，听了一遍又一遍
3.657          1531750151.0    硬生生把君子端方温良如玉的沈教授壁成了狂躁中二少年hhhhh
3.764          1531710227.0    警告したよ
3.771          1531675615.0    吓死我了哈哈哈哈哈哈
4.016          1531710247.0    彼はどこだ？！
4.272          1531825602.0    爱哈哈哈哈哈哈出不去了
4.342          1531709685.0    妈也
4.624          1531806126.0    哈哈哈哈突然好笑
4.957          1531711665.0    笑死了哈哈哈哈哈
5.062          1531680063.0    他在哪笑喷了哈哈哈哈哈哈哈哈哈
5.14           1531714028.0    每次巍巍一喊我就想笑
5.237          1531883028.0    居老师快走
5.317          1531825515.0    哈哈哈哈哈哈哈他一喊我就想笑
5.526          1531710275.0    行くな！
5.701          1531812035.0    忍不住n刷哈哈哈哈哈
5.831          1531710288.0    出てきてくれ
5.85           1531825792.0    我真笑死了
5.876          1531689461.0    哈哈哈哈哈哈哈  大声喊单独听好好笑
5.943          1531677077.0    他在这在这....
6.179          1531720428.0    下面那个日语君哈哈哈哈
6.212          1531709438.0    鬼畜
6.408          1531824742.0    他在哪儿！
6.564          1531716831.0    下方黄字日语好评
6.622          1531672331.0    这样剪起来真的好奶，奶凶奶凶的哈哈哈哈
6.802          1531886119.0    哈哈哈哈哈哈他在哪儿一出来笑喷了哈哈哈哈哈哈
6.82           1531710303.0    何してる？
6.979          1531796372.0    戴上耳机再看一遍
7.043          1531887440.0    我又回来了
7.152          1531677933.0    哈哈哈哈哈嘶吼的沈美人可还行
7.805          1531680546.0    哈哈哈哈哈哈
7.977          1531836512.0    哈哈哈笑哈哈哈哈哈哈
8.081          1531885957.0    好好好，不碰不碰
8.625          1531680314.0    巍巍变成了个中二狂躁症少年23333333
8.728          1531708632.0    哈哈哈哈哈哈哈哈哈
8.731          1531843068.0    不去不去
8.753          1531705962.0    你干什么！
8.982          1531711378.0    吓我一跳
9.296          1531662198.0    啊哈哈哈哈哈哈哈哈哈哈
9.705          1531736774.0    吓死我了！！！！！！！！！！！
9.983          1531713252.0    他在哪儿！！哈哈哈哈哈哈哈哈哈
10.159         1531714401.0    你干什么！！好萌
10.309         1531683958.0    听见了听见了
10.9           1531757237.0    听见了听见了
10.985         1531906589.0    听见了听见了
11.048         1531744734.0    我听见了听见了，真的听见了
11.177         1531835881.0    233333333333333
11.276         1531711716.0    中二狂躁少年
11.358         1531746136.0    办公室笑出猪叫
11.536         1531689474.0    听见了听见了
11.637         1531683309.0    哈哈哈哈哈哈哈
11.681         1531737988.0    好好好不碰不碰，都是你的哈哈哈哈哈哈哈哈
11.682         1531824904.0    原来巍巍这么暴躁
11.865         1531843083.0    听到了听到了
12.143         1531661713.0    哈哈哈哈哈哈哈哈哈
