排名：20
网址：https://www.bilibili.com/video/av26761004
更新时间：07-19
弹幕总量：294
preciseTime    ofTime          comment
0.0            1531745530.0    出不去了
0.086          1531990721.0    口型对上了是真的骚
0.156          1531897084.0    承包面面，说休想的都是后来的
0.185          1531980772.0    放我出去！！！
0.24           1531890763.0    不吃藥藥口型對上了啊啊啊啊啊
0.281          1531983094.0    太可爱了
0.326          1531887827.0    啊啊啊啊啊我要被萌死了
0.36           1531983052.0    出不去了，我迷路了( ｰ̀εｰ́ )( ｰ̀εｰ́ )( ｰ̀εｰ́ )
0.368          1531977060.0    我想出去！！！！！！！
0.392          1531880866.0    每日一刷
0.509          1531873423.0    每日一看
0.541          1531877847.0    真滴循环出不去了！！
0.566          1531742073.0    面面这里像瀑布
0.584          1531989013.0    循环好几遍了
0.599          1531754078.0    欢迎回来
0.624          1531760059.0    爆炸可爱⊙▽⊙
0.637          1531790334.0    出不去了
0.649          1531753425.0    台可爱了叭我的马鸭
0.687          1531986073.0    放我出去2333
0.693          1531996050.0    一天三遍
0.718          1531751386.0    啊啊啊啊啊啊啊啊，敲可爱，被面面锁的死死的
0.725          1531977680.0    woc出不去了哈哈哈哈哈哈
0.738          1531987372.0    面面，妈妈爱你！！！！！！！！！！！
0.743          1531981035.0    见证了二十万走向三十万
0.759          1531785852.0    欢迎回来~
0.762          1531875883.0    放我出去！！！
0.82           1531989834.0    欢迎回来…
0.859          1531987980.0    救命啊放我出去！
0.862          1531887412.0    我的妈啊太萌了
0.879          1531887637.0    每日N刷
0.898          1531891561.0    不行了太可爱了
0.916          1531976950.0    我的妈呀陷进去了
0.96           1531753170.0    面面妈妈爱你!!!
0.987          1531787620.0    哈哈哈哈出不去了出不去了
1.005          1531741805.0    面面好萌啊
1.02           1531765857.0    陷入无限循环中，控制不住去点重播的手
1.065          1531993232.0    放我出去！！！
1.102          1531890056.0    这视频有毒，出不去了😂
1.121          1531878460.0    啊啊啊啊面面大宝贝(๑˙❥˙๑)
1.182          1531883249.0    让我溺在这吧
1.205          1531891757.0    啊啊啊啊啊萌死人了
1.209          1531900405.0    欢迎回来
1.22           1531890515.0    出不去啦！！！！
1.239          1531994012.0    又回来了
1.255          1531890743.0    出不去了，看了几十遍。
1.258          1531988247.0    真是人才
1.261          1531881414.0    听说弹幕发不出去
1.28           1531885891.0    每次点进来都出不去！！！
1.32           1531750328.0    出不去啦！！(ノД丶)❤
1.33           1531976976.0    每天n刷
1.351          1531985328.0    请你不要再散发魅力了！！！
1.401          1531901983.0    我的妈呀，真是死循环啊
1.41           1531990809.0    出不去了
1.44           1531982615.0    放我出去！！！
1.51           1531748050.0    没啥好看的，我也就看了个几百遍吧╮(︶﹏︶)╭
1.519          1531896327.0    要死了\(//∇//)\
1.535          1531750573.0    也就看了二十几次
1.56           1531786574.0    放我出去阿阿阿
1.568          1531976313.0    哈哈哈哈哈出不去了出不去了
1.6            1531787601.0    四刷
1.604          1531991103.0    无限循环中
1.61           1531786606.0    太可爱了！！！！
1.628          1531982156.0    循环曲……放我出去……
1.672          1531990063.0    几十遍了
1.685          1531873293.0    放我出去！
1.69           1531881253.0    我的妈
1.718          1531988810.0    你放我出去！！！
1.751          1531886219.0    up是什么人才啊
1.76           1531741210.0    救救孩子，我出不去了了
1.764          1531983574.0    出不去了好可爱啊啊啊啊啊啊
1.799          1531748521.0    hhhhhh无限循环
1.825          1531877876.0    无限循环
1.857          1531980026.0    完了完了，出不去了
1.885          1531885241.0    太可爱啦啦啦啦啦
1.952          1531888419.0    woc，怎么可以这么萌
2.131          1531986374.0    放我出去啊啊啊！
2.193          1531906379.0    哈哈哈哈哈哈哈哈哈哈哈
2.252          1531886264.0    超级可爱了啊~~~~~~~~
2.278          1531978127.0    真的有毒，出不去了
2.32           1531742641.0    出不去了(๑•́
2.38           1531986560.0    放我出去！！
2.414          1531761602.0    面面妈妈爱你！
2.417          1531747407.0    哈哈哈哈哈哈
2.439          1531744049.0    我保证这是最后一遍！
2.447          1531994504.0    再来一遍
2.48           1531985901.0    好想让朱老师看到这个视频呀！他会是什么感觉呢
2.5            1531752830.0    我又点进来了
2.529          1531744832.0    我又回来了。。。
2.536          1531753678.0    我被困住了，放我出去，怎么这么可爱(๑•
2.615          1531898465.0    力力是什么？？？
2.645          1531765772.0    真完了，出不去了
2.727          1531991341.0    谁把门焊死了？？？
2.747          1531978367.0    完了，出不去了
2.796          1531741135.0    好可爱
2.811          1531992194.0    站一秒兄弟
2.834          1531978541.0    太猛了
2.842          1531886202.0    面面
2.925          1531978227.0    我真的要被萌哭了！！
2.955          1531976133.0    hhhhhhhhh
3.009          1531986446.0    哈哈哈红红火火恍恍惚惚哈哈哈哈哈哈哈哈
3.064          1531984344.0    无限循环
3.151          1531983330.0    啊啊啊啊面面好可爱，不吃药药就不吃药药！
3.243          1531988843.0    放我出去！！！
3.29           1531992898.0    我又来啦
3.3            1531993303.0    面面
3.307          1531984618.0    放我出去
3.314          1531977562.0    妈呀，我的小心肝哟喂
3.373          1531759400.0    不行，不行，出不去了
3.437          1531993442.0    真的出不去了
3.546          1531750854.0    哈哈哈哈哈哈O(∩_∩)O哈哈~
3.551          1531907056.0    萌化了
3.582          1531899639.0    出不去了
3.597          1531768852.0    放我出去
3.621          1531991726.0    可以说是很形象了
3.622          1531752935.0    完了出不去了
3.644          1531888372.0    出不去了。。名场面要来了！今晚！
3.679          1531885274.0    好魔性啊，总是忍不住一遍又一遍看
3.684          1531746876.0    放我出去！！！
3.709          1531755808.0    出不去了，面面
3.72           1531754269.0    出不去了
3.723          1531883729.0    出不去了
3.727          1531990520.0    我来了又
3.759          1531752847.0    我又回来了
3.774          1531978310.0    出不去了
3.827          1531760430.0    好萌
3.897          1531988843.0    放我出去！！！！！！
3.916          1531984461.0    出不去了啊
4.069          1531744848.0    好萌啊！！！！
4.086          1531885838.0    啊啊啊啊啊啊好可爱qwq
4.102          1531995416.0    这个视频我已经看了几十遍了
4.152          1531790475.0    可爱
4.189          1531742042.0    循环的我出不去了，妈耶
4.22           1531990028.0    哈哈哈哈
4.227          1531757113.0    我忍不住循环啊！
4.259          1531747576.0    第6遍了！
4.272          1531788979.0    出不去…
4.298          1531983683.0    啊啊啊啊啊啊啊面面爱你啊！！！
4.305          1531875610.0    放我出去
4.315          1531740855.0    出不去了
4.364          1531879853.0    放我出去
4.412          1531991947.0    这十秒我能看一天!
4.449          1531995255.0    啊啊啊啊啊好可爱
4.458          1531745545.0    出不去了
4.505          1531892509.0    面面莫名对上了口型哈哈哈哈哈可爱死了！
4.53           1531784951.0    可爱
4.56           1531789267.0    面面！面面！妈妈爱你！
4.6            1531887749.0    完了，我出不去了
4.606          1531787566.0    哈哈哈哈哈哈哈哈好搭啊！
4.64           1531763033.0    完了出不去了
4.676          1531749826.0    我又来了
4.702          1531747310.0    啊啊啊啊啊啊啊啊啊啊啊妈呀面面！我们不喝药药，不喝不喝。
4.76           1531984140.0    魔鬼循环
4.78           1531876488.0    我出不去了啊啊啊啊
4.803          1531988441.0    哈哈哈
4.821          1531976108.0    十遍
4.822          1531990719.0    出不去了！艾玛太阔爱了
4.826          1531746007.0    我死了
4.829          1531907049.0    噗哈哈哈哈可爱哈哈哈哈
4.883          1531903759.0    不行了我也出不去了，妈耶救我，我要被萌死了
4.981          1531766910.0    惨了！我已经出不去了！
5.04           1531990494.0    哈哈哈哈哈哈哈哈哈哈我看了好几遍了
5.107          1531751944.0    出不去了
5.176          1531907128.0    啊啊啊啊啊啊啊好可爱我的妈
5.18           1531741461.0    完全出不去了
5.225          1531985883.0    出不去了
5.227          1531756386.0    口型居然对上了哈哈哈哈哈哈什么鬼
5.409          1531986061.0    看过最多遍的视频
5.442          1531748230.0    出不去了
5.483          1531982074.0    骨科
5.504          1531753145.0    放我出去啊啊啊
5.621          1531976546.0    N刷
5.622          1531886612.0    出不去了
5.631          1531787596.0    哈哈哈哈哈出不去了！太可爱了
5.758          1531907059.0    面面太可爱了
5.759          1531898767.0    我要靠这个视频活到下午六点吗。。。。
5.76           1531889640.0    好可爱啊
5.877          1531889653.0    出不去了
5.88           1531989006.0    我来了
5.96           1531785879.0    我第三遍了啊啊，放我出去
5.99           1531882007.0    面面妈妈爱你
6.03           1531898769.0    每天循环
6.04           1531888419.0    无限循环
6.06           1531896774.0    真的出不去啊
6.08           1531910902.0    好可爱
6.149          1531751433.0    出不去了
6.202          1531886190.0    出不去了
6.236          1531902848.0    出不去了
6.268          1531908257.0    第n遍，天呐，我出不去辣
6.34           1531994187.0    出不去了
6.344          1531894768.0    沃德马哈哈哈哈
6.381          1531891409.0    哈哈哈哈
6.431          1531884955.0    啊啊啊啊啊啊啊啊啊啊
6.456          1531892304.0    这里我听成吃面面😂
6.472          1531988995.0    出不去了
6.475          1531980233.0    三遍了，放我出去啊！
6.531          1531994168.0    吃面面
6.535          1531907802.0    魔鬼吧哈哈哈哈哈哈哈哈哈哈
6.58           1531993979.0    出不去了
6.594          1531987551.0    每天一刷
6.684          1531755464.0    面面我爱你啊啊啊啊啊啊啊啊啊
6.704          1531976213.0    好可爱啊哈哈哈哈
6.758          1531751874.0    出不去了
6.795          1531885306.0    我的天辣，太可爱了
6.899          1531892084.0    出不去了啊
6.9            1531879035.0    好可爱！！！
6.922          1531890506.0    我的天好可爱啊
6.934          1531759872.0    出不去了
6.941          1531978999.0    我又来了
7.064          1531991924.0    我的天。。。。。。。
7.151          1531751600.0    力力是巧克力吧
7.162          1531994488.0    反复循环
7.22           1531752376.0    出不去了😂😂
7.244          1531761584.0    最后这个撇嘴绝了！
7.263          1531979518.0    啊啊面面麻麻爱你
7.315          1531908505.0    好可爱！！！！！！
7.32           1531991590.0    哈哈哈哈 出不去了
7.335          1531976150.0    天哪哈哈哈哈哈哈哈
7.386          1531994076.0    出不去了哈哈哈
7.406          1531992664.0    太可爱了！！出不去了！
7.424          1531756666.0    好可爱啊啊啊啊啊啊
7.456          1531980601.0    出不去了！！！
7.463          1531988553.0    我看了很多遍……
7.477          1531744496.0    噗哈哈哈哈哈
7.607          1531907445.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我特么哈哈哈哈哈哈哈断气
7.612          1531988607.0    循环十几遍了！！！！！
7.653          1531883288.0    啊啊啊，萌死我了
7.759          1531750636.0    出不去了，我不知道为什么自己控制不住了，好几次重播键
