排名：18
网址：https://www.bilibili.com/video/av26761004
更新时间：07-21
弹幕总量：178
preciseTime    ofTime          comment
0.067          1532143637.0    这可耻的播放量
0.069          1532016083.0    要被萌死了！！！
0.322          1532066916.0    怎么办出不去
0.338          1532073686.0    虽然我是个👿，但是我求你放我出去啊
0.382          1532066552.0    我出不去了
0.419          1532102536.0    欢迎回来
0.44           1532092600.0    日刷的伙伴们大家好
0.445          1532061799.0    放我出去！！！
0.449          1532162721.0    欢迎回来
0.546          1532079676.0    放我出去!
0.56           1532069687.0    欢迎回来！
0.577          1532155889.0    放我出去
0.616          1532076081.0    镇魂女孩优秀
0.667          1532063544.0    我想控制我自己的，为什么天天给我推荐！
0.677          1532138710.0    啊啊啊啊啊啊啊啊啊啊啊啊
0.726          1532096359.0    欢迎回来qwq
0.742          1532046696.0    好可爱啊！好软好可爱
0.802          1532078658.0    太可爱了啊啊啊
0.854          1532055208.0    走不出去了
0.901          1532078681.0    已经不知道多少遍了！！
0.928          1532091519.0    我又又又回来了！
0.943          1532065307.0    别挣扎了你们出不去的
0.944          1532071627.0    9刷！放我出去
0.983          1532067405.0    救命啊，出不去啦
1.042          1532092036.0    循环N
1.125          1532058770.0    放我出去！！
1.144          1532054954.0    出不去了
1.202          1532014375.0    up你是魔鬼吗
1.255          1532085832.0    啊啊啊啊面面我命都给你了太可爱了
1.28           1532095568.0    放我出去
1.282          1532054827.0    救我出去！！
1.359          1532136432.0    阿阿阿阿阿阿啊放我出去！！
1.382          1532049249.0    每天必刷
1.394          1532055377.0    太好看了吧啊啊啊啊啊，怎么会有这么美得人
1.433          1532084228.0    早中晚各二十遍，出不来了，萌化
1.46           1532014930.0    妈呀萌炸了！
1.487          1532058926.0    啊哟出不去了
1.579          1532127911.0    我去我上一次看这个视频才17万播放量……这才几天，你们都是魔鬼吗
1.582          1532066579.0    我去不出了
1.6            1532088103.0    出不去了，好可爱啊啊啊啊啊啊啊啊！，！
1.656          1532012726.0    n刷
1.684          1532164060.0    面面超级可爱的啊啊啊啊
1.716          1532033255.0    我出不去了（摊）
1.76           1532081485.0    出不去啦
1.788          1532165417.0    鬼知道我看了几遍。。。。。
1.812          1532098302.0    太可爱了！！！
1.953          1532107657.0    放我出去！！！！
1.982          1532070432.0    每日一刷
1.999          1532064049.0    救命啊，放我出去
2.004          1532066888.0    汝可识的此阵
2.023          1532061559.0    每天N遍
2.04           1532132614.0    我出不去了
2.059          1532053230.0    巧克力
2.088          1532095943.0    日常一刷_(:з」∠)_
2.12           1532132561.0    我出不去了
