排名：77
网址：https://www.bilibili.com/video/av26763233
更新时间：07-18
弹幕总量：603
preciseTime    ofTime          comment
0.0            1531694194.0    我老婆
0.054          1531577760.0    啦啦啦
0.459          1531474374.0    是肥宅快乐依吗？
1.538          1531719318.0    支付寳搜一下“
1.905          1531712746.0    支付寳搜一下“
2.96           1531699912.0    ...
3.115          1531615624.0    666666666666666666666666666666666666666666666666666666666666666666666
3.118          1531819041.0    14w，800多弹幕，你们的手都在干嘛？
3.2            1531495155.0    正片在哪？
3.36           1531702820.0    支付宝首页搜索三零五四五零六，你会谢我的
3.747          1531652285.0    2P3D环绕音乐！！！！别错过！！！！！.
4.083          1531551692.0    把猪头去掉!!
4.757          1531642242.0    7万多的观看，500多的弹幕，你们在干什么呢？
5.072          1531652366.0    糟糕！这是心动的感觉
5.475          1531655383.0    好
6.001          1531652298.0    2P3D环绕音乐！！！！别错过！！！！！..
6.037          1531699062.0    66
6.491          1531475975.0    棒
6.542          1531655734.0    这毒太深
6.812          1531579476.0    .............
7.388          1531700906.0    全是腿
8.115          1531653494.0    9w观看 400弹幕嗯？？
8.181          1531628946.0    支咐宝首页搜嗦“86OO14”低调别黄了
8.442          1531659602.0    6666666
9.576          1531612406.0    1111111111
9.66           1531472256.0    抱走我天依
10.075         1531721631.0    6666
10.388         1531906107.0    斗宗强者恐怖如斯
10.985         1531475983.0    日常舔舔舔舔舔
11.717         1531650533.0    以为电话响了
11.949         1531739896.0    老婆
12.191         1531589261.0    滴滴
12.851         1531537823.0    看到鞋子还以为是白姐
13.286         1531540198.0    发现抖音上有人抄
13.49          1531664235.0    0.5倍要啥有啥，了解一下
13.613         1531585100.0    双倍快乐 第二份半价
13.794         1531728673.0    刚刚好像穿模了
14.275         1531653692.0    666666666
14.3           1531746487.0    。。
14.503         1531752032.0    心动，是糟了的感觉
14.738         1531903988.0    怎么调播放速度？
14.739         1531542582.0    这段时间这个模型都用烂了
15.042         1531808536.0    凌虚踏风
15.428         1531721366.0    prprpr
