排名：75
网址：https://www.bilibili.com/video/av26764383
更新时间：07-16
弹幕总量：988
preciseTime    ofTime          comment
0.067          1531481989.0    书架上的 公司理财。。。
0.431          1531481598.0    终于！
0.574          1531483479.0    失踪人口回归
0.63           1531486849.0    cjt我知道你在看
0.638          1531481855.0    五分钟前
0.789          1531484545.0    终于来了啊啊啊啊
0.792          1531528233.0    失踪人口回归
0.857          1531528279.0    终于等到你
0.911          1531481471.0    来了来了！！
1.313          1531486370.0    回归
1.474          1531524618.0    奶奶你关注的up主更新了
1.512          1531483302.0    我们是一对儿～
1.629          1531490449.0    失踪人口回归
2.133          1531489069.0    苦等
2.373          1531481466.0    终于等到你
2.739          1531484370.0    我列表里的蜡笔小新活了？
2.92           1531482106.0    来啦来啦！！！！
3.498          1531481259.0    前排沙发
3.643          1531487321.0    今天两个人怎么换了？
3.732          1531530161.0    失踪人口回归
3.834          1531481488.0    又看到你们俩啦 激动
4.362          1531486341.0    蟹蟹！
4.377          1531492622.0    爷爷你关注的up主更新啦！！！
4.51           1531482681.0    来了来了
4.532          1531489149.0    终于等到你
5.171          1531481254.0    来了来了
5.245          1531481239.0    刚刚！！
5.492          1531482579.0    终于可以看到你们惹。。！
5.631          1531490275.0    失踪人口回归
5.642          1531481792.0    从七点就开始等了哇
5.733          1531481388.0    AAA
5.876          1531481912.0    字幕里的一对儿呢？？？
5.929          1531490510.0    终于又更新了
5.934          1531481766.0    好前！
6.149          1531483088.0    三十分钟前
6.252          1531482881.0    瑞瑞报道
6.288          1531490043.0    终于等到你
7.016          1531481267.0    更辣
7.081          1531492701.0    哇 我总于等到你们视频了
7.352          1531483691.0    终于等到你
7.532          1531487190.0    好久不见
7.619          1531523414.0    终于更新了！
7.722          1531481285.0    终于！！
7.818          1531481423.0    前
7.874          1531487302.0    暑假七天不知所措
7.913          1531492055.0    刚刚好 刚刚考完试 *٩(๑´∀`๑)ง*
7.958          1531484058.0    48分钟
8.722          1531481951.0    来了！
9.094          1531490286.0    哇呀呀呀~更了更了！
9.222          1531485727.0    妈妈看我刷到了什么
9.395          1531492272.0    来了
9.431          1531483696.0    终于
9.976          1531481913.0    终于
10.025         1531481293.0    终于更了    懒癌晚期前来观看
10.791         1531483701.0    啊啊啊啊啊啊，来了
11.016         1531493769.0    看我刷出了什么
11.241         1531527734.0    啊啊啊啊啊
11.372         1531481328.0    196~\(≧▽≦)/~
11.469         1531484109.0    我！
11.84          1531481991.0    来了~
12.16          1531499322.0    2333
12.271         1531483714.0    艾玛，我还没死，你们终于啊
12.553         1531488613.0    失踪人口回归系列
13.048         1531487846.0    终于
13.988         1531481760.0    开心！第一！！超喜欢up主
14.285         1531488321.0    终于回归了
14.732         1531521777.0    来了！！！
14.816         1531482716.0    啊啊啊谢谢！！！
15.69          1531481527.0    失踪人口
15.891         1531482919.0    QAQ23333
15.957         1531488936.0    失踪人口回归！！！
16.074         1531481380.0    已经颓废了一个多月的准高一搬到
16.21          1531482226.0    有有有
16.305         1531481286.0    表白up
16.354         1531481264.0    没错就是我 
16.532         1531490275.0    有！！！
16.704         1531484166.0    啊啊啊终于！
16.918         1531481355.0    _(:з」∠)_
17.1           1531481186.0    啊啊啊啊开心
17.113         1531483644.0    来了来了
17.269         1531482694.0    有
17.569         1531484115.0    是我买错了
17.813         1531491283.0    都有
17.875         1531531679.0    哎呀，终于更了，等的我都凉了
18.693         1531490727.0    对对对  是我是我！
18.779         1531532781.0    视频来的太及时了！！！
18.994         1531491814.0    这就是我，就是我，就是我啊，终于被说到了……怎么感觉怪怪的
19.175         1531490058.0    嗯嗯
19.278         1531481694.0    是我了
19.287         1531532117.0    是我了qaq
19.453         1531532882.0    就是我
19.532         1531494308.0    是的是的
19.732         1531485141.0    是我本人了
19.807         1531482872.0    我！
19.927         1531529935.0    终于来了
19.991         1531481599.0    我了
20.114         1531484380.0    是我了！
20.256         1531489879.0    是我了
20.26          1531495733.0    是我是我都是我
20.317         1531481239.0    是我没错了
20.434         1531482499.0    都中orz
20.585         1531481576.0    是我了
20.646         1531482401.0    椅子烫屁股23333333
20.674         1531482221.0    1里面都有
20.778         1531483279.0    中
21.094         1531481613.0    还是我
21.558         1531494077.0    有
21.561         1531491017.0    这不就是我吗
21.562         1531530947.0    来了来了
22.22          1531483550.0    都中
22.311         1531482924.0    打卡
22.533         1531481522.0    是我了
22.647         1531491817.0    嗯
22.732         1531490221.0    蜡笔手好好看啊！！
22.853         1531482699.0    还是我
22.854         1531486954.0    是我本人
23.281         1531485942.0    这不就是我
23.293         1531529650.0    我都有
23.315         1531484179.0    就是我
23.324         1531483505.0    后面书架又多了本社会心理学
23.412         1531487210.0    说的就是我
23.474         1531482505.0    心痛
23.686         1531481802.0    对对
23.799         1531490308.0    失踪人口回归·
23.914         1531492657.0    就是我啊
24.253         1531494317.0    没错了
24.457         1531484339.0    都是我
24.57          1531483283.0    中
24.577         1531487521.0    是我了
24.604         1531485473.0    是我了
24.714         1531481447.0    我本人
24.903         1531488090.0    可以了全中
24.934         1531483509.0    没错
25.05          1531490068.0    这个没有
25.155         1531489842.0    233333333333
25.598         1531491235.0    对对对，是我了，没错
25.769         1531483313.0    更新了，开心
26.081         1531495204.0    跪了 使我
26.084         1531492029.0    哈哈哈哈哈是我本人了
26.414         1531491736.0    全都是我  别说了
26.755         1531481476.0    这就是我
26.848         1531484927.0    是我了
27.074         1531488340.0    全中
27.084         1531483331.0    是我🙃
27.087         1531498290.0    是我没错了
27.306         1531482518.0    是我了
27.354         1531494083.0    对
27.416         1531492504.0    就是我
27.425         1531482400.0    我本人
27.436         1531481242.0    对对对
27.563         1531496356.0    抠脚
27.663         1531486403.0    我我我(′▽`〃)
27.766         1531488130.0    是我没错！
27.854         1531484031.0    是在下本人。
28.365         1531530954.0    对对对超级没耐心
28.397         1531482096.0    疯狂点头中
28.537         1531578499.0    扣脚这个眼神哈哈哈
28.539         1531522538.0    来啦来啦
28.812         1531490075.0    有
28.829         1531483152.0    是我了
28.934         1531481624.0    全占了
28.992         1531484282.0    全中orz
29.522         1531491423.0    是我，啊啊啊啊啊
29.55          1531490990.0    是我了
29.592         1531491380.0    哈哈哈哈太可爱了这一对儿
29.656         1531491360.0    然而我已经高考完了QAQ 
29.733         1531483664.0    全是我。
29.824         1531482706.0    依旧是我
29.931         1531485676.0    对
30.232         1531482314.0    戏精小薰
30.27          1531493721.0    还有6天上课……没有30天……
30.412         1531491585.0    完了是我本人
30.592         1531481295.0    屁股长痔疮啊
30.658         1531510531.0    是我是我
31.334         1531489851.0    23333333333333
31.401         1531499351.0    是我了
31.494         1531489193.0    没错抠脚说的就是我
31.629         1531481571.0    是我没错了！
32.019         1531485682.0    是我了
32.032         1531486634.0    全中
32.072         1531494329.0    没错了
32.152         1531493101.0    这不就是我吗
32.223         1531486164.0    全都中了……
32.499         1531497044.0    gua网游
32.564         1531481595.0    我天，完全就是我哎
32.654         1531578617.0    每次都中，相信我不是一个人
33.024         1531489484.0    对对
33.113         1531484042.0    dd
33.452         1531529681.0    跟我极其吻合
33.532         1531486200.0    是我了
33.554         1531482965.0    抠脚我本人
33.593         1531487875.0    你偷窥我
33.695         1531482888.0    我！
33.713         1531496491.0    是我本人了
33.793         1531495538.0    抠脚本人了
33.832         1531492315.0    是我了
33.905         1531487020.0    是我了
34.124         1531492826.0    本人没错了。
34.13          1531486670.0    是我了……………………
34.476         1531483292.0    中
34.51          1531485628.0    是我
34.567         1531483529.0    就是我
34.755         1531485838.0    都是我
35.082         1531481564.0    前方小薰吟诗
35.171         1531491392.0    表白一对儿
35.392         1531494091.0    是
35.526         1531481211.0    。
35.548         1531485683.0    就是我
35.553         1531497894.0    条条中啊！
35.794         1531482403.0    是我了
35.831         1531525203.0    是的是的，什么都比学习有趣哈哈哈
35.892         1531489259.0    学习的时候，连洗碗都会很有意思
36.032         1531494108.0    本人没错了
36.093         1531486530.0    对！只要不学习，干啥都有趣
36.114         1531489319.0    都是我
36.373         1531483072.0    就是我本人了🙃
36.438         1531533996.0    我我我我我
36.492         1531483134.0    是我无疑了
36.513         1531481541.0    是的是的
36.733         1531486081.0    真的我本人
36.823         1531481636.0    都是我没毛病
37.506         1531526863.0    是我本人！！！
37.687         1531484290.0    没错了没错了
37.952         1531483809.0    写作业刷镇魂。。刷好几遍。。。
38.571         1531484945.0    书桌就是装垃圾哒，哈哈哈哈
38.588         1531485685.0    对对对
39.101         1531482716.0    全中
39.134         1531482559.0    全部中招( ｰ̀дｰ́ )
39.237         1531490089.0    没有
39.266         1531488747.0    是我是我
39.479         1531481266.0    这个是我了，几年了改不了
39.85          1531481619.0    全占，没救了
39.907         1531481415.0    是我了哈哈哈哈
40.022         1531488031.0    是我没错了
40.181         1531483907.0    这就是我
40.618         1531481293.0    是我了
40.83          1531484204.0    好湿好湿啊
40.865         1531484170.0    是我，但不全是
41.081         1531482162.0    是我是我都是我
41.194         1531483413.0    全中2333
41.23          1531481351.0    这不就是我吗。所以我想好了，等我的书架到了我再做。
41.324         1531487813.0    行行行都是我行了吧
41.58          1531481504.0    是我
41.74          1531481377.0    全中QAQ
41.796         1531532808.0    啊我的膝盖
42.284         1531483922.0    全都是我啊。:'(
42.7           1531485241.0    我我我
42.858         1531481406.0    ....
42.871         1531481302.0    emmm 是我没错了
42.961         1531489209.0    哈哈哈哈笑死
43.0           1531481371.0    完了我都有23333
43.12          1531489125.0    还押韵了？？？
43.273         1531481535.0    是我了
43.521         1531481266.0    这就是我
43.653         1531532371.0    妈呀这全是我
43.699         1531483842.0    全中了
43.846         1531529911.0    是我没错了
43.85          1531498388.0    是我
43.874         1531484681.0    全中
43.905         1531481816.0    是我
44.179         1531482901.0    我！
44.428         1531487078.0    是我啊啊啊啊啊啊
44.533         1531530465.0    哈哈哈哈哈
44.76          1531484101.0    是我是我
44.8           1531483234.0    好诗
44.821         1531525287.0    是我了！。。
44.883         1531494100.0    对对对
45.004         1531488755.0    中一半
45.099         1531481310.0    不过全是我了
45.304         1531481824.0    就是我
45.53          1531483592.0    全中
45.543         1531489013.0    好湿好湿！
45.56          1531493235.0    好诗！！！
45.573         1531481374.0    干嘛说我
45.578         1531482399.0    谁叫我。。。
45.635         1531578556.0    生动形象
45.653         1531482197.0    全中……
45.694         1531483084.0    好湿好湿
45.715         1531482745.0    没错，说的都是我
45.8           1531481386.0    好湿好湿
45.813         1531484003.0    是我没错了
45.847         1531528660.0    好湿好湿
46.143         1531497678.0    两位的手好好看
46.175         1531482678.0    全中，还有救吗？
46.24          1531522828.0    全中。。。
