排名：83
网址：https://www.bilibili.com/video/av26767166
更新时间：07-18
弹幕总量：408
preciseTime    ofTime          comment
0.139          1531693280.0    хУжхУИхУЯя╝Мч▒│хиЬцбС
0.142          1531580756.0    他们。。。终于对细胞下手了。。。
0.356          1531619379.0    欢迎回来
0.883          1531719271.0    支付寳搜一下“
1.539          1531591807.0    上下上下左右左右ABAB
1.614          1531631863.0    ↑↓↑↓←→←→←→↑↓
1.635          1531709026.0    цмвш┐ОхЫЮцЭе
1.822          1531823475.0    тОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮ
1.87           1531902384.0    ш┐Щф╕кшбАх░ПцЭ┐цИСшжБф║Ж хЕ╢ф╗ЦчЪДф╜аф╗мщЪПцДП
2.0            1531744084.0    ш┐Щф╕кшжБцШпшвлшо╛цИРш╡╖х║КщУГхг░ф╕АхСихРОф╜ах░▒ф╕Нф╝ЪхЦЬцмвшбАх░ПцЭ┐ф║ЖЁЯШВЁЯШВ
2.026          1531619293.0    超可爱
2.049          1531899527.0    тОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮ
2.226          1531615376.0    一般般
2.822          1531667877.0    ф╕Кф╕Кф╕Лф╕Лх╖жхП│х╖жхП│BABA
2.853          1531811706.0    тОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮ
2.917          1531622401.0    洗脑循环ing
3.303          1531668355.0    хе╜хе╜хе╜  ч╗Щф╜ачбмх╕Бх░▒цШпф║Ж
3.371          1531709060.0    цмвш┐ОхЫЮцЭе
3.381          1531667878.0    ф╕Кф╕Лф╕Кф╕ЛBABA
3.691          1531613116.0    来了来了来了来了
3.767          1531724431.0    тЖСтЖУтЖСтЖУтЖРтЖТтЖРтЖТтЖРтЖТтЖСтЖУ
3.77           1531645504.0    好可耐
3.901          1531712333.0    тОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮ
4.079          1531625344.0    猛醒
4.254          1531797900.0    тОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮ
4.72           1531740901.0    тОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮ
4.766          1531617338.0    搞事情撒麻
5.137          1531614362.0    配音厉害啊👍
5.238          1531581718.0    两倍新世界
5.844          1531829380.0    [,,............]
5.984          1531724487.0    цАОф╣ИцДЯшзЙ.....ф╝КшОЙщЫЕщЧ╣щТЯя╝Яя╝Яя╝Яя╝Я
5.998          1531835044.0    ш┐ЮцЧешпнщГ╜цФ╣ф║Жя╝Б
6.056          1531712750.0    тОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮ
6.059          1531615534.0    6666
6.141          1531875597.0    шАБхдлчЪДх░Схе│х┐Г
6.428          1531617323.0    前面说一般般的，不自己来一段
6.962          1531654389.0    шп╖ц▒Вш╡╖х║Кш╜пф╗╢!!!!!!!
7.3            1531813647.0    тОЫтОЭтЙетПЭтПЭтЙдтОатОЮтОЫтОЭтЙетПЭтПЭтЙдтОатОЮ
7.421          1531726591.0    121ф║║шА╢я╝Б
