排名：48
网址：https://www.bilibili.com/video/av26767987
更新时间：07-16
弹幕总量：155
preciseTime    ofTime          comment
0.0            1531624657.0    绿字英文野生字幕，多多关照
0.159          1531624635.0    Hey guys,it’s Gavin here
0.376          1531575370.0    崽崽爱你！
0.531          1531624670.0    Hey guys, it’s Gavin here
0.617          1531561250.0    合影
1.1            1531651866.0    Gavin你要是被人挟持了就眨两下眼（手动狗头）
1.106          1531617155.0    love you
1.38           1531574836.0    支付寳搜一下“
1.924          1531624679.0    Welcome to my page
2.02           1531568992.0    hello
2.747          1531639772.0    假笑
3.067          1531619867.0    职业假笑
3.316          1531562057.0    保持围笑
3.46           1531620923.0    鹅几我爱你！！
4.176          1531624717.0    Hopely hopely I really want to go to China 
4.836          1531564700.0    啊?
4.9            1531573134.0    还是一如既往的  欢喜
5.368          1531560570.0    前排留名
5.758          1531631148.0    官宣一下，这是我鹅几！
6.385          1531602183.0    好可爱呀！！阿姨宣你呀！
6.8            1531623150.0    哈哈哈我爱他
7.193          1531585901.0    1天前!
7.226          1531625192.0    儿砸！我来了
7.302          1531574653.0    厉害了
7.448          1531635161.0    是你！
7.587          1531576884.0    表情包出处
7.782          1531563444.0    hi~~~
8.023          1531561726.0    我的天
8.077          1531624739.0    And meet you,take pictures with you
8.201          1531579671.0    崽崽我爱你
8.341          1531714940.0    6666
8.487          1531563747.0    看到你笑了，好了，我知道你一点也不想来中国
8.502          1531564915.0    是你哈哈啊哈哈哈哈哈
8.525          1531717112.0    假笑男孩
8.909          1531630647.0    好可爱！
9.088          1531561789.0    大家好我是肖彤我爱他！
9.215          1531559451.0    职业假笑创始人
9.407          1531586772.0    自带假笑。。。。
9.808          1531559466.0    合影！
9.815          1531559327.0    太好了，以后可以从这里直接截图了
9.941          1531585944.0    表情包截图准备
10.376         1531572627.0    好可爱啊啊啊！
10.722         1531560725.0    我会去的我的小宝贝
10.867         1531736752.0    可爱哈哈哈(ಡωಡ)hiahiahia
10.888         1531621768.0    i   like  you
11.089         1531566671.0    鹅子真可爱！
11.367         1531564601.0    合影留念
11.426         1531559215.0    妈耶假笑男孩嘛这不是
11.568         1531652852.0    很可爱唉
11.662         1531635364.0    ？？？我儿子！！！！
12.026         1531654190.0    前面潘天楷等我！！
12.027         1531650465.0    看稿子的吧。。
12.166         1531728544.0    好可爱
12.235         1531738159.0    Gavin，姐姐爱你❤
12.465         1531567645.0    职业假笑
12.623         1531560921.0    lal
12.658         1531605348.0    woo
12.864         1531717078.0    万恶之源
12.88          1531568384.0    可爱
13.028         1531564362.0    Ty
13.093         1531624749.0    And
13.269         1531580855.0    合影
13.325         1531561055.0    職業假笑
13.452         1531569207.0    哈哈
13.696         1531612093.0    哈哈哈哈哈哈哈哈哈哈哈哈
13.997         1531565950.0    遮字幕的，丢脸
14.049         1531573890.0    职业假笑
14.099         1531563488.0    表情包本人
14.125         1531562593.0    看了你的笑容我觉得你不是很想来中国23333333
14.299         1531560551.0    哈哈哈哈可爱
14.609         1531724421.0    假笑boy
14.819         1531645092.0    假笑？
14.906         1531570530.0    like you 
14.937         1531561373.0    欢迎
15.181         1531563429.0    你好啊
15.371         1531564818.0    感觉他被人逼着拍了这个视频哈哈
15.388         1531574899.0    ｸﾞｯ!(๑•̀ㅂ•́)و✧
15.485         1531563856.0    啊啊啊啊啊我好喜欢你阿！
15.637         1531649637.0    哈哈哈哈哈卧槽
