排名：29
网址：https://www.bilibili.com/video/av26768276
更新时间：07-16
弹幕总量：2080
preciseTime    ofTime          comment
0.0            1531729371.0    meme review!
0.115          1531722012.0    先币再看系列
0.131          1531731004.0    黄金旋风！！！！！！！！！！！！
0.264          1531648979.0    你们的下一句话是：见jo滚
0.651          1531564532.0    JO  厨  欢  喜
0.951          1531495337.0    🙌
1.144          1531531791.0    你们的下一句话是：见JO滚.对吧
1.165          1531502167.0    Wryyyyyyyyyyyyyyyyyyy
1.281          1531619151.0    你们的下一句话是,替身使者是会互相吸引的！
1.54           1531631442.0    支付寳搜一下“ 520009272”，不过你会回来打死我的（滑稽）
1.907          1531652362.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
2.049          1531496068.0    见JO滚
2.3            1531601580.0    见封棍
2.307          1531632262.0    支付寳搜一下5l342l732，真的不用谢我
2.358          1531639321.0    感  动  天  地
2.517          1531718410.0    支付寳首页搜索5l342l732，真的不用谢我
2.599          1531496710.0    wryyyyy
2.639          1531616535.0    总感觉jojo画风复古 第一集10分钟都没引起兴趣 捂脸
2.765          1531627987.0    Wryyyyyyyy!
2.949          1531536226.0    jojo是个好作品
3.088          1531562015.0    看到JOJO就是三连
3.11           1531492444.0    木大木大木大木大木大木大木大木大木大
3.179          1531537430.0    耶！！又是JOJO！！开心
3.205          1531546630.0    jojo我不做人了
3.335          1531659003.0    其实是我DIO哒
3.497          1531572479.0    终于等到jojo梗第二部啦
3.553          1531646138.0    wryyyyyyyyyyyyyyyyyyyyy
3.649          1531496980.0    这个声音真的并不太适合配jojo的视频(并不是不好听)
3.75           1531720713.0    你到底想说什么？dio
3.786          1531672789.0    见JO滚！
3.787          1531494550.0    wryyyyyyyyyyyyyyy！
3.948          1531503763.0    赞！！！！
3.962          1531491233.0    JOJO
3.969          1531537159.0    泷泽萝拉哒！
4.03           1531497370.0    666
4.098          1531633169.0    JO厨大快乐！
4.188          1531562799.0    替身使者是会互相吸引的
4.205          1531562858.0    给我来3瓶可乐
4.527          1531562089.0    我只知道giaogiao
4.636          1531542350.0    来啦
4.784          1531502892.0    jojo讲了两次
4.829          1531583369.0    6666666666666666
5.087          1531488985.0    我不做人啦！JOJO
5.109          1531546327.0    6666666666666666
5.174          1531617488.0    替身使者是会相互吸引的
5.201          1531496023.0    JOJO
5.33           1531493769.0    jojo
5.344          1531538893.0    jojo
5.396          1531497405.0    这个可以有
5.547          1531655258.0    wryyyyyyyyyyy
5.65           1531499219.0    欧啦欧啦欧啦欧啦欧啦欧啦欧啦欧啦
5.695          1531494508.0    wryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
5.749          1531504407.0    龙舌兰姑娘
5.887          1531575773.0    欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉！
6.007          1531564600.0    wryyyyyyyyyyyy！
6.118          1531562128.0    rerorerorerorerorero
6.27           1531594846.0    jojo！
6.448          1531623793.0    wryyyyyyyyyyyyyyyyyyyyyyyyyyy
6.456          1531613743.0    wryyyyyyyyyyyyyyyy
6.527          1531556271.0    dio哒！
6.549          1531549437.0    konodio哒！
6.646          1531491275.0    木大木大木大木大！噢啦噢啦噢啦噢啦噢啦！
6.913          1531558592.0    木大木大木大木大木大木大
6.921          1531596186.0    我不做人啦！！jojo！！
7.03           1531491430.0    好
7.088          1531503471.0    又有jojo的啦hhhh
7.128          1531503004.0    看到jojo我就滚过来了
7.153          1531601596.0    见封滚
7.249          1531495560.0    现场
7.27           1531543018.0    替身使者之间是会相互吸引的
7.553          1531580130.0    你以为是JOJO，其实是我dio哒！
7.697          1531609437.0    wryyyyyyyyyyyyyy
7.755          1531628032.0    告诉我世界上最伟大的数学家是谁！
7.798          1531550172.0    欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉
7.849          1531616387.0    Wryyyyyyyyyyyyyyyy
8.034          1531623145.0    今天我请你们喝花京院亲手做的粥吧
8.15           1531650544.0    期待今年的黄金之风
8.309          1531616935.0    我猜你们下一句话是欧拉欧拉和wryyy对吧
8.311          1531628132.0    6666
8.375          1531563680.0    你不要靠近我啊啊啊啊啊
8.392          1531495642.0    噢啦噢啦噢啦噢啦噢啦噢啦噢啦噢啦
8.436          1531666963.0    jo厨欢喜
8.689          1531538481.0    这也在你的计算中吗 jojo！
8.852          1531619339.0    JOJO！我着火啦
9.188          1531491006.0    kono
9.243          1531492694.0    龙舌兰姑娘
9.388          1531563384.0    刚入坑的新人一人来一杯阿帕茶吧，喝了就是兄弟了!
9.389          1531501522.0    不要靠近我啊啊啊啊啊啊啊啊！
9.39           1531562809.0    看到JOJO4啦
9.51           1531617922.0    我乔鲁诺乔巴拿有一个梦想！
9.53           1531506474.0    男人就应该干男人♂
9.686          1531561385.0    wryyyyyyy
9.754          1531657718.0    kono dio
9.764          1531658679.0    wryyyyyyyyyyy
9.798          1531530976.0    惊喜！
9.821          1531553030.0    666
9.923          1531492546.0    见jo滚
9.988          1531612408.0    wryyyyyyyyy！
10.161         1531495654.0    wryyyyyyyyyyyyyyyyyy
10.497         1531591089.0    啥第五部？还有第五部？
10.568         1531630363.0    kono.dio.da
10.581         1531541203.0    wryyyyy
10.682         1531614757.0    jojo！
10.782         1531500627.0    嘤嘤嘤
10.868         1531533688.0    进来就是jo厨
10.939         1531535772.0    Wryyyyyyyyyyyyyyyyyyy
11.089         1531632058.0    欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉
11.123         1531493399.0    the
11.261         1531577808.0    wryyyyyyyyyyyyyyyyyy
11.374         1531492343.0    JO厨一本满足
11.418         1531641275.0    BGM:THE OCEAN
11.473         1531652558.0    4444444444444444444444444444
11.578         1531536422.0    wryyyyyyyyyyyy！
11.718         1531571606.0    JOJO就是JOJO啦
11.885         1531619726.0    欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉
12.148         1531596895.0    看见JOJO就滚进来了
12.284         1531624636.0    你已经死了
12.347         1531625265.0    WRYYYYYYYYYYYYYYYYYYYYYYYYYYYYY
12.463         1531549837.0    jojo!!!!!!!!!!!!!!!
12.607         1531654916.0    (｀・ω・´)是最喜欢的JOJO
12.838         1531491179.0    五小时前
12.865         1531622165.0    刚好在补jojo
12.965         1531491905.0    legend
12.99          1531493763.0    欧拉欧拉欧拉欧拉
13.328         1531493415.0    压路机警告
13.35          1531493942.0    欧拉欧拉欧拉欧拉
13.413         1531576015.0    to be continued
13.422         1531543819.0    哇！又讲jojo了！太好了！！！！
13.585         1531575361.0    Wryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
13.638         1531619182.0    ko no dio da!
13.641         1531618298.0    见 见jo滚  滚
13.67          1531559820.0    木大木大木大木大木大木大木大木大木大木大木大木大木大木大木大木大木大木大
13.718         1531662706.0    你们下一句话是 月下三兄贵
13.773         1531624544.0    wryyyyyyyyyyyy
13.791         1531541642.0    第五部民间不是早就完结了吗（笑）
13.917         1531644203.0    wryyyyyuyyyyyyyyyyy
13.931         1531577406.0    wryyyyyyy
13.94          1531495485.0    wryyyyyyyyyy
14.165         1531719757.0    终于能知道了
14.213         1531573543.0    但是我拒绝
14.277         1531653414.0    你们的下一句话是
14.452         1531539998.0    BGM好评
14.678         1531489142.0    Olololol
14.712         1531563691.0    这是一个考验，来自过去的考验，人的成长，就是战胜自己不成熟的过去
14.723         1531543993.0    我不活了!
14.869         1531616699.0    2333
15.092         1531571815.0    WRYYYYYYY
15.205         1531493118.0    哦啦哦啦哦啦哦啦
15.388         1531626642.0    我吉良吉影想过平静的生活
15.396         1531671080.0    看了那么多国外的搞笑视频，今天终于明白了
15.438         1531576058.0    挖人晕晕晕晕
15.487         1531608692.0    有人要喝粥吗？
15.495         1531576023.0    oraoraoraoraora
15.611         1531574198.0    五部预定,坐等漆黑意志
15.994         1531579939.0    JOJO厨一脸满足！
16.042         1531656292.0    66666666
16.118         1531728671.0    wryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
16.219         1531575638.0    jojo以前做过的吧
16.308         1531558768.0    平脚裤平角裤！
16.41          1531499161.0    wryyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
17.857         1531704076.0    嘟啦啦啦啦啦啦
18.348         1531567282.0    jojo赛高
18.417         1531502691.0    哟又一次出jojo啦
18.603         1531493525.0    wryyyyyyyyyyyyyyyyyyyyy
18.827         1531495067.0    卡卡卡
19.161         1531571190.0    人类是有极限的
19.433         1531654426.0    安利不出去。。。
20.483         1531491997.0    木大木大木大木大木大木大木大木大木大木大木大木大木大木大木大木大木大木大木大木大木大木大木大
20.708         1531544321.0    纳兰迦的声音?
20.788         1531550207.0    开口跪
20.934         1531572997.0    大乔啊啊啊啊啊
21.036         1531657651.0    其实你们从第三部开始看就可以了 第一二部当前传 不过相信很多人都喜欢老流氓
21.144         1531491227.0    老实说还是喜欢原配音
21.281         1531499385.0    舅舅
21.5           1531491633.0    这期配音适合去主席台上念十大感动铁岭人物，建议开1.5倍看
21.815         1531499080.0    欧拉欧拉
21.879         1531507021.0    黄金精神
21.924         1531499797.0    Wryyyyyyyyy
22.41          1531496621.0    是你吗，白免
22.454         1531532225.0    JOJO真的好看
22.55          1531642357.0    我的旁白君呢！！？
23.092         1531491740.0    我不做人了！jojo'！
23.287         1531638243.0    YES,I AM!
23.352         1531571718.0    一个比一个流氓
23.356         1531490228.0    無駄無駄無駄無駄無駄無駄だ！
23.516         1531647116.0    开口跪
24.035         1531496270.0    解卡
24.677         1531703377.0    c。。c菌?
25.826         1531627751.0    八个JOJO16个蛋，个个都是纯爷们
26.601         1531728681.0    jian jo gun
26.626         1531572039.0    欧拉欧拉欧拉
26.798         1531628746.0    八个jojo十六个蛋
26.937         1531561599.0    oojoo
27.288         1531492747.0    大乔：“我，我没有他们这些不争气的后代”
27.615         1531563704.0    不要靠近我啊啊啊啊啊
27.872         1531653075.0    唯一不变的只有作者和黄金精神
27.887         1531491653.0    这期配音适合去主席台上念十大感动铁岭人物，建议开1.5倍看
28.072         1531639250.0    出现了！这个星球上唯一的究级生物
28.243         1531496906.0    什么？没有动画化了？
28.283         1531629577.0    第五部嘿嘿嘿
28.288         1531590884.0    汤姆逊波纹疾走!
28.316         1531490197.0    这声音b站观众应该熟悉
28.449         1531722361.0    不死生物 荒木
28.917         1531493535.0    dio哒！
28.986         1531584030.0    wryyyyyyyyyyyyyyyyyyyyyyyyyy!
29.0           1531497079.0    l
29.805         1531562901.0    究极生物哈哈哈
30.048         1531510540.0    究极生物荒木
30.381         1531653595.0    ?????????
30.42          1531492186.0    我不做人啦
30.928         1531594924.0    欧拉欧拉欧拉欧拉
31.003         1531535061.0    wryyyyyyyyyyyyyyyyya
31.078         1531497449.0    konodio哒
31.788         1531490901.0    没弹幕？
32.328         1531722380.0    我在你身上看到了黄金精神
32.819         1531544847.0    jojo我不做人啦
33.19          1531498856.0    jojo精神差评，分明是黄金精神
33.316         1531558618.0    是我dio哒！！！
33.537         1531601480.0    新人？
34.14          1531660278.0    看来在座的各位，都是替身使者！
34.466         1531492385.0    三个基佬三个gay
34.758         1531715458.0    奥拉奥拉奥拉奥拉奥拉奥拉
34.831         1531625815.0    我不做人啦！
35.003         1531491786.0    ko
35.024         1531563718.0    我有一个梦想
35.381         1531641094.0    wryyyyyyyyyyyyyyy
35.969         1531489440.0    我的豆♂豆♂子嘞，超喜欢她的
37.014         1531592825.0    所谓的觉悟，就是在漆黑的荒野上开辟出一条理应前进的道路。
37.568         1531494513.0    来来来，典明粥免费品尝了
37.98          1531540333.0    欧拉欧拉欧拉欧拉欧拉欧拉
38.269         1531489490.0    喜欢这个声音
38.391         1531597747.0    布里jojo地步利多
38.686         1531500042.0    啊，神父
38.959         1531616566.0    wryyy
39.111         1531504350.0    耐思
39.334         1531580728.0    以前不是讲过吗？
39.498         1531582887.0    DIO
39.603         1531497463.0    好评
39.616         1531665355.0    欧拉欧拉欧拉欧拉！
39.94          1531583645.0    我快要嗨到不行了
39.959         1531583774.0    ？？？
40.87          1531594474.0    撒，开始实验吧！
41.451         1531648713.0    221
41.726         1531721904.0    wryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
42.003         1531591839.0    哇这个进度条！！！！和平常一样嘛
