排名：50
网址：https://www.bilibili.com/video/av26773162
更新时间：07-19
弹幕总量：1479
preciseTime    ofTime          comment
0.0            1531808862.0    优秀
0.083          1531796927.0    看到这条弹幕你已经是100以外了
0.198          1531660125.0    你被共青团中央盯♂上了
0.324          1531912705.0    打破1000條彈幕的就是我
0.521          1531704743.0    火钳刘明
0.745          1531908185.0    支咐宝首頁捜索“86OO14”以大橘为重
0.999          1531753513.0    安排上了
1.02           1531651863.0    你被共青团盯上了
1.244          1531786859.0    1.25倍 和1.5倍 同样好听
1.334          1531888174.0    我又回来啦
1.578          1531654574.0    现在是721人观看，636条弹幕，9290硬币
1.782          1531763354.0    。
1.838          1531713211.0    bgm是《救赎记海因茨》，有生之年居然在ｂ站听到了这首歌，她是疯丢子写的一部小说《战起1983》里，人气角色，海因茨的纪念曲，粉丝作曲丢子作词，哈哈哈哈哈哈哈，有机会的，可以去看一下，这本书很好看，顺
1.998          1531660215.0    小泷包是哭着听完的
2.118          1531660089.0    中央点名
2.56           1531662909.0    你已经被共青团中央点名了
2.901          1531790119.0    你被团团盯上了
2.986          1531636197.0    你被团团盯上了
3.06           1531819296.0    哈哈哈哈
3.072          1531736809.0    火前留名
3.377          1531984626.0    我只知道汪苏泷的《巴赫旧约》用的是这个 而且此歌曲为原创
3.498          1531840885.0    超喜欢这首歌
3.785          1531984681.0    请把不要再把你的无知展现在众人面前
3.987          1531649527.0    被翻牌了
4.021          1531917020.0    看了几十遍了
4.04           1531893881.0    欢迎回来
4.073          1531744147.0    我又来了
4.287          1531927603.0    我可以发弹幕了，哇哦
4.48           1531821581.0    你被皮皮团盯上了
4.659          1531642122.0    欢迎回来
4.661          1531644556.0    火钳刘明
4.694          1531644503.0    ！！！！！！！
5.08           1531811919.0    我又回来了！
5.101          1531840500.0    中央
5.201          1531784322.0    呵呵呵
5.242          1531654897.0    安排上了
5.294          1531817593.0    表白德语弹幕
5.376          1531654135.0    你被皮皮团盯上了
5.546          1531650207.0    你已经被共青团盯上了
5.62           1531636557.0    你被共青团盯上了
5.685          1531786881.0    1.25倍 和1.5倍同样好听
5.743          1531653313.0    要火。。
6.057          1531712074.0    镇站之宝
6.158          1531776729.0    你被团团盯上了
6.34           1531805645.0    该来的还是来了
6.474          1531700615.0    我又来了
6.57           1531835004.0    66666
6.65           1531727746.0    该来的还是要来
6.902          1531649302.0    此生无悔入华夏
7.137          1531785225.0    那个说BGM是战起的，你认真的？不看下面UP主写的？原曲是汪苏泷的巴赫旧约
7.254          1531820148.0    0.75倍食用更佳
7.379          1531646741.0    你被团团盯上了
7.402          1531819745.0    今天第一条
7.431          1531646216.0    up主恭喜你，你被团团盯上了
7.507          1531806584.0    6
7.54           1531908191.0    支咐宝首頁捜索“86OO14”深藏功与名
7.687          1531813336.0    火钳刘明
7.977          1531667999.0    汪苏泷原唱了解一下
8.23           1531666633.0    哈哈
8.339          1531636229.0    准备一下，你被点名了
8.356          1531735883.0    牛皮牛皮
8.439          1531646566.0    你被团团盯上了！火钳刘明！
8.516          1531643198.0    火钳刘明
8.915          1531637362.0    Ich
8.943          1531641825.0    新人是怪物
8.958          1531718530.0    你被皮皮团盯上了
9.059          1531654063.0    共青团传送
9.099          1531650183.0    调音OK
9.18           1531728061.0    你被团团丁上了（滑稽）
9.22           1531653484.0    你被团团盯上了
9.297          1531879503.0    感动
9.408          1531749212.0    你被共青团盯上了
9.552          1531833340.0    开炮！
9.619          1531638307.0    你被团团盯上了
9.658          1531724662.0    剩下的529人你们好啊
9.737          1531871140.0    炸裂
9.813          1531813059.0    ⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞⎛⎝≥⏝⏝≤⎠⎞
9.869          1531667776.0    你们又开始了
9.898          1531794534.0    汪苏泷
9.942          1531657639.0    被安排了
10.033         1531751249.0    我苏泷哥哥的歌
10.043         1531654561.0    时间倒退到2012那年夏天
10.139         1531655926.0    你已经被组织盯上了
10.161         1531714034.0    你被安排了
10.58          1531974851.0    神填词预警
10.719         1531833291.0    第五遍
10.811         1531659344.0    膜拜！膜拜！
10.822         1531834873.0    最终还是对汪大大的歌动手了
10.96          1531636698.0    点名，了解一下
11.095         1531637396.0    Hast
