排名：94
网址：https://www.bilibili.com/video/av26773645
更新时间：07-17
弹幕总量：2983
preciseTime    ofTime          comment
0.0            1531599935.0    第七没看过。其他都看过哈哈哈
0.358          1531563982.0    盲猜闪光少女
0.385          1531591160.0    动物世界😂
0.438          1531556890.0    盲猜闪光少女
0.461          1531617011.0    闪光少女
0.813          1531550540.0    垫底辣妹？
0.837          1531745791.0    承包千指大人!
0.933          1531624879.0    绝对闪光少女！！
1.214          1531697363.0    马戏之王有没有
1.269          1531625775.0    闪光少女
1.582          1531746802.0    我赌闪光少女
1.622          1531559243.0    盲猜闪光少女
1.79           1531622207.0    绝对有闪光少女
1.813          1531601750.0    我猜有闪光少女
1.916          1531594533.0    千指大人！
2.003          1531613625.0    一看就有闪光少女
2.157          1531624289.0    桃花侠大战菊花怪
2.438          1531556225.0    应该有闪光少女
2.58           1531622011.0    动物世界很好看的
2.879          1531556269.0    闪光少女
3.061          1531612972.0    绝逼有闪光少女
3.142          1531556408.0    肯定有闪光少女
3.16           1531547991.0    哈哈，就知道有这个
3.199          1531552255.0    闪光少女
3.27           1531560016.0    肯定闪光少女
3.306          1531665880.0    闪光少女
3.359          1531561013.0    必须闪光少女
3.413          1531626660.0    应该有闪光少女吧
3.501          1531662076.0    绝对有闪光少女
3.505          1531557417.0    三傻大闹宝莱坞
3.597          1531560598.0    三傻
3.621          1531545585.0    提名天才枪手
3.642          1531627262.0    不用想，一定有闪光少女
3.78           1531559439.0    闪光少女
3.82           1531546997.0    错过了
3.948          1531560307.0    提名你办事我放心
3.993          1531615007.0    摔跤吧爸爸
4.175          1531762007.0    我就知道有闪光少女
4.434          1531558769.0    盲猜垫底辣妹
4.533          1531552544.0    我猜三傻大闹宝莱坞
4.699          1531618906.0    三傻大闹宝莱坞
4.799          1531552183.0    闪光少女
4.861          1531559300.0    垫底辣妹我猜
5.021          1531615713.0    泛音耶
5.122          1531545272.0    三傻大闹宝莱坞
5.36           1531546686.0    千指大人
5.441          1531626717.0    闪光少女
5.457          1531619891.0    果然有闪光少女
5.48           1531666099.0    哈哈，我就知道有闪光少女！
5.488          1531627557.0    果然
5.583          1531619846.0    果然！
5.679          1531613659.0    哈哈哈哈😂果然有，还是第一个……😂
5.681          1531615248.0    吹爆我家闪光少女
5.715          1531559663.0    刷了两遍的闪光少女
5.992          1531561425.0    果然闪光少女
6.26           1531560980.0    闪光少女超好看
6.275          1531554372.0    大爱闪光少女大爱千指大人
6.408          1531556290.0    果然有闪光少女
6.677          1531545577.0    闪光
6.688          1531619482.0    绝对有闪光少女
6.753          1531549382.0    我准备好错过了
6.756          1531623777.0    哈哈！这个已经在电影院看过，很不错
6.773          1531635092.0    就知道会有这个
6.901          1531623708.0    我也猜到了
7.139          1531554337.0    毛骗
7.477          1531591722.0    闪光少女真的是名字毁了
7.688          1531561414.0    就知道有闪光少女
7.783          1531613705.0    闪光少女！
8.0            1531617105.0    ！果然有2333，看完电影的第一反应就是被名字耽误了的好电影
8.104          1531616472.0    盲猜有垫底辣妹
8.128          1531545753.0    就知道
8.221          1531625738.0    果然……闪光少女
8.366          1531622494.0    垫底辣妹！
8.477          1531629716.0    第一部就是啊
8.5            1531554539.0    有没有驴得水
8.759          1531550200.0    三傻
8.782          1531560039.0    而且闪光少女还被宣传耽误
8.792          1531554432.0    就知道有它
8.821          1531554812.0    果然，我就知道
8.902          1531617334.0    看过，非常无语，不建议看
9.035          1531594558.0    承包我千指大人！
9.081          1531622729.0    我就知道肯定有闪光少女
9.195          1531546788.0    果然
9.2            1531561639.0    看过了哈哈
9.201          1531625425.0    果然
9.24           1531662094.0    果然
9.4            1531558821.0    就我是因为名字才看的吗
9.401          1531548863.0    这个超好看的
9.473          1531556954.0    这部超级好看！
9.509          1531625998.0    日在校园
9.705          1531545636.0    讲真，我看到名字真没看下去的意思
9.706          1531617220.0    环太平洋算不算
9.781          1531545828.0    我就知道！
10.026         1531557776.0    哈哈哈哈哈哈哈
10.092         1531661103.0    三傻大闹宝莱坞
10.104         1531628025.0    闪光少女
10.176         1531559404.0    果然
10.286         1531630560.0    可惜啊，这部好电影
10.402         1531546281.0    我就知道有闪光少女
10.474         1531556418.0    肯定有闪光少女！
10.518         1531621706.0    闪光是真的好看。就是名字……但是真的很好看啊这部片!
10.565         1531724646.0    这个真的很好
10.796         1531626748.0    三傻
11.299         1531616661.0    三傻大闹宝莱坞
11.302         1531644406.0    这个真的是被名字耽误了
11.686         1531555973.0    我猜有老无所依
11.778         1531558419.0    三傻大闹宝莱坞
