排名：69
网址：https://www.bilibili.com/video/av26777274
更新时间：07-21
弹幕总量：378
preciseTime    ofTime          comment
0.0            1532136237.0    这是我今年听得到最好笑的笑话
0.07           1532058103.0    马抄袭：抄袭真恶心
0.278          1531967379.0    马化腾:后台不硬还学我抄袭
0.436          1531964406.0    标题夸大其词？又被骗进来
0.441          1532113668.0    老马：大势所趋，无所谓谁抄谁
0.458          1531978042.0    迷你世界无版权抄袭mc了解一下？
0.477          1532098747.0    抄袭丢人马化腾
0.65           1532044876.0    4399很良心好不好
0.823          1532019688.0    谁给腾讯抄袭公司的胆子？
0.997          1531965980.0    告诉你们一个事情，迷你屎界是4399的
1.2            1531962058.0    抄袭？有版权的好嘛！
1.265          1532062220.0    马化腾，要脸不？
1.462          1531961517.0    马化腾：抄袭真的很丢人，真香
1.487          1532004000.0    那逆战的缇娜不是抄我虐杀原形里的吗？
1.68           1532032941.0    我能说4399和腾讯比4399更好吗
1.766          1532080267.0    我从来没见过如此厚颜无耻之人
2.077          1532053859.0    腾讯有碧莲说抄袭
2.189          1532141829.0    4399除了网游 所有游戏不收一块钱 小游戏还在一直更新  没见过比他良心的
2.39           1532112538.0    腾讯也好不到哪去
2.42           1532087861.0    此片应有真香
2.437          1531967504.0    4399是我的童年
2.867          1532009820.0    恕我直言两家公司都该倒
3.087          1532022150.0    恶心只是表面理由吧？还是只想要钱吧?
3.224          1532051876.0    哈哈哈
3.256          1532050233.0    腾讯有版权，4399没打招呼就抄能一样吗
3.279          1531966284.0    你买迷你我说过什么了么
3.369          1531961266.0    宁教我抄天下人，休教天下人抄我
3.715          1531988549.0    哈哈抄袭 哈哈我就笑笑
4.102          1531963121.0    真香
4.14           1531999708.0    🙂️🙃️
4.405          1532128596.0    当年你抄袭别人的时候可不是这样说的
4.413          1531966517.0    干得漂亮
4.425          1531997702.0    漂亮
4.48           1531978137.0    麻花疼说神魔恋
4.498          1531964031.0    你把枪神纪弄什么样了
4.503          1532145165.0    他自己也抄袭啊
4.549          1532004205.0    哈哈辣鸡4399终于被告了
4.68           1531967226.0    辣鸡腾讯
4.708          1532006464.0    4399活该
4.785          1531964383.0    刺激
4.901          1531968056.0    你自己没抄袭?
