排名：43
网址：https://www.bilibili.com/video/av26778121
更新时间：07-18
弹幕总量：2315
preciseTime    ofTime          comment
0.0            1531663724.0    ..
0.086          1531559363.0    1:41正片，推荐空降！﹉！！！！！！！
0.228          1531704320.0    这
0.276          1531634432.0    又淹了~
0.395          1531661306.0    老师:你作业怎么没交？ 学生:掉地上了……
0.398          1531564480.0    立刻把作业往水里丢
0.458          1531565070.0    注意他说的是又
0.572          1531825924.0    好卡啊
0.595          1531734452.0    楼梯口设计问题，不然排水口被堵上也不会积水
0.906          1531563525.0    +1海南人
1.09           1531568041.0    前方脚控福利
1.135          1531887554.0    教室  又   淹了 哈哈哈
1.213          1531721664.0    支付寳搜一下“
1.24           1531619839.0    浙江人表示淡定
1.255          1531566956.0    又
1.331          1531831498.0    教室又双叒叕淹了
1.355          1531629665.0    重复一遍，这不是一楼！
1.402          1531636663.0    听到bgm时我笑了
1.455          1531852118.0    南宁的!!!我们一起踩水玩啊
1.535          1531558972.0    同款下课铃声
1.727          1531635771.0    “又”!
2.008          1531561093.0    哎
2.022          1531561543.0    又！
2.155          1531625356.0    被水淹没，不知所措
2.185          1531653562.0    @letme
2.234          1531729041.0    BGM 莫扎特小夜曲
2.341          1531559637.0    开心
2.593          1531712114.0    支付寳搜一下“
2.628          1531566815.0    海南人
2.636          1531561695.0    广东表示正常
2.774          1531562425.0    才气横溢
2.81           1531560154.0    吓人啊
2.97           1531634139.0    美舍学校前来打卡
3.039          1531624158.0    雨天是猩猩们最爱的
3.156          1531634313.0    教室又又又又又又淹了😂😂😂😂
3.253          1531632801.0    又？！
3.298          1531632001.0    不用上学啦！
3.335          1531565673.0    我符气伟就好这口
3.375          1531909716.0    7.18…许昌…38度
3.385          1531560640.0    羡慕
3.406          1531628814.0    海南路过
3.437          1531559904.0    这么爽。。。
3.459          1531832917.0    又  这个字经历了什么
3.477          1531721286.0    全校师生在一个大盆子里泡脚（滑稽）
3.478          1531654321.0    哈哈哈哈哈哈哈哈哈哈哈
3.479          1531822718.0    下大暴雨了   井盖都被水给顶起来了
3.495          1531561466.0    卧槽，“又”淹了
3.755          1531815300.0    ⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠⎝≧⏝⏝≦⎠
3.859          1531635997.0    又？
3.978          1531558722.0    骚气的阿婆主
4.058          1531563454.0    我打算考海南大学的
4.258          1531591579.0    不用上学了！！作业呢？往水里丢啊！
4.384          1531559822.0    红字，没事假期多（X
4.398          1531630863.0    又？那可还行
4.438          1531629880.0    火烧连营
4.458          1531633968.0    我学校地势低，宿舍下水道又有问题，一下雨一楼全淹，水还臭，
4.494          1531662557.0    求BGM
4.523          1531570021.0    正文3：40
4.576          1531719051.0    划重点，好幸福啊！
4.651          1531833399.0    怎么这么卡啊
4.658          1531834203.0    我把书包都扔进去了
4.671          1531563826.0    。。
4.794          1531735373.0    又
4.816          1531565059.0    又......
4.824          1531564158.0    哇塞！
4.836          1531815434.0    这波操作牛逼
