排名：81
网址：https://www.bilibili.com/video/av26779064
更新时间：07-18
弹幕总量：3387
preciseTime    ofTime          comment
0.0            1531656031.0    大爱02！！！！！！
0.262          1531643404.0    该视频弹幕戾气较重，建议看的时候关闭弹幕
0.407          1531581390.0    这视频有点长，但请看完，会有收获的
0.438          1531615290.0    斯大林在法兰西
0.529          1531710491.0    国家队会因为这个大叔起死回生
0.75           1531660909.0    up主三观超正，关注!!!!
0.996          1531719246.0    666666666666666666666666666666666666666666666666666666666666666666666666666666666666
1.021          1531641971.0    追了整整半年，特别喜欢这部动画
1.121          1531584249.0    up主感觉不是一般人 (>_<) 视频务必看完
1.271          1531672963.0    早安各位，我说饭帅的孪生妹妹，我叫菜美
1.335          1531621611.0    终于等来了
1.61           1531710493.0    本片教你如何分析文学
2.182          1531658769.0    看完多少对片子有点理解的都不会觉得这番烂
2.974          1531646987.0    123123123
3.041          1531631379.0    《Darling in the Franxx》
3.046          1531702840.0    请看完所有内容在做评价
3.627          1531666162.0    。。。
3.666          1531683663.0    当我是力推 国家队nb
3.898          1531787182.0    第二遍
4.242          1531745797.0    不说了，我永远喜欢02
4.339          1531726210.0    第一第一
4.655          1531683544.0    首先明确，不能因为你看完这视频觉得很有b格，
4.796          1531719571.0    ....................................
4.907          1531577487.0    烂尾神作
5.001          1531566404.0    恐怖的进度条
5.205          1531639604.0    饭帅讲我就放心了
6.57           1531728914.0    带领我等凡人一窥天意
7.035          1531716371.0    关弹幕保智商
7.764          1531617142.0    这部片后面真的烂
8.6            1531579902.0    鬼见条
9.189          1531702424.0    烂尾
9.225          1531618467.0    少有的结尾能被强烈吐槽的动画
9.393          1531743876.0    啊啊啊啊啊啊！！！！！02！！
11.56          1531834421.0    魁拔，抱歉，走错片场
11.776         1531726217.0    早
12.633         1531566561.0    讲的就是爱与信任啊（鼓励未成年人生孩子）
15.279         1531737672.0    最后一集看莓那样真的有点不舒服
16.361         1531615880.0    我永远喜欢02
16.723         1531725068.0    关弹幕保智商
18.432         1531590470.0    日本队表示拒绝
21.344         1531641802.0    后半部不好看
22.422         1531620931.0    日本队风评被害
24.155         1531726230.0    太秀了啊
25.262         1531639219.0    国家队风评被害
25.496         1531805066.0    有饭帅就不怕了
25.757         1531740808.0    日本队世界杯表现还是比ditf强的
26.519         1531636255.0    炖屎
28.169         1531676020.0    粪海狂蛆表示微笑
29.713         1531683194.0    烂尾，感觉吃了口屎
32.581         1531571094.0    一句话
32.869         1531726345.0    太秀了啊
34.65          1531617609.0    gg
34.731         1531842466.0    老实说结尾不错，但是显得结尾很仓促，有些想学EVA但是没学好的感觉
35.626         1531577131.0    然而一点不好看
36.377         1531578394.0    一个催生的番剧
36.42          1531643580.0    那你们感觉结尾是什么好呢？？？
36.59          1531655588.0    为什么画个机甲会有胸？
37.426         1531658418.0    望鹤兰其实形态有6种（数过）
37.44          1531745323.0    trigger粉表示么有以往的感觉
38.319         1531682909.0    日本队表示不要扯上我们
38.378         1531584019.0    好长啊
38.423         1531617940.0    JZGG CNM
39.779         1531615339.0    看到后面简直喂屎
39.82          1531729136.0    结局是什么
40.15          1531618495.0    一开始超级好看，嗯~ o(*￣▽￣*)o
40.795         1531620975.0    trigger看到锦织敦史太菜，提前跑路了
41.013         1531727324.0    烂爆了
42.168         1531669492.0    这个不是触发器社吗
43.35          1531722865.0    机甲造型...
44.326         1531670878.0    试试这里有人值班么😆粪海狂蛆(ಡωಡ) 
44.373         1531781590.0    板机社中途就退出制作了
46.27          1531652606.0    为我天元突破吹一波
48.106         1531680314.0    肥锦老贼，乃我一生之敌
48.277         1531729145.0    最后一集没看
48.361         1531707928.0    听说你们追了半年国家队？我可是一集都没有看。GIF
50.033         1531731157.0    超一线喵喵喵？？？？？？？？？？
51.253         1531844538.0    粪海狂蛆你好
53.758         1531621338.0    锦知懂个毛的爱情 他就是个死胖子
54.935         1531657793.0    6
55.104         1531642732.0    6666
55.724         1531652024.0    一直以为是演日本跳水队（）的故事，因为很出名才这么叫
56.64          1531728295.0    机甲造型是真的弱智。。。。
56.859         1531712836.0    志仓：石头门原作怎么又成了林直孝呢
57.034         1531644872.0    来来来你们来写结局
58.105         1531802731.0    关键是这是机战啊，长颈龙的铁血很好吗？
58.517         1531652621.0    woc
58.539         1531715960.0    划水↓
58.558         1531622368.0    今石洋之！
58.792         1531645895.0    这剧真的神！特别是神转折！
59.97          1531577811.0    前面挺好看的
60.457         1531636478.0    矢吹健太朗老师嘞
60.466         1531668507.0    然后大佬们最后几集就放飞自我
60.782         1531642623.0    这还缺一个泽野弘之，这样就完美了。。。。。。。。。。。。。。。
62.048         1531576917.0    还有大大大大河内
62.213         1531750741.0    那是怎么做出来这种结果的
63.541         1531592065.0    濑古浩司...
64.225         1531714050.0    京紫！
64.262         1531676087.0    那Eva叫什么 南天门？
64.81          1531617919.0    说实话挺失望的
68.529         1531652756.0    就和五仁月饼一样东西多都好合在一起就难吃一个道理
68.543         1531731275.0    都是划水
69.922         1531578210.0    今石大混子
70.27          1531643372.0    赤龙战役
71.96          1531677679.0    感觉大佬太多，谁也不能说服谁
72.622         1531833692.0    。。。京紫沒播时才叫热。。
73.219         1531672857.0    不管别人怎么说，我觉得不好看
73.359         1531658092.0    五仁月饼很好吃的好吧？拿这个做比喻不对，国家队是烂尾
74.033         1531566074.0    骨王：没毛病，你们慢慢聊
76.202         1531713196.0    这样看起来根本打不过京紫
76.46          1531764512.0    拿五仁月饼举例是不对的，你觉得不好吃是因为你没有吃到好货，好的五仁月饼是很贵的
77.031         1531745479.0    没有大河内～(￣▽￣～)~
78.065         1531642755.0    233333333333333333333
83.67          1531565104.0    猛男落泪
84.047         1531641614.0    后期的剧情有点迷
86.547         1531663399.0    迷家队
86.967         1531752060.0    a5 秒了 秒了
87.658         1531789257.0    最二网管，甲铁城表示不服
87.722         1531649291.0    Arcv了解下
88.115         1531676122.0    讲道理不如甲铁城
88.324         1531714759.0    上下限差距其实还有部正确的卡多
88.499         1531655989.0    哈哈，我就是15集弃的
88.551         1531577876.0    az第一部超好看，第二部。。。
88.65          1531680947.0    这不就跟王冠差不多嘛
88.819         1531677697.0    不慌，还有arc-v呢
89.121         1531715309.0    中期无敌 后期乏力 比不过京紫
89.568         1531614938.0    游戏王arcv了解一下
90.352         1531580689.0    我觉得不错，后期节奏也还好，算不上神作，但也可以说是良好。
90.763         1531821463.0    1
90.801         1531566278.0    迷家了解一下
91.501         1531615108.0    正确的卡多了解一下
91.787         1531616582.0    AZ也是啊
92.298         1531708269.0    各种eva既视感啊。。。。。。
92.353         1531642068.0    我是1
92.401         1531615323.0    re，creat了解一下
92.57          1531741538.0    后期真的迷
92.615         1531578839.0    甲铁城呢
92.79          1531659372.0    那是前期的
93.029         1531644725.0    发？
93.31          1531665840.0    RACV开场很棒，但自从进了同调次元就迷的不行
93.839         1531814659.0    蛤
94.059         1531746291.0    甲铁城了解一下
95.402         1531563567.0    游戏王arcv下限低而已
95.492         1531640553.0    1111111111111111111
95.66          1531647659.0    13话吹爆
95.981         1531808943.0    222222
96.036         1531562522.0    az和甲铁城
96.379         1531712222.0    前期我也是吹爆的人。。
96.516         1531564087.0    前面还凑活，后面完全不知道在拍什么
96.981         1531646090.0    我属于2这种了。。
97.431         1531844584.0    A5了解一下
97.754         1531656024.0    23
97.88          1531729603.0    十三十四爽的一批
97.991         1531735376.0    az不服
98.099         1531658846.0    何止啊
98.22          1531811817.0    吹爆吹爆
98.619         1531654535.0    2
98.852         1531652672.0    跟甲铁城一样
98.854         1531662926.0    2222222
98.873         1531732441.0    2
99.501         1531805140.0    吹爆哦！！
99.503         1531577318.0    锦织老贼！！！！！！
100.165        1531584465.0    2
100.197        1531654878.0    哈哈
100.6          1531663192.0    3
100.712        1531816577.0    23
100.768        1531618432.0    33333
100.778        1531738618.0    2
100.978        1531658141.0    评价属于23，制作挺好，剧情不行
101.054        1531645332.0    2，13和15集吹爆| ू•ૅω•́)ᵎᵎᵎ
101.155        1531668755.0    3
101.242        1531596048.0    3
101.279        1531584324.0    2
101.644        1531681892.0    2和3之间
101.702        1531615218.0    2
101.766        1531644733.0    fa？
101.855        1531579236.0    3
101.888        1531563066.0    3
102.017        1531636932.0    从一堆叫龙发射开始我就一脸懵逼
102.117        1531644423.0    2
102.254        1531816199.0    1
102.273        1531574324.0    义无反顾选了1
102.413        1531699716.0    up都说了，这5种人都有。你们这也要站队，有点认知能力好吗
102.424        1531586603.0    第20集看得我是一脸懵逼，怎么突然就开始打外星人了呢……
102.439        1531560975.0    2
102.617        1531683855.0    2
102.664        1531698440.0    从颜色来看，这个号三级左右(滑稽)
102.852        1531617829.0    2
