排名：90
网址：https://www.bilibili.com/video/av26784545
更新时间：07-16
弹幕总量：984
preciseTime    ofTime          comment
0.0            1531549034.0    13小时前
0.016          1531526064.0    肉没熟自己快熟了吧
0.228          1531661870.0    土豆炖马铃薯
0.256          1531532028.0    111111
0.294          1531527922.0    第一，截图为证
0.554          1531539475.0    dashe
0.699          1531714033.0    考臭了
0.703          1531539557.0    大声说出你们一天撸几次
0.862          1531567759.0    你会变黑
1.795          1531573286.0    1
2.02           1531589061.0    你先熟
2.195          1531653188.0    想起了宫崎壮玄在太阳底下煎鸡蛋。
2.978          1531538867.0    你截图给谁看？
3.157          1531581777.0    封面还以为宋小宝
3.521          1531564271.0    ？
3.746          1531524184.0    香香的味道你吃过没
3.78           1531580722.0    战兔进入直播间
4.073          1531577295.0    球这里的BGM
4.076          1531723449.0    73
4.18           1531529685.0    我们这边在下雨！
4.241          1531534222.0    会糊的！
4.276          1531657833.0    吃烤肉
4.415          1531532671.0    66666
4.503          1531567635.0    谁没有？
4.517          1531561037.0    哈哈哈
4.597          1531533472.0    一根头发毛
4.598          1531638268.0    是真的皮
4.637          1531557131.0    我记我关注的是作死up
5.596          1531543917.0    2265
5.738          1531663693.0    你还活着呢？
5.805          1531528111.0    我就是饿死从这里跳下去也不吃你的烤肉~~~~~~~~~真香
6.016          1531546871.0    别跳！！别冲动！！你还有大好人生！！别跳啊啊啊
6.136          1531656660.0    肥宅快乐肉
6.196          1531573197.0    111
6.199          1531587630.0    闲蛋疼系列
6.601          1531564155.0    今天表演跳楼
6.616          1531558872.0    高产似那啥
6.676          1531520683.0    好的，我们这次作死是从这跳下去
6.997          1531547571.0    不要跳楼啊
7.037          1531536292.0    2147
7.396          1531578267.0    666
7.427          1531540926.0    我猜你会被烤熟
7.824          1531667207.0    27.5万
8.433          1531537468.0    我来了
8.482          1531531599.0    听说这是会员色，你们有吗
8.71           1531547654.0    有
8.999          1531523403.0    ye
9.204          1531727978.0    你说啥?
9.316          1531546136.0    有
9.441          1531556783.0    人呢
9.715          1531659823.0    ←你说的不是作死是找死
9.834          1531645767.0    这个不是会员色
9.881          1531518067.0    好前
10.1           1531559011.0    快从天台上下来,唉又是一个下注输的人
10.171         1531630434.0    你没在厕所？
10.187         1531537458.0    我们这35°以上
10.314         1531577160.0    125            kg
10.796         1531738278.0    可怕的男人
10.91          1531551456.0    哈
10.941         1531535441.0    我们吐鲁番一天不下40°😒
11.356         1531719016.0    看不到我
11.669         1531727960.0    。。。
11.777         1531538359.0    有
11.857         1531569584.0    会员色？
11.864         1531637484.0    我们这边的桥都被冲垮了，
12.119         1531542806.0    有码？
12.39          1531546721.0    有
12.431         1531540052.0    四川连天下雨啊喂
12.437         1531710849.0    说这是会员色的，你给我，站住
12.558         1531716782.0    凭啥没有?
12.67          1531545989.0    你以为呢
12.9           1531541643.0    23333
12.966         1531536436.0    很好用
13.016         1531524004.0    ？
13.062         1531724211.0    我没有
13.117         1531542981.0    ？
13.139         1531562238.0    帅
13.262         1531659338.0    上海也挺热的
13.342         1531554347.0    哈哈哈哈哈哈
13.367         1531574257.0    135
13.458         1531555887.0    我的脖子都被晒成黑人颜色了
13.538         1531730506.0    弹幕护体
13.67          1531561447.0    你说嘴巴嘟嘟 嘟嘟嘟嘟嘟嘟
13.842         1531586927.0    浙江给雨淋得冰凉凉
13.886         1531532259.0    2068
13.887         1531658361.0    1111111111111111111111111111111111
13.977         1531548794.0    会员
14.057         1531572439.0    。
14.075         1531720366.0    没有
14.108         1531561078.0    啊啊啊啊啊啊啊啊啊
14.116         1531544925.0    哈哈哈我有
14.118         1531530762.0    。。
14.4           1531536757.0    会员色？
14.717         1531522452.0    我们这片儿 天天阴天且有雨 
14.956         1531550828.0    2333
15.027         1531526480.0    往下面牛
15.059         1531546001.0    牛
15.207         1531581987.0    我也有
15.297         1531524148.0    下的牛
