排名：85
网址：https://www.bilibili.com/video/av26785005
更新时间：07-16
弹幕总量：1489
preciseTime    ofTime          comment
0.578          1531505924.0    五小时前
1.44           1531563003.0    刚刚就这么多弹幕？
3.157          1531588252.0    我又回来了
3.737          1531501638.0    看到我就是5w以后了
4.181          1531502308.0    蠢朋克！！！！
4.332          1531568964.0    优酷搜麻辣隔壁
4.494          1531569914.0    哈哈
4.522          1531499436.0    前300可以吧！
4.596          1531563307.0    弟1
4.619          1531564309.0    猜猜我刷出了啥
4.738          1531579411.0    我以为是主机篇更新了呢，还有你为什么出现在我的关注里
5.034          1531569577.0    蠢朋克！后期品味可以啊
6.02           1531499290.0    1111
6.132          1531565683.0    45分钟前！！！！！！！！！！
6.314          1531560042.0    873
7.192          1531632312.0    知道了，爷爷在看呢
7.3            1531628600.0    1018-7-15-12:23螺酒花花
7.619          1531576811.0    哇，麻辣隔壁片头曲！
7.635          1531567553.0    麻辣隔壁的不要跑  
7.761          1531505902.0    睿智
8.85           1531593695.0    麻辣隔壁的等等我~
9.002          1531614828.0    安排
9.027          1531576029.0    麻辣隔壁的等我
9.13           1531499012.0    蠢朋克！
9.437          1531566273.0    14.4
9.521          1531540797.0    麻辣隔壁的别走
9.779          1531508066.0    麻辣隔壁！
9.882          1531577031.0    你舔我的吊
10.019         1531576400.0    蠢朋克
10.043         1531566483.0    4340
10.048         1531538842.0    Bgm：Daft Punk——Harder Better Faster Stronger
10.099         1531568377.0    麻辣隔壁
11.801         1531569609.0    麻辣隔壁！！
11.842         1531589214.0    诶哟麻辣隔壁诶！
12.24          1531578676.0    50已到
12.28          1531582074.0    麻辣隔壁
12.352         1531535397.0    hbfs！！！
12.541         1531714569.0    安排！必须安排！
12.885         1531508321.0    有生之年
13.001         1531587230.0    哇   麻辣隔壁居然这么多人看过
13.395         1531613698.0    你电我的diao？
13.499         1531563350.0    蠢朋克，把我炸出来了
13.517         1531653743.0    一gi我里giaogiao
13.552         1531642481.0    giao
13.859         1531565516.0    giao哥
14.165         1531563305.0    一给我里giaogiao
14.28          1531570481.0    我和阿婆主比命长
14.962         1531604436.0    22万后的你！！
15.244         1531599420.0    欢迎来到泡泡真会玩
15.299         1531569980.0    giao
15.391         1531573479.0    马勒戈壁+1
15.879         1531605991.0    嚯嚯，一给我里giaogiao
15.921         1531499469.0    oh hoho
16.181         1531563291.0    giao就完事了
16.701         1531499772.0    已给我的giao
16.896         1531502291.0    奥迪的广告曲
17.16          1531566782.0    主机篇？！
17.329         1531608600.0    giao
17.388         1531621745.0    麻辣隔壁的别走
17.5           1531619191.0    BGM    Harder better faster stronger
17.58          1531500444.0    giao？
17.681         1531624377.0    蹭我giao哥热度
17.921         1531502593.0    承包老板
18.901         1531672554.0    66666666
19.114         1531499426.0    一给我力giao
19.42          1531531627.0    。。。还以为不会再更了
19.701         1531636061.0    一gay窝里giao
20.015         1531736487.0    异常单纯YJJ
21.216         1531504042.0    giao
21.792         1531668789.0    戴耳机
22.16          1531566877.0    giao事情
22.816         1531506514.0    5.8w可怕
23.05          1531569416.0    拖这么久
24.562         1531538539.0    一giao我里giaogiao
24.918         1531504870.0    giao
26.86          1531642501.0    举报一下绿字
28.059         1531567146.0    起小点万岁
28.766         1531571668.0    一给我里giaogiao   啵啵啵
29.133         1531564697.0    愤怒小鸟卡丁车的BGM
29.801         1531629973.0    安排
29.862         1531544931.0    秀呀
30.302         1531563364.0    敢
30.338         1531564889.0    Giao
31.139         1531566740.0    Giao
31.413         1531564048.0    秀啊
31.619         1531540354.0    哈哈哈哈。
32.242         1531500845.0    没有弹幕的吗
32.329         1531575558.0    弹幕呢
32.512         1531502268.0    我也信了
32.923         1531617606.0    666
33.127         1531566130.0    贼卡
33.169         1531591111.0    人才
33.461         1531503305.0    真实弹幕
33.482         1531572329.0    giao
33.61          1531716359.0    这个是什么...
33.999         1531530896.0    7.7w以后
34.187         1531573999.0    一giao我里giao
34.361         1531564271.0    牛批
34.52          1531504530.0    5.5万??观看?
34.654         1531576454.0    giao
34.773         1531509167.0    giao 
35.08          1531571003.0    辣眼睛，这么丑还膨胀
35.668         1531504972.0    嗯
35.899         1531502018.0    起小点的第一不值钱
36.081         1531555697.0    果然不出我所料 绝地要凉
36.16          1531566100.0    一giao我里giao
36.459         1531506076.0    信了
36.522         1531563973.0    666
36.544         1531585508.0    男
37.141         1531575046.0    giao
37.361         1531542571.0    信了
37.546         1531543829.0    放学的音乐！
37.682         1531565815.0    弹幕好少啊
37.888         1531531254.0    非哥非哥
38.019         1531622638.0    giao
38.4           1531529283.0    信了
38.425         1531498972.0    有人在看吗
38.505         1531585516.0    难道起床去的
38.681         1531535788.0    一给我类giaogiao
38.826         1531616344.0    我也放学了！！敢问是一中人吗
39.042         1531563735.0    有生之年
39.059         1531570565.0    我里要giaogiao
39.733         1531571682.0    取关
39.922         1531587929.0    giao
40.544         1531543333.0    蓝炸飞
40.671         1531589252.0    丑死了
40.811         1531565670.0    蓝胖子
40.979         1531569363.0    真胖，，
41.169         1531566631.0    仓鼠:跟我念，你是狗你是狗……
41.388         1531565341.0    请你睁开眼睛和我们说话
41.59          1531534299.0    猪头
41.619         1531540389.0    可怕。
41.793         1531579726.0    跳过了
41.809         1531531294.0    前联盟ACE队长，国服第一发条，现在四小天盒霸主，雷王，偶尔鼠化
41.984         1531705530.0    不发弹幕都不行了吗
42.123         1531564128.0    真恶心
42.154         1531536711.0    我记得他不是玩发条的吗
42.172         1531564070.0    仓鼠王
42.553         1531570567.0    啦啦啦啦啦
42.659         1531564436.0    绝地凉了
42.707         1531721579.0    都说是暴躁肥猪蓝战非啦，就是不信
42.921         1531535484.0    告辞，本来就不喜欢他
43.077         1531581427.0    好的，不过能不能把眼睛睁开，闭着眼睛对人不礼貌
43.209         1531563715.0    死胖子！杀蓝狗抢图图！
43.245         1531537951.0    ？？？蓝战非？
43.257         1531572697.0    蓝战菲张这个样握草
43.258         1531637385.0    蓝战非这么胖？
43.261         1531499174.0    死胖子
43.301         1531531084.0    😂😂😂😂非哥压断钢筋
43.402         1531563638.0    没想到绝地求生还干不过王者。
43.441         1531613959.0    放学了
43.485         1531531207.0    非哥
43.641         1531629904.0    放学了
