排名：22
网址：https://www.bilibili.com/video/av26785666
更新时间：07-16
弹幕总量：6647
preciseTime    ofTime          comment
0.158          1531525897.0    10:30正片开始...
0.438          1531493153.0    50:00五杀高能
0.547          1531492543.0    施工完毕
0.682          1531493411.0    屏蔽“解说”两字 食用更佳！
0.897          1531497460.0    第一局建议屏蔽“解说”二字，因为有些人真的烦
1.238          1531497187.0    ♡aiming&ming♡
1.262          1531491286.0    请喷解说的统一一下词汇说“这解说xxxx”
1.792          1531490011.0    letme：今天我不仅不平等还要在下一把单杀剑姬
1.963          1531668527.0    屏蔽：解说，困，睡，催眠，五杀，激情
2.252          1531504114.0    周淑怡？
2.422          1531505352.0    .
2.918          1531626069.0    屏蔽 解说 观看体验更佳
3.584          1531493422.0    屏蔽“解说”两字 食用更佳！
4.074          1531720380.0    琪琪同手同脚哈哈
4.198          1531578294.0    贵妇五杀坐标：50:00
4.299          1531538506.0    心疼酒桶
5.101          1531714151.0    播放量真实
5.241          1531532432.0    过来看贼贼态玩adc
5.923          1531718650.0    支付寳首页搜索5l342l732，真的不用谢我
6.172          1531492627.0    ！！！！！！！1
6.581          1531495071.0    这还看啥肯定2比0
6.693          1531490404.0    你们不要演了能进去，都演进不去什么鬼
6.9            1531546025.0    嘤嘤嘤
6.932          1531635602.0    FAQ
7.139          1531492490.0    233
7.171          1531508590.0    233333333
7.181          1531496264.0    让让让让让让让让
7.471          1531490155.0    第二集呢。卧槽
7.489          1531491886.0    我也是特意看ad姿态的
7.501          1531530553.0    来看看AD贵妇
7.921          1531541829.0    9
7.955          1531490335.0    6666
8.023          1531490832.0    第二把呢
8.14           1531493763.0    有多少是看直播进不去的？
8.239          1531528212.0    你看不到下路ad位姿态了
8.555          1531491570.0    新人ad姿态
9.629          1531492337.0    求剧透，没看直播
10.298         1531590964.0    终于可以了
10.66          1531496053.0    妇来23333333
11.113         1531530212.0    我曾经为之呼喊的OMG
11.336         1531491402.0    第二把啊
11.819         1531495275.0    6666
11.841         1531539358.0    5555琪琪太子老臣无能啊。
13.12          1531543517.0    太子驾到
13.132         1531491127.0    你把你的第二把给我交了
13.25          1531566831.0    推荐关弹幕食用
13.592         1531531083.0    看了直播的告诉你 rng又赢了
13.739         1531502018.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
13.756         1531532373.0    sus是
13.979         1531491396.0    第二场呢
14.199         1531559741.0    说实话，看战队知结果
14.801         1531495419.0    第一场是恶魔人机，第二场是普通人机
14.837         1531492675.0    rng加油加油加油
14.942         1531563132.0    4581位朋友你们好啊
16.042         1531491422.0    晋西北马上就要大乱了
16.379         1531525348.0    网太差直播PPT没办法
16.472         1531498592.0    看姿态的等等我
