排名：39
网址：https://www.bilibili.com/video/av26789707
更新时间：07-18
弹幕总量：4915
preciseTime    ofTime          comment
0.0            1531662453.0    徐老师丑啊
0.038          1531609715.0    看前先投币 赚他一个亿  看后点收藏 不秃也变强
0.138          1531638856.0    吱付寶搜索7220383，你会回来感谢我的
0.158          1531750826.0    11.30正片
0.218          1531643376.0    吱付寶搜索7220383，你会回来感谢我的
0.258          1531540902.0    你可能需要一个自瞄
0.318          1531549918.0    111111
0.558          1531537733.0    看前先投币，亏了一个亿，看完点收藏，秃了也不强。
0.818          1531540023.0    前方声音太小，建议把声音调大
0.898          1531540231.0    不投不收藏，海景十套房
0.916          1531622198.0    不投不收藏，还剩一套房
0.998          1531621849.0    一天就百万
0.999          1531627773.0    看完不投币，彩票中一亿
1.109          1531702098.0    不投不收藏，十套海景房
1.172          1531612492.0    我永远喜欢由比滨结衣
1.398          1531539628.0    告诉我你们是我的第几个孙子
1.409          1531544810.0    玛德，吓屎老子了
1.5            1531543491.0    看前不投币，崎玉当小弟，看完别收藏，狂三来暖床
1.607          1531638028.0    哈哈
1.678          1531713641.0    看完点收藏，别墅变瓦房
1.69           1531644223.0    吱付寳首页搜索5l342l732，真的不用谢我
2.118          1531627792.0    看完不收藏，海景十套房！
2.217          1531546397.0    七十一w了
2.218          1531576730.0    看前先投币亏他一个亿，看后点收藏秃了也不强
2.255          1531733430.0    支付寳搜一下“
2.282          1531641924.0    吱付寶搜索7220383，你会回来感谢我的
2.291          1531575228.0    啊哈
2.603          1531557828.0    徐老师，我来了
2.615          1531632395.0    支付寳首页搜索5l342l732，真的不用谢我
2.691          1531545911.0    看前不投币，赚他十三亿，看后不收藏，遍地海景房
2.834          1531732118.0    吱付寶搜索7220383，你会回来感谢我的
2.918          1531632839.0    收藏而且投了币，证明老徐在放屁
2.98           1531619977.0    看前先投币  亏他八个亿 看完点收藏  秃了也不强 不投不收藏 一套海景房 
3.04           1531629885.0    吱付寳首页搜索5l342l732，真的不用谢我
3.116          1531589362.0    支付寳搜一下“
3.179          1531660182.0    @护眼小分队
3.241          1531751058.0    无耻老贼
3.3            1531661252.0    看前先投币亏他一个亿
3.455          1531574595.0    快去请卢来佛祖！！！
3.459          1531560146.0    能发弹幕了哇啊啊啊
3.502          1531567535.0    。。
3.754          1531638664.0    看完点收藏，萎了还不长
3.808          1531637247.0    又看又收藏，蒙古海景房
3.909          1531820178.0    6666666666666666666
3.969          1531630187.0    66
4.107          1531749013.0    看前先投币 单抽出奇迹。
4.132          1531540001.0    23333
4.279          1531534637.0    看前先投币，亏了一个亿，看后不收藏，上海两套房
4.379          1531726069.0    看前不投币，血赚一个亿
4.5            1531628821.0    不投不收藏，十套海景房
4.56           1531686818.0    🤔🤔🤔🤔
4.564          1531630527.0    看完不投币，看你气不气！你强任你强，我就不收藏！
4.6            1531538112.0    😁
4.672          1531575961.0    111
4.694          1531535945.0    看到我你就是n
4.719          1531548277.0    一万的门我关上了
4.858          1531559292.0    您的好友【海景房】已上线
4.881          1531624957.0    老徐越来越短了
4.96           1531698958.0    蛇蛇
5.001          1531664910.0    睡觉觉
5.034          1531537194.0    不投不收藏，夜夜七次郎
5.132          1531643384.0    不投也赚钱，赚他一个币
5.174          1531535350.0    截图给谁看？
5.2            1531667744.0    我从未见过如此厚颜无耻之人
5.214          1531742034.0    哈哈
5.249          1531545948.0    9769
5.265          1531542978.0    1
5.336          1531875571.0    不投不收藏，小弟尼克杨
5.339          1531627886.0    绝不收藏😜😜
5.345          1531540476.0    护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼
5.378          1531545105.0    看完点收藏，秃了也不强
5.38           1531565429.0    666666666666666666666666666666
5.459          1531615776.0    都170了，我大概40就没有看了
5.502          1531544716.0    不投不收藏，三亚海景房
5.511          1531546686.0    11111111111111111111111111111111111111
5.528          1531625068.0    许老师许老师 我来啦
5.565          1531628682.0    丑
5.62           1531536490.0    不投不收藏
5.653          1531713883.0    不要
5.676          1531683511.0    233
