排名：44
网址：https://www.bilibili.com/video/av26792669
更新时间：07-17
弹幕总量：1483
preciseTime    ofTime          comment
0.0            1531590738.0    无情舔嫂！
0.198          1531650789.0    我好像是1
0.277          1531575605.0    11
0.397          1531578619.0    无情铁嫂
0.725          1531571128.0    声微饭否
0.958          1531648123.0    1
1.159          1531564701.0    第一，1小时前
1.365          1531563815.0    一小时！
2.019          1531565945.0    2小时
2.099          1531574692.0    好快
2.101          1531564631.0    关上8.2万的门，才两个小时
2.141          1531577411.0    1
2.219          1531562806.0    弟弟滴滴滴
2.499          1531565241.0    两小时前
2.619          1531565307.0    呦  三大混子五杀啦
2.663          1531565982.0    来了
2.665          1531572338.0    14.9万之后
2.687          1531654309.0    至强打击，无情舔嫂
2.901          1531573061.0    混子！
3.002          1531572357.0    那个男人会来吗？
3.007          1531699465.0    法国4-2夺冠！
3.036          1531565986.0    无情铁嫂
3.072          1531570433.0    不知道第几
3.082          1531563176.0    七万
3.157          1531566478.0    两小时
3.182          1531566356.0    于小c无情舔嫂五杀
3.339          1531563169.0    一小时
3.409          1531562691.0    6.5w
3.46           1531565953.0    无情舔嫂！
3.584          1531570329.0    看我刷出了什么
3.599          1531585998.0    2333333333333
3.62           1531642535.0    关上340000的大门
3.639          1531565221.0    看我刷到了什么
4.299          1531574148.0    标准开头
4.379          1531706964.0    40w
4.479          1531563659.0    一小时前
4.48           1531610077.0    声微饭否
4.887          1531672136.0    11111
4.897          1531566073.0    无情舔嫂
5.024          1531573454.0    又更了？！
5.099          1531595988.0    深夜福利
5.12           1531705923.0    声微饭否
5.16           1531578984.0    是无情舔嫂啦
5.201          1531590185.0    前前前
5.262          1531580646.0    啦啦啦啦
5.279          1531628248.0    可算更新了
5.282          1531580812.0    6小时前！前21.7万！
5.29           1531589255.0    9小时
5.5            1531669221.0    深夜福利
5.547          1531582079.0    多少了
5.691          1531575759.0    1111
5.9            1531573760.0    人好少
5.999          1531612676.0    咕咕咕
6.002          1531670349.0    看到我你就是90W以后了
6.008          1531580036.0    .
6.081          1531575735.0    余小C无情舔嫂
6.174          1531588215.0    深夜福利！
6.222          1531562753.0    6.6w
6.321          1531564477.0    牛逼
6.336          1531563026.0    一小时前
6.363          1531567434.0    10w
6.429          1531595991.0    27.9w
6.454          1531565631.0    2018/7/14     18:53
6.486          1531566310.0    两小时前
6.52           1531576996.0    无情舔嫂
6.579          1531579182.0    大侠哥牛壁
6.621          1531563258.0    前一分钟
6.741          1531777908.0    66666
6.784          1531567224.0    日毒妃头（日常毒妃开头）
6.826          1531610946.0    前1000！
6.997          1531589460.0    来了来了
7.02           1531575917.0    11111
7.022          1531625202.0    看我刷到了什么
7.042          1531584182.0    承包空屏
7.08           1531563136.0    一小时前
7.24           1531577199.0    前
7.359          1531566272.0    第一次这么前
7.42           1531671451.0    零点报到
7.561          1531566836.0    !!!!!!!!!!!!!
7.799          1531577512.0    11111
7.899          1531571125.0    前排11111
7.913          1531621865.0    4444
7.92           1531564715.0    2
7.938          1531619857.0    截图给谁看
7.96           1531585591.0    1111111
8.001          1531584146.0    1111411111
8.099          1531779970.0    来了来了
8.1            1531563961.0    无情舔嫂   智障打击  大杀四方  啊！
8.221          1531641311.0    声微，饭否
8.251          1531572562.0    15万助攻
8.371          1531673114.0    无情舔嫂
8.38           1531749832.0    无情舔嫂 自残打击 大傻四方
8.529          1531569329.0    77777777
8.642          1531575467.0    无情舔嫂警告
8.667          1531568918.0    大侠哥有排面！
8.684          1531566357.0    9.8万
8.701          1531749358.0    前
8.851          1531562961.0    嘤嘤怪来啦啦啦啦啦
8.96           1531673860.0    法国赢了
9.06           1531569502.0    11111
9.082          1531570509.0    三小时前
9.099          1531577544.0    声微饭否
9.12           1531576064.0    前
9.198          1531583235.0    23.4
9.216          1531694712.0    无情舔嫂
9.241          1531636041.0    余小c是不是只会一个英雄啊。。。
9.363          1531647420.0    之前还有一个小鱼人的，现在没有了
9.392          1531569167.0    老板换碟！
9.54           1531574854.0    来玩了
9.557          1531578574.0    66
9.601          1531565425.0    早早早
9.62           1531568315.0    今天真热啊
9.761          1531575155.0    标准开头
10.006         1531570576.0    3小时前
10.041         1531565571.0    两个小时前！！！终于可以发弹幕了
10.101         1531570225.0    111
10.139         1531584587.0    无情舔嫂
10.436         1531627871.0    刚才
10.652         1531623978.0    支咐宝首页搜嗦“86OO14”真不用谢我
10.752         1531573512.0    11
10.805         1531578118.0    身为饭否
10.92          1531571992.0    1461
11.029         1531564489.0    23333
11.16          1531562753.0    老板换碟
11.32          1531569446.0    哟  毒男
11.379         1531566806.0    封面搞笑呢？
11.459         1531582143.0    2045
11.499         1531574960.0    啊啊
11.501         1531663218.0    流量看的。。。
12.06          1531585740.0    2333333
12.181         1531563829.0    老板换碟！哎不好意思走错片场了
12.192         1531571311.0    碟男
12.339         1531563859.0    哟，毒男
12.44          1531564007.0    哟，黑色切歌者
12.453         1531565809.0    才两个小时就1100多弹幕了，厉害了各位兄台。。
12.562         1531644869.0    哟，毒男
12.715         1531643872.0    11111
12.899         1531621917.0    好前
12.972         1531562995.0    关上前1000的大门
13.01          1531662322.0    2411
13.019         1531568415.0    哟，碟男
13.12          1531574243.0    无情舔嫂
13.344         1531566911.0    2小时
13.402         1531717324.0    11111111111
13.483         1531569487.0    哎哟
13.624         1531570512.0    关上12万的大门
13.642         1531671342.0    标准开头
13.723         1531572369.0    那个男人会来吗？
13.779         1531568297.0    哟
13.828         1531566151.0    看到我就是9.6万以后了
13.899         1531579141.0    看见开头C位的嫖老师
13.931         1531593678.0    哟  碟男
14.355         1531709665.0    廉颇老矣，尚能饭否
14.582         1531567890.0    肚腩！
14.733         1531565711.0    瞧我找到了什么
14.879         1531717519.0    。。。
14.926         1531575760.0    毒短
15.018         1531577051.0    5h
15.121         1531665146.0    老板换碟
15.122         1531564808.0    换碟？？
15.374         1531738738.0    换碟
15.502         1531717358.0    拉塔大王。
15.54          1531668815.0    111
15.601         1531581627.0    呦，碟男
15.935         1531570557.0    爷来了
16.07          1531609134.0    666
16.139         1531577020.0    哟。毒男
16.561         1531579727.0    标准开头
16.576         1531562850.0    一小时前就6.6万了，，
16.687         1531649849.0    标准开头
16.862         1531613546.0    呦，碟男
17.467         1531572721.0    今儿搬了几块砖？
17.619         1531570922.0    表示刚看完神超打的脚本剑姬，看肚腩的觉得好水。。。
17.724         1531573983.0    超神篇啊，兄弟们，哪来换碟。
17.94          1531565382.0    碟男
18.176         1531592929.0    这不是搞笑篇？
18.284         1531562958.0    6.9W
18.339         1531576342.0    换碟！
18.459         1531584639.0    额
18.917         1531583139.0    W啥控制都不挡 讲究
18.921         1531562937.0    BGM Highland
19.381         1531754075.0    战绩瞩目
19.586         1531587396.0    。
20.022         1531576940.0    1/3
20.56          1531570061.0    今天肚腩冲钻三真心酸
21.462         1531585342.0    不残血不会玩系列
21.621         1531585063.0    弹幕？
21.881         1531572282.0    在现场
22.101         1531636300.0    刚开始就换碟？
22.199         1531566948.0    w抠了
22.513         1531566575.0    毒男
23.053         1531574679.0    白银局瞩目
23.267         1531563035.0    高手？好欠抽啊！
23.62          1531563680.0    1087
23.691         1531623991.0    支咐宝首页搜嗦“86OO14”只能帮你到这了
24.387         1531577021.0    讲真他W躲的都是啥？感觉很一般啊
25.068         1531563606.0    一小时7.4万，卧槽
25.205         1531565662.0    右下角小剧场
25.414         1531584756.0    皇子eq被格挡，晕住了
25.564         1531587620.0    a接拉起
26.141         1531566734.0    这皇子玩的什么？？？
28.811         1531578183.0    五小时前
28.841         1531569332.0    交了Q
29.961         1531576659.0    是我我就死了
30.293         1531589443.0    皇子会玩的，先手w给减速，想着不交eq不给剑姬机会，想qe的
30.514         1531568099.0    莽夫
31.907         1531563571.0    来♂
32.9           1531575801.0    a接拉起
33.135         1531589385.0    为什么这么慢的控都没挡掉，现在毒男这么菜？
33.279         1531575504.0    小羊苏西
33.321         1531582158.0    小莽夫2333
33.826         1531571720.0    在现场
34.499         1531569445.0    右下小剧场
34.859         1531567007.0    皋手
36.367         1531704267.0    指定没你滴好果汁吃
36.812         1531770374.0    说实话感觉不秀什么控制技能都没w挡掉都是硬伤害灌死的 跟我感觉的超神篇落差有点大
36.94          1531569286.0    右下角白银。。。
37.409         1531566911.0    在现场
37.841         1531564019.0    在现场
39.5           1531581078.0    偷就完事了
39.682         1531588631.0    哪有eq只有q好吧，旗子都没有
39.798         1531654119.0    没你滴好果汁吃
40.66          1531577452.0    给你坏果汁
40.94          1531571827.0    没你的好果汁嗷
41.739         1531572886.0    右下666
41.82          1531567745.0    在现场
42.942         1531577496.0    睾手
43.143         1531578779.0    白银？
43.564         1531579296.0    懒洋洋大战沸羊羊
45.119         1531580199.0    偷袭睾手
45.743         1531573539.0    有丶东西啊
45.76          1531740011.0    催眠战胜法
46.646         1531594262.0    不残血不会玩
46.692         1531662198.0    睾♂手
46.77          1531563766.0    ←会剑姬也没看见你上锦集
48.478         1531575219.0    睾手
48.597         1531616349.0    偷袭睾♂手警告
48.945         1531568203.0    睾手
48.964         1531625926.0    真正的高手永远不会说自己是高手
49.587         1531563330.0    睾手牛皮
49.763         1531602612.0    老板，换。。。。。走错场了。。。。
50.452         1531571462.0    感觉主播的水平在下降最近
51.111         1531563469.0    在现场
51.966         1531728388.0    睾手
52.156         1531586485.0    偷袭睾手，阿♂？
52.191         1531641870.0    睾手
52.392         1531627954.0    这里不用闪吧
52.802         1531565541.0    睾手
52.81          1531572242.0    左下小剧场
53.409         1531628061.0    老板换碟！哎，抱歉走错了
53.851         1531573060.0    炸胡
54.614         1531636061.0    敢偷袭碟男
54.656         1531573793.0    1-3打得像3-1一样
55.061         1531576936.0    前方建议关闭弹幕!
55.863         1531564538.0    睾♂手
56.028         1531590037.0    炸胡的弟弟说说哪炸胡了？
56.849         1531672404.0    前方0.5观看。
56.906         1531675370.0    原来你就是gosu
57.34          1531569190.0    然后被高高手单杀
57.621         1531714203.0    睾手
57.66          1531577254.0    右下↘小剧场，光辉开始骂了
58.28          1531562805.0    在现场
58.281         1531566481.0    9.8万？
58.317         1531616320.0    偷袭睾♂手
58.366         1531708386.0    偷袭睾手
58.477         1531730017.0    睾手
58.916         1531564633.0    打
58.92          1531564747.0    很帅
59.027         1531593906.0    承包双马尾！！！！！！
59.219         1531563401.0    牛逼
59.283         1531612577.0    真的诶，1-3打的和3-1一样
59.698         1531625094.0    前方高手
60.468         1531563081.0    这才是高手
60.903         1531583027.0    前方一套3红怒不解释连招
61.059         1531563100.0    退役战神
61.202         1531577519.0    退役战神
61.28          1531562805.0    超
61.609         1531671604.0    毒龙钻！
61.779         1531563636.0    出现了，现场怪
61.822         1531576604.0    可惜输了，最后神超这边两个挂机
61.859         1531579861.0    求求你回去打职业吧！
62.24          1531573841.0    承包双马尾
62.307         1531568619.0    承包双马尾
62.402         1531717423.0    退役战神
62.702         1531563049.0    神超
62.969         1531708429.0    双马尾
64.183         1531717442.0    承包双马尾
64.489         1531563356.0    承包双马尾
65.024         1531571982.0    承包双马尾
65.962         1531563233.0    在现场，这把对面艾克屠杀
67.178         1531744077.0    现场
67.432         1531583355.0    战神生气了
67.821         1531738769.0    我还记得以前五五开的ID退役战神卢本伟
67.888         1531744226.0    WTF？？？！！！？
68.137         1531572964.0    出现了出现怪
68.579         1531629914.0    。。
70.053         1531578805.0    ardweqaa
70.714         1531629719.0    DAWATAEQAE
70.752         1531581233.0    w之后明明接了个a然后接e取消后摇
70.883         1531566623.0    双马尾战神
71.068         1531563696.0    细节漏车
71.762         1531584257.0    A地板讲究
71.947         1531567445.0    仔细看，W之前有A触发征服者。如果没这个习惯，请带强攻。
72.071         1531585138.0    rdw2aeqe
72.64          1531569567.0    声微，饭否
73.275         1531571639.0    国服第一刀妹和国服第一鳄鱼
73.613         1531611965.0    现场
75.134         1531616811.0    有没有像我一样全程紧盯跑车的？
75.406         1531673473.0    全程盯着怒气，我的天
75.738         1531666325.0    2018adc
76.18          1531580701.0    前面先消耗了加里奥一波 还分析了思路 安排好了剧本
76.63          1531734362.0    ⑧解释连招
77.439         1531581203.0    意外之才
77.482         1531672474.0    三个红怒技能？
78.459         1531571338.0    ADCin2018
78.989         1531573234.0    个都是将1/3玩成3/1的男人
80.237         1531588828.0    好像每一次都是鳄鱼诶
81.702         1531563074.0    退役战神
82.881         1531587775.0    这把下路问题很大
83.605         1531753360.0    自己ad是狗吧还想脏兵
83.939         1531571225.0    现在好多英雄可以一套打死adc
87.119         1531564409.0    他不是玩ad的吗？
87.398         1531569222.0    还以为是敌方大嘴
87.781         1531579641.0    没弹幕吗
87.83          1531565397.0    哈哈哈哈认错了也太秀了
88.269         1531567474.0    虎牙 虎牙  虎牙！！！不是海鲜台啊
88.608         1531576724.0    3段红怒
88.64          1531582381.0    苦练6年AD，如今男刀上分
88.853         1531575380.0    惊呆了，第一次看到没弹幕主播炸了
88.88          1531573926.0    其实这主播在虎牙。。
89.962         1531717486.0    当你放弃ad去玩刀锋是
90.545         1531581397.0    想你了momo
90.692         1531588822.0    苦练6年ad 如今男刀上分
90.702         1531563274.0    何敏是你吗
90.902         1531575872.0    这个逼不是在虎牙嘛？
90.943         1531614930.0    不是玩ad的吗。。。。
91.405         1531588307.0    练了六年adc
91.979         1531584745.0    张全蛋
92.353         1531563716.0    前面的认错了  没有工资了
92.437         1531571837.0    当你放弃ad去玩中单时
92.579         1531565516.0    张全蛋
92.871         1531566645.0    稀客啊
94.761         1531612168.0    补刀有点真实
94.764         1531620602.0    去虎牙了
94.844         1531638542.0    w3rqa
96.729         1531576044.0    w闪raqa
96.76          1531562896.0    w闪rqa好吗，不然怎么打出被动
96.946         1531575613.0    DWRFQ
97.337         1531661173.0    前面的水军认错人了没工资了
98.003         1531629821.0    又有傻子说不是W闪 我懂你们的意思
98.349         1531582148.0    300场男刀表示基本操作
98.501         1531575957.0    的确啊，有这装备玩过男刀都会啊
98.96          1531745848.0    男刀基操，皆坐，勿6
98.994         1531576564.0    我都行好吗？？？
99.113         1531575517.0    吃队友？
99.484         1531652409.0    闪WRQa
100.03         1531641333.0    毒男不是国服第一刀妹啊
101.262        1531717504.0    夫妻档。
101.596        1531563553.0    w闪RQA
101.61         1531571862.0    夫妻档
102.079        1531568186.0    夫妻档了解一下
102.148        1531576516.0    国产怪物
102.451        1531620702.0    塔姆才吃队友
103.44         1531669729.0    夫妻档
105.257        1531644050.0    青蛙什么时候去虎牙的
106.046        1531588287.0    哪个辅助不吃队友？？？？
106.465        1531662008.0    都在虎牙
106.72         1531573280.0    在现场
107.762        1531576128.0    023
108.321        1531565533.0    吃队友？
108.423        1531623807.0    在现场
108.43         1531575942.0    在现场
108.606        1531566033.0    控制很够，45cd的话。队友会玩，真的配合超强
110.768        1531571131.0    在现场
111.397        1531564798.0    在现场
114.198        1531628136.0    队友疯狂信号
114.942        1531612704.0    0-2打出2-0的感觉
115.191        1531751035.0    妖姬就是这么脆
115.808        1531578377.0    0-2的辅助把中单秒了。
116.224        1531747330.0    微笑赋予了AD ADCarry的称号
116.288        1531572906.0    那个男人！
116.922        1531627273.0    弹幕护体
117.57         1531567641.0    这不是派克玩家的基操吗
118.679        1531564797.0    你是个辅助啊大哥。。。
118.837        1531650481.0    这么秀？
119.842        1531717748.0    这我也会
120.023        1531639184.0    那个男人终于回来了！
120.091        1531651870.0    黑店哥这个发型是摸到电门了么hhhhh
120.279        1531562733.0    那个男人回来了
120.321        1531586460.0    那个男人
120.497        1531622856.0    那个男人  哇！
120.795        1531583460.0    那个男人来了
120.824        1531579885.0    那个男人来了
121.327        1531614590.0    那个男人！！！！
121.395        1531625425.0    辣个男人
121.715        1531575907.0    拉个男人
121.897        1531562905.0    怒发冲冠
122.277        1531575631.0    野猪骑士
122.379        1531651290.0    补兵666
122.442        1531575232.0    靠发型上超市
122.478        1531571719.0    赵信皮肤发型
122.538        1531573579.0    狗迟但到
122.664        1531667306.0    那个男人回来了！！！
122.816        1531577169.0    哟，黑狗
122.919        1531610786.0    怒发冲冠6666
123.023        1531576271.0    寒冰：我走一步，算我输！
123.065        1531587468.0    发型?
123.085        1531572496.0    这发型绝了
123.339        1531571640.0    ⊙∀⊙！  社会
