排名：80
网址：https://www.bilibili.com/video/av26797306
更新时间：07-18
弹幕总量：2172
preciseTime    ofTime          comment
0.166          1531769505.0    Up主也来呗
0.182          1531800433.0    BGM：恋爱循环（哦漏版）
0.378          1531735618.0    天家顏色美如畫天家顏色美如畫天家顏色美如畫
0.425          1531752688.0    这个标题深深地吸引了我
0.719          1531701985.0    小天最受！
0.782          1531899663.0    优秀
0.905          1531720954.0    见忽悠进
0.959          1531701973.0    小天最受！！！！
1.141          1531679707.0    BGM：恋爱循环--哦漏QAQ
1.201          1531763464.0    见忽悠进
1.22           1531733223.0    我想看笑笑女装哈哈
1.241          1531728399.0    见lex滚
1.461          1531703317.0    见忽悠滚！！！
1.754          1531704272.0    闻香，KB，散人，中国boy？
2.045          1531879619.0    天家颜色美如画，受与天齐你最骚
2.057          1531846518.0    见小天滚！表白漏漏！
2.223          1531737096.0    见忽悠进
2.299          1531787346.0    看厂长的qiqng
2.344          1531659368.0    Up干得漂亮!
2.423          1531811538.0    老番茄🍅你看看人家！
2.444          1531662425.0    h
2.496          1531660761.0    大忽悠?
2.624          1531672568.0    大忽悠
2.845          1531866871.0    哈哈哈，见到忽悠反手就点进来并幸灾乐祸
2.942          1531883695.0    天家颜色美如画 受与天齐你最骚
3.003          1531810059.0    大忽悠
3.047          1531764428.0    全都是男的
3.183          1531786422.0    见敖进
3.217          1531736073.0    见忽进
3.264          1531736198.0    火钳刘明
3.283          1531880550.0    见散进
3.401          1531905935.0    见boy滚
3.421          1531721945.0    这个视频一定要把up顶到首页2333333
3.472          1531724946.0    忽悠4：58不谢
3.496          1531757315.0    天家颜色美如画，受与天齐你最骚
3.522          1531703604.0    我漏的恋爱循环啊啊啊啊啊啊
3.55           1531810400.0    羞耻的播放量
3.563          1531675798.0    见忽滚
3.633          1531825265.0    小天小天小天
3.644          1531862229.0    可耻的播放量
3.706          1531901976.0    看见厂长就进来了
4.024          1531910749.0    见忽进
4.03           1531815835.0    见忽近
4.117          1531801679.0    见boy进
4.222          1531883700.0    天家颜色美如画 受与天齐你最骚
4.323          1531742163.0    看到散人了
4.382          1531732328.0    小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天小天
4.455          1531735264.0    小天不是受QAQ
4.606          1531757328.0    天家颜色美如画，受与天齐你最骚
4.867          1531901646.0    看见忽悠我就进来了！
4.882          1531711759.0    见aj进
4.895          1531737770.0    见天滚
4.909          1531662623.0    见忽悠滚
4.964          1531806287.0    小天小天
4.972          1531718678.0    贤宝宝
4.985          1531744700.0    刺激。
5.054          1531737574.0    小天最受
5.124          1531744461.0    我要这硬币有何用
5.19           1531820390.0    愛你小天ヾ(*´∀ ˋ*)ﾉ
5.263          1531883705.0    天家颜色美如画 受与天齐你最骚
5.364          1531810851.0    高调承包大忽悠
5.503          1531797978.0    见忽悠滚进来的
5.584          1531789955.0    见天进！
5.604          1531673526.0    承包骚天！
5.662          1531734146.0    坐等凉风和lex
5.782          1531803487.0    Σ(ŎдŎ|||)ﾉﾉ
5.794          1531817975.0    小天   小天   小天   小天   小天   小天   小天   小天   小天   小天   小天   小天   小天   小天   小天   小天
5.886          1531733110.0    小天第一！
5.945          1531837936.0    见忽悠进
5.964          1531810067.0    大忽悠
5.982          1531794640.0    见散滚
6.227          1531758436.0    你是魔鬼吗
6.303          1531883708.0    天家颜色美如画 受与天齐你最骚
6.341          1531748491.0    表白小天!!!
6.484          1531783155.0    看见熬厂长就进来了
6.58           1531767103.0    小天
6.77           1531895490.0    阿！！！！我天！！！
