排名：78
网址：https://www.bilibili.com/video/av26797782
更新时间：07-16
弹幕总量：2912
preciseTime    ofTime          comment
0.0            1531497443.0    我刷出来了什么？！！！
0.017          1531494391.0    前5000！
0.067          1531725853.0    好评
0.091          1531493917.0    1111
0.237          1531494061.0    两分钟前
0.625          1531494206.0    5分钟前
0.88           1531546436.0    这次更新隔太久了，我要回到上一期补补
0.941          1531496905.0    为了水心 为了观众
1.11           1531533047.0    蔡少芬
1.186          1531567080.0    来了来了
1.26           1531494020.0    两分钟前第一
1.438          1531496272.0    大家注意不要剧透，毕竟还是有人没看过
1.578          1531497242.0    B站第一肝，木鱼
1.707          1531496753.0    48分钟前
1.82           1531494073.0    可算等到了
2.111          1531494194.0    5分钟前
2.139          1531532636.0    标题很皮
2.209          1531499643.0    该来的总归还是来了
2.42           1531494029.0    2分钟前！
2.449          1531493905.0    666
2.477          1531493997.0    22222
2.693          1531495779.0    刚刚
2.88           1531494050.0    两分钟前
2.902          1531498666.0    终于
3.04           1531494943.0    前排 啦啦啦啦
3.116          1531569493.0    哒大大
3.209          1531495970.0    底特律；变捞
3.343          1531502613.0    leileleile
3.488          1531494034.0    1111111111111
3.621          1531494388.0    算深夜福利么！
3.622          1531530261.0    终于等到你，还好我没放弃
3.639          1531493943.0    第一次这么前，哈哈哈
3.863          1531503251.0    111111111
3.941          1531520492.0    七小时前
4.432          1531495761.0    31前
4.661          1531495172.0    催更
4.721          1531624637.0    来啦
4.829          1531493951.0    第一第一！！！
4.832          1531493887.0    1
4.881          1531712525.0    大鱼鱼你好
4.997          1531497695.0    公款逛脱衣舞厅
5.141          1531494048.0    23333333333
5.199          1531501968.0    居然有60p的了，希望以后有1080p的
5.299          1531498744.0    ·
5.313          1531717528.0    好评
5.567          1531494318.0    !!!!!!
5.569          1531493953.0    看我刷出了什么
5.663          1531722397.0    垫底
5.7            1531504038.0    火钳刘明
5.721          1531500130.0    哇哦哇哦
5.744          1531547047.0    啊啊啊啊啊啊康纳酱
5.759          1531494282.0    6分钟前
5.843          1531494051.0    1111111111111
5.86           1531495047.0    哇，厉害啦
5.934          1531535592.0    来了
6.002          1531494384.0    qianpai
6.029          1531493882.0    111
6.161          1531499568.0    天哪，自从粉了木鱼，，，，果然没有对比就没有伤害，木鱼辛苦了
6.311          1531538432.0    终于等到你
6.481          1531494187.0    看我发现了什么
6.6            1531502646.0    先投币
6.622          1531495922.0    妈呀木鱼遇上底特律，速度都慢了
6.957          1531530750.0    大鱼鱼
6.999          1531494977.0    1764
7.062          1531727516.0    木鱼水坑
7.107          1531531518.0    大家可以去c君哪里看全集
7.141          1531530021.0    来了来了
7.164          1531493913.0    刚刚
7.219          1531497830.0    还要不不要人睡觉啊
7.223          1531566118.0    赞
7.336          1531494413.0    等了很久啦
7.43           1531494561.0    深夜福利？这个点也算深夜？哈哈哈哈哈哈
7.479          1531527941.0    辣鸡华为荣耀
7.541          1531494127.0    前前前
7.625          1531495464.0    大前排！！！
7.704          1531493875.0    111111111111111111111111
7.98           1531493961.0    3333333
8.019          1531494537.0    1
8.022          1531494149.0    2333333333
8.25           1531493970.0    emmmm
8.555          1531539468.0    来了来了下篇
8.815          1531494032.0    前
8.821          1531494423.0    1分钟前
8.889          1531493998.0    前
8.979          1531493916.0    1播放量
9.061          1531498261.0    呀，我来了
9.309          1531498645.0    没白等 嘿嘿
9.705          1531539184.0    更新 开心
9.853          1531639214.0    233333
9.885          1531494292.0    111
10.096         1531533777.0    233333333333333333333
10.254         1531493913.0    1
10.309         1531493880.0    来了来了
10.537         1531495918.0    刚刚
10.678         1531501473.0    2小时前
10.778         1531494051.0    1660
10.82          1531568553.0    大鱼鱼
10.888         1531494084.0    33333
11.062         1531493880.0    第一，，，，
11.22          1531495685.0    更新慢的原因是不是玩游戏菜呀😜
11.245         1531501506.0    失踪人口
11.482         1531559161.0    前排围观
11.52          1531496483.0    修仙党的胜利
11.639         1531527129.0    没有ps4的我
11.967         1531494600.0    欧亚
12.003         1531494530.0    周五的狂欢！！！
12.139         1531527954.0    想买华为动
12.167         1531548227.0    失踪人口回归
12.36          1531495737.0    1111111
12.368         1531545543.0    4677人！！！
12.445         1531503687.0    封面真像大表姐
12.485         1531560817.0    支持支持
12.528         1531495625.0    深夜福利！
12.596         1531494592.0    前二百吗
12.967         1531494024.0    刚刚还在想 就更新了！
13.353         1531494352.0    刚刚
13.522         1531498957.0    优秀！！！！！！
13.541         1531714808.0    支持支持 等第二期等了好久了
13.559         1531545095.0    总有来的时候
13.795         1531494810.0    15分钟前
13.903         1531493899.0    弹幕弹幕
14.005         1531497383.0    木鱼木鱼
14.128         1531498074.0    1
14.325         1531495933.0    火钳刘明！
14.858         1531494472.0    10分钟前～
15.032         1531727424.0    以为海清封面
15.215         1531498378.0    木鱼水肝
15.272         1531494157.0    嗯
15.67          1531524439.0    木鱼的肝
15.681         1531499070.0    第一次这么前
15.752         1531499883.0    底特律：变成沙雕
15.761         1531527984.0    想买华为的放弃吧，体验很差
16.31          1531494399.0    看我刷到了什么
16.457         1531557636.0    ↓替C君谢谢你，干杯↓
16.522         1531495794.0    11
16.605         1531532658.0    233333333333333333
16.627         1531494023.0    底特律嘛
16.811         1531493997.0    高产木鱼  先投币再看
17.144         1531497647.0    表白我康纳小天使！！
17.302         1531501849.0    哈哈哈哈哈哈哈
17.422         1531501852.0    底特律:没有晴天
17.608         1531641076.0    我也是C粉，但是前面几个能不能别再别的up主里刷？
18.033         1531545198.0    底特律：下雨
18.046         1531495212.0    最近底特律有点火啊
18.093         1531548429.0    来了
18.133         1531494233.0    养肥了在看(滑稽)
18.271         1531551068.0    高级吐槽哈哈哈哈
18.296         1531494076.0    底特律：打伞犯罪
18.469         1531494183.0    陈景昌爱杨鑫滢
18.761         1531494193.0    我也不喜欢打伞
18.769         1531495927.0    刚刚
18.774         1531529596.0    底特律:打伞违法
18.994         1531531378.0    23333
19.03          1531496186.0    二点四万后
19.079         1531507532.0    便乘人
19.102         1531493895.0    刚刚怎么说
19.116         1531494023.0    823
19.3           1531549839.0    底特律:见天下雨
19.348         1531663090.0    233333333333333
19.45          1531546003.0    底特律 暴雨
19.607         1531575215.0    底特律：没有卖伞
19.732         1531560825.0    最爱木鱼
19.737         1531547083.0    底特律：降雨
20.179         1531532741.0    233333333
20.501         1531496051.0    底特律' 败家子
20.503         1531499034.0    1
20.759         1531529951.0    打伞犯法
21.02          1531494200.0    已经不是第一了
21.178         1531494041.0    吃的什么？
21.183         1531500895.0    底特律：下雨不打伞，打伞不下雨。
21.34          1531500746.0    底特律：不是下雨就是下雪
21.362         1531635001.0    谁
21.436         1531546059.0    重要更新了
22.123         1531494115.0    汉克是肖申克的救赎里面的警长海利
22.364         1531542305.0    底特律：没有晴天！
22.478         1531538526.0    看到我你已经晚了
22.522         1531545226.0    第2018条弹幕
22.635         1531673855.0    恭喜法国队夺冠
22.943         1531495720.0    23333
22.973         1531494598.0    哇塞，才十一分钟就快破万了
22.981         1531540174.0    在底特律打伞是犯法的！
23.302         1531496908.0    底特律:死也不打伞
23.416         1531535035.0    因为没有点开雨伞的科技树
23.498         1531494459.0    底特律：绝不撑伞
25.547         1531494073.0    冷漠无情康纳酱
25.675         1531493897.0    底特律：打伞有罪
26.192         1531532393.0    你免费了
26.225         1531665434.0    法国队冠军啦
26.503         1531495068.0    厉害啦
26.584         1531524736.0    密集恐惧症的悲哀
27.035         1531534402.0    仿生人能吃饭？
27.058         1531494558.0    地上好多up主啊
29.191         1531493885.0    刚刚
29.252         1531494144.0    底特律:当场去世
29.384         1531495454.0    好奇木鱼会讲什么剧情线
29.539         1531560233.0    全是拖更up主
30.021         1531539608.0    当场去势
30.49          1531493931.0    我我我我我我我我 第16
31.262         1531552797.0    但愿木鱼水心不要走谈崩线
31.422         1531496938.0    up主聚会哈哈哈
31.641         1531493969.0    底特律：雨一直下
31.724         1531575256.0    一地的牧中堂
31.896         1531493912.0    先查查天花板
32.293         1531497394.0    屋子里全是up主
32.37          1531495011.0    B站up聚集地
32.505         1531576083.0    咕咕咕
32.882         1531528740.0    吴宇森是你吗
33.081         1531496426.0    咕咕
33.203         1531505369.0    吴宇森的房子
33.265         1531532681.0    底特律：当场去世
33.302         1531536608.0    咕咕咕
33.394         1531611988.0    蟹老板
33.405         1531545786.0    RUA!!!!
33.625         1531497942.0    当场去世？？哈哈哈哈哈哈
33.728         1531493924.0    当场去世还行
33.73          1531509008.0    大汉克23333333333
34.12          1531494031.0    当场去世还行
35.247         1531499986.0    不错啊
35.294         1531530184.0     这里康纳卖萌为什么不让他展现出来
35.349         1531526345.0    2333333333333
35.41          1531530701.0    当场去世可还行
35.541         1531543677.0    全是pdd
35.763         1531561961.0    刚刚在玩底特律第一关
36.123         1531575989.0    RUA
36.161         1531528025.0    辣鸡华为
36.58          1531493958.0    一分钟前
36.687         1531675999.0    这屋是大型B站up主学习见面会
37.095         1531545469.0    鸽子全是UP主的笑死我了
38.637         1531501985.0    CR7
39.509         1531533917.0    咕咕咕
39.753         1531497352.0    调皮
40.014         1531493945.0    太早了都没有弹幕
40.439         1531494148.0    暗示鸽了
40.514         1531503716.0    当场去世
41.061         1531514437.0    咕咕咕
41.795         1531555542.0    开始分线了
41.831         1531552052.0    啊啊啊啊啊
42.119         1531494221.0    看到这里你已经是2884之后
42.319         1531495303.0    哈哈哈哈
42.386         1531494872.0    哈哈哈！
42.735         1531529035.0    当场去世，哈哈哈
43.541         1531501887.0    底特律:天花板
43.955         1531501549.0    底特律:疑犯还在现场
43.999         1531612854.0    汉克特别像绝命毒师里面的汉克
44.028         1531528439.0    上天……花板
44.141         1531501797.0    赛门也喜欢躲在天花板上
46.282         1531495966.0    哈哈哈吐槽
46.618         1531495585.0    当场去世
46.744         1531494796.0    躲天花板233
46.902         1531533474.0    哈哈哈哈，不打伞，天花板
46.978         1531572794.0    底特律 淋雨
47.275         1531499497.0    疯狂吐槽可还行2333
47.407         1531618747.0    总感觉这样玩康纳会被汉克一枪打死
47.446         1531494005.0    哈哈哈
47.569         1531532705.0    这期这么皮的吗……
48.018         1531494499.0    哈哈哈哈哈哈木鱼这段可爱的
48.711         1531623195.0    233333333333333333
48.902         1531495731.0    重要现在点要来了
49.02          1531532782.0    木鱼好皮啊
49.597         1531494458.0    底特律：阁楼
51.394         1531640315.0    迷宫是从西部世界来的吗？
51.827         1531494119.0    当时没注意到躲藏的地方一样。_(:⁍」∠)_
52.223         1531495747.0    重要选择点要来了
52.342         1531494266.0    心狠手辣康纳酱
53.725         1531495855.0    大家要注意休息啊，特别是学生党要作息有规律
54.158         1531494012.0    底特律：天花板
55.727         1531727180.0    此刻来一场枪战就变成了吴宇森了
56.623         1531494631.0    好开心啊
57.306         1531522326.0    迷宫。西部世界很重要的图腾
59.754         1531503722.0    阁楼是美国著名同志杂志
59.884         1531536353.0    底特律  空中刺杀
60.676         1531556358.0    游戏？
60.783         1531502287.0    掉帧了
61.471         1531552071.0    土拨鼠叫啊啊啊啊啊
62.021         1531731087.0    吴宇森233
62.055         1531639208.0    汉克用it，是因为在没办法确定人的性别的情况下，用it指代
63.138         1531572873.0    追逐战
63.211         1531621680.0    遇事不决就上房
63.216         1531503077.0    是你，艾登皮尔斯
63.881         1531494638.0    Love me like you do~
63.94          1531528924.0    这里用的是‘chase “it”’可见汉克对于仿生人的态度
64.817         1531497457.0    巨精彩的追逐战
65.382         1531601990.0    艾登皮尔斯？
65.665         1531567092.0    像杨洋
67.174         1531533040.0    康纳成为了康纳
67.942         1531578537.0    艾登皮尔斯的那个别走！哈哈哈 ctOS......
69.273         1531529597.0    我们来看看木鱼的QTE水平
69.938         1531550778.0    似李！矮凳皮尔斯！
70.309         1531544106.0    二分心智迷宫
70.5           1531494524.0    底特律：赛跑
72.402         1531494581.0    底特律：仿生人信条
73.585         1531494218.0    底特律:康纳跑酷
73.681         1531534532.0    trace...
74.396         1531505560.0    这bgm有点进击巨人的感觉
74.747         1531500003.0    康纳的角色曲超棒！
74.783         1531495218.0    木鱼背板辛苦了
75.32          1531503751.0    2小时前
75.559         1531545515.0    底特律变年轻人
75.782         1531552873.0    这里去救汉克不要追仿生人太死
75.876         1531500966.0     底特律：跑酷
76.022         1531495200.0    看门狗：你免费了
76.038         1531501712.0    康纳死，全剧终（在这段里面康纳酱有好几种死法）
76.905         1531538081.0    动作感觉还是不行
77.799         1531494502.0    qte好快
77.899         1531555689.0    底特律：成为信条
77.934         1531494406.0    底特律：躲猫猫
78.501         1531542662.0    刺客信条:底特律
78.759         1531497351.0    赌五毛木鱼会选救汉克
78.887         1531527424.0    底特律：成为刺客
79.502         1531495243.0    来早了，大家快来
80.04          1531534491.0    镜之边缘:底特律
80.097         1531498193.0     人9
80.523         1531626672.0    毕竟名字都和那个人一样
80.854         1531532945.0    丢盾牌 快
80.956         1531539736.0    吃到鸡了
81.301         1531543774.0    刺客信条：底特律
81.639         1531536557.0    刺客信条:底特律
81.774         1531713909.0    是谷歌的素材，超高速QTE
82.741         1531577414.0    刺客信条之底特律兄弟会
82.821         1531497491.0    刺客信条:仿生人
86.067         1531494544.0    不要脱离手手柄 不要脱离手手柄 (๑ʘ̅ д ʘ̅๑)!!!
87.028         1531519717.0    这是酷跑吗
87.593         1531494460.0    谈判专家康纳酱
88.1           1531494933.0    熟练的让人心疼
88.208         1531499726.0    有会不救汉克的人吗？
88.821         1531495713.0    木鱼导演！
89.137         1531523927.0    轻车熟路。
89.221         1531510881.0    嘤嘤嘤
89.982         1531495519.0    机器人的呼朋引伴
91.232         1531497019.0    帅爆
92.662         1531494774.0    木鱼玩给我们看
92.728         1531576671.0    估计是为了良好的观影体验，木鱼把qte都被下来了
93.272         1531543088.0    你的龙叔已上线
93.809         1531497725.0    qre巨巨
93.949         1531495969.0    底特律:镜之边缘
93.993         1531494719.0    qte秒按
94.281         1531560272.0    羡慕， QTE按好快
