排名：96
网址：https://www.bilibili.com/video/av26798982
更新时间：07-21
弹幕总量：912
preciseTime    ofTime          comment
0.074          1532003407.0    看到标题，我就毫不犹豫的点了进来
0.103          1531997876.0    可耻的播放量
0.177          1532067063.0    这可耻的播放量
0.234          1531975975.0    你说小孩子不要看，关我小学生什么事
0.315          1531733062.0    可耻的播放量
0.334          1531800685.0    本人3岁
0.344          1532043875.0    可耻的播放量
0.419          1531663623.0    见封进
0.499          1531655139.0    可耻的播放量
0.5            1532167946.0    我三岁，进来了
0.577          1531836033.0    这可耻的播放量
0.597          1532056357.0    可耻的播放量
0.652          1531829714.0    可耻的播放量。
0.663          1531534162.0    空降1.48
0.668          1531732813.0    忍不住点了进来
0.799          1531830405.0    BGM是洛天依的，一半一半
0.804          1531668691.0    看到小孩就进了
0.819          1531837698.0    可耻的播放量
0.821          1531801187.0    我就看
0.838          1531740229.0    前方初音＋未来
0.898          1531995743.0    交封不杀!
0.92           1531806252.0    读书人的事，能算偷看吗
0.978          1531923801.0    未满18周岁的举爪
1.017          1531959987.0    小孩子+1
1.042          1531951347.0    打夹嚎！我叫提米！今怜6岁了
1.063          1531802938.0    交封不杀！
1.1            1531973313.0    就看
1.135          1531813299.0    我是大孩子
1.138          1531919199.0    可耻的播放量
1.17           1531657097.0    小孩怎么了？
1.209          1532013468.0    你成功的引起了我的注意
1.212          1531797644.0    可耻的播放量
1.302          1531709245.0    我偏要看
1.374          1531741954.0    VRchat
1.419          1532077889.0    滴，学生卡
1.427          1531657102.0    看了我就是大人了
1.452          1531993119.0    可耻的播放量
1.539          1531832810.0    我就进来了真么滴？
1.574          1531828107.0    卡
1.711          1531835589.0    可耻的播放量
1.778          1531738688.0    可耻的播放量
1.84           1531990168.0    一半一半
1.875          1531656714.0    天依的一半一半
1.876          1531819693.0    我就看
2.02           1531930759.0    接受挑战
2.069          1531881354.0    可耻的播放量
2.101          1532149640.0    我就要看
2.122          1531957936.0    可耻的播放量
2.259          1532079151.0    看了封面进来的
2.297          1531960613.0    30万的播放量，600的弹幕，告诉我你们在干啥？
2.337          1531753455.0    可耻的播放量
2.39           1532158259.0    我不是小孩子，我是大孩子
2.397          1531909162.0    可耻的播放量
2.578          1531645145.0    我不是小孩子，我是大孩子了[滑稽]
2.599          1531895281.0    不好意思，我进来了
2.616          1531989628.0    kcdbfl
2.634          1531889042.0    可耻的播放量
2.662          1531786454.0    我就进来了，怎么
2.716          1531796936.0    交锋不杀
2.737          1532067188.0    交封不杀
2.739          1531912248.0    233333333333333
2.782          1531660232.0    我小学生偏要看
2.817          1531930126.0    本人14
2.867          1532136890.0    我叫爱丽，今年五岁~（滑稽）
2.986          1531661340.0    表示已经不是小孩了啦😄
3.152          1531667626.0    硬核
3.157          1531914477.0    可耻的播放量23333
3.177          1531656336.0    BGM:)   一半一半
3.196          1531741547.0    12的我点进来了
3.218          1531970654.0    这可耻的播放量！
3.316          1532140511.0    身份证警告
3.346          1531732115.0    无耻的播放量
3.416          1531651155.0    这羞耻的播放量
3.417          1532164631.0    见封滚
3.419          1531883775.0    第三人称看着爽
3.493          1532069115.0    封面是哪位
3.543          1531996464.0    艾玛
3.566          1531913688.0    正片：1.48
3.581          1532003015.0    瞬间想看
3.631          1531897388.0    天依的一半一半
3.636          1532009978.0    可耻的播放量
3.681          1532056647.0    就要看
3.697          1531923135.0    一半一半！
3.7            1531657878.0    我就看怎么了（滑稽）
3.736          1532147382.0    小孩子来了
3.837          1532098793.0    这什么游戏。
3.841          1531722889.0    我就看o(´^｀)o
3.845          1531739245.0    一半一半？
3.855          1531656818.0    我一个小孩进来干嘛
3.918          1532007181.0    可耻的播放量
3.938          1531839260.0    难怪播放这么高
3.943          1531927951.0    大家好我也是小孩子
4.036          1531977317.0    本人十岁
4.112          1531822558.0    我是小孩，我来了
4.133          1531918901.0    mc某mod
4.138          1532140577.0    未满18岁+1
4.157          1531660115.0    老子就看
4.172          1531833009.0    小孩子来看了
4.188          1531737180.0    越说不要看我就越想看
4.193          1531749923.0    super面筋人
4.242          1531998102.0    这可耻的播放量
4.297          1531935290.0    我就看了
4.329          1531711740.0    我还是进来了
4.393          1531908699.0    老人能看不，我想拿给我爷爷看看～
4.498          1531808666.0    我是大孩子
4.517          1532155660.0    求BGM
4.609          1532154422.0    BGM:一半一半
4.657          1531761089.0    可耻的播放量
4.757          1531731313.0    15岁表示无所畏惧
5.096          1531730776.0    我偏不
5.116          1531669079.0    可耻的播放量
5.142          1532161250.0    BGM好评
5.219          1531714525.0    我默默带上了耳机
5.224          1531899610.0    这些是我老婆，其余全是小号
5.235          1531724041.0    老子进来了
5.249          1531718355.0    多么羞耻的播放量
5.295          1531671620.0    vrchat
5.332          1532162938.0    我就要看
5.34           1531801070.0    可耻的播放量
5.356          1532061062.0    一半一半？
5.357          1531735820.0    可耻的播放量
5.461          1531910629.0    我就是要进来看
5.536          1531845274.0    我就要看嗷
5.541          1531746935.0    呵呵，溜了溜了
5.613          1532086408.0    小孩子不能看，但我不是小孩子
5.616          1531737323.0    我系小孩子
5.617          1531737013.0    那就更要看了...
5.635          1531799917.0    这是什么游戏？不过一看就是电脑。
5.656          1531822349.0    我就要看
5.698          1532079194.0    我看了
5.739          1531736966.0    tda初音
5.75           1531823969.0    一半一半，好评
5.876          1531891731.0    Do you know the way? 
5.973          1531815421.0    bgm刚刚在网易云上听完
6.023          1532080229.0    玩过
6.116          1531799685.0    小孩子就看。
6.128          1531721583.0    可耻
6.177          1531748081.0    我不是小孩子了
6.206          1531671342.0    BGM 洛天依《一半一半》
6.207          1532093647.0    我偏要看
6.215          1531916368.0    可耻的播放量
6.223          1531834100.0    题目把我骗进来了
6.225          1531672297.0    被封面骗进来的
6.276          1531855077.0    全国最大的女装交流平台
6.317          1531831317.0    就你不可耻！
6.333          1531651437.0    我是大人
6.377          1531832215.0    这可耻的播放量
6.47           1531817217.0    我偏要
6.497          1531751814.0    交封不杀
6.592          1531997373.0    可耻的播放量
6.656          1531886304.0    见标题进
6.796          1531908901.0    可耻的播放量
6.818          1531784690.0    可耻的播放量
6.898          1531816431.0    我就是要看
6.985          1532046414.0    可耻的观看量
7.099          1531815987.0    可耻的播放量
7.128          1532144726.0    想都不用想又是steam出的游戏
7.156          1531717125.0    小孩？
7.526          1531630290.0    那我还非要进来呢
7.556          1532074732.0    冲着标题，我进来了
7.604          1531731873.0    粉康娜？
7.619          1531790193.0    我就看
7.622          1531842496.0    我偏看
7.692          1531906884.0    23333
7.757          1531786538.0    看了可以让我登duang郎吗
7.779          1532116010.0    游戏名
7.815          1531812512.0    调低音量进来
7.901          1531643647.0    一半一半
7.938          1532076522.0    可耻的播放量
7.939          1531928537.0    可耻的播放量
7.991          1531842062.0    一半一半
7.995          1531660793.0    我的公主殿下你怎么了
8.078          1531665288.0    大家好我是小孩
8.184          1531894833.0    炼金术师
8.299          1531933694.0    后面一只粉色康纳酱！
8.437          1531720768.0    你的标题使我更想看了
8.722          1531949471.0    一半一半
9.001          1531877125.0    鹅鹅
9.075          1531716878.0    喝着三鹿奶粉的我。
9.076          1531731038.0    我不信
9.175          1531734089.0    什么游戏
9.236          1531662602.0    gmod
9.393          1531660973.0    我偏要看你能把我咋滴
9.545          1531908877.0    见峰进
9.601          1531659826.0    可耻的播放量
9.717          1532061180.0    乌鸦坐飞机
9.766          1531745445.0    嚯嚯嚯
9.857          1531818484.0    我就看
9.877          1531738387.0    vr chet
9.883          1531981028.0    awa
9.964          1531646489.0    [小孩子]已进入直播间
9.971          1531643047.0    可耻的播放量
10.097         1531759700.0    见封滚
10.187         1531905607.0    可耻的播放量
10.278         1531763892.0    求萌之路？？？
10.6           1531661896.0    我是大孩子了
10.725         1532108975.0    呵呵 我不听
10.962         1532070362.0    这可耻的播放量
11.004         1531907448.0    可耻的播放量
11.235         1531818677.0    小孩子不要看，狗都成年了吗都
11.479         1531743305.0    可耻的播放量
11.534         1531916105.0    没弹幕？
11.652         1531839385.0    你放屁
11.675         1531655627.0    溪流细流
11.788         1531799677.0    ？？？谁叫我
11.798         1531757165.0    可耻播放量
11.876         1531990721.0    承包BGM
11.88          1531653379.0    那个黑人怎么回事！！！！
11.974         1532130681.0    .................................
12.011         1531757514.0    我偏看
12.102         1531887752.0    握草
12.154         1531807508.0    ＋1
12.275         1532011036.0    什么游戏
12.337         1531823968.0    这什么游戏
12.471         1531642048.0    bgm:一半一半-洛天依
12.498         1531919258.0    BGM:一半一半
12.622         1531749935.0    抽羊癫疯
12.66          1531656652.0    我是大孩
12.668         1532141660.0    可耻的播放量
12.836         1532025273.0    ，.
12.943         1531643105.0    可耻的播放量
13.072         1531667571.0    让我背着
13.217         1531835343.0    tad式初音
13.306         1531745367.0    穿模
13.316         1531642549.0    掐死
13.341         1531843947.0    可耻的播放量
13.433         1531813719.0    我偏要进，你能拿我咋地！(小孩子)
13.599         1531886013.0    这是啥玩意
13.696         1531828182.0    不就是各种的控嘛
13.716         1532137577.0    小学五年级准备六年级，在某网站看AV
13.746         1532052978.0    666666
13.764         1531738937.0    我是小孩子，我已经举报了
13.799         1531808496.0    刚刚听完。看个视频又出现了!
13.92          1532089014.0    我是小孩
13.95          1532061455.0    我是小孩
13.956         1531646165.0    一半一半
14.017         1532135240.0    你的标题把我吸引了进来。你是故意的吧
14.179         1531746226.0    可耻的播放量
14.239         1531576753.0    666
14.246         1531962024.0    可耻的播放量
14.378         1531674074.0    飞了
14.421         1531982777.0    bgm:五五开（滑稽）
14.608         1531718073.0    有没有午夜熊的模型？
14.637         1532137034.0    强人锁男
14.779         1531702658.0    小孩子来报道了
14.78          1531746236.0    交封不杀
14.815         1531812005.0    我信你个鬼。
15.048         1531907483.0    我偏要进来看
15.055         1531670696.0    我的世界?这么恐怖的嘛
15.297         1531804870.0    ？？？
15.517         1531680711.0    靓女又怎样，我是读书人
15.543         1531829363.0    小孩子赶紧跑了过来
15.652         1531921725.0    我的世界
15.662         1531699982.0    我是大孩子
15.767         1531741087.0    不是小孩吧我13
15.792         1532075529.0    可耻的播放量。
15.825         1532081924.0    交封不杀
15.857         1531647815.0    一半一半！
15.865         1531970520.0    13+1
16.006         1532141490.0    耻辱的播放量
16.022         1531814754.0    召唤视角姬。
16.233         1531814772.0    可耻的播放量
16.237         1531812900.0    我们这叫做  ger 喽
16.283         1531882921.0    恐怖的穿模
16.379         1532020801.0    成功的被骗了进来
16.486         1531909653.0    [O5-█]进入直播间
16.757         1531751644.0    ee
16.788         1531889035.0    一半一半
16.865         1531710549.0    洛天依一半一半
16.917         1531818077.0    看着似曾相识……对比利摔跤时也是这样的
17.017         1532050762.0    公主殿下骑士团来了
17.299         1531672694.0    这个游戏视角姬好想录过
17.396         1531831228.0    bgm一半一半
17.415         1531921260.0    VRCHAT!
17.428         1531802008.0    你们的公主殿下
17.517         1531654874.0    没错
17.719         1531788034.0    一点进来以为手机来电了
17.918         1531712232.0    老婆？
18.138         1531795422.0    这不是vr为什么不能看？
18.217         1532014242.0    VRchat？
18.42          1531791556.0    ∴
18.47          1531835374.0    骑士团参见公主殿下
18.551         1532157331.0    十万年魂环瞩目
18.59          1531656640.0    jio脸怪
18.711         1532151244.0    就是这个游戏被你们玩成了黄游
18.817         1531744403.0    GMOD
18.841         1531721093.0    我就是小学生
18.973         1531989794.0    可耻的播放量
19.121         1532168619.0    放开公主让我来
19.158         1532105359.0    表白bgm:一半一半
19.182         1531715458.0    这
19.417         1531907299.0    初音公主呀，主给我出来，骑士我要弄你
19.515         1531970493.0    bgm 一半一半
19.516         1531993703.0    肥宅快乐聊天室？
19.618         1532005097.0    见封进
19.659         1531980836.0    可耻的播放量
19.695         1531649544.0    鱼葱王道组合
19.698         1532150686.0    参见公主
19.876         1531651909.0    这什么游戏？
19.877         1532001781.0    啊♂我闻到了哲学的气息
20.257         1531829739.0    奇异博士？？
20.283         1531763910.0    承包公主殿下！
20.303         1531873026.0    什么游戏啊
20.327         1531726334.0    什么游戏
20.974         1531916890.0    支咐宝首頁捜索“86OO14”深藏功与名
20.985         1531742585.0    够了，一群装孩子的老年人
21.07          1531823854.0    再被关小黑屋的边缘疯狂试探
21.073         1531632647.0    什么鬼，初音卡bug了?
21.173         1531794150.0    这是vrchat
21.266         1531839388.0    我偏要
21.344         1531739892.0    封面
21.418         1532009608.0    可耻的播放量
21.506         1532088691.0    一半一半
21.69          1531835379.0    骑士团
21.75          1531644834.0    joker
21.832         1531635092.0    BGM:一半一半
21.836         1531715199.0    我要骑在你头上拉屎   还要找你借纸
21.861         1531748244.0    up单挑吧 公主殿下是我的
21.896         1531832492.0    基佬集合处
21.95          1531669277.0    哦鱼葱啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
22.074         1531652355.0    可耻的播放量
22.597         1531902482.0    什么鬼？
22.657         1531675399.0    骑肩膀上了
22.889         1531832103.0    读书人偷看那能叫偷看吗？
22.967         1531906899.0    红红火火恍恍惚惚
23.036         1532100283.0    vr chat
23.077         1532149552.0    BGM:一半一半。好评
23.144         1531911484.0    VR
23.227         1531817173.0    肥...肥宅之路？
23.255         1531877464.0    BGM一半一半
23.487         1531841376.0    这可耻的播放量
23.576         1531826600.0    问游戏的永远别想玩
23.776         1531666938.0    一半一半吗？
23.875         1531679308.0    游戏叫VRchat..所以你要买一个VR
23.923         1531658493.0    荆轲刺秦王，两条毛腿肩上扛
23.977         1531728558.0    我是读书人！！！我先走一步
24.016         1531888853.0    看见标题我就进来了
24.099         1531668518.0    可耻的播放量
24.181         1531829032.0    这可耻的播放量
24.269         1531891750.0    Do you know the way? 
24.322         1531997405.0    我是大孩子
24.422         1531904190.0    交封不杀
24.572         1531666310.0    不就是个穿模吗
24.596         1532157945.0    穿模好厉害
24.635         1532160693.0    今年我十二
24.715         1531647944.0    全球最大的VR女装交友平台
24.746         1531659575.0    游戏名好像是Gmod
24.841         1531921493.0    15岁
24.845         1531924006.0    bgm:一半一半
24.885         1531641064.0    什么游戏?
24.916         1531817322.0    一半一半
24.958         1531990149.0    来教你登dua囊
25.058         1531751458.0    游戏:打死不看简介
25.106         1531628336.0    刚才右边一闪而过的是崩坏龙娘？？？
25.121         1531742422.0    什么怪物
25.156         1531831377.0    我还能说什么
25.173         1531743848.0    谁在吃东西
26.019         1531659230.0    在哪下
26.676         1532070851.0    除了那个大叔全是我的
26.693         1531739534.0    乌鸦坐飞机
26.973         1531802901.0    羞耻的播放量
27.088         1531805361.0    可耻的播放量
27.137         1531665276.0    初音未来?
27.194         1531625016.0    公主显得很开心
27.496         1531742765.0    这游戏有什么好玩之处？
27.579         1531805075.0    bgm 暗示 五五开啊
27.676         1532014400.0    有个老实人
27.688         1531840962.0    视角姬！
27.907         1531660704.0    bgm：一半一半
27.911         1531993080.0    神马游戏
27.934         1531733818.0    这是VR游戏
28.026         1531707183.0    后面康娜承包了
28.049         1531980244.0    一拳一个骑士团，有种单挑啊！
28.117         1531652965.0    锦依卫在此
28.157         1531732537.0    什么的？
28.338         1532001060.0    穿模了
28.671         1532141123.0      我是因为读书人干净赶紧赶紧走。
28.717         1531679320.0    steam可以下载
28.751         1532152253.0    游戏名：打死不看简介
28.836         1531647101.0    VrChat
28.862         1532003179.0    我知道为什么小孩子不要看了
28.889         1531654819.0    其实都是一堆糙汉
28.916         1532159359.0    什么游戏
29.0           1531738281.0    什么游戏
29.049         1531887093.0    我是不是看见慧慧和康纳了
29.121         1532157146.0    我进来只是为了证明我不是小孩
29.158         1531747528.0    指不定是个地中海大叔
29.213         1531656589.0    VR
29.508         1531836476.0    哈哈
29.716         1531806986.0    穿模了！
29.778         1531741395.0    emmmm
29.827         1531808905.0    vrchat
29.876         1531669187.0    黑人瞩目
30.127         1531656624.0    光明正大的穿模
30.177         1531676159.0    惊人的播放量
30.31          1531654700.0    vr chat
30.395         1532139251.0    这黑人。。。咋回事
30.849         1531668071.0    女装游戏
31.094         1531710563.0    存娘！
31.276         1531905152.0    怎么骑上的
31.347         1531672809.0    锁喉！！
31.482         1531662490.0    转个身呗
31.59          1532091145.0    什么声音！（兴奋）
31.595         1531675188.0    游戏名 我死都不看简介
31.876         1532062138.0    鸡鸡骑士
31.929         1532025296.0    然后呢
32.057         1531991376.0    初音，骑士团来了
32.199         1531659918.0    是不是garrymod
32.341         1531721956.0    不用 vr也可以玩
32.697         1532157301.0    这游戏全是女装大佬
32.76          1531632544.0    miku好可爱
32.913         1531911729.0    游戏名：打死不看简介
33.07          1531652301.0    纳呐呐呐呐呐纳尼
33.578         1531653904.0    VRchat
33.601         1531802636.0    VR社交软件
33.938         1531816202.0    VRchat
33.962         1531721979.0    而且现在中国玩的很少都是外国人
34.057         1531828283.0    好假
34.396         1531975668.0    左右声道好评
34.451         1531642906.0    VR
34.516         1531912098.0    骑大马啊！
34.797         1531741586.0    vrchat，steam的
34.805         1531642398.0    这是鱼哎呀，老哥
34.996         1532159051.0    在现场
35.062         1531652111.0    vrchat
35.394         1532160378.0    vr游戏
35.538         1532063340.0    怎么上去的?
35.596         1532059731.0    初音是平胸
35.675         1532064869.0    不说小孩不能看我还不点腻
35.698         1532056182.0    这个模型没做好
36.076         1531899028.0    这是什么游戏啊
36.301         1532053299.0    两条毛腿肩上扛
36.336         1531921295.0    这个游戏叫VRCHAT不谢
36.407         1531740359.0    惠惠
36.921         1531804894.0    全球最大女装平台
37.22          1532079985.0    万般皆下品，唯有读书高
37.352         1531654894.0    上啊
37.417         1532063758.0    bgm：一半一半，言和唱的
37.617         1531655451.0    一半一半
37.875         1531681667.0    没有vr
38.156         1531798126.0    关声音就好了_(:з」∠)_
38.199         1532083122.0    洗面奶
38.236         1531656434.0    up猪拔刀吧，公主殿下是我的
38.255         1531654862.0    打死不看简介
38.313         1531750944.0    你加油哦！
38.373         1531742228.0    弱音是我的up主拔刀吧
38.436         1531806599.0    这个bgm好像纯音乐秋姐姐？
38.446         1531663541.0    前面说可爱的，没准里面是个死肥宅
38.477         1531909596.0    参见公主殿下
38.541         1531877107.0    聊天交友的
38.661         1531815947.0    女装大佬
38.676         1531806193.0    也没啥啦班级里经常这样
38.758         1532064554.0    都是大老爷们，想想就刺激
39.124         1531667346.0    卡模型，讲究
39.619         1531714388.0    为什么进来没点b数
39.926         1532080293.0    VRchat
40.099         1532076825.0    迷你做不到系列
40.567         1531662924.0    穿摸了
40.817         1531882562.0    开心的像个孩子
40.881         1531833954.0    3D环绕好评。。。。
40.893         1532063484.0    洛天依?怎么在下面?
41.236         1532053441.0    我想把所有模型都打死。
41.457         1531657269.0    一群大男人
41.778         1531666999.0    这个标题有点意思
42.075         1531659238.0    花嫁天依！？
42.326         1531650432.0    公主高兴就行
42.374         1531623490.0    都是基佬
42.462         1531885686.0    我的天依怎么了？
42.556         1531749078.0    两条毛腿肩上扛
42.572         1531656636.0    Bgm好评
42.762         1531688373.0    天依
43.028         1531653521.0    游戏名:打死不看简介
43.048         1531658008.0    卧槽
43.088         1531981215.0    这可耻的播放量
43.117         1531909610.0    参见公主殿下
43.357         1531914549.0    好像贴图错乱
43.722         1531921753.0    我的世界
43.797         1531992049.0    天依!还是花嫁
43.938         1532133651.0    23333333333
44.035         1531653727.0    放开天依殿下，让我来！
44.134         1531649886.0    miku是那个长舌怪
44.135         1531799725.0    看不懂。
44.182         1532046171.0    这是什么啊？
44.196         1531804426.0    这天依我老婆
44.646         1532064594.0    腿毛比你吊毛还长。。现实生活中
45.023         1532016991.0    steam
45.115         1531828962.0    全是一些肥宅
45.132         1531825713.0    VRchat！
45.236         1532168664.0    从嫖客哪里过来滴
45.982         1531540350.0    天依怎么在地上
46.137         1531646437.0    就看
46.281         1531734042.0    这是俩真人坐在肩上一一起vrchat？
46.385         1531913165.0    天依是我的
46.414         1531653407.0    出现了，叮当依
46.641         1531925176.0    惊
46.937         1531907346.0    我TM最烦说初音公主是他的人，神经
47.035         1531990275.0    天依我的，其他都是我的小号
47.124         1532044319.0    从某⭐⭐下面的推荐视频里过来
47.195         1531819236.0    来呀，正面上我!
47.221         1531989952.0    放下天依，我来，不服拔剑(傻了吧！爷有枪)
47.236         1531857028.0    变声器讲究
47.459         1531744038.0    我偏要看，怎么啦
47.518         1531817359.0    靠我的天依
47.596         1532044848.0    老婆们我来了
47.756         1531996732.0    我到家k
48.24          1531972792.0    下面那个小的可是全身追踪大佬
48.269         1531807047.0    脚蹬别人脸，讲究( ͡° ͜ʖ ͡°)✧
48.519         1531991063.0    天依我的
48.522         1531815013.0    VR吧
48.554         1531789687.0    GMOD
48.765         1532071556.0    都是女装大佬
48.899         1532116202.0    我智障了，前一秒我还在问名字后一秒看了简介
48.916         1531637660.0    都是男的
49.015         1531661259.0    这是啥？
49.166         1532152972.0    想歪了
50.884         1531905186.0    妈耶，全身捕捉！
51.128         1531993620.0    vr chat
51.194         1531999927.0    真的，全是死肥仔
51.316         1532168679.0    来，jio一口
51.333         1532043801.0    哇，穿模了，哈哈！
51.344         1531841226.0    我靠这个声音好苏
51.461         1531627621.0    挂到巡音身上了
51.61          1531851722.0    一群变态男
52.496         1531719825.0    说可爱的有没有想过“她们”其实都是汉子
52.673         1531620811.0    这模穿得
52.689         1531632692.0    我后悔点进来，什么鬼啊这
52.793         1531826200.0    yyz
53.084         1531883250.0    好想玩
53.236         1532141023.0    声音差评
53.414         1531665493.0    游戏名打死不看简介
53.691         1531654739.0    大型女装大佬集合地
53.939         1531665233.0    女装交流会
53.985         1532144632.0    vrchat
54.246         1532055310.0    肚子痛
54.313         1531643049.0    好像有哪里不对
54.856         1532046603.0    我的天
55.585         1532151939.0    退了吧。是VR的
56.192         1531812685.0    为什么都一副说话肾虚的样子？
56.396         1531836682.0    这是什么鬼为什么我看不懂
56.538         1531839318.0    全身
56.568         1531654961.0    我，可爱，打钱
56.576         1531729259.0    都是爷们
56.6           1531643796.0    一语点醒梦中人:你们这是在干什么呀？
57.821         1531827562.0    鱼葱大法好
58.056         1531990881.0    我打赌，这些我都不认识。只是长得像我认识的。
58.675         1531926815.0    公主殿下好可爱
58.725         1531891784.0    Do you know the way? 
59.025         1531911374.0    打死不看简介
59.393         1531756223.0    WTF
60.934         1531790119.0    夺命剪刀脚
62.201         1531732571.0    我是读书人
63.06          1532073417.0    什么鬼游戏啊
63.076         1531653906.0    兄弟全是基佬，快跑！
63.457         1531978271.0    游戏名:女装山脉
63.489         1531962477.0    最大女装俱乐部
