排名：58
网址：https://www.bilibili.com/video/av26806317
更新时间：07-20
弹幕总量：9809
preciseTime    ofTime          comment
0.0            1531644938.0    banana
0.083          1531737014.0    11
0.298          1531738125.0    1
0.517          1531756436.0    大家先看简介
0.527          1531637547.0    888888
0.818          1531970783.0    老夫掐指一算，第二弹要吐槽进击的巨人
0.878          1531910220.0    刺激
1.088          1531995435.0    蕾丝又有灵感（电力）了!
1.139          1531595272.0    相关游戏：崩坏三
1.263          1531619388.0    谁问哪里能看到真正的女武神我就打爆他狗头
1.358          1531896050.0    看简介
1.372          1531737013.0    哔哩哔哩
1.505          1531737447.0    看到推荐游戏我就知道蕾丝好发电了
1.619          1532003719.0    看到封面我就进来了，我tm吹爆
1.644          1531615599.0    轻羽飞扬我先吹爆了哈
1.918          1531641236.0    我特么吹爆少女歌剧！！！！
2.441          1532079015.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
2.759          1531720604.0    66666666666
2.853          1531728436.0    我爱杀戮天使！
3.0            1531621811.0    封面七月霸权！
3.041          1532074836.0    看到视频简介下面的崩坏3我就知道这次视频肯定又有防不胜防
3.158          1531989798.0    刚跟老板怼完，看期蕾丝消消火
3.171          1531909570.0    完美震惊(๑•̀ㅂ•́)و✧打开支付宝搜⑺⑺⑻⑼⑺⑵⑺,你会回来谢我
3.244          1531629641.0    晚来了24小时
3.278          1531640845.0    2333333
3.28           1531736125.0    (*'▽'*)♪
3.419          1531758362.0    见封滚
3.539          1531644587.0    QAQ画质感人
3.54           1531645921.0    66666666666
3.555          1531612188.0    哈哈哈哈哈
3.589          1531735052.0    ··········
3.591          1531726686.0    今儿个真高兴关注的up主都更新了
3.779          1531747840.0    看我发现了什么好东西
3.819          1531592910.0    我发现了什么
3.84           1531614594.0    Banana
3.843          1531629592.0    24小时前！
3.901          1531903623.0    砍死Lex
3.921          1531632782.0    我来了
3.925          1531737328.0    来了
3.948          1531724520.0    工作细胞！！！
4.081          1531594834.0    简介
4.159          1532012975.0    舒服
4.379          1531646791.0    终于等到你
4.448          1531619063.0    一天没过就100
4.558          1531642817.0    呃呃呃呃呃呃呃
5.1            1531902985.0    看简介明了一切
5.201          1531912660.0    有广告，慎重
5.221          1531618973.0    ，，，
5.379          1531754688.0    尴尬的蕾丝
5.631          1531614776.0    有生之年
5.633          1531598978.0    爷爷，你关注的up更新了
5.64           1531738379.0    前排前排
5.72           1531614615.0    看到简历就知道这次要发电了
5.739          1531920503.0    已经肝出来了一套泳装的我先养养肝
5.807          1531844264.0    不可氪的〃∀〃
5.961          1531754299.0    QAQ画质感人
6.159          1531932636.0    一口气全念对过来的
6.267          1531630468.0    23333333
6.334          1531736194.0    用爱发点
6.4            1531836319.0    看到有个相关游戏我就知道了事情的不对劲
6.56           1531625031.0    好短啊
6.615          1531637590.0    失踪人口回归
6.667          1531619106.0    一天都没过就一百万人
6.901          1531824323.0    简介瞩目
6.926          1531824840.0    终于来了！
7.02           1531642035.0    哪里能看真正的女武神
7.06           1531737387.0    三分钟前
7.139          1531624631.0    又发电
7.166          1531750843.0    喜欢这个！！
7.259          1531738061.0    用爱发电
7.295          1531923777.0    杏子?
7.501          1531639674.0    该来的总会来的
7.541          1531959592.0    哦哦哦！杀天！
7.601          1531835415.0    听成了我是雷克萨
7.673          1531923572.0    表白瑞依
7.831          1531646644.0    前2k~
7.882          1531737023.0    1
7.932          1531931320.0    05
8.039          1531627698.0    蕾切尔女神！！！
8.068          1531737494.0    5分钟前
8.121          1531615668.0    ray我爱你啊！
8.126          1531738028.0    承包加德勒
8.343          1531605503.0    回归
8.533          1531990478.0    表白ray表白ray表白ray表白ray！！！！
8.68           1531599357.0    leile
8.787          1531918312.0    Rey!!!
8.806          1531641592.0    哈哈
8.82           1531810401.0    吹一波杀天
8.941          1531753905.0    电力
9.151          1531614898.0    承包瑞依
9.378          1531866067.0    底端弹幕有病？
9.401          1531855530.0    刺激
9.488          1531640848.0    总爱发电
9.507          1531994169.0    似曾相识
9.561          1531720008.0    Ray！
9.699          1531737604.0    特别好看这个动漫
9.7            1532050966.0    Ray！！！！！！！
9.813          1531615926.0    弹幕发底部的人是真的没素质
9.899          1531791249.0    希望lex做哥布林杀手的漫评，嘻嘻嘻
10.019         1531910169.0    刺激
10.02          1531737276.0    求蕾丝吐槽自己
10.081         1532063303.0    狩猎开始了
10.091         1531846776.0    我终于可以发弹幕了
10.158         1531749560.0    电量瞬间101%
10.241         1531736845.0    杀天嘿嘿嘿
10.291         1531923766.0    這是杏子?
10.468         1531922446.0    好久不见
10.62          1531752458.0    下面的
10.722         1531755363.0    诶诶
10.738         1531611673.0    血小板赛高！
10.94          1531627771.0    偷偷承包血小板
10.967         1531617016.0    提前防不胜防
11.09          1531752669.0    蓝色
11.2           1531619197.0    ！！！
11.208         1531643490.0    大家好，我是蕾絲
11.323         1531792950.0    你们看简介啊
11.558         1532049207.0    zack是我的！！！！！
11.56          1531724650.0    相关游戏。。。
11.617         1531608087.0    蕾丝我来了
11.648         1531771853.0    Ray！
11.66          1531633620.0    是不是要强推lex异界后宫记了
11.7           1531618565.0    相关游戏？安排上了
11.892         1531751196.0    哈哈哈哈哈哈哈
11.945         1531725360.0    用爱发电
11.952         1531813448.0    看简介
12.223         1531753304.0    看了简介有点害怕
12.499         1531755325.0    承包血小板
12.639         1531636682.0    高调承包血小板，虽然每个人都有
12.659         1531750432.0    血小板寿命4-6天，一集换一批
12.804         1531832998.0    1502
12.818         1532079347.0    ray我宣你
13.019         1531829367.0    承包血小板
13.18          1531752462.0    刘武鑫我知道你在看
13.303         1531814592.0    前面说看简介的，我信了你的鞋。
13.305         1531811214.0    u
13.379         1531958255.0    我要看广告
13.419         1531903249.0    承包血小板
13.44          1531634679.0    (⊙o⊙)…
13.481         1531591690.0    广告打在简介里，那发电环节呢？
13.554         1531634853.0    上上左右左右左右上
13.613         1531728469.0    杀戮天使
13.667         1531755461.0    ↑↓↑↓←→←→←→↑↓
13.699         1531641065.0    杀天♡
13.719         1531646289.0    终于更新了
14.048         1531737296.0    失踪人口
14.442         1531589627.0    短
14.478         1531969114.0    血小板我TM吹爆
14.5           1531728920.0    耶
14.7           1531788301.0    乐康
14.847         1531607652.0    失踪人口回归！！！
15.014         1531628287.0    我又来了
15.018         1531738298.0    坐等我大杀天
15.212         1531630146.0    刚从异世界回来的lex
15.362         1531620383.0    又来了
15.53          1532007752.0    血小板我的
