排名：75
网址：https://www.bilibili.com/video/av26807905
更新时间：07-18
弹幕总量：1561
preciseTime    ofTime          comment
0.0            1531640554.0    我是第一百个分享
0.083          1531728213.0    ggg
0.555          1531569097.0    1
0.565          1531818970.0    无鸡之谈
0.598          1531809921.0    来啦来啦
0.639          1531618384.0    见封滚
0.681          1531818725.0    我竟把封面的腮红看成了眼睛
0.737          1531824914.0    ------建议屏蔽uki------
0.768          1531841118.0    好诶
0.853          1531651471.0    骨头笑
1.045          1531722924.0    来了来了
1.403          1531815483.0    uki大军来袭  准备好了吗？
1.697          1531745077.0    可以啊
1.72           1531583105.0    撒一泡尿很舒服
2.24           1531570485.0    玩偶，你不守时啊
2.346          1531818863.0    支付寳搜一下“95O6639”，快上车！（滑稽）
2.609          1531813306.0    UKi大军前来支持up主
2.645          1531820997.0    uki大军前来报到
2.901          1531572454.0    更新了还行
3.405          1531582872.0    ddd 
3.419          1531838578.0    uki安利来的
3.539          1531813472.0    Uki的大军就要来了
3.912          1531732573.0    ggg
3.944          1531814171.0    支付寳首页搜索5l342l732，真的不用谢我
3.964          1531630261.0    2333
4.161          1531822297.0    前面uki的别走啊
4.379          1531829690.0    嘤嘤嘤uki来的了解一下
4.503          1531816330.0    别刷Uki了 我下还不行吗！
4.86           1531835039.0    uki大军来了
4.992          1531639033.0    有没有可能
5.061          1531569528.0    国家队二期 ？？？恐怖！
5.107          1531817943.0    uki全军出击！碾碎up主
5.38           1531754359.0    ⎛⎝≥⏝⏝≤⎠⎞
5.825          1531614906.0    太露骨了
5.941          1531823167.0    uki大军来了来了
6.579          1531578942.0    国家队还能有二期？怕不是像未闻花名一样弄个剧场版
6.656          1531814960.0    Uki  up主
6.763          1531627839.0    居然又更新了
6.827          1531588572.0    可爱的骨头
6.837          1531573877.0    国家队二期？
7.312          1531817453.0    Uki让你爱不释手
7.334          1531811728.0    ？？？？？？
8.402          1531814564.0    uki的朋友让我过来瞅瞅
8.565          1531570952.0    提前更新了
8.619          1531572163.0    骨头可以
8.62           1531838588.0    这么多uki大军
8.64           1531669000.0    哦～七鳃鳗
8.687          1531569092.0    1
8.736          1531576297.0    大骨高汤，兄弟，去吃拉面吧
8.974          1531578435.0    骨头医生推
9.044          1531615265.0    可耻的播放量
9.122          1531815841.0    Uki真的是无处不在
9.216          1531569782.0    工作细胞收视率超过骨头了！
9.641          1531819298.0    了解一下uki
9.854          1531569148.0    104。。。。好前
10.496         1531821012.0    uki这么多人吗
11.262         1531820388.0    UKi的朋友大家好啊
11.661         1531569089.0    关上前10大门
11.979         1531829705.0    uki就比较守时
12.377         1531715131.0    可耻的播放量
13.061         1531791953.0    23333333333333333333333333333333333333333333333333333333333333333333333333333333
13.176         1531569635.0    笑的灿烂
13.326         1531708443.0    无稽之谈
13.585         1531817846.0    UKi大军参上
13.681         1531819311.0    uki大军到此一游
13.796         1531569177.0    哇偶，两分钟前
13.845         1531790766.0    安已自宫
14.038         1531795509.0    黑车溜了
14.58          1531813789.0    Uki大军何在
14.683         1531574773.0    前面工作细胞超过骨头的是活在梦里吗- -
14.879         1531818063.0    uki大军来袭
14.939         1531816347.0    比UKI还刺激的吗
15.739         1531838603.0    uki让你感受不一样吧
15.808         1531748840.0    射骨髓？
15.822         1531648197.0    咋这没圣光
16.0           1531722525.0    玩偶菌的声调…大部分都是降调结尾…听久了感觉像机器人
16.322         1531569238.0    热京东
