排名：45
网址：https://www.bilibili.com/video/av26808159
更新时间：07-18
弹幕总量：1455
preciseTime    ofTime          comment
0.0            1531733549.0    我的血小板！
0.602          1531746697.0    我猜都是我的
0.719          1531706382.0    我又回来了
1.217          1531812934.0    封面齐神
1.359          1531810702.0    哦呼
2.069          1531715282.0    我的
2.356          1531658479.0    wo我的我的
2.619          1531658206.0    树状同好！！！
2.687          1531810782.0    封面恐怖
2.773          1531788821.0    封面23333
3.05           1531822617.0    看光识人
3.1            1531893587.0    万物皆可血小板
3.452          1531874714.0    都是我的
3.455          1531750148.0    不存在的树状是我的一方也是我的
3.726          1531836269.0    可以肯定不是你的
3.967          1531750204.0    这是谁啊
4.042          1531779424.0    见心美滚
4.308          1531889497.0    还要猜吗？肯定是我的啦
4.336          1531885106.0    我的
4.393          1531893643.0    齐木楠雄
4.469          1531890999.0    失踪人口？
4.479          1531825464.0    哦呼
4.757          1531819613.0    齐神！！
4.802          1531755404.0    措不及防，开心就好。
4.979          1531718648.0    看脸识人
4.986          1531791898.0    齐木
5.12           1531752965.0    齐神！
5.203          1531732407.0    齐神
5.226          1531717237.0    齐神！
5.328          1531731813.0    笑死了
5.393          1531734072.0    齐木小板
5.416          1531728756.0    齐木楠雄
5.423          1531693105.0    齐木楠雄!!齐神！
5.429          1531823724.0    齐神
5.462          1531826816.0    哈哈哈，我雄哥
5.501          1531662468.0    你还活着啊
5.567          1531819099.0    齐木楠雄的血小板！
5.686          1531789915.0    齐木楠雄
5.801          1531804817.0    齐木楠雄是我的
5.819          1531732534.0    齐神无误了哈哈哈哈哈哈
5.901          1531731704.0    齐木
5.927          1531733739.0    树状和血小板你们的我只有白细胞！！！
6.074          1531734058.0    齐木楠雄
6.1            1531698222.0    齐神！
6.144          1531751736.0    这斉神笑死。
6.206          1531791750.0    齐木。。。
6.242          1531728913.0    穿着刚买的UT看齐神
6.265          1531829591.0    哦呼
6.292          1531791945.0    我在斗图群看到了血小板的黄图
6.381          1531754423.0    齐神！
6.397          1531817707.0    齐木楠雄
6.422          1531822639.0    看眼镜辩人
6.445          1531660178.0    齐木楠子
6.461          1531871842.0    齐神
6.464          1531755797.0    齐木楠雄
6.474          1531701822.0    viva
6.483          1531745651.0    齐木
6.52           1531747975.0    齐木楠雄啊哈哈哈
6.581          1531896747.0    23333333
6.604          1531663320.0    齐神2333
6.611          1531750187.0    齐神
6.656          1531910399.0    哦呼
6.663          1531737269.0    齐神
6.722          1531791715.0    这个应该用楠子的形象
6.762          1531750410.0    齐神
6.882          1531746035.0    哈哈哈哈哈
6.92           1531720781.0    齐木楠雄
6.923          1531752497.0    我老公
6.949          1531748741.0    齐神
6.953          1531722007.0    哈哈哈哈哈哈哈齐神
7.124          1531763646.0    齐神
7.205          1531730870.0    哦呼】
7.232          1531810708.0    哦呼
7.249          1531754776.0    233333
7.262          1531878441.0    齐神(齐神粉)
7.288          1531702849.0    齐神！
7.29           1531827603.0    我敲
7.297          1531670274.0    厉害厉害
7.379          1531890073.0    我的
7.44           1531746634.0    齐神？？？
7.463          1531760184.0    惊吓
7.501          1531757361.0    hhh
7.644          1531750668.0    齐神
7.706          1531833798.0    一脸冷漠
7.733          1531734030.0    齐神的！！！！
7.786          1531788834.0    哈哈哈哈哈哈哈我受到了惊吓
7.83           1531830573.0    齐木楠雄
7.892          1531813471.0    哦呼
7.895          1531710042.0    齐神啊！
7.914          1531760950.0    哈哈哈
7.94           1531786109.0    参加齐神
7.977          1531659424.0    齐神心美
8.022          1531713822.0    齐神
8.075          1531665068.0    触摸比语言或情感联系强十倍
8.187          1531805340.0    齐木楠雄和照桥心美！？
8.235          1531666699.0    哦呼
8.249          1531758915.0    哦呼
8.267          1531802148.0    心美的血小板都自带圣光
8.312          1531665122.0    哦呼
8.322          1531662928.0    哦呼
8.326          1531791915.0    照桥心美
8.361          1531730397.0    哦呼～
8.365          1531769579.0    哦呼
8.387          1531658661.0    哦呼
8.421          1531836475.0    哦呼
8.431          1531746642.0    哦呼
8.442          1531791158.0    哦呼
8.458          1531748956.0    bgm是哆啦A梦的哈哈哈哈哈哈
8.479          1531812662.0    哦呼~
8.504          1531752193.0    哦呼～
8.543          1531748716.0    哦乎
8.557          1531716243.0    照桥跳好可爱
8.562          1531654622.0    齐神233333333
8.575          1531842233.0    up主好有才
8.579          1531898728.0    哦呼
8.581          1531792025.0    哦呼！
8.639          1531752979.0    哦呼！毫无违和感
8.678          1531736344.0    齐神！
8.686          1531717262.0    照桥心美
8.701          1531814082.0    哦呼
8.702          1531823735.0    哦呼
8.72           1531756919.0    哦呼
8.75           1531820348.0    齐神色
8.789          1531755822.0    照桥心美
8.806          1531661188.0    哈哈哈哈哈或血小板会发光
8.85           1531830094.0    哦呼
8.866          1531730797.0    233333
8.905          1531747279.0    哦呼！！！！！
8.938          1531728773.0    哦呼
9.001          1531663206.0    哦呼
9.022          1531811294.0    哦呼！
9.04           1531754437.0    哦呼～
9.085          1531827556.0    哦呼
9.101          1531731713.0    哦呼！
9.105          1531687863.0    哦呼~
9.111          1531747970.0    哦呼
9.126          1531663966.0    hhhhhhh
9.136          1531755863.0    哦呼
9.144          1531787501.0    哦呼
9.172          1531763680.0    哦呼
9.188          1531745532.0    照桥
9.193          1531908026.0    哦呼
9.29           1531685486.0    哦呼
9.311          1531718995.0    哦呼
9.373          1531681690.0    ？？？
9.379          1531738413.0    哦呼
9.478          1531748121.0    哦乎
9.494          1531752382.0    哦呼
9.5            1531805603.0    哦呼
9.503          1531822045.0    哦呼
9.506          1531788605.0    哦呼！
9.536          1531883944.0    哦呼
9.542          1531782101.0    哦呼
9.562          1531745499.0    哦呼
9.64           1531737701.0    哦呼～
9.652          1531718091.0    哦呼
9.658          1531693128.0    这是照桥心美！！
9.662          1531732463.0    哦呼
9.675          1531747230.0    bgm
9.68           1531816562.0    哦呼
9.682          1531747410.0    哦呼
9.712          1531873237.0    哦呼~
9.714          1531802381.0    哦呼
9.716          1531839541.0    哦呼
9.722          1531729519.0    哦呼
9.724          1531745662.0    心美酱！哦呼！
9.741          1531819563.0    哦呼
9.779          1531748122.0    哦呼
9.78           1531787122.0    这一圈光
9.865          1531698238.0    哦呼
9.896          1531749895.0    哦呼
9.901          1531871851.0    哦呼
9.904          1531734001.0    哦呼
9.916          1531732317.0    哦呼！
9.919          1531837268.0    哦呼
9.938          1531897314.0    都是我的
9.941          1531747181.0    哦呼
9.944          1531710948.0    自带光环，肯定是照桥了
9.977          1531736360.0    糟了，快跑，照桥心美可是个麻烦的人
9.991          1531734036.0    哦呼
10.043         1531878459.0    哦呼
10.111         1531722018.0    心美
10.12          1531668144.0    哦呼
10.122         1531728921.0    哦呼
10.152         1531830101.0    哦呼
10.155         1531882839.0    我就想问一句发生了什么，才会让齐木楠雄的血小板和照桥心美的血小板在一起
10.164         1531732563.0    哦呼！！
10.221         1531891644.0    哦呼
10.223         1531747637.0    哦呼
10.23          1531718158.0    2333323333
10.302         1531747621.0    哦呼
10.341         1531734676.0    哦呼！
10.381         1531790533.0    哦乎
10.402         1531784242.0    哦呼
10.42          1531727341.0    哦呼
10.456         1531701832.0    哦呼
10.472         1531750828.0    哦呼
10.486         1531658074.0    哦呼
10.531         1531730839.0    哦呼
10.535         1531668351.0    哈哈哈哈哈哈哈哈哈哈
10.541         1531822349.0    哦呼
10.553         1531731393.0    偶呼
10.556         1531872895.0    哦呼
10.601         1531731733.0    照桥
10.666         1531803036.0    齐木楠雄
10.678         1531736402.0    哦呼~
10.702         1531750667.0    哦呼
10.731         1531748836.0    哦呼！
10.78          1531754167.0    哦呼
10.881         1531697118.0    哦呼！
10.902         1531712880.0    哦呼
10.903         1531811767.0    哦呼
10.919         1531720789.0    这个忘了
10.942         1531801503.0    哦呼
10.947         1531702638.0    哦呼
10.961         1531736341.0    我只为楠雄哦呼
11.08          1531844110.0    哦呼
11.091         1531747809.0    哦呼
11.135         1531713944.0    ……
11.162         1531821963.0    哦呼！
11.184         1531745811.0    哦呼
11.198         1531822326.0    哦呼
11.2           1531788338.0    哦呼
11.261         1531759642.0    哦呼
11.342         1531829135.0    齐木和心美
11.345         1531809540.0    利世的血小板吗？23333
11.381         1531747607.0    哦呼
11.423         1531791129.0    齐照赛高！
11.561         1531894890.0    哦呼
11.562         1531899278.0    哦嘶
11.582         1531789413.0    哦呼
11.603         1531791142.0    齐照赛高！
11.625         1531732517.0    哈哈哈
11.662         1531805210.0    以为来电话了
11.663         1531791149.0    齐照赛高！
11.755         1531790069.0    噗www
11.791         1531737245.0    哦乎~
11.86          1531776516.0    哦呼
11.895         1531808814.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈嗝儿
11.98          1531747675.0    哦呼
12.002         1531723882.0    齐照血小板同框，这是在暗示？？？？？
12.035         1531802262.0    ???
12.057         1531701691.0    502
12.064         1531718435.0    哦呼哦呼哦呼哦呼哦呼哦呼
12.218         1531727712.0    哦呼
12.366         1531677782.0    哦呼
12.401         1531817413.0    哦呼
12.415         1531764514.0    心美
12.477         1531736225.0    哦呼
12.483         1531754827.0    up666
12.583         1531747171.0    哦呼
12.761         1531895116.0    哦呼
12.762         1531745880.0    哦呼
12.78          1531893428.0    哦呼
12.781         1531887302.0    哦呼
12.82          1531841300.0    那么这两个不同人的血小板是怎么进到一起的呢？
12.843         1531781834.0    哦呼
12.946         1531812966.0    哦呼
12.959         1531738062.0    哦呼
12.962         1531749244.0    哦呼
13.01          1531728890.0    2333333
13.03          1531874857.0    哦呼
13.323         1531698626.0    ...........
13.363         1531845400.0    哦呼
13.491         1531693139.0    齐照大法好
13.524         1531663236.0    这肯定是齐照孩子的血小板
13.587         1531732052.0    ？？？？？？？？
13.718         1531711772.0    哈哈哈哈哈
13.723         1531706102.0    哦呼
13.777         1531805356.0    哦呼
13.78          1531722031.0    哦呼！
13.829         1531723834.0    齐照血小板同时出现，up主你这是在暗示什么？
13.846         1531778054.0    噗
13.874         1531750681.0    哦呼
14.032         1531728934.0    哦呼
14.036         1531779551.0    右邊那個也太奇葩了吧
14.063         1531820478.0    哦呼~哦呼~哦呼~
14.111         1531788911.0    哦呼
14.143         1531829534.0    哦呼
14.225         1531730272.0    哦呼~
14.242         1531906710.0    有毒哈哈哈哈哈哈
14.299         1531745551.0    哦呼
14.301         1531755738.0    哦呼
14.421         1531736362.0    燃堂的血小板呢
14.587         1531891297.0    哦呼
14.641         1531758054.0    😂😂😂😂
14.782         1531731491.0    哦呼
14.83          1531682244.0    2333
14.981         1531831016.0    哦呼
15.005         1531765661.0    哦呼
15.134         1531752132.0    奇照的儿子的血小板！
15.221         1531817523.0    哦呼
15.233         1531724418.0    哦呼
15.361         1531744808.0    哦呼
15.401         1531746095.0    哦呼
15.421         1531908404.0    这是他俩的孩子的
15.458         1531702359.0    6666
15.487         1531718420.0    哦呼
15.831         1531655643.0    有毒吧
15.962         1531897310.0    哦呼
15.985         1531734039.0    哦呼
16.302         1531714798.0    哦呼
16.418         1531821190.0    哦呼
16.563         1531792525.0    糟了，是心肌梗塞的感觉
16.651         1531663530.0    路飞
16.683         1531663331.0    哦呼
16.738         1531748116.0    我家路飞啊！
16.792         1531878610.0    这个必然是我的
16.938         1531755874.0    蒙奇D路飞
16.981         1531830792.0    哦呼
17.031         1531701799.0    2333333
17.045         1531783294.0    路飞路飞
17.199         1531753250.0    哦呼
17.265         1531699515.0    wtf
17.301         1531756936.0    路飞
17.423         1531723942.0    哦呼
17.525         1531747344.0    这个可以
17.535         1531659444.0    路飞
17.623         1531732482.0    路飞的
17.638         1531805366.0    娜美
17.662         1531713648.0    换成楠子啊
17.663         1531878478.0    路飞！
17.679         1531753002.0    路。。。路飞？
17.683         1531791967.0    船长！
17.703         1531707753.0    秒認
17.711         1531834010.0    蒙奇.D.路飞
17.771         1531755139.0    路飞？先揪一下脸拉个大长长
17.781         1531824133.0    哈哈哈哈哈哈哈哈哈哈哈
17.802         1531826842.0    路飞～
17.828         1531783305.0    啊啊啊路飞超可爱可爱
17.883         1531823433.0    齐木楠雄
17.93          1531752704.0    路飞23333
18.042         1531788103.0    我家路宝没有这么....吧
18.054         1531734078.0    路飞
