排名：32
网址：https://www.bilibili.com/video/av26808599
更新时间：07-19
弹幕总量：1744
preciseTime    ofTime          comment
0.0            1531739556.0    失踪人口回归
0.083          1531588756.0    活久见
0.125          1531820167.0    哦哦哦，有生之年系列
0.299          1531575605.0    666666
0.44           1531637659.0    woc居然更新了
0.583          1531577658.0    我的天更新啦
0.617          1531908877.0    支咐宝首頁捜索“86OO14”真的别谢我
0.719          1531575912.0    op呢emmm
0.76           1531813816.0    支付寳首页搜索5l342l732，真的不用谢我
0.769          1531751779.0    支付寳首页搜索5l342l732，真的不用谢我
0.77           1531623129.0    爷爷；快起来，你的B站有人更新了
0.781          1531665598.0    感动了，终于填坑了
0.801          1531713149.0    支付寳首页搜索5l342l732，真的不用谢我
0.833          1531786121.0    2.4万收藏了
0.887          1531617977.0    素质三连开头再见！
0.915          1531573657.0    七月霸权了解一下
0.934          1531566612.0    有生之年啊
0.967          1531576894.0    这个新人是谁？好厉害
0.978          1531626833.0    爷爷你关注的UP主更新了
1.028          1531800881.0    看爆，收藏，还等什么
1.029          1531569396.0    有生之年
1.037          1531631196.0    有生之年
1.046          1531644090.0    吱付寳首页搜索5l342l732，真的不用谢我
1.073          1531579345.0    诈尸了！
1.091          1531670405.0    4W收藏助攻！
1.131          1531563528.0    天啊有生之年
1.171          1531908923.0    支咐宝首頁捜索“86OO14”说了别谢我
1.199          1531752832.0    有生之年
1.211          1531590596.0    有生之年啊
1.218          1531582656.0    lei了lei了
1.221          1531715295.0    6666666
1.25           1531584500.0    有生之年
1.353          1531563734.0    什么！
1.383          1531885316.0    我特么已经忘了前面的剧情……
1.399          1531712938.0    诈尸了
1.43           1531768559.0    天哪，居然更新了
1.442          1531564375.0    有生之年
1.451          1531664036.0    有生之年系列
1.453          1531575170.0    我发现了什么！！！
1.461          1531649877.0    收藏加投币  ok？  我要看下集  啊
1.462          1531567386.0    有生之年!!!
1.486          1531886464.0    ？？？？？？？？？？
1.518          1531563749.0    有生之年...
1.557          1531577826.0    7月霸权
1.636          1531721728.0    支付寳搜一下“
1.642          1531584670.0    先投币在再看
1.666          1531574134.0    阿婆主终于记起自己的正业了
1.68           1531731579.0    发生了什么！！！！！
1.682          1531583468.0    终于来了
1.696          1531566882.0    有生之年
1.699          1531748146.0    天呐
1.742          1531744395.0    终于想起B站账号密码？
1.747          1531566904.0    爷爷，你关注的up主更新了
1.755          1531563442.0    卧槽
