排名：84
网址：https://www.bilibili.com/video/av26810699
更新时间：07-18
弹幕总量：152
preciseTime    ofTime          comment
1.443          1531828624.0    妹妹哈哈哈哈哈哈
2.675          1531631932.0    椰子
5.872          1531803001.0    我来了！！
7.058          1531735985.0    330391161小笼包们请加群，一起支持龙哥，一起为龙哥打榜，一起并肩前行，未来可期
7.288          1531645356.0    哈哈哈哈
7.543          1531800724.0    什么硬汉
9.049          1531627365.0    这是在哪里的啊？
10.451         1531668958.0    确实
10.587         1531627609.0    哇呜
11.361         1531880828.0    居老师被bei老师传染了，确实
11.719         1531803921.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊
11.994         1531828635.0    笑声太魔性了妹妹
12.109         1531618298.0    有趣
12.14          1531627643.0    居老师
12.443         1531803028.0    戏是花谢花飞花满天 和何润东于小彤
13.398         1531750876.0    表白姐妹花！
13.599         1531642276.0    哥哥，真的超级温柔啊。
13.915         1531705901.0    小彤一米九
14.836         1531753906.0    是什么剧？
15.897         1531709854.0    这啥软件
16.372         1531759990.0    表白居居
16.777         1531874796.0    那确实
17.384         1531758170.0    三万人才？
17.629         1531835967.0    天呐 龙哥太棒了！
18.334         1531890497.0    东哥？
18.542         1531803927.0    龙龙！！！！！！！！
18.983         1531635060.0    父亲哈哈哈哈哈哈
19.011         1531623308.0    因为不是亲生的哈哈哈
19.572         1531803048.0    龙龙声音真的好听
20.34          1531849944.0    天啦hhhhh
20.402         1531718435.0    这是什么？？？
21.284         1531845092.0    姐姐妹妹一起走！！表白姐妹花
21.865         1531630823.0    花飞花谢花满天那部戏
22.917         1531797652.0    怎么这么可爱啊
22.979         1531896236.0    2333333333
23.141         1531716992.0    看图笑疯
23.408         1531635064.0    哈哈哈哈哈192
23.541         1531882296.0    完蛋了，说得好可爱！
24.039         1531901286.0    父亲是谁
24.49          1531839297.0    彭妹妹
24.66          1531899402.0    小彤诶
24.668         1531895187.0    哥哥哥哥哥哥哥哥 小笼包在这儿
25.162         1531642484.0    听到这些就知道是哪部戏了
25.413         1531745012.0    但是居居你是最好看的！！！娇小可爱！
26.174         1531834226.0    龙龙好！这是啥软件？
26.27          1531611665.0    承包七秒朱老师
27.239         1531829304.0    哈哈哈哈哈
27.469         1531721600.0    彭漂亮太可爱了吧
27.587         1531827668.0    哈哈哈哈
27.954         1531803064.0    哈哈哈哈彭漂亮好可爱
30.875         1531628232.0    腾讯的doki
31.241         1531630979.0    好想看龙哥发火啊
31.294         1531758229.0    哈哈哈哈彭妹妹声音也好好听
31.35          1531722000.0    妹妹太可爱了
31.396         1531839422.0    是妹妹hhhhh
32.899         1531644789.0    3D的192啊哈哈哈
32.962         1531616617.0    哈哈哈哈哈哈哈
33.328         1531758185.0    哈哈哈哈哈哈哈哈
