排名：91
网址：https://www.bilibili.com/video/av26813603
更新时间：07-17
弹幕总量：994
preciseTime    ofTime          comment
1.436          1531751150.0    老子是林克，不是塞尔达。   👌林尔达
2.275          1531542932.0    一拳一个食堂怪
5.832          1531755119.0    宠物小精灵
6.13           1531718702.0    我广州人民表示粤语已渗入生活
6.969          1531542958.0    出现了 食堂怪！
7.66           1531745621.0    在现场
7.848          1531749461.0    哇，贼牛逼。。。。
9.754          1531542100.0    一拳一个食堂怪
14.048         1531722949.0    表示只听过国语。。。
14.666         1531761952.0    表白梨香姐的智爷
17.595         1531738166.0    童年
17.817         1531742688.0    除了中文，其他都没听过。
18.081         1531744260.0    现在的国语很多...
20.167         1531755134.0    宝可梦真难听
22.012         1531756535.0    松本梨香
22.2           1531755218.0    是你，暗小智!
23.2           1531726383.0    画质感人
23.722         1531758008.0    一开始都是看香港的粤语配音
24.481         1531706688.0    好像小狼
25.82          1531731495.0    梨香姐的配音还是很赞的
26.482         1531747624.0    只听过日语2333
27.618         1531726394.0    画质感人
29.535         1531760847.0    粤语才是童年啊
29.694         1531744064.0    我只听过中文和日文，当然我也会看日文的动漫
30.103         1531718923.0    为什么中国都是台配，
30.347         1531729490.0    皮卡丘
31.021         1531761711.0    98-99年翡翠台播的宠物小精灵，一代人的回忆
31.142         1531724706.0    日文就是原版
32.52          1531759073.0    我小时候是看粤语版的
33.062         1531731826.0    听过闽南语版的吗😅
34.457         1531787722.0    还是日语好听
34.481         1531738830.0    直接砸晕
35.062         1531749569.0    不
35.182         1531777654.0    原版好，表示只听原版
35.294         1531748655.0    粤语喺我噶童年
35.461         1531718434.0    喜欢日语版，因为感觉一样的那种
37.629         1531731893.0    前面的，你怕是不知道先急求
39.64          1531726415.0    响指  你们听到了吗？？？
39.758         1531766179.0    转帽子，稳了
42.074         1531747988.0    只听过粤语和日语……
42.554         1531776926.0    獏。。。獏良
42.861         1531751807.0    屁，别听上面瞎说，台湾神奇宝贝大陆神奇宝可梦
43.88          1531736459.0    用国王球
44.11          1531718728.0    粤语童年+10086
45.559         1531719990.0    还能回收？
46.765         1531723001.0    好的是还能收回来精灵球，收不回来就浪费了
47.089         1531746550.0    前方高能
47.367         1531730181.0    第一次看就是在TVB上看粤语的
47.582         1531738283.0    第一次听到原版
47.938         1531728939.0    洛克王国
48.339         1531736470.0    恶魔球
48.68          1531722747.0    能回收？？？
49.121         1531758043.0    粤语的叫宠物小精灵
49.799         1531736477.0    巨星球
52.677         1531713839.0    就决定是你了剧场版
53.103         1531746563.0    笑死我了
54.241         1531724061.0    啊啊啊，
55.623         1531761943.0    第一集
56.605         1531708951.0    什么破玩意儿啊
56.959         1531788293.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
57.028         1531733506.0    不是宠物小精灵？！
57.062         1531741879.0    手拿时球那么小，扔出去那么大。
57.08          1531741274.0    正确方式应该是跑上去对那个鸟的翅膀咬一口
57.26          1531731614.0    女的？
57.704         1531737369.0    这是大妈吧
58.002         1531714396.0    ？？？？
58.339         1531791237.0    66666666
58.345         1531736576.0    。。。
58.454         1531728082.0    哈哈哈还好还好
58.611         1531738207.0    😂😂😂😂😂😂😂
58.747         1531721513.0    听了我耳朵疼，兽医检查过后检查出一个肿瘤……
59.431         1531703687.0    kkkkkkk
59.472         1531743560.0    女的。。？
59.771         1531747321.0    ？？？
59.823         1531722579.0    口型完全对不上
60.051         1531731538.0    ？？？？？？？？？？？？？？
60.115         1531756396.0    噗嗤
60.347         1531752172.0    这是什么鬼
60.49          1531704905.0    bgm都清蒸起来了
60.662         1531721943.0    卧槽
60.956         1531740883.0    好奇怪
61.008         1531707801.0    ？？？？？
61.127         1531703411.0    。。。。。。。。。。。。。。。。。。。。
61.182         1531706731.0    什么鬼啊
61.234         1531735108.0    ？？？
61.464         1531707736.0    好长
61.487         1531737253.0    RPG？？？
61.5           1531724716.0    1……
61.52          1531762106.0    这
62.435         1531745769.0    鸡皮疙瘩起来了
62.582         1531783015.0    日语版也是女的啊 为了模拟小男生的声音
62.789         1531752517.0    。。。。。。。
63.393         1531756783.0    ？，？？？？？？？《《《《？？？？？？？？？》》》》
63.415         1531753094.0    哈哈哈
63.48          1531729005.0    ？？？
63.61          1531738464.0    我来证明你开了弹幕
63.766         1531719161.0    怎么是女的
63.984         1531731298.0    233333
65.24          1531714598.0    ？？？？？？？？？？？？？？？？？
65.458         1531739277.0    狗拉的的土鸡
65.582         1531739812.0    ？？？？纳尼？？？
65.593         1531745217.0    听过土话版的？
66.002         1531727911.0    响指死一半？
66.107         1531764357.0    啥呀
66.122         1531705761.0    这阿拉伯语我怎么听起来像是念咒一样。
66.177         1531711919.0    233333好魔性啊
66.335         1531720907.0    ???
66.56          1531723705.0    αvicii？
66.62          1531751577.0    emmm，念符咒啊啊啊啊啊
66.753         1531749566.0    日语版不也是女的吗
66.803         1531738113.0    念咒语么…
67.499         1531777011.0    女声好严重
67.523         1531750446.0    RPG什么鬼
67.609         1531744912.0    ？？？？？
67.646         1531747433.0    哈哈哈哈哈哈哈哈hhhhh或或或
67.655         1531716193.0    哈哈哈哈哈哈
67.788         1531735124.0    我擦
67.937         1531743579.0    我小智是男的！
67.942         1531748980.0    毫无感情
68.025         1531743124.0    阿拉伯语
68.412         1531749393.0    ？？？？？？？？？？？？？？？？？
68.476         1531718391.0    大妈配音
68.88          1531748009.0    pubg？
68.939         1531701722.0    ？？？
69.081         1531745754.0    鸡皮u
69.358         1531701058.0    好长啊
69.606         1531725922.0    古拉顿？？。
69.796         1531757276.0    哈哈哈哈
70.042         1531729516.0    RPG?????
70.083         1531755234.0    字幕君？已阵亡
70.188         1531727298.0    这下子真的小智障了
70.48          1531737039.0    穆斯林同意进化论？
70.526         1531752156.0    说的什么鸟语呀？。
71.154         1531712547.0    噗
71.219         1531717846.0    RPG？？？
71.721         1531719169.0    阿拉伯
71.894         1531709676.0    可怜的阿拉伯小朋友们
73.774         1531751158.0    吐露吐露巴拉巴拉
74.359         1531749119.0    多啦拱？龙？
75.307         1531725263.0    藏语频道既视感？？？
