排名：47
网址：https://www.bilibili.com/video/av26813801
更新时间：07-17
弹幕总量：916
preciseTime    ofTime          comment
0.0            1531537396.0    卧槽卧槽天文望远镜！
0.067          1531548703.0    啊啊啊啊啊啊又更新啦！！！！！
0.417          1531566785.0    白宇哥哥请谨慎食用
1.646          1531565880.0    魔鬼
2.133          1531545186.0    为你的优秀干杯
2.262          1531568934.0    优秀优秀
2.84           1531606854.0    回来的小伙伴们hi~
3.018          1531534978.0    我又来了
3.339          1531627790.0    更新啦！
3.58           1531535303.0    对不起，我又来了
3.669          1531567785.0    高产君
3.707          1531535076.0    来了来了
3.744          1531664910.0    大家都是显微镜女孩吗？？
3.754          1531550057.0    高产up主么么哒
3.818          1531564871.0    开弹幕再看一次弹幕，真的是太优秀了
3.88           1531665751.0    欢迎回来
3.941          1531533281.0    太太高产啊
4.141          1531548810.0    优秀
4.48           1531651573.0    全程高能！！！给up朱笔芯！！！！
4.54           1531575107.0    巍澜童话是沙雅那个酒吧的啊😂
4.78           1531660928.0    龙哥好帅阿啊啊啊啊
4.864          1531546084.0    我能说其实我一直在盼着UP主的新作嘛！！！！！
5.121          1531577509.0    优秀
5.324          1531540719.0    我来啦
5.376          1531544046.0    up高产
5.463          1531533935.0    超級前！
5.48           1531639338.0    up我又来了～
5.64           1531651599.0    镇魂女孩泰棒鸟！
6.017          1531568405.0    谢谢up你终于更新了
6.126          1531531307.0    优秀~
6.378          1531571102.0    课代表
6.741          1531648456.0    太太太高产了
7.013          1531654391.0    哈哈哈哈老
7.099          1531531343.0    第一第一
7.117          1531668468.0    欢迎回来
7.404          1531582039.0    优秀
7.514          1531545805.0    我来了
7.521          1531533141.0    up主是要干大事的哈哈哈哈哈  人才
7.603          1531559909.0    来了来
7.638          1531778904.0    这段哈哈哈哈哈哈哈老婆你去！
7.661          1531638358.0    嗷嗷
7.839          1531544242.0    表白up主
7.841          1531545245.0    我来了
8.106          1531591694.0    这是嘶【🐍吐信】了一下吗哈哈哈哈哈哈哈
8.339          1531542311.0    我来了
8.362          1531535241.0    太太你的肝还好吗，这么高产
8.54           1531536475.0    赶上热乎的了
8.598          1531734800.0    这里的肩蹭居然不剪出来😂😂
8.609          1531628791.0    微博过来
8.7            1531542656.0    静静好久不见！！！
8.96           1531532152.0    开仓放糖啦
9.001          1531544436.0    报道
9.139          1531545419.0    高产
9.379          1531534145.0    UP主太高产了
9.464          1531565888.0    优秀
9.518          1531531373.0    蹭肩膀也很甜
9.813          1531559101.0    真的高产 硬币全给你
9.984          1531590769.0    呲牙了呲牙了 不愧是鬼王噗！
10.066         1531553997.0    厉害了
10.115         1531650194.0    魔鬼，哈哈哈哈哈
10.206         1531531306.0    刚刚！！
10.8           1531534092.0    给大大打call
11.408         1531637710.0    魔鬼你好
11.718         1531588073.0    啧了一下！！！
11.788         1531534806.0    来啦！！！！！！！！！！！！！！111
12.531         1531709488.0    芋圆优秀
12.848         1531627590.0    厉害
14.43          1531536008.0    我只能，好可爱
14.479         1531533361.0    优秀
14.982         1531535201.0    高产啊
15.457         1531534084.0    又回来了
16.04          1531551228.0    优秀本秀了
16.07          1531668477.0    优秀
16.339         1531559668.0    镇魂女孩们👧，到优酷点小心心，点亮双子塔，搞起来👀
16.521         1531565895.0    优秀
16.593         1531654401.0    阿婆主爱你！！
16.81          1531538232.0    气到没脖子
17.116         1531531996.0    刚刚！
17.163         1531589338.0    巍巍不知道，魏巍看资料
17.379         1531778744.0    这段总共看了几次巍巍呢？
17.451         1531532723.0    表白up
17.637         1531538413.0    我来啦
18.406         1531567702.0    哈哈哈哈哈哈哈哈哈最后我真的没笑到头掉
19.018         1531533844.0    Up更必到
19.114         1531617519.0    红姐 人生不直的
20.053         1531537887.0    有巍澜的地方就有我们嗨起来阿阿阿
20.069         1531587798.0    阿婆主，你超棒的！！！！
20.071         1531778837.0    大爱这段
20.655         1531574071.0    开心
20.751         1531553480.0    微博赶来表扬UP主
20.978         1531536133.0    大大，优秀！！
20.981         1531536386.0    一个小时前！！
21.048         1531647865.0    优秀
21.27          1531752808.0    巍巍还疯狂眨眼！！你是有多慌！！！
21.352         1531534101.0    沈巍：我不生气，我很理智。
21.528         1531627598.0    好厉害
21.572         1531537107.0    来了来了
